gate_name,status,detail,source_file,sha256,row_count
input_hash_directional_measurements,PASS,input present and hashed,reports/oty2/samples/oty2_gm_rm019_static_directional_spread_measurements_20260712.csv,b9296c1ff3e3150321800bdb93c52e37a932978dbb970765ab94bf5c17d2ff30,500
input_hash_directional_pairwise_controls,PASS,input present and hashed,reports/oty2/samples/oty2_gm_rm019_static_directional_spread_pairwise_controls_20260712.csv,c350c4b86a96397bcc40b42eed8bef85830c015e61ce5faad99a5b3c6b461881,30
input_hash_paired_annotations,PASS,input present and hashed,reports/oty2/samples/oty2_wgv3_5a_paired_annotations_20260710.csv,54c558f1308629f4be349dedf9618803b8b3d99eed845dffa370c47d7ec9203d,204
input_hash_sar_polar_targets,PASS,input present and hashed,reports/oty2/samples/oty2_wgv3_5a_sar_polar_targets_20260710.csv,d5da737d9d260f5cb0de24c0af4d7327999022a0d2cdb1fd417729419497a330,204
input_hash_mask_observation_audit,PASS,input present and hashed,reports/oty2/samples/oty2_wgv3_5a_r2c_gm019_mask_observation_audit_20260711.csv,738c723f2ec03d53fdf67155ae8378ad204a61316eb5c9065cbcfe6a2110c22a,16
input_hash_mask_source_inventory,PASS,input present and hashed,reports/oty2/samples/oty2_wgv3_5a_r2c_sar_mask_source_inventory_20260711.csv,d6cd0f12b0190b7b2082f2b2bee358ef14191113b6d13adbfb39c339a63a95ac,3
input_hash_mask_aware_intervals,PASS,input present and hashed,reports/oty2/samples/oty2_wgv3_5a_r2c_gm019_mask_aware_intervals_20260711.csv,27fc338410738b541fe5b0710ef469c69c92ac9cb357362166a877c32bec9617,1
input_hash_local_response_units,PASS,input present and hashed,reports/oty2/samples/oty2_wgv3_6a_a1_8a_r2_1_r1_1_local_response_units_20260711.csv,83a62fb7ca01e91270c5c64ea63997b5676259ccfb5d22c3e8e789d37bdcaf64,250
input_hash_response_unit_gt_matrix,PASS,input present and hashed,reports/oty2/samples/oty2_wgv3_6a_a1_8a_r2_1_r1_1_response_unit_gt_instance_matrix_20260711.csv,cdbe1efbc5e36a31c3341eba32da9fff182c8c7b670155f08a3cdbeda9e02873,63
input_hash_boundary_variant_families,PASS,input present and hashed,reports/oty2/samples/oty2_wgv3_6a_a1_8a_r2_1_r1_1_boundary_variant_families_20260711.csv,f76cc9d4caefa98310ac843116b9e1283073b3a18715630243a66346f30016ac,176
input_hash_center_semantic_review,PASS,input present and hashed,reports/oty2/samples/oty2_wgv3_5a_r2c_gm019_center_semantic_review_20260711.csv,546413231d67b49b58b6d0268006fa284a7e83af127842586da7856c1fe1120e,16
input_hash_mask_definition_report,PASS,input present and hashed,reports/oty2/oty2_wgv3_5a_r2c_sar_mask_definition_20260711.md,04591e40bb5c358f23f732d0d79d695727676b2ee6bfc4ec86d7d8a61daccabc,
input_hash_mask_gate_report,PASS,input present and hashed,reports/oty2/oty2_wgv3_5a_r2c_gm019_mask_supervision_gate_20260711.md,e64572c90ffadf25284835ed031da6a80332f4df71f423c874ec9183b9071705,
input_hash_mask_closure_report,PASS,input present and hashed,reports/oty2/oty2_wgv3_5a_r2c_mask_aware_closure_20260711.md,df81a199227c15f6a7f099c33c9efe33ffacaf52af0aa58d7df80549028544af,
input_hash_static_directional_report,PASS,input present and hashed,reports/oty2/oty2_gm_rm019_static_directional_spread_measurement_20260712.md,0c2a8ed4606e63119a1d2020b502c1b3cf77cfd64f345351faf2eec702057038,
input_hash_static_registry_report,PASS,input present and hashed,reports/oty2/oty2_gm_rm019_static_physical_factor_registry_20260712.md,74598340094c1362f920f32d376029e3526f27efe7b7e6e9be8a1ede7ee40a1e,
input_hash_static_directional_script,PASS,input present and hashed,tools/diagnostics/run_oty2_gm_rm019_static_directional_spread_measurement.py,7164db71a3888876f614735141c100aa6ed145ec5ae6e7df8b3caf20cb8863ba,
input_hash_mask_mapping_script,PASS,input present and hashed,tools/diagnostics/run_oty2_wgv3_5a_r2c_mask_aware_near_field_mapping.py,c1d6038e548888a8b91e7b50e54789cee304272f3aa24900735427c1daaf9c15,
input_hash_support_probe_script,PASS,input present and hashed,tools/diagnostics/run_oty2_support_region_sar_observation_probe.py,6efc36a2a66d27625e0d34a6ad24b3dd438adf073ff60bb8f010482a9723663c,
input_hash_gm019_runtime_config,PASS,input present and hashed,D:/profile/research/workspace/tools/configs/gm_rm019_vehicle_assembly_physics_v2.json,94657cdb9e0fa1943ecce14ae189d7093772fded270ba091db31bda2e0b56bdc,
absolute_scale_status,PASS,"ABSOLUTE_SCALE_UNRESOLVED: no reliable raw SAR physical coordinate axis, pulse-to-PNG calibration, chirp bandwidth, FFT/grid, or display resize/crop provenance recovered",,,
local_response_unit_count_stable,PASS,count=250 expected=250,,,
directional_measurement_rows_stable,PASS,rows=500 expected=500,,,
primary_response_rows_stable,PASS,primary_rows=250 expected=250,,,
duplicate_structure_unique_response_unit_count,PASS,unique_response_unit_count=250,,,
duplicate_structure_unique_region_bbox_count,PASS,unique_region_bbox_count=215,,,
duplicate_structure_unique_gt_pair_count,PASS,fit_unique_gt_pair_count=10,,,
duplicate_structure_unique_gt_instance_count,PASS,fit_unique_gt_instance_count=10,,,
duplicate_structure_unique_sar_frame_count,PASS,fit_unique_sar_frame_count=10,,,
duplicate_structure_unique_physical_vehicle_count,PASS,fit_unique_physical_vehicle_count=2,,,
