template_id,independent_geometry_id,sar_frame,template_family,template_axis,template_operation,delta_m,delta_px,rotation_deg,measurement_source,proxy_formula_used,background_mode,sensitivity_background_mode,counterfactual_background_sensitivity_status,base_background_subtracted_energy,measured_background_subtracted_energy,energy_delta_measured,base_inner_energy_density,measured_inner_energy_density,inner_density_delta_measured,base_outer_band_energy_density,measured_outer_band_energy_density,outer_density_delta_measured,measured_inner_outer_density_ratio,base_component_count,measured_component_count,component_count_delta_measured,measured_largest_component_pixels,measured_range_p50_width_m,measured_range_p80_width_m,measured_range_p90_width_m,range_p80_delta_m_measured,measured_azimuth_p50_width_m,measured_azimuth_p80_width_m,measured_azimuth_p90_width_m,azimuth_p80_delta_m_measured,measured_response_axis_image_deg,measured_response_axis_to_range_signed_deg,measured_response_axis_to_range_acute_deg,axis_angle_delta_deg_measured,measured_principal_axis_ratio,measured_axis_orientation_status,measured_vehicle_projection_envelope_status,measured_aspect_angle_candidate_deg
GM019IG0001_T01,GM019IG0001,34,center_shift,range,shift,-0.15,-5,0,REAL_SAR_GRAY_REMEASURED,false,BASE_REGION_FROZEN_BACKGROUND,PERTURBED_LOCAL_RING,COUNTERFACTUAL_BACKGROUND_STABLE,14536,13508,-1028,9.983516,9.277473,-0.706044,3.003496,3.821138,0.817642,2.427934,32,40,8,828,0.32447,0.60266,0.735372,-0.077463,0.43302,0.768406,0.921288,-0.022215,168.510887,-53.988277,53.988277,3.120188,1.918748,AXIS_MULTI_COMPONENT_AMBIGUOUS,PARTIAL_SUPPORT_BELOW_ENVELOPE,90
GM019IG0001_T02,GM019IG0001,34,center_shift,range,shift,0.15,5,0,REAL_SAR_GRAY_REMEASURED,false,BASE_REGION_FROZEN_BACKGROUND,PERTURBED_LOCAL_RING,COUNTERFACTUAL_BACKGROUND_STABLE,14536,14503,-33,9.983516,9.960852,-0.022665,3.003496,3.224158,0.220662,3.089443,32,36,4,930,0.355749,0.678272,0.82024,-0.001851,0.453191,0.78497,0.917682,-0.00565,171.527433,-50.971732,50.971732,0.103642,1.961169,AXIS_MULTI_COMPONENT_AMBIGUOUS,PARTIAL_SUPPORT_BELOW_ENVELOPE,90
GM019IG0001_T03,GM019IG0001,34,center_shift,azimuth,shift,-0.15,-5,0,REAL_SAR_GRAY_REMEASURED,false,BASE_REGION_FROZEN_BACKGROUND,PERTURBED_LOCAL_RING,COUNTERFACTUAL_BACKGROUND_SENSITIVE,14536,14288,-248,9.983516,9.826685,-0.156831,3.003496,3.029002,0.025506,3.244198,32,34,2,885,0.355749,0.680123,0.807281,0,0.44432,0.773959,0.915831,-0.016661,170.33372,-52.165445,52.165445,1.297355,1.979511,AXIS_MULTI_COMPONENT_AMBIGUOUS,PARTIAL_SUPPORT_BELOW_ENVELOPE,90
GM019IG0001_T04,GM019IG0001,34,center_shift,azimuth,shift,0.15,5,0,REAL_SAR_GRAY_REMEASURED,false,BASE_REGION_FROZEN_BACKGROUND,PERTURBED_LOCAL_RING,COUNTERFACTUAL_BACKGROUND_SENSITIVE,14536,13911,-625,9.983516,9.5674,-0.416116,3.003496,2.866589,-0.136907,3.337555,32,31,-1,940,0.350099,0.658005,0.833102,-0.022119,0.431169,0.744436,0.878902,-0.046185,172.195662,-50.303503,50.303503,0.564587,1.8547,AXIS_MULTI_COMPONENT_AMBIGUOUS,PARTIAL_SUPPORT_BELOW_ENVELOPE,90
GM019IG0001_T05,GM019IG0001,34,center_shift,range,shift,-0.3,-10,0,REAL_SAR_GRAY_REMEASURED,false,BASE_REGION_FROZEN_BACKGROUND,PERTURBED_LOCAL_RING,COUNTERFACTUAL_BACKGROUND_STABLE,14536,11795,-2741,9.983516,8.095402,-1.888115,3.003496,4.443539,1.440043,1.821836,32,48,16,694,0.281988,0.512527,0.635982,-0.167597,0.394433,0.709455,0.864189,-0.081166,169.740961,-52.758203,52.758203,1.890114,1.57076,AXIS_MULTI_COMPONENT_AMBIGUOUS,PARTIAL_SUPPORT_BELOW_ENVELOPE,90
GM019IG0001_T06,GM019IG0001,34,center_shift,range,shift,0.3,10,0,REAL_SAR_GRAY_REMEASURED,false,BASE_REGION_FROZEN_BACKGROUND,PERTURBED_LOCAL_RING,COUNTERFACTUAL_BACKGROUND_STABLE,14536,13808,-728,9.983516,9.477008,-0.506509,3.003496,3.461001,0.457505,2.738227,32,39,7,894,0.333727,0.62663,0.763044,-0.053493,0.444031,0.77581,0.912128,-0.01481,170.466151,-52.033013,52.033013,1.164924,1.843479,AXIS_MULTI_COMPONENT_AMBIGUOUS,PARTIAL_SUPPORT_BELOW_ENVELOPE,90
GM019IG0001_T07,GM019IG0001,34,center_shift,azimuth,shift,-0.3,-10,0,REAL_SAR_GRAY_REMEASURED,false,BASE_REGION_FROZEN_BACKGROUND,PERTURBED_LOCAL_RING,COUNTERFACTUAL_BACKGROUND_STABLE,14536,12678,-1858,9.983516,8.725396,-1.258121,3.003496,3.847045,0.843549,2.268077,32,41,9,779,0.33363,0.610161,0.75749,-0.069962,0.386932,0.690942,0.836516,-0.099678,169.68324,-52.815925,52.815925,1.947835,1.73653,AXIS_MULTI_COMPONENT_AMBIGUOUS,PARTIAL_SUPPORT_BELOW_ENVELOPE,90
GM019IG0001_T08,GM019IG0001,34,center_shift,azimuth,shift,0.3,10,0,REAL_SAR_GRAY_REMEASURED,false,BASE_REGION_FROZEN_BACKGROUND,PERTURBED_LOCAL_RING,COUNTERFACTUAL_BACKGROUND_STABLE,14536,12451,-2085,9.983516,8.569167,-1.414349,3.003496,3.216686,0.21319,2.663974,32,43,11,868,0.331779,0.635886,0.836805,-0.044237,0.379719,0.652259,0.790524,-0.138362,172.958437,-49.540728,49.540728,1.327362,1.621502,AXIS_MULTI_COMPONENT_AMBIGUOUS,PARTIAL_SUPPORT_BELOW_ENVELOPE,90
GM019IG0001_T09,GM019IG0001,34,center_shift,range,shift,-0.45,-15,0,REAL_SAR_GRAY_REMEASURED,false,BASE_REGION_FROZEN_BACKGROUND,PERTURBED_LOCAL_RING,COUNTERFACTUAL_BACKGROUND_STABLE,14536,9272,-5264,9.983516,6.368132,-3.615385,3.003496,4.890697,1.887201,1.302091,32,60,28,525,0.21758,0.43867,0.617566,-0.241454,0.348248,0.637545,0.781268,-0.153075,175.943577,-46.555588,46.555588,4.312502,1.294422,AXIS_MULTI_COMPONENT_AMBIGUOUS,PARTIAL_SUPPORT_BELOW_ENVELOPE,90
GM019IG0001_T10,GM019IG0001,34,center_shift,range,shift,0.45,15,0,REAL_SAR_GRAY_REMEASURED,false,BASE_REGION_FROZEN_BACKGROUND,PERTURBED_LOCAL_RING,COUNTERFACTUAL_BACKGROUND_STABLE,14536,12106,-2430,9.983516,8.31456,-1.668956,3.003496,4.319767,1.316271,1.92477,32,44,12,786,0.287638,0.528996,0.652451,-0.151128,0.416551,0.738978,0.875296,-0.051642,166.718627,-55.780538,55.780538,4.912448,1.627394,AXIS_MULTI_COMPONENT_AMBIGUOUS,PARTIAL_SUPPORT_BELOW_ENVELOPE,90
