independent_geometry_id,scene,sar_frame,member_sar_frames,conservative_bbox,core_bbox,member_response_unit_count,member_response_unit_ids,representative_response_unit_id,measured_once_then_mapped_to_members
GM019IG0001,GM_RM019,34,34,"952,1153,988,1171","952,1153,988,1171",1,R21B00042,R21B00042,true
GM019IG0002,GM_RM019,212,212,"957,1126,1132,1240","957,1126,1132,1240",2,R21B00105;R21B00107,R21B00105,true
GM019IG0003,GM_RM019,213,213,"963,1150,987,1180","963,1150,987,1180",1,R21B00109,R21B00109,true
GM019IG0004,GM_RM019,216,216,"975,1126,1131,1240","975,1126,1131,1240",2,R21B00112;R21B00114,R21B00112,true
GM019IG0005,GM_RM019,213,213,"981,1126,1132,1240","981,1126,1132,1240",1,R21B00108,R21B00108,true
GM019IG0006,GM_RM019,213,213,"981,1126,1132,1246","981,1126,1132,1246",1,R21B00111,R21B00111,true
GM019IG0007,GM_RM019,39,39,"982,1141,1030,1153","982,1141,1030,1153",1,R21B00049,R21B00049,true
GM019IG0008,GM_RM019,220,220,"993,1156,1017,1174","993,1156,1017,1174",1,R21B00116,R21B00116,true
GM019IG0009,GM_RM019,40,40,"994,1135,1090,1159","994,1135,1090,1159",1,R21B00057,R21B00057,true
GM019IG0010,GM_RM019,224,224,"1005,1126,1132,1234","1005,1126,1132,1234",1,R21B00117,R21B00117,true
GM019IG0011,GM_RM019,224,224,"1005,1126,1132,1240","1005,1126,1132,1240",3,R21B00120;R21B00121;R21B00123,R21B00120,true
GM019IG0012,GM_RM019,212,212,"1005,1210,1023,1240","1005,1210,1023,1240",1,R21B00106,R21B00106,true
GM019IG0013,GM_RM019,213,213,"1005,1210,1023,1246","1005,1210,1023,1246",1,R21B00110,R21B00110,true
GM019IG0014,GM_RM019,27,27,"1006,1131,1018,1137","1006,1131,1018,1137",1,R21B00004,R21B00004,true
GM019IG0015,GM_RM019,28,28,"1006,1131,1024,1143","1006,1131,1024,1143",1,R21B00010,R21B00010,true
GM019IG0016,GM_RM019,220,220,"1011,1126,1132,1240","1011,1126,1132,1240",1,R21B00115,R21B00115,true
GM019IG0017,GM_RM019,224,224,"1011,1210,1065,1240","1011,1210,1065,1240",1,R21B00122,R21B00122,true
GM019IG0018,GM_RM019,224,224,"1011,1228,1029,1240","1011,1228,1029,1240",1,R21B00119,R21B00119,true
GM019IG0019,GM_RM019,227,227,"1017,1126,1132,1234","1017,1126,1132,1234",1,R21B00124,R21B00124,true
GM019IG0020,GM_RM019,227,227,"1017,1126,1132,1240","1017,1126,1132,1240",1,R21B00127,R21B00127,true
GM019IG0021,GM_RM019,216,216,"1017,1216,1035,1240","1017,1216,1035,1240",1,R21B00113,R21B00113,true
GM019IG0022,GM_RM019,34,34,"1018,1141,1042,1159","1018,1141,1042,1159",1,R21B00046,R21B00046,true
GM019IG0023,GM_RM019,228,228,"1023,1126,1132,1240","1023,1126,1132,1240",2,R21B00128;R21B00131,R21B00128,true
GM019IG0024,GM_RM019,227,227;228,"1023,1228,1041,1240","1023,1228,1041,1240",2,R21B00126;R21B00130,R21B00126,true
GM019IG0025,GM_RM019,52,52,"1024,1135,1193,1189","1024,1135,1193,1189",2,R21B00063;R21B00066,R21B00063,true
GM019IG0026,GM_RM019,46,46,"1030,1135,1193,1255","1030,1135,1193,1255",1,R21B00062,R21B00062,true
GM019IG0027,GM_RM019,27,27,"1030,1221,1042,1233","1030,1221,1042,1233",1,R21B00005,R21B00005,true
GM019IG0028,GM_RM019,27,27,"1036,1131,1186,1203","1036,1131,1186,1203",1,R21B00001,R21B00001,true
GM019IG0029,GM_RM019,27,27,"1036,1131,1186,1233","1036,1131,1186,1233",1,R21B00006,R21B00006,true
GM019IG0030,GM_RM019,28,28,"1036,1131,1192,1203","1036,1131,1192,1203",1,R21B00007,R21B00007,true
GM019IG0031,GM_RM019,28,28,"1036,1131,1192,1233","1036,1131,1192,1233",1,R21B00011,R21B00011,true
GM019IG0032,GM_RM019,34,34,"1036,1135,1193,1267","1036,1135,1193,1267",1,R21B00047,R21B00047,true
GM019IG0033,GM_RM019,34,34,"1036,1219,1072,1243","1036,1219,1072,1243",1,R21B00041,R21B00041,true
GM019IG0034,GM_RM019,224,224,"1041,1210,1065,1240","1041,1210,1065,1240",1,R21B00118,R21B00118,true
GM019IG0035,GM_RM019,29,29,"1042,1131,1192,1197","1042,1131,1192,1197",1,R21B00012,R21B00012,true
GM019IG0036,GM_RM019,29,29,"1042,1131,1192,1245","1042,1131,1192,1245",1,R21B00015,R21B00015,true
GM019IG0037,GM_RM019,30,30,"1042,1131,1193,1197","1042,1131,1193,1197",1,R21B00016,R21B00016,true
GM019IG0038,GM_RM019,30,30,"1042,1131,1193,1239","1042,1131,1193,1239",1,R21B00022,R21B00022,true
GM019IG0039,GM_RM019,30,30,"1042,1131,1193,1245","1042,1131,1193,1245",1,R21B00021,R21B00021,true
GM019IG0040,GM_RM019,31,31,"1042,1135,1114,1243","1042,1135,1114,1243",1,R21B00031,R21B00031,true
GM019IG0041,GM_RM019,31,31,"1042,1135,1193,1249","1042,1135,1193,1249",4,R21B00024;R21B00028;R21B00029;R21B00030,R21B00024,true
GM019IG0042,GM_RM019,30,30,"1042,1221,1054,1239","1042,1221,1054,1239",1,R21B00020,R21B00020,true
GM019IG0043,GM_RM019,31,31,"1042,1225,1060,1243","1042,1225,1060,1243",1,R21B00026,R21B00026,true
GM019IG0044,GM_RM019,227,227,"1047,1204,1077,1240","1047,1204,1077,1240",1,R21B00125,R21B00125,true
