gt_pair_id,gt_instance_id,sar_frame,physical_vehicle_id,linked_independent_geometry_ids,linked_independent_geometry_count,mask_class,mask_context,gt_width_axis_image_deg,gt_long_axis_image_deg,region_status,near_edge_status,far_edge_status,left_edge_status,right_edge_status,rotation_status,axis_evidence_status,dominant_component_energy_fraction,component_layout_axis_status,background_sensitivity_status,physical_conflict_flag,interval_platform_flag,review_note_cn
WGV35A_PAIR_0204,316,27,PV_GM19_WHITE_SUV_NEAR_FIELD,GM019IG0027;GM019IG0028;GM019IG0029;GM019IG0085,4,SAR_MASK_S1_PARTIALLY_CENSORED_CENTER_INSIDE,SAR_MASK_S1_PARTIALLY_CENSORED_CENTER_INSIDE;no_local_bbox_boundary_hot_band;center_semantics_mask_censored_or_unconfirmed;bbox_bottom_within_110px_of_near_range_mask;observed_box_may_be_masked_response_center_not_full_vehicle_center,0,0,GT_REGION_INTERVAL_IDENTIFIABLE,EDGE_IDENTIFIABLE,EDGE_INTERVAL_ONLY,EDGE_IDENTIFIABLE,EDGE_IDENTIFIABLE,ROTATION_INTERVAL_ONLY,MULTIPLE_AXIS_REPRESENTATIONS_CONFLICT,0.846457,AXIS_RESOLVED,COUNTERFACTUAL_BACKGROUND_SENSITIVE,false,true,GT 响应区域评价完成；不表示 GT 正确，也不生成最终框。
WGV35A_PAIR_0205,317,31,PV_GM19_WHITE_SUV_NEAR_FIELD,GM019IG0040;GM019IG0041;GM019IG0043;GM019IG0056,4,SAR_MASK_S1_PARTIALLY_CENSORED_CENTER_INSIDE,SAR_MASK_S1_PARTIALLY_CENSORED_CENTER_INSIDE;bottom_near_range_mask;center_semantics_mask_censored_or_unconfirmed;bbox_bottom_within_110px_of_near_range_mask;observed_box_may_be_masked_response_center_not_full_vehicle_center,0,0,GT_REGION_INTERVAL_IDENTIFIABLE,EDGE_MASK_CENSORED,EDGE_IDENTIFIABLE,EDGE_IDENTIFIABLE,EDGE_IDENTIFIABLE,ROTATION_INTERVAL_ONLY,MULTIPLE_AXIS_REPRESENTATIONS_CONFLICT,0.829332,AXIS_RESOLVED,COUNTERFACTUAL_BACKGROUND_SENSITIVE,false,true,GT 响应区域评价完成；不表示 GT 正确，也不生成最终框。
WGV35A_PAIR_0206,319,77,PV_GM19_WHITE_SUV_NEAR_FIELD,GM019IG0124;GM019IG0126;GM019IG0133;GM019IG0170;GM019IG0194;GM019IG0209,6,SAR_MASK_S1_PARTIALLY_CENSORED_CENTER_INSIDE,SAR_MASK_S1_PARTIALLY_CENSORED_CENTER_INSIDE;bottom_near_range_mask;center_semantics_mask_censored_or_unconfirmed;bbox_bottom_within_110px_of_near_range_mask;observed_box_may_be_masked_response_center_not_full_vehicle_center,0,0,GT_REGION_INTERVAL_IDENTIFIABLE,EDGE_MASK_CENSORED,EDGE_INTERVAL_ONLY,EDGE_INTERVAL_ONLY,EDGE_IDENTIFIABLE,ROTATION_NOT_IDENTIFIABLE,GLOBAL_AND_COMPONENT_AXIS_CONSISTENT,0.948587,AXIS_RESOLVED,COUNTERFACTUAL_BACKGROUND_SENSITIVE,false,true,GT 响应区域评价完成；不表示 GT 正确，也不生成最终框。
WGV35A_PAIR_0207,320,81,PV_GM19_WHITE_SUV_NEAR_FIELD,GM019IG0154;GM019IG0155;GM019IG0166;GM019IG0181,4,SAR_MASK_S2_CENTER_CENSORED,SAR_MASK_S2_CENTER_CENSORED;no_local_bbox_boundary_hot_band;center_semantics_mask_censored_or_unconfirmed;sar_bbox_partly_outside_reconstructed_mask,0,0,GT_REGION_INTERVAL_IDENTIFIABLE,EDGE_INTERVAL_ONLY,EDGE_INTERVAL_ONLY,EDGE_INTERVAL_ONLY,EDGE_IDENTIFIABLE,ROTATION_INTERVAL_ONLY,COMPONENT_LAYOUT_AXIS_ONLY,0.708473,AXIS_COMPONENT_LAYOUT_RESOLVED,BACKGROUND_STABLE,false,true,GT 响应区域评价完成；不表示 GT 正确，也不生成最终框。
WGV35A_PAIR_0208,323,212,PV_GM19_SILVER_MPV_NEAR_FIELD,GM019IG0002;GM019IG0012,2,SAR_MASK_S2_CENTER_CENSORED,SAR_MASK_S2_CENTER_CENSORED;no_local_bbox_boundary_hot_band;center_semantics_mask_censored_or_unconfirmed;sar_bbox_partly_outside_reconstructed_mask,0,0,GT_REGION_INTERVAL_IDENTIFIABLE,EDGE_IDENTIFIABLE,EDGE_IDENTIFIABLE,EDGE_IDENTIFIABLE,EDGE_IDENTIFIABLE,ROTATION_NOT_IDENTIFIABLE,GLOBAL_AND_COMPONENT_AXIS_CONSISTENT,0.966733,AXIS_RESOLVED,COUNTERFACTUAL_BACKGROUND_SENSITIVE,false,true,GT 响应区域评价完成；不表示 GT 正确，也不生成最终框。
WGV35A_PAIR_0209,324,238,PV_GM19_SILVER_MPV_NEAR_FIELD,GM019IG0050;GM019IG0054,2,SAR_MASK_S1_PARTIALLY_CENSORED_CENTER_INSIDE,SAR_MASK_S1_PARTIALLY_CENSORED_CENTER_INSIDE;bottom_near_range_mask;center_semantics_mask_censored_or_unconfirmed;bbox_bottom_within_110px_of_near_range_mask;observed_box_may_be_masked_response_center_not_full_vehicle_center,0,0,GT_REGION_PHYSICALLY_DISTINGUISHABLE,EDGE_MASK_CENSORED,EDGE_INTERVAL_ONLY,EDGE_INTERVAL_ONLY,EDGE_INTERVAL_ONLY,ROTATION_90_DEG_SWAP_AMBIGUOUS,GLOBAL_AND_COMPONENT_AXIS_CONSISTENT,0.895792,AXIS_RESOLVED,BACKGROUND_STABLE,false,false,GT 响应区域评价完成；不表示 GT 正确，也不生成最终框。
WGV35A_PAIR_0210,325,269,PV_GM19_SILVER_MPV_NEAR_FIELD,GM019IG0089;GM019IG0090;GM019IG0119;GM019IG0173;GM019IG0188,5,SAR_MASK_S1_PARTIALLY_CENSORED_CENTER_INSIDE,SAR_MASK_S1_PARTIALLY_CENSORED_CENTER_INSIDE;bottom_near_range_mask;center_semantics_mask_censored_or_unconfirmed;bbox_bottom_within_110px_of_near_range_mask;observed_box_may_be_masked_response_center_not_full_vehicle_center,0,0,GT_REGION_INTERVAL_IDENTIFIABLE,EDGE_MASK_CENSORED,EDGE_INTERVAL_ONLY,EDGE_INTERVAL_ONLY,EDGE_INTERVAL_ONLY,ROTATION_90_DEG_SWAP_AMBIGUOUS,GLOBAL_AND_COMPONENT_AXIS_CONSISTENT,0.944083,AXIS_RESOLVED,COUNTERFACTUAL_BACKGROUND_SENSITIVE,false,true,GT 响应区域评价完成；不表示 GT 正确，也不生成最终框。
WGV35A_PAIR_0211,326,273,PV_GM19_SILVER_MPV_NEAR_FIELD,GM019IG0103;GM019IG0180;GM019IG0198,3,SAR_MASK_S1_PARTIALLY_CENSORED_CENTER_INSIDE,SAR_MASK_S1_PARTIALLY_CENSORED_CENTER_INSIDE;bottom_near_range_mask;center_semantics_mask_censored_or_unconfirmed;bbox_bottom_within_110px_of_near_range_mask;observed_box_may_be_masked_response_center_not_full_vehicle_center,0,0,GT_REGION_INTERVAL_IDENTIFIABLE,EDGE_MASK_CENSORED,EDGE_INTERVAL_ONLY,EDGE_INTERVAL_ONLY,EDGE_INTERVAL_ONLY,ROTATION_90_DEG_SWAP_AMBIGUOUS,GLOBAL_AND_COMPONENT_AXIS_CONSISTENT,0.760983,AXIS_COMPONENT_LAYOUT_RESOLVED,BACKGROUND_STABLE,false,true,GT 响应区域评价完成；不表示 GT 正确，也不生成最终框。
WGV35A_PAIR_0212,327,288,PV_GM19_SILVER_MPV_NEAR_FIELD,GM019IG0127;GM019IG0128;GM019IG0150;GM019IG0167;GM019IG0175,5,SAR_MASK_S1_PARTIALLY_CENSORED_CENTER_INSIDE,SAR_MASK_S1_PARTIALLY_CENSORED_CENTER_INSIDE;bottom_near_range_mask;center_semantics_mask_censored_or_unconfirmed;bbox_bottom_within_110px_of_near_range_mask;observed_box_may_be_masked_response_center_not_full_vehicle_center,0,0,GT_REGION_INTERVAL_IDENTIFIABLE,EDGE_MASK_CENSORED,EDGE_INTERVAL_ONLY,EDGE_INTERVAL_ONLY,EDGE_INTERVAL_ONLY,ROTATION_90_DEG_SWAP_AMBIGUOUS,GLOBAL_AND_COMPONENT_AXIS_CONSISTENT,0.862063,AXIS_RESOLVED,COUNTERFACTUAL_BACKGROUND_SENSITIVE,false,true,GT 响应区域评价完成；不表示 GT 正确，也不生成最终框。
WGV35A_PAIR_0213,328,290,PV_GM19_SILVER_MPV_NEAR_FIELD,GM019IG0130;GM019IG0131;GM019IG0132;GM019IG0134;GM019IG0169,5,SAR_MASK_S1_PARTIALLY_CENSORED_CENTER_INSIDE,SAR_MASK_S1_PARTIALLY_CENSORED_CENTER_INSIDE;bottom_near_range_mask;center_semantics_mask_censored_or_unconfirmed;bbox_bottom_within_110px_of_near_range_mask;observed_box_may_be_masked_response_center_not_full_vehicle_center,0,0,GT_REGION_PHYSICALLY_DISTINGUISHABLE,EDGE_MASK_CENSORED,EDGE_INTERVAL_ONLY,EDGE_INTERVAL_ONLY,EDGE_INTERVAL_ONLY,ROTATION_90_DEG_SWAP_AMBIGUOUS,MULTIPLE_AXIS_REPRESENTATIONS_CONFLICT,0.566319,AXIS_COMPONENT_LAYOUT_RESOLVED,BACKGROUND_STABLE,false,false,GT 响应区域评价完成；不表示 GT 正确，也不生成最终框。
