plan_region_id,gt_pair_id,gt_instance_id,physical_vehicle_id,sar_frame,region_role,template_family,template_axis,template_operation,delta_m,rotation_deg,center_shift_range_m,center_shift_azimuth_m,edge_name,scale_axis,mask_class,mask_context,measurement_source,proxy_formula_used,background_mode,sensitivity_background_mode,base_background_estimate,local_ring_background_estimate,background_subtracted_energy,inner_energy_density,outer_band_energy_density,inner_outer_density_ratio,local_ring_background_subtracted_energy,background_sensitivity_status,pixel_count,range_p50_width_m,range_p80_width_m,range_p90_width_m,azimuth_p50_width_m,azimuth_p80_width_m,azimuth_p90_width_m,energy_centroid_range_offset_m,energy_centroid_azimuth_offset_m,raw_component_count,significant_component_count,dominant_component_energy_fraction,dominant_component_area_fraction,top2_component_energy_fraction,largest_component_pixels,largest_component_energy,global_energy_axis_image_deg,global_energy_axis_to_range_signed_deg,global_energy_axis_to_range_acute_deg,global_energy_axis_ratio,global_energy_axis_status,dominant_component_axis_image_deg,dominant_component_axis_to_range_signed_deg,dominant_component_axis_to_range_acute_deg,dominant_component_axis_ratio,dominant_component_axis_status,component_layout_axis_image_deg,component_layout_axis_to_range_signed_deg,component_layout_axis_to_range_acute_deg,component_layout_axis_ratio,component_layout_axis_status,component_layout_strategy,axis_evidence_status,global_axis_to_gt_long_axis_error_deg,dominant_component_axis_to_gt_long_axis_error_deg,component_layout_axis_to_gt_long_axis_error_deg,global_axis_to_gt_aspect_error_deg,dominant_axis_to_gt_aspect_error_deg,layout_axis_to_gt_aspect_error_deg,threshold_component_identity_status,vehicle_projection_envelope_status,required_missing_support_range_m,required_missing_support_azimuth_m,required_extra_spread_range_m,required_extra_spread_azimuth_m
WGV35A_PAIR_0204_S2A_001,WGV35A_PAIR_0204,316,PV_GM19_WHITE_SUV_NEAR_FIELD,27,gt_original,gt_original,gt,original,0,0,0,0,,,SAR_MASK_S1_PARTIALLY_CENSORED_CENTER_INSIDE,SAR_MASK_S1_PARTIALLY_CENSORED_CENTER_INSIDE;no_local_bbox_boundary_hot_band;center_semantics_mask_censored_or_unconfirmed;bbox_bottom_within_110px_of_near_range_mask;observed_box_may_be_masked_response_center_not_full_vehicle_center,REAL_SAR_GRAY_REMEASURED,false,BASE_REGION_FROZEN_BACKGROUND,PERTURBED_LOCAL_RING_BACKGROUND,40,40,110269,8.254286,5.631923,1.465625,110269,BACKGROUND_STABLE,13359,1.113411,2.191834,2.611202,1.00784,2.329071,3.244244,-0.441432,1.014493,462,2,0.846457,0.372109,0.90992,4971,93338,177.634992,-56.913971,56.913971,1.777039,AXIS_RESOLVED,24.760224,-29.788739,29.788739,1.671882,AXIS_RESOLVED,24.760224,-29.788739,29.788739,1.671882,AXIS_RESOLVED,TOP_COMPONENTS_TO_80_PERCENT_ENERGY,MULTIPLE_AXIS_REPRESENTATIONS_CONFLICT,2.365008,24.760224,24.760224,2.364857,24.760375,24.760375,SAME_COMPONENT_PERSISTENT,PARTIAL_SUPPORT_BELOW_ENVELOPE,0.008166,0.670929,0,0
WGV35A_PAIR_0204_S2A_002,WGV35A_PAIR_0204,316,PV_GM19_WHITE_SUV_NEAR_FIELD,27,counterfactual,center_shift,range,shift,-0.15,0,-0.15,0,,,SAR_MASK_S1_PARTIALLY_CENSORED_CENTER_INSIDE,SAR_MASK_S1_PARTIALLY_CENSORED_CENTER_INSIDE;no_local_bbox_boundary_hot_band;center_semantics_mask_censored_or_unconfirmed;bbox_bottom_within_110px_of_near_range_mask;observed_box_may_be_masked_response_center_not_full_vehicle_center,REAL_SAR_GRAY_REMEASURED,false,BASE_REGION_FROZEN_BACKGROUND,PERTURBED_LOCAL_RING_BACKGROUND,40,40,103716,7.763755,5.985769,1.297035,103716,BACKGROUND_STABLE,13359,1.089368,2.140993,2.557621,0.957788,2.279813,3.346108,-0.399759,1.003647,490,2,0.830007,0.350924,0.89748,4688,86085,176.796695,-57.75258,57.75258,1.794304,AXIS_RESOLVED,28.402034,-26.147242,26.147242,1.577223,AXIS_RESOLVED,28.402034,-26.147242,26.147242,1.577223,AXIS_RESOLVED,TOP_COMPONENTS_TO_80_PERCENT_ENERGY,MULTIPLE_AXIS_REPRESENTATIONS_CONFLICT,3.203305,28.402034,28.402034,3.203466,28.401872,28.401872,SAME_COMPONENT_PERSISTENT,PARTIAL_SUPPORT_BELOW_ENVELOPE,0.059007,0.720187,0,0
WGV35A_PAIR_0204_S2A_003,WGV35A_PAIR_0204,316,PV_GM19_WHITE_SUV_NEAR_FIELD,27,counterfactual,center_shift,range,shift,0.15,0,0.15,0,,,SAR_MASK_S1_PARTIALLY_CENSORED_CENTER_INSIDE,SAR_MASK_S1_PARTIALLY_CENSORED_CENTER_INSIDE;no_local_bbox_boundary_hot_band;center_semantics_mask_censored_or_unconfirmed;bbox_bottom_within_110px_of_near_range_mask;observed_box_may_be_masked_response_center_not_full_vehicle_center,REAL_SAR_GRAY_REMEASURED,false,BASE_REGION_FROZEN_BACKGROUND,PERTURBED_LOCAL_RING_BACKGROUND,40,40,115098,8.615765,6.56,1.313379,115098,BACKGROUND_STABLE,13359,1.135118,2.251853,2.695068,1.041267,2.318318,3.1635,-0.493506,1.016354,457,2,0.858321,0.387828,0.919121,5181,98791,178.865308,-55.683654,55.683654,1.751188,AXIS_RESOLVED,23.735762,-30.8132,30.8132,1.746839,AXIS_RESOLVED,23.735762,-30.8132,30.8132,1.746839,AXIS_RESOLVED,TOP_COMPONENTS_TO_80_PERCENT_ENERGY,MULTIPLE_AXIS_REPRESENTATIONS_CONFLICT,1.134692,23.735762,23.735762,1.13454,23.735914,23.735914,SAME_COMPONENT_PERSISTENT,PARTIAL_SUPPORT_BELOW_ENVELOPE,0.048146,0.681682,0,0
WGV35A_PAIR_0204_S2A_004,WGV35A_PAIR_0204,316,PV_GM19_WHITE_SUV_NEAR_FIELD,27,counterfactual,center_shift,azimuth,shift,-0.15,0,0,-0.15,,,SAR_MASK_S1_PARTIALLY_CENSORED_CENTER_INSIDE,SAR_MASK_S1_PARTIALLY_CENSORED_CENTER_INSIDE;no_local_bbox_boundary_hot_band;center_semantics_mask_censored_or_unconfirmed;bbox_bottom_within_110px_of_near_range_mask;observed_box_may_be_masked_response_center_not_full_vehicle_center,REAL_SAR_GRAY_REMEASURED,false,BASE_REGION_FROZEN_BACKGROUND,PERTURBED_LOCAL_RING_BACKGROUND,40,39,102735,7.690321,5.756923,1.335839,110595,BACKGROUND_STABLE,13359,1.091647,2.177053,2.5749,0.945507,2.218361,3.222618,-0.528012,1.102965,488,2,0.83254,0.339621,0.900657,4537,85531,176.726638,-55.982692,55.982692,1.790894,AXIS_RESOLVED,28.377948,-24.331382,24.331382,1.609378,AXIS_RESOLVED,28.377948,-24.331382,24.331382,1.609378,AXIS_RESOLVED,TOP_COMPONENTS_TO_80_PERCENT_ENERGY,MULTIPLE_AXIS_REPRESENTATIONS_CONFLICT,3.273362,28.377948,28.377948,1.433578,30.217732,30.217732,SAME_COMPONENT_PERSISTENT,PARTIAL_SUPPORT_BELOW_ENVELOPE,0.022948,0.781639,0,0
WGV35A_PAIR_0204_S2A_005,WGV35A_PAIR_0204,316,PV_GM19_WHITE_SUV_NEAR_FIELD,27,counterfactual,center_shift,azimuth,shift,0.15,0,0,0.15,,,SAR_MASK_S1_PARTIALLY_CENSORED_CENTER_INSIDE,SAR_MASK_S1_PARTIALLY_CENSORED_CENTER_INSIDE;no_local_bbox_boundary_hot_band;center_semantics_mask_censored_or_unconfirmed;bbox_bottom_within_110px_of_near_range_mask;observed_box_may_be_masked_response_center_not_full_vehicle_center,REAL_SAR_GRAY_REMEASURED,false,BASE_REGION_FROZEN_BACKGROUND,PERTURBED_LOCAL_RING_BACKGROUND,40,40,117033,8.760611,6.455,1.357182,117033,BACKGROUND_STABLE,13359,1.087806,2.196691,2.634455,1.083304,2.448921,3.32099,-0.3616,0.923585,454,2,0.857066,0.398757,0.916861,5327,100305,177.948853,-58.440049,58.440049,1.773974,AXIS_RESOLVED,21.740772,-34.64813,34.64813,1.69539,AXIS_RESOLVED,21.740772,-34.64813,34.64813,1.69539,AXIS_RESOLVED,TOP_COMPONENTS_TO_80_PERCENT_ENERGY,MULTIPLE_AXIS_REPRESENTATIONS_CONFLICT,2.051147,21.740772,21.740772,3.890935,19.900984,19.900984,SAME_COMPONENT_PERSISTENT,PARTIAL_SUPPORT_BELOW_ENVELOPE,0.003309,0.55108,0,0
WGV35A_PAIR_0204_S2A_006,WGV35A_PAIR_0204,316,PV_GM19_WHITE_SUV_NEAR_FIELD,27,counterfactual,center_shift,range,shift,-0.3,0,-0.3,0,,,SAR_MASK_S1_PARTIALLY_CENSORED_CENTER_INSIDE,SAR_MASK_S1_PARTIALLY_CENSORED_CENTER_INSIDE;no_local_bbox_boundary_hot_band;center_semantics_mask_censored_or_unconfirmed;bbox_bottom_within_110px_of_near_range_mask;observed_box_may_be_masked_response_center_not_full_vehicle_center,REAL_SAR_GRAY_REMEASURED,false,BASE_REGION_FROZEN_BACKGROUND,PERTURBED_LOCAL_RING_BACKGROUND,40,40,96208,7.201737,6.298461,1.143412,96208,BACKGROUND_STABLE,13359,1.131396,2.130049,2.607079,0.906371,2.295255,3.444254,-0.359621,0.962814,506,2,0.809444,0.328168,0.882182,4384,77875,177.652635,-56.896653,56.896653,1.824364,AXIS_RESOLVED,34.18496,-20.364328,20.364328,1.576937,AXIS_RESOLVED,34.18496,-20.364328,20.364328,1.576937,AXIS_RESOLVED,TOP_COMPONENTS_TO_80_PERCENT_ENERGY,MULTIPLE_AXIS_REPRESENTATIONS_CONFLICT,2.347365,34.18496,34.18496,2.347539,34.184786,34.184786,SAME_COMPONENT_PERSISTENT,PARTIAL_SUPPORT_BELOW_ENVELOPE,0.069951,0.704745,0,0
WGV35A_PAIR_0204_S2A_007,WGV35A_PAIR_0204,316,PV_GM19_WHITE_SUV_NEAR_FIELD,27,counterfactual,center_shift,range,shift,0.3,0,0.3,0,,,SAR_MASK_S1_PARTIALLY_CENSORED_CENTER_INSIDE,SAR_MASK_S1_PARTIALLY_CENSORED_CENTER_INSIDE;no_local_bbox_boundary_hot_band;center_semantics_mask_censored_or_unconfirmed;bbox_bottom_within_110px_of_near_range_mask;observed_box_may_be_masked_response_center_not_full_vehicle_center,REAL_SAR_GRAY_REMEASURED,false,BASE_REGION_FROZEN_BACKGROUND,PERTURBED_LOCAL_RING_BACKGROUND,40,40,120849,8.997096,7.221456,1.245884,120849,BACKGROUND_STABLE,13432,1.131592,2.31696,2.764669,1.073726,2.290556,3.121272,-0.555977,1.040587,436,2,0.871277,0.406194,0.926983,5456,105293,179.605096,-54.943864,54.943864,1.70587,AXIS_RESOLVED,23.232412,-31.316549,31.316549,1.73664,AXIS_RESOLVED,23.232412,-31.316549,31.316549,1.73664,AXIS_RESOLVED,TOP_COMPONENTS_TO_80_PERCENT_ENERGY,MULTIPLE_AXIS_REPRESENTATIONS_CONFLICT,0.394904,23.232412,23.232412,0.39475,23.232565,23.232565,SAME_COMPONENT_PERSISTENT,PARTIAL_SUPPORT_BELOW_ENVELOPE,0.68304,0.009444,0,0
WGV35A_PAIR_0204_S2A_008,WGV35A_PAIR_0204,316,PV_GM19_WHITE_SUV_NEAR_FIELD,27,counterfactual,center_shift,azimuth,shift,-0.3,0,0,-0.3,,,SAR_MASK_S1_PARTIALLY_CENSORED_CENTER_INSIDE,SAR_MASK_S1_PARTIALLY_CENSORED_CENTER_INSIDE;no_local_bbox_boundary_hot_band;center_semantics_mask_censored_or_unconfirmed;bbox_bottom_within_110px_of_near_range_mask;observed_box_may_be_masked_response_center_not_full_vehicle_center,REAL_SAR_GRAY_REMEASURED,false,BASE_REGION_FROZEN_BACKGROUND,PERTURBED_LOCAL_RING_BACKGROUND,40,39,94295,7.058537,6.187308,1.140809,101791,BACKGROUND_STABLE,13359,1.104062,2.153952,2.554634,0.89582,2.129115,3.2198,-0.617379,1.172367,509,2,0.815388,0.307134,0.889602,4103,76887,176.06114,-54.812343,54.812343,1.818854,AXIS_RESOLVED,32.143174,-18.730309,18.730309,1.585711,AXIS_RESOLVED,32.143174,-18.730309,18.730309,1.585711,AXIS_RESOLVED,TOP_COMPONENTS_TO_80_PERCENT_ENERGY,MULTIPLE_AXIS_REPRESENTATIONS_CONFLICT,3.93886,32.143174,32.143174,0.263229,35.818805,35.818805,SAME_COMPONENT_PERSISTENT,PARTIAL_SUPPORT_BELOW_ENVELOPE,0.846047,0.070885,0,0
WGV35A_PAIR_0204_S2A_009,WGV35A_PAIR_0204,316,PV_GM19_WHITE_SUV_NEAR_FIELD,27,counterfactual,center_shift,azimuth,shift,0.3,0,0,0.3,,,SAR_MASK_S1_PARTIALLY_CENSORED_CENTER_INSIDE,SAR_MASK_S1_PARTIALLY_CENSORED_CENTER_INSIDE;no_local_bbox_boundary_hot_band;center_semantics_mask_censored_or_unconfirmed;bbox_bottom_within_110px_of_near_range_mask;observed_box_may_be_masked_response_center_not_full_vehicle_center,REAL_SAR_GRAY_REMEASURED,false,BASE_REGION_FROZEN_BACKGROUND,PERTURBED_LOCAL_RING_BACKGROUND,40,40,124684,9.207207,7.304598,1.260467,124684,BACKGROUND_STABLE,13542,1.041508,2.215286,2.687467,1.182668,2.561204,3.385363,-0.297036,0.835086,439,2,0.86955,0.429848,0.92554,5821,108419,177.872301,-60.352455,60.352455,1.757557,AXIS_RESOLVED,19.256186,-38.96857,38.96857,1.693661,AXIS_RESOLVED,19.256186,-38.96857,38.96857,1.693661,AXIS_RESOLVED,TOP_COMPONENTS_TO_80_PERCENT_ENERGY,MULTIPLE_AXIS_REPRESENTATIONS_CONFLICT,2.127699,19.256186,19.256186,5.803341,15.580544,15.580544,SAME_COMPONENT_PERSISTENT,PARTIAL_SUPPORT_BELOW_ENVELOPE,0.084714,0.438796,0,0
WGV35A_PAIR_0204_S2A_010,WGV35A_PAIR_0204,316,PV_GM19_WHITE_SUV_NEAR_FIELD,27,counterfactual,center_shift,range,shift,-0.45,0,-0.45,0,,,SAR_MASK_S1_PARTIALLY_CENSORED_CENTER_INSIDE,SAR_MASK_S1_PARTIALLY_CENSORED_CENTER_INSIDE;no_local_bbox_boundary_hot_band;center_semantics_mask_censored_or_unconfirmed;bbox_bottom_within_110px_of_near_range_mask;observed_box_may_be_masked_response_center_not_full_vehicle_center,REAL_SAR_GRAY_REMEASURED,false,BASE_REGION_FROZEN_BACKGROUND,PERTURBED_LOCAL_RING_BACKGROUND,40,40,87342,6.449712,7.059004,0.913686,87342,BACKGROUND_STABLE,13542,1.199821,2.189477,2.794183,0.857885,2.314222,3.342393,-0.342338,0.893401,517,2,0.80313,0.330306,0.883252,4473,70147,0.232219,-54.317082,54.317082,1.872884,AXIS_RESOLVED,40.90739,-13.641911,13.641911,1.595769,AXIS_RESOLVED,40.90739,-13.641911,13.641911,1.595769,AXIS_RESOLVED,TOP_COMPONENTS_TO_80_PERCENT_ENERGY,MULTIPLE_AXIS_REPRESENTATIONS_CONFLICT,0.232219,40.90739,40.90739,0.232032,40.907203,40.907203,SAME_COMPONENT_PERSISTENT,PARTIAL_SUPPORT_BELOW_ENVELOPE,0.010523,0.685778,0,0
