response_unit_id,sar_frame,measurement_region_type,matched_gt_pair_id,matched_gt_instance_id,response_region_bbox,physical_vehicle_id,mask_class,gt_pair_linked_mask_context,frame_only_mask_context,mask_state,actual_fan_pixel_censored,gt_bbox_intersects_invalid_mask,sar_response_touches_mask,sar_response_truncation_direction,multiple_boundary_variant_uncertainty,response_center_radial_px,response_center_azimuth_deg,range_p50_width_px,range_p80_width_px,range_p90_width_px,azimuth_p50_width_px,azimuth_p80_width_px,azimuth_p90_width_px,sar_azimuth_p50_width_deg_approx,sar_azimuth_p80_width_deg_approx,sar_azimuth_p90_width_deg_approx,sar_range_p80_interval_m,sar_cross_range_p80_width_m,absolute_scale_status,scale_blocked_reason
R21B00001,27,core_region,WGV35A_PAIR_0204,316,"1036,1131,1186,1203",PV_GM19_WHITE_SUV_NEAR_FIELD,SAR_MASK_S1_PARTIALLY_CENSORED_CENTER_INSIDE,true,false,SAR_MASK_S1_PARTIALLY_CENSORED_CENTER_INSIDE|pairs=WGV35A_PAIR_0203;WGV35A_PAIR_0204,false,false,false,no_local_bbox_boundary_hot_band,true,169.156614,-14.726323,26.142637,46.683365,58.587127,56.287483,102.462444,122.331605,19.065381,34.705504,41.435475,,,ABSOLUTE_SCALE_UNRESOLVED,"no reliable raw SAR physical coordinate axis, pulse-to-PNG calibration, chirp bandwidth, FFT/grid, or display resize/crop provenance recovered"
R21B00002,27,core_region,WGV35A_PAIR_0204,316,"1096,1209,1144,1233",PV_GM19_WHITE_SUV_NEAR_FIELD,SAR_MASK_S1_PARTIALLY_CENSORED_CENTER_INSIDE,true,false,SAR_MASK_S1_PARTIALLY_CENSORED_CENTER_INSIDE|pairs=WGV35A_PAIR_0203;WGV35A_PAIR_0204,false,false,false,no_local_bbox_boundary_hot_band,false,114.752603,-17.234882,9.352293,15.3478,19.659685,13.800123,30.134393,37.315058,6.890378,15.046051,18.631345,,,ABSOLUTE_SCALE_UNRESOLVED,"no reliable raw SAR physical coordinate axis, pulse-to-PNG calibration, chirp bandwidth, FFT/grid, or display resize/crop provenance recovered"
R21B00003,27,core_region,WGV35A_PAIR_0204,316,"1084,1131,1108,1149",PV_GM19_WHITE_SUV_NEAR_FIELD,SAR_MASK_S1_PARTIALLY_CENSORED_CENTER_INSIDE,true,false,SAR_MASK_S1_PARTIALLY_CENSORED_CENTER_INSIDE|pairs=WGV35A_PAIR_0203;WGV35A_PAIR_0204,false,false,false,no_local_bbox_boundary_hot_band,false,199.229415,-16.925121,4.201187,8.526853,11.022469,6.613481,13.226962,17.137028,1.901951,3.803902,4.928386,,,ABSOLUTE_SCALE_UNRESOLVED,"no reliable raw SAR physical coordinate axis, pulse-to-PNG calibration, chirp bandwidth, FFT/grid, or display resize/crop provenance recovered"
R21B00004,27,core_region,WGV35A_PAIR_0204,316,"1006,1131,1018,1137",PV_GM19_WHITE_SUV_NEAR_FIELD,SAR_MASK_S1_PARTIALLY_CENSORED_CENTER_INSIDE,true,false,SAR_MASK_S1_PARTIALLY_CENSORED_CENTER_INSIDE|pairs=WGV35A_PAIR_0203;WGV35A_PAIR_0204,false,false,false,no_local_bbox_boundary_hot_band,false,242.519195,-35.839781,1.711205,3.377877,4.548918,4.053287,7.206028,8.827343,0.957599,1.702443,2.085482,,,ABSOLUTE_SCALE_UNRESOLVED,"no reliable raw SAR physical coordinate axis, pulse-to-PNG calibration, chirp bandwidth, FFT/grid, or display resize/crop provenance recovered"
R21B00005,27,core_region,WGV35A_PAIR_0204,316,"1030,1221,1042,1233",PV_GM19_WHITE_SUV_NEAR_FIELD,SAR_MASK_S1_PARTIALLY_CENSORED_CENTER_INSIDE,true,false,SAR_MASK_S1_PARTIALLY_CENSORED_CENTER_INSIDE|pairs=WGV35A_PAIR_0203;WGV35A_PAIR_0204,false,false,false,no_local_bbox_boundary_hot_band,false,157.025348,-48.717964,2.914179,5.736653,7.239595,5.644948,8.834242,10.813541,2.059742,3.223459,3.94567,,,ABSOLUTE_SCALE_UNRESOLVED,"no reliable raw SAR physical coordinate axis, pulse-to-PNG calibration, chirp bandwidth, FFT/grid, or display resize/crop provenance recovered"
R21B00006,27,core_region,WGV35A_PAIR_0204,316,"1036,1131,1186,1233",PV_GM19_WHITE_SUV_NEAR_FIELD,SAR_MASK_S1_PARTIALLY_CENSORED_CENTER_INSIDE,true,false,SAR_MASK_S1_PARTIALLY_CENSORED_CENTER_INSIDE|pairs=WGV35A_PAIR_0203;WGV35A_PAIR_0204,false,false,false,no_local_bbox_boundary_hot_band,true,154.696348,-16.138721,33.236725,69.183275,91.174745,53.817689,102.526015,122.441158,19.932768,37.973152,45.349239,,,ABSOLUTE_SCALE_UNRESOLVED,"no reliable raw SAR physical coordinate axis, pulse-to-PNG calibration, chirp bandwidth, FFT/grid, or display resize/crop provenance recovered"
R21B00007,28,core_region,,,"1036,1131,1192,1203",,,false,false,no_mask_audit_row,false,,,,true,168.419001,-13.739206,26.246445,47.768957,58.608589,55.758554,102.081118,122.050362,18.968939,34.727775,41.521269,,,ABSOLUTE_SCALE_UNRESOLVED,"no reliable raw SAR physical coordinate axis, pulse-to-PNG calibration, chirp bandwidth, FFT/grid, or display resize/crop provenance recovered"
R21B00008,28,core_region,,,"1096,1203,1150,1233",,,false,false,no_mask_audit_row,false,,,,false,116.789383,-15.392807,9.403252,17.674552,22.592807,14.532143,31.773436,39.529278,7.129333,15.587751,19.392694,,,ABSOLUTE_SCALE_UNRESOLVED,"no reliable raw SAR physical coordinate axis, pulse-to-PNG calibration, chirp bandwidth, FFT/grid, or display resize/crop provenance recovered"
R21B00009,28,core_region,,,"1084,1131,1114,1149",,,false,false,no_mask_audit_row,false,,,,false,198.376813,-16.096153,4.177908,8.260038,11.161587,7.834585,15.927265,20.324956,2.262808,4.60016,5.870314,,,ABSOLUTE_SCALE_UNRESOLVED,"no reliable raw SAR physical coordinate axis, pulse-to-PNG calibration, chirp bandwidth, FFT/grid, or display resize/crop provenance recovered"
R21B00010,28,core_region,,,"1006,1131,1024,1143",,,false,false,no_mask_audit_row,false,,,,false,238.331618,-35.67741,2.916105,7.769007,10.72707,5.707174,10.685112,13.143032,1.372025,2.568739,3.159632,,,ABSOLUTE_SCALE_UNRESOLVED,"no reliable raw SAR physical coordinate axis, pulse-to-PNG calibration, chirp bandwidth, FFT/grid, or display resize/crop provenance recovered"
