response_unit_id,sar_frame,range_p80_width_m,azimuth_p80_width_m,yaw_proxy_shape_class,vehicle_scale_yaw_feasible,best_yaw_deg,yaw_feasible_interval_deg,best_scale_length_m,best_scale_width_m,scale_yaw_residual_m,min_extra_blur_margin_m,calibration_status,interpretation_boundary_cn
R21B00001,27,1.400501,3.073873,azimuth_dominant,true,90,76-104,3.1,1.4,0.026131,0,PROJECT_CONFIRMED,yaw为静态响应代理量，不是真实车辆朝向；尺度-yaw一致性不是selector或车辆确认。
R21B00002,27,0.460434,0.904032,azimuth_dominant,false,90,,3,1.4,2.296926,0,PROJECT_CONFIRMED,yaw为静态响应代理量，不是真实车辆朝向；尺度-yaw一致性不是selector或车辆确认。
R21B00003,27,0.255806,0.396809,azimuth_dominant,false,90,,3,1.4,2.843551,0,PROJECT_CONFIRMED,yaw为静态响应代理量，不是真实车辆朝向；尺度-yaw一致性不是selector或车辆确认。
R21B00004,27,0.101336,0.216181,azimuth_dominant,false,90,,3,1.4,3.071836,0,PROJECT_CONFIRMED,yaw为静态响应代理量，不是真实车辆朝向；尺度-yaw一致性不是selector或车辆确认。
R21B00005,27,0.1721,0.265027,azimuth_dominant,false,90,,3,1.4,2.997968,0,PROJECT_CONFIRMED,yaw为静态响应代理量，不是真实车辆朝向；尺度-yaw一致性不是selector或车辆确认。
R21B00006,27,2.075498,3.07578,azimuth_dominant,true,87,58-122,3,1.9,0.028758,0,PROJECT_CONFIRMED,yaw为静态响应代理量，不是真实车辆朝向；尺度-yaw一致性不是selector或车辆确认。
R21B00007,28,1.433069,3.062434,azimuth_dominant,true,89,75-105,3,1.4,0.042928,0,PROJECT_CONFIRMED,yaw为静态响应代理量，不是真实车辆朝向；尺度-yaw一致性不是selector或车辆确认。
R21B00008,28,0.530237,0.953203,azimuth_dominant,false,90,,3,1.4,2.22393,0,PROJECT_CONFIRMED,yaw为静态响应代理量，不是真实车辆朝向；尺度-yaw一致性不是selector或车辆确认。
R21B00009,28,0.247801,0.477818,azimuth_dominant,false,90,,3,1.4,2.772898,0,PROJECT_CONFIRMED,yaw为静态响应代理量，不是真实车辆朝向；尺度-yaw一致性不是selector或车辆确认。
R21B00010,28,0.23307,0.320553,azimuth_dominant,false,90,,3,1.4,2.922526,0,PROJECT_CONFIRMED,yaw为静态响应代理量，不是真实车辆朝向；尺度-yaw一致性不是selector或车辆确认。
R21B00011,28,2.352052,3.078457,azimuth_dominant,true,87,46-134,3,2.2,0.032628,0,PROJECT_CONFIRMED,yaw为静态响应代理量，不是真实车辆朝向；尺度-yaw一致性不是selector或车辆确认。
R21B00012,29,1.415699,3.058763,azimuth_dominant,true,90,75-105,3.1,1.4,0.044124,0,PROJECT_CONFIRMED,yaw为静态响应代理量，不是真实车辆朝向；尺度-yaw一致性不是selector或车辆确认。
R21B00013,29,0.61962,0.979187,azimuth_dominant,false,90,,3,1.4,2.16626,0,PROJECT_CONFIRMED,yaw为静态响应代理量，不是真实车辆朝向；尺度-yaw一致性不是selector或车辆确认。
R21B00014,29,0.239434,0.426237,azimuth_dominant,false,90,,3,1.4,2.823326,0,PROJECT_CONFIRMED,yaw为静态响应代理量，不是真实车辆朝向；尺度-yaw一致性不是selector或车辆确认。
R21B00015,29,2.526833,2.958622,near_isotropic,true,90,0-6;35-145;174-179,3,2.5,0.049317,0,PROJECT_CONFIRMED,yaw为静态响应代理量，不是真实车辆朝向；尺度-yaw一致性不是selector或车辆确认。
R21B00016,30,1.39348,3.108293,azimuth_dominant,true,90,76-104,3.1,1.4,0.010549,0,PROJECT_CONFIRMED,yaw为静态响应代理量，不是真实车辆朝向；尺度-yaw一致性不是selector或车辆确认。
R21B00017,30,0.650457,1.044238,azimuth_dominant,false,90,,3,1.4,2.094474,0,PROJECT_CONFIRMED,yaw为静态响应代理量，不是真实车辆朝向；尺度-yaw一致性不是selector或车辆确认。
R21B00018,30,0.261497,0.363602,azimuth_dominant,false,90,,3,1.4,2.871722,0,PROJECT_CONFIRMED,yaw为静态响应代理量，不是真实车辆朝向；尺度-yaw一致性不是selector或车辆确认。
R21B00019,30,0.326851,0.330181,near_isotropic,false,90,,3,1.4,2.877426,0,PROJECT_CONFIRMED,yaw为静态响应代理量，不是真实车辆朝向；尺度-yaw一致性不是selector或车辆确认。
R21B00020,30,0.236037,0.300209,azimuth_dominant,false,90,,3,1.4,2.940014,0,PROJECT_CONFIRMED,yaw为静态响应代理量，不是真实车辆朝向；尺度-yaw一致性不是selector或车辆确认。
R21B00021,30,2.52174,3.020846,near_isotropic,true,90,0-6;36-144;174-179,3,2.5,0.030119,0,PROJECT_CONFIRMED,yaw为静态响应代理量，不是真实车辆朝向；尺度-yaw一致性不是selector或车辆确认。
R21B00022,30,2.466009,3.034369,near_isotropic,true,89,0-4;39-141;176-179,3,2.4,0.015694,0,PROJECT_CONFIRMED,yaw为静态响应代理量，不是真实车辆朝向；尺度-yaw一致性不是selector或车辆确认。
R21B00023,30,0.878044,1.499399,azimuth_dominant,false,90,,3,1.4,1.588786,0,PROJECT_CONFIRMED,yaw为静态响应代理量，不是真实车辆朝向；尺度-yaw一致性不是selector或车辆确认。
R21B00024,31,2.528907,3.027869,near_isotropic,true,89,0-6;35-145;174-179,3,2.5,0.027685,0,PROJECT_CONFIRMED,yaw为静态响应代理量，不是真实车辆朝向；尺度-yaw一致性不是selector或车辆确认。
R21B00025,31,0.244515,0.323863,azimuth_dominant,false,90,,3,1.4,2.914936,0,PROJECT_CONFIRMED,yaw为静态响应代理量，不是真实车辆朝向；尺度-yaw一致性不是selector或车辆确认。
R21B00026,31,0.231186,0.343316,azimuth_dominant,false,90,,3,1.4,2.90243,0,PROJECT_CONFIRMED,yaw为静态响应代理量，不是真实车辆朝向；尺度-yaw一致性不是selector或车辆确认。
R21B00027,31,0.316379,0.386021,near_isotropic,false,90,,3,1.4,2.829686,0,PROJECT_CONFIRMED,yaw为静态响应代理量，不是真实车辆朝向；尺度-yaw一致性不是selector或车辆确认。
R21B00028,31,2.528907,3.027869,near_isotropic,true,89,0-6;35-145;174-179,3,2.5,0.027685,0,PROJECT_CONFIRMED,yaw为静态响应代理量，不是真实车辆朝向；尺度-yaw一致性不是selector或车辆确认。
R21B00029,31,2.528907,3.027869,near_isotropic,true,89,0-6;35-145;174-179,3,2.5,0.027685,0,PROJECT_CONFIRMED,yaw为静态响应代理量，不是真实车辆朝向；尺度-yaw一致性不是selector或车辆确认。
R21B00030,31,2.528907,3.027869,near_isotropic,true,89,0-6;35-145;174-179,3,2.5,0.027685,0,PROJECT_CONFIRMED,yaw为静态响应代理量，不是真实车辆朝向；尺度-yaw一致性不是selector或车辆确认。
R21B00031,31,2.146174,1.842266,near_isotropic,false,0,,3,1.8,0.854872,0,PROJECT_CONFIRMED,yaw为静态响应代理量，不是真实车辆朝向；尺度-yaw一致性不是selector或车辆确认。
R21B00032,32,2.599717,1.70056,range_dominant,true,0,0-13;167-179,3,1.7,0.400283,0,PROJECT_CONFIRMED,yaw为静态响应代理量，不是真实车辆朝向；尺度-yaw一致性不是selector或车辆确认。
R21B00033,32,0.631191,0.48491,range_dominant,false,0,,3,1.4,2.539419,0,PROJECT_CONFIRMED,yaw为静态响应代理量，不是真实车辆朝向；尺度-yaw一致性不是selector或车辆确认。
R21B00034,32,0.245003,0.365368,azimuth_dominant,false,90,,3,1.4,2.876682,0,PROJECT_CONFIRMED,yaw为静态响应代理量，不是真实车辆朝向；尺度-yaw一致性不是selector或车辆确认。
R21B00035,32,0.213568,0.299141,azimuth_dominant,false,90,,3,1.4,2.949959,0,PROJECT_CONFIRMED,yaw为静态响应代理量，不是真实车辆朝向；尺度-yaw一致性不是selector或车辆确认。
