response_unit_id,sar_frame,threshold_setting,threshold_value,component_count,largest_component_pixels,core_component_persistent,principal_axis_angle_to_range_deg,range_p80_width_m,azimuth_p80_width_m,scale_yaw_feasible,threshold_stability_count,principal_axis_angle_std_deg,range_p80_width_std_m,azimuth_p80_width_std_m,scale_yaw_feasible_fraction
R21B00001,27,positive_weight_q50,15,217,3439,true,66.164384,1.292424,2.971755,true,3,2.386578,0.040447,0.315868,0.666667
R21B00001,27,positive_weight_q70,23,208,691,true,63.083321,1.220632,2.766809,true,3,2.386578,0.040447,0.315868,0.666667
R21B00001,27,positive_weight_q85,31,232,146,true,60.321391,1.197399,2.223159,false,3,2.386578,0.040447,0.315868,0.666667
R21B00002,27,positive_weight_q50,14,35,459,true,69.482307,0.428748,0.830935,false,3,2.611343,0.044981,0.153932,0
R21B00002,27,positive_weight_q70,23,28,187,true,68.360943,0.390266,0.661005,false,3,2.611343,0.044981,0.153932,0
R21B00002,27,positive_weight_q85,36,11,107,true,63.46792,0.320097,0.454473,false,3,2.611343,0.044981,0.153932,0
R21B00003,27,positive_weight_q50,14,8,142,true,55.433422,0.220871,0.350641,false,3,0.42291,0.039709,0.04648,0
R21B00003,27,positive_weight_q70,24,10,78,true,55.454647,0.19217,0.278272,false,3,0.42291,0.039709,0.04648,0
R21B00003,27,positive_weight_q85,34.75,8,26,true,54.547096,0.126036,0.238338,false,3,0.42291,0.039709,0.04648,0
R21B00004,27,positive_weight_q50,19,1,31,true,27.314259,0.070262,0.205369,false,3,2.648162,0.017758,0.012722,0
R21B00004,27,positive_weight_q70,30,1,19,true,26.334249,0.052697,0.191861,false,3,2.648162,0.017758,0.012722,0
R21B00004,27,positive_weight_q85,37,3,6,true,21.271136,0.027016,0.174295,false,3,2.648162,0.017758,0.012722,0
R21B00005,27,positive_weight_q50,16,4,62,true,7.403194,0.141302,0.239732,false,3,4.113271,0.032853,0.017052,0
R21B00005,27,positive_weight_q70,22,4,21,true,7.253305,0.132514,0.231479,false,3,4.113271,0.032853,0.017052,0
R21B00005,27,positive_weight_q85,32.1,2,10,true,16.052849,0.067632,0.200146,false,3,4.113271,0.032853,0.017052,0
R21B00006,27,positive_weight_q50,14,315,3902,true,59.380076,1.820676,2.974976,true,3,4.83756,0.03117,0.328713,0.666667
