scene,object_hypothesis_id,window_id,object_frame_start,object_frame_end,primary_optical_frame_count,secondary_hint_frame_count,alignment_mode,sar_window_start,sar_window_end,sar_window_center,sar_window_size,alignment_confidence,uncertainty_policy,review_required,object_readiness_gate,do_not_enter_sar_band,reason
GM_RM019,oty1t_obj_GM_RM019_bytetrack_bt_0098,oty1t_obj_GM_RM019_bytetrack_bt_0098_w001,145,182,25,9,frame_ratio_hypothesis,283,391,337,109,low,expanded_window,true,use_with_uncertainty_expansion,true,temporal_window_candidate_only;do_not_enter_sar_band=true;no_sar_image_content_or_gt_used
GM_RM017,oty1t_obj_GM_RM017_bytetrack_bt_0001,oty1t_obj_GM_RM017_bytetrack_bt_0001_w001,118,164,47,0,frame_ratio_hypothesis,242,348,295,107,medium,narrow_window,false,use_as_primary_alignment_track,true,temporal_window_candidate_only;do_not_enter_sar_band=true;no_sar_image_content_or_gt_used
GM_RM017,oty1t_obj_GM_RM017_bytetrack_bt_0002,oty1t_obj_GM_RM017_bytetrack_bt_0002_w001,121,129,9,0,frame_ratio_hypothesis,246,275,260,30,low,standard_window,false,use_as_primary_alignment_track,true,temporal_window_candidate_only;do_not_enter_sar_band=true;no_sar_image_content_or_gt_used
GM_RM017,oty1t_obj_GM_RM017_bytetrack_bt_0008,oty1t_obj_GM_RM017_bytetrack_bt_0008_w001,145,200,38,5,frame_ratio_hypothesis,288,440,364,153,low,review_only_window,true,low_confidence_window_only,true,temporal_window_candidate_only;do_not_enter_sar_band=true;no_sar_image_content_or_gt_used
GM_RM017,oty1t_obj_GM_RM017_bytetrack_bt_0010,oty1t_obj_GM_RM017_bytetrack_bt_0010_w001,143,214,47,8,frame_ratio_hypothesis,281,465,373,185,low,expanded_window,true,use_with_uncertainty_expansion,true,temporal_window_candidate_only;do_not_enter_sar_band=true;no_sar_image_content_or_gt_used
GM_RM017,oty1t_obj_GM_RM017_bytetrack_bt_0012,oty1t_obj_GM_RM017_bytetrack_bt_0012_w001,149,210,49,4,frame_ratio_hypothesis,294,448,371,155,low,expanded_window,true,use_with_uncertainty_expansion,true,temporal_window_candidate_only;do_not_enter_sar_band=true;no_sar_image_content_or_gt_used
GM_RM017,oty1t_obj_GM_RM017_bytetrack_bt_0014,oty1t_obj_GM_RM017_bytetrack_bt_0014_w001,152,213,6,2,frame_ratio_hypothesis,298,459,378,162,low,expanded_window,true,use_with_uncertainty_expansion,true,temporal_window_candidate_only;do_not_enter_sar_band=true;no_sar_image_content_or_gt_used
GM_RM019,oty1t_obj_GM_RM019_bytetrack_bt_0001,oty1t_obj_GM_RM019_bytetrack_bt_0001_w001,0,11,12,1,frame_ratio_hypothesis,1,37,19,37,low,review_only_window,true,low_confidence_window_only,true,temporal_window_candidate_only;do_not_enter_sar_band=true;no_sar_image_content_or_gt_used
GM_RM019,oty1t_obj_GM_RM019_bytetrack_bt_0002,oty1t_obj_GM_RM019_bytetrack_bt_0002_w001,0,12,3,1,frame_ratio_hypothesis,4,48,26,45,low,review_only_window,true,low_confidence_window_only,true,temporal_window_candidate_only;do_not_enter_sar_band=true;no_sar_image_content_or_gt_used
GM_RM019,oty1t_obj_GM_RM019_bytetrack_bt_0005,oty1t_obj_GM_RM019_bytetrack_bt_0005_w001,5,41,37,7,frame_ratio_hypothesis,3,95,49,93,low,expanded_window,true,use_with_uncertainty_expansion,true,temporal_window_candidate_only;do_not_enter_sar_band=true;no_sar_image_content_or_gt_used
