scene,object_hypothesis_id,sar_start_frame,sar_end_frame,temporal_window_status,spatial_prior_status,spatial_prior_mode,azimuth_prior_available,azimuth_prior_source,azimuth_center_or_interval,azimuth_margin_reason,range_prior_available,range_prior_source,range_prior_mode,range_margin_reason,geometry_confidence_status,uses_primary_observations,uses_secondary_observations,edge_or_partial_state,duplicate_or_handoff_state,ambiguity_status,normal_downstream_input,review_only_context,blocked,blockers,degradation_reason,notes
GM_RM011,,,,not_ready_for_sar_temporal_window,blocked_missing_object_level_flow,blocked_no_object_level_spatial_prior,false,time_metadata_available_but_no_object_flow,,not_applicable_no_object_flow,false,time_metadata_available_but_no_object_flow,not_generated_no_object_flow,not_applicable_no_object_flow,blocked_missing_object_level_flow,false,false,false,false,not_applicable_no_object_flow,false,false,true,missing_oty0;missing_oty1;missing_oty1a;missing_oty1t;missing_p4g_object_hypotheses;missing_p4g_object_frame_states,temporal_metadata_available_but_object_flow_missing,GM_RM011_keeps_24_50_software_sync_metadata_but_has_no_target_level_input
GM_RM017,oty1t_obj_GM_RM017_bytetrack_bt_0001,242,347,ready_primary_sar_temporal_window,normal_spatial_prior_generated,azimuth_interval_with_broad_unknown_range,true,configured_legacy_optical_x_to_azimuth_mapping_primary_bbox_envelope,"center_deg=-12.104;interval_deg=[-45.404,34.577];optical_x_envelope_px=[0.1,799.7];margin_deg=5.00",uncertainty_margin_deg=5.00;edge_or_partial_expansion,false,range_geometry_not_available_in_current_oty2_inputs,broad_unknown_range_prior,no_runtime_safe_per_object_range_prior;uncertainty_requires_broad_range,weak_azimuth_only_expanded_geometry,true,false,true,false,not_ambiguous,true,false,false,,range_prior_degraded_to_broad_unknown,range_geometry_not_available_in_current_oty2_inputs;azimuth_prior_is_weak_configured_geometry_not_final_location
GM_RM017,oty1t_obj_GM_RM017_bytetrack_bt_0002,249,274,ready_primary_sar_temporal_window,normal_spatial_prior_generated,azimuth_interval_with_broad_unknown_range,true,configured_legacy_optical_x_to_azimuth_mapping_primary_bbox_envelope,"center_deg=5.275;interval_deg=[-23.617,31.593];optical_x_envelope_px=[214.8,799.9];margin_deg=2.00",stable_margin_deg=2.00,false,range_geometry_not_available_in_current_oty2_inputs,broad_unknown_range_prior,no_runtime_safe_per_object_range_prior,weak_azimuth_only_primary_geometry,true,false,false,false,not_ambiguous,true,false,false,,range_prior_degraded_to_broad_unknown,range_geometry_not_available_in_current_oty2_inputs;azimuth_prior_is_weak_configured_geometry_not_final_location
GM_RM017,oty1t_obj_GM_RM017_bytetrack_bt_0010,293,452,ready_uncertainty_expanded_sar_temporal_window,loose_spatial_prior_generated,expanded_azimuth_interval_with_broad_unknown_range,true,configured_legacy_optical_x_to_azimuth_mapping_primary_secondary_bbox_envelope,"center_deg=-7.958;interval_deg=[-45.411,34.588];optical_x_envelope_px=[0.0,799.9];margin_deg=5.00",uncertainty_margin_deg=5.00;edge_or_partial_expansion;duplicate_or_handoff_expansion;secondary_observation_expansion,false,range_geometry_not_available_in_current_oty2_inputs,broad_unknown_range_prior,no_runtime_safe_per_object_range_prior;uncertainty_requires_broad_range,weak_azimuth_only_expanded_geometry,true,true,true,true,ambiguous_or_review_required,true,false,false,,range_prior_degraded_to_broad_unknown,range_geometry_not_available_in_current_oty2_inputs;normal_downstream_input_with_expanded_uncertainty;azimuth_prior_is_weak_configured_geometry_not_final_location
GM_RM017,oty1t_obj_GM_RM017_bytetrack_bt_0012,306,444,ready_uncertainty_expanded_sar_temporal_window,loose_spatial_prior_generated,expanded_azimuth_interval_with_broad_unknown_range,true,configured_legacy_optical_x_to_azimuth_mapping_primary_secondary_bbox_envelope,"center_deg=-7.183;interval_deg=[-45.414,34.599];optical_x_envelope_px=[0.0,800.0];margin_deg=5.00",uncertainty_margin_deg=5.00;edge_or_partial_expansion;duplicate_or_handoff_expansion;secondary_observation_expansion,false,range_geometry_not_available_in_current_oty2_inputs,broad_unknown_range_prior,no_runtime_safe_per_object_range_prior;uncertainty_requires_broad_range,weak_azimuth_only_expanded_geometry,true,true,true,true,ambiguous_or_review_required,true,false,false,,range_prior_degraded_to_broad_unknown,range_geometry_not_available_in_current_oty2_inputs;normal_downstream_input_with_expanded_uncertainty;azimuth_prior_is_weak_configured_geometry_not_final_location
GM_RM017,oty1t_obj_GM_RM017_bytetrack_bt_0014,312,450,ready_uncertainty_expanded_sar_temporal_window,loose_spatial_prior_generated,expanded_azimuth_interval_with_broad_unknown_range,true,configured_legacy_optical_x_to_azimuth_mapping_primary_secondary_bbox_envelope,"center_deg=27.680;interval_deg=[17.828,34.573];optical_x_envelope_px=[722.6,799.7];margin_deg=5.00",uncertainty_margin_deg=5.00;edge_or_partial_expansion;duplicate_or_handoff_expansion;secondary_observation_expansion,false,range_geometry_not_available_in_current_oty2_inputs,broad_unknown_range_prior,no_runtime_safe_per_object_range_prior;uncertainty_requires_broad_range,weak_azimuth_only_expanded_geometry,true,true,true,true,ambiguous_or_review_required,true,false,false,,range_prior_degraded_to_broad_unknown,range_geometry_not_available_in_current_oty2_inputs;normal_downstream_input_with_expanded_uncertainty;azimuth_prior_is_weak_configured_geometry_not_final_location
GM_RM017,oty1t_obj_GM_RM017_bytetrack_bt_0008,297,424,low_confidence_sar_temporal_window,review_only_spatial_context_generated,review_only_azimuth_context_with_broad_unknown_range,true,configured_legacy_optical_x_to_azimuth_mapping_primary_secondary_bbox_envelope,"center_deg=-7.005;interval_deg=[-48.408,37.581];optical_x_envelope_px=[0.1,799.8];margin_deg=8.00",review_only_margin_deg=8.00;edge_or_partial_expansion;duplicate_or_handoff_expansion;secondary_observation_expansion,false,range_geometry_not_available_in_current_oty2_inputs,broad_unknown_range_prior_review_only,no_runtime_safe_per_object_range_prior;review_only_context,review_only_weak_azimuth_context_range_unknown,true,true,true,true,ambiguous_or_review_required,false,true,false,,range_prior_degraded_to_broad_unknown,range_geometry_not_available_in_current_oty2_inputs;review_only_context_not_mixed_with_normal_spatial_priors;azimuth_prior_is_weak_configured_geometry_not_final_location
GM_RM019,oty1t_obj_GM_RM019_bytetrack_bt_0094,284,303,ready_primary_sar_temporal_window,normal_spatial_prior_generated,azimuth_interval_with_broad_unknown_range,true,configured_legacy_optical_x_to_azimuth_mapping_primary_bbox_envelope,"center_deg=27.635;interval_deg=[22.796,31.586];optical_x_envelope_px=[745.1,799.9];margin_deg=2.00",stable_margin_deg=2.00,false,range_geometry_not_available_in_current_oty2_inputs,broad_unknown_range_prior,no_runtime_safe_per_object_range_prior,weak_azimuth_only_primary_geometry,true,false,false,false,not_ambiguous,true,false,false,,range_prior_degraded_to_broad_unknown,range_geometry_not_available_in_current_oty2_inputs;azimuth_prior_is_weak_configured_geometry_not_final_location
GM_RM019,oty1t_obj_GM_RM019_bytetrack_bt_0124,536,549,ready_primary_sar_temporal_window,normal_spatial_prior_generated,azimuth_interval_with_broad_unknown_range,true,configured_legacy_optical_x_to_azimuth_mapping_primary_bbox_envelope,"center_deg=1.118;interval_deg=[-3.116,5.385];optical_x_envelope_px=[449.0,500.5];margin_deg=2.00",stable_margin_deg=2.00,false,range_geometry_not_available_in_current_oty2_inputs,broad_unknown_range_prior,no_runtime_safe_per_object_range_prior,weak_azimuth_only_primary_geometry,true,false,false,false,not_ambiguous,true,false,false,,range_prior_degraded_to_broad_unknown,range_geometry_not_available_in_current_oty2_inputs;azimuth_prior_is_weak_configured_geometry_not_final_location
GM_RM019,oty1t_obj_GM_RM019_bytetrack_bt_0005,6,92,ready_uncertainty_expanded_sar_temporal_window,loose_spatial_prior_generated,expanded_azimuth_interval_with_broad_unknown_range,true,configured_legacy_optical_x_to_azimuth_mapping_primary_secondary_bbox_envelope,"center_deg=-0.256;interval_deg=[-45.398,34.599];optical_x_envelope_px=[0.2,800.0];margin_deg=5.00",uncertainty_margin_deg=5.00;edge_or_partial_expansion;duplicate_or_handoff_expansion;secondary_observation_expansion,false,range_geometry_not_available_in_current_oty2_inputs,broad_unknown_range_prior,no_runtime_safe_per_object_range_prior;uncertainty_requires_broad_range,weak_azimuth_only_expanded_geometry,true,true,true,true,ambiguous_or_review_required,true,false,false,,range_prior_degraded_to_broad_unknown,range_geometry_not_available_in_current_oty2_inputs;normal_downstream_input_with_expanded_uncertainty;azimuth_prior_is_weak_configured_geometry_not_final_location
