evidence_id,scene,vehicle_ids,frame_domain,frame_range,evidence_type,description,path,source_review_path,sha256,size_bytes
gm17_pv002_optical_145_185_contact_p01,GM_RM017,GM_RM017:PV002,optical,145-185,optical_lifecycle_contact,Raw local crop and GT-aligned observation aid; manual neutral labels only; no extraction or classifier.,reports/oty2/samples/oty2_rsa2_o0_review_pack_20260718/gm17_pv002_optical_145_185_contact_p01.png,D:\profile\research\workspace\output\oty2_rsa2_o0_open_book_review_20260718\contacts\gm17_pv002_optical_145_185_contact_p01.png,11075EC9B0E6576AD970C43E8B4932B44FE07088D460BD67A95FD342445FA4A0,721067
gm17_pv002_optical_145_185_contact_p02,GM_RM017,GM_RM017:PV002,optical,145-185,optical_lifecycle_contact,Raw local crop and GT-aligned observation aid; manual neutral labels only; no extraction or classifier.,reports/oty2/samples/oty2_rsa2_o0_review_pack_20260718/gm17_pv002_optical_145_185_contact_p02.png,D:\profile\research\workspace\output\oty2_rsa2_o0_open_book_review_20260718\contacts\gm17_pv002_optical_145_185_contact_p02.png,766F19B0AF737932E98C3E4E5287F4DF19FCBDC8F5F66FF693A6F616EB34A6F6,216686
gm17_pv002_sar_302_386_contact_p01,GM_RM017,GM_RM017:PV002,sar,302-386,vehicle_timeline_contact,Raw local crop and GT-aligned observation aid; manual neutral labels only; no extraction or classifier.,reports/oty2/samples/oty2_rsa2_o0_review_pack_20260718/gm17_pv002_sar_302_386_contact_p01.png,D:\profile\research\workspace\output\oty2_rsa2_o0_open_book_review_20260718\contacts\gm17_pv002_sar_302_386_contact_p01.png,1F41627D653C4C9908A377CEDB1D059585E85D6E3B7282E32161B5340DD89BF1,807577
gm17_pv002_sar_302_386_contact_p02,GM_RM017,GM_RM017:PV002,sar,302-386,vehicle_timeline_contact,Raw local crop and GT-aligned observation aid; manual neutral labels only; no extraction or classifier.,reports/oty2/samples/oty2_rsa2_o0_review_pack_20260718/gm17_pv002_sar_302_386_contact_p02.png,D:\profile\research\workspace\output\oty2_rsa2_o0_open_book_review_20260718\contacts\gm17_pv002_sar_302_386_contact_p02.png,3DCDF8F9AD139865A4ED9CB25769401CB696689CA55189925D48EFD059896E85,867191
gm17_pv002_sar_302_386_contact_p03,GM_RM017,GM_RM017:PV002,sar,302-386,vehicle_timeline_contact,Raw local crop and GT-aligned observation aid; manual neutral labels only; no extraction or classifier.,reports/oty2/samples/oty2_rsa2_o0_review_pack_20260718/gm17_pv002_sar_302_386_contact_p03.png,D:\profile\research\workspace\output\oty2_rsa2_o0_open_book_review_20260718\contacts\gm17_pv002_sar_302_386_contact_p03.png,D44DAF542643BF47EEA204AD29AE545997A36759197D50DA1C5E68F0FFCD492F,565261
gm17_pv002_vehicle_coordinate_and_parts,GM_RM017,GM_RM017:PV002,sar,330;339;344;350,vehicle_coordinate_manual_review,Raw local crop and GT-aligned observation aid; manual neutral labels only; no extraction or classifier.,reports/oty2/samples/oty2_rsa2_o0_review_pack_20260718/gm17_pv002_vehicle_coordinate_and_parts.png,D:/profile/research/workspace/output/oty2_rsa2_o0_open_book_review_20260718/frame_panels,4F1DED7A5CC2D7FE6E43EB56C3C44F5F1636ACA3359D8BA3E1B7598435F09D1C,449881
gm17_pv003_optical_151_200_contact_p01,GM_RM017,GM_RM017:PV003,optical,151-200,optical_lifecycle_contact,Raw local crop and GT-aligned observation aid; manual neutral labels only; no extraction or classifier.,reports/oty2/samples/oty2_rsa2_o0_review_pack_20260718/gm17_pv003_optical_151_200_contact_p01.png,D:\profile\research\workspace\output\oty2_rsa2_o0_open_book_review_20260718\contacts\gm17_pv003_optical_151_200_contact_p01.png,639DE1F9B978AD2FD2717405AE0C91F7D10FC751AD0DD68651F32CA348B985D0,732220
gm17_pv003_optical_151_200_contact_p02,GM_RM017,GM_RM017:PV003,optical,151-200,optical_lifecycle_contact,Raw local crop and GT-aligned observation aid; manual neutral labels only; no extraction or classifier.,reports/oty2/samples/oty2_rsa2_o0_review_pack_20260718/gm17_pv003_optical_151_200_contact_p02.png,D:\profile\research\workspace\output\oty2_rsa2_o0_open_book_review_20260718\contacts\gm17_pv003_optical_151_200_contact_p02.png,1FD48FFCF782B06F3B94E9B9C3D3C9D6E5A3C9DBD43898D8A5F8E1CC6EC62D57,397027
gm17_pv003_sar_314_417_contact_p01,GM_RM017,GM_RM017:PV003,sar,314-417,vehicle_timeline_contact,Raw local crop and GT-aligned observation aid; manual neutral labels only; no extraction or classifier.,reports/oty2/samples/oty2_rsa2_o0_review_pack_20260718/gm17_pv003_sar_314_417_contact_p01.png,D:\profile\research\workspace\output\oty2_rsa2_o0_open_book_review_20260718\contacts\gm17_pv003_sar_314_417_contact_p01.png,8DD46F0552FC9AAE162DF04F5B63739055467631B493F13701A8AE9A683F48F3,872040
gm17_pv003_sar_314_417_contact_p02,GM_RM017,GM_RM017:PV003,sar,314-417,vehicle_timeline_contact,Raw local crop and GT-aligned observation aid; manual neutral labels only; no extraction or classifier.,reports/oty2/samples/oty2_rsa2_o0_review_pack_20260718/gm17_pv003_sar_314_417_contact_p02.png,D:\profile\research\workspace\output\oty2_rsa2_o0_open_book_review_20260718\contacts\gm17_pv003_sar_314_417_contact_p02.png,6D313A7E2028A9BE0E01B7BEF58ADF4FC7258B63EA4133F3D34C22C977397005,835935
gm17_pv003_sar_314_417_contact_p03,GM_RM017,GM_RM017:PV003,sar,314-417,vehicle_timeline_contact,Raw local crop and GT-aligned observation aid; manual neutral labels only; no extraction or classifier.,reports/oty2/samples/oty2_rsa2_o0_review_pack_20260718/gm17_pv003_sar_314_417_contact_p03.png,D:\profile\research\workspace\output\oty2_rsa2_o0_open_book_review_20260718\contacts\gm17_pv003_sar_314_417_contact_p03.png,652395D44C054B44860FDFFB2A3582C108002A43C36D32721AD31C3CBE032E6E,857926
gm17_pv003_sar_314_417_contact_p04,GM_RM017,GM_RM017:PV003,sar,314-417,vehicle_timeline_contact,Raw local crop and GT-aligned observation aid; manual neutral labels only; no extraction or classifier.,reports/oty2/samples/oty2_rsa2_o0_review_pack_20260718/gm17_pv003_sar_314_417_contact_p04.png,D:\profile\research\workspace\output\oty2_rsa2_o0_open_book_review_20260718\contacts\gm17_pv003_sar_314_417_contact_p04.png,FB21487FA684188C623586D4D4EB6AA61972C4FEFF43A76132B2EFA334835C95,211338
gm17_pv004_optical_162_214_contact_p01,GM_RM017,GM_RM017:PV004,optical,162-214,optical_lifecycle_contact,Raw local crop and GT-aligned observation aid; manual neutral labels only; no extraction or classifier.,reports/oty2/samples/oty2_rsa2_o0_review_pack_20260718/gm17_pv004_optical_162_214_contact_p01.png,D:\profile\research\workspace\output\oty2_rsa2_o0_open_book_review_20260718\contacts\gm17_pv004_optical_162_214_contact_p01.png,C79A3059492B9702514E9D174CC45C21E665E340D1C8BA6908220D00E97AB406,717322
gm17_pv004_optical_162_214_contact_p02,GM_RM017,GM_RM017:PV004,optical,162-214,optical_lifecycle_contact,Raw local crop and GT-aligned observation aid; manual neutral labels only; no extraction or classifier.,reports/oty2/samples/oty2_rsa2_o0_review_pack_20260718/gm17_pv004_optical_162_214_contact_p02.png,D:\profile\research\workspace\output\oty2_rsa2_o0_open_book_review_20260718\contacts\gm17_pv004_optical_162_214_contact_p02.png,6C49C2D80878A1BE14F4870213AC8F3E07D686F696EA620DF0C6B292F19C31C7,432355
gm17_pv004_sar_337_446_contact_p01,GM_RM017,GM_RM017:PV004,sar,337-446,vehicle_timeline_contact,Raw local crop and GT-aligned observation aid; manual neutral labels only; no extraction or classifier.,reports/oty2/samples/oty2_rsa2_o0_review_pack_20260718/gm17_pv004_sar_337_446_contact_p01.png,D:\profile\research\workspace\output\oty2_rsa2_o0_open_book_review_20260718\contacts\gm17_pv004_sar_337_446_contact_p01.png,3AE76429F355E7626F99606915B71CB30BFA685D11C4970B4F3A0AEA31DFA4B6,871581
gm17_pv004_sar_337_446_contact_p02,GM_RM017,GM_RM017:PV004,sar,337-446,vehicle_timeline_contact,Raw local crop and GT-aligned observation aid; manual neutral labels only; no extraction or classifier.,reports/oty2/samples/oty2_rsa2_o0_review_pack_20260718/gm17_pv004_sar_337_446_contact_p02.png,D:\profile\research\workspace\output\oty2_rsa2_o0_open_book_review_20260718\contacts\gm17_pv004_sar_337_446_contact_p02.png,9516731AB2060E4E9705D940082534B6D6955078ED3022DDA483A56777714BFE,819577
