scene,frame_id,secondary_detection_id,primary_detection_id,grouping_diagnosis_label,state_tags,overlap_proxy,center_distance,area_ratio,raw_tracker_role,raw_unmatched_bucket,raw_track_id,raw_track_status,raw_track_span,local_tracker_delta_summary,side_effect_assessment,recommended_component_policy,why
GM_RM011,47,GM_RM011_000047_003,GM_RM011_000047_002,class_instability_duplicate_like,edge_contact;truncation_like;multi_object_competition;duplicate_overlap_detection;class_instability,1.000000,0.215387,0.997430,raw_unmatched,duplicate_or_overlap_rejected,,,,"exact frame duplicate-overlap unmatched 1->0; nearby raw duplicate/ambiguous events reduced",beneficial_duplicate_pressure_reduction,secondary_suppress_for_tracking,"raw row was duplicate-overlap unmatched; keep as suppressed secondary evidence in component context"
GM_RM011,48,GM_RM011_000048_003,GM_RM011_000048_002,class_instability_duplicate_like,edge_contact;truncation_like;multi_object_competition;duplicate_overlap_detection;class_instability,0.998354,0.445615,0.999994,raw_tracked,,bt_0020,tracker_duplicate_overlap_hypothesis,48-51,"exact frame duplicate-track overlap 1->0; nearby normalized track_reactivated appears at frame 52",continuity_context_risk,secondary_keep_for_continuity_context,"raw secondary formed a tracked duplicate-overlap hypothesis and may carry temporal bridge context"
GM_RM011,50,GM_RM011_000050_003,GM_RM011_000050_002,class_instability_duplicate_like,edge_contact;truncation_like;multi_object_competition;duplicate_overlap_detection;class_instability,0.999291,0.616577,0.996773,raw_unmatched,duplicate_or_overlap_rejected,,,,"exact frame duplicate-overlap unmatched 1->0; same cluster has normalized track_reactivated +1 near frame 52",cluster_continuity_risk,secondary_keep_for_continuity_context,"although this row was unmatched, it belongs to the 47-50 component where active-only replay introduced continuity side effects"
GM_RM011,165,GM_RM011_000165_003,GM_RM011_000165_001,likely_duplicate_same_vehicle_observation,edge_contact;truncation_like;partial_visible;partial_to_full_transition;multi_object_competition;duplicate_overlap_detection;shape_instability,0.995564,11.080250,0.680562,raw_unmatched,duplicate_or_overlap_rejected,,,,"exact frame duplicate-overlap unmatched 1->0; nearby lost/reactivated counts unchanged",review_state_risk,secondary_review_required,"state tags include partial/full and shape instability; suppression reduces duplicate pressure but should remain review-safe"
GM_RM011,212,GM_RM011_000212_002,GM_RM011_000212_001,class_instability_duplicate_like,edge_contact;truncation_like;duplicate_overlap_detection;class_instability,0.998656,0.087524,0.998808,raw_unmatched,duplicate_or_overlap_rejected,,,,"exact frame duplicate-overlap unmatched 1->0; 212-214 duplicate-track events disappear; normalized track becomes fragmented",component_continuity_risk,secondary_keep_for_continuity_context,"component is adjacent to tracked duplicate secondaries at 213-214 and should feed fragment context"
GM_RM011,213,GM_RM011_000213_002,GM_RM011_000213_001,class_instability_duplicate_like,edge_contact;truncation_like;duplicate_overlap_detection;class_instability,0.998583,0.290008,0.999355,raw_tracked,,bt_0046,tracker_duplicate_overlap_hypothesis,213-245,"exact frame duplicate-track overlap 1->0; raw long duplicate track collapses into normalized fragmented hypothesis",continuity_context_risk,secondary_keep_for_continuity_context,"raw secondary carried a long duplicate-overlap track span and should not be discarded from fragment relation evidence"
GM_RM011,214,GM_RM011_000214_002,GM_RM011_000214_001,class_instability_duplicate_like,edge_contact;truncation_like;duplicate_overlap_detection;class_instability,0.998928,0.144238,0.998413,raw_tracked,,bt_0045,tracker_duplicate_overlap_hypothesis,211-214,"exact frame duplicate-track overlap 1->0; normalized component remains fragmented",continuity_context_risk,secondary_keep_for_continuity_context,"raw secondary was tracked in the same duplicate component and should remain temporal context"
GM_RM011,289,GM_RM011_000289_003,GM_RM011_000289_002,class_instability_duplicate_like,edge_contact;truncation_like;multi_object_competition;duplicate_overlap_detection;class_instability,0.996954,0.528254,0.996858,raw_unmatched,duplicate_or_overlap_rejected,,,,"exact frame duplicate-overlap unmatched 1->0; nearby event counts unchanged",beneficial_duplicate_pressure_reduction,secondary_suppress_for_tracking,"raw row was duplicate-overlap unmatched and did not create a visible local continuity side effect"
GM_RM011,290,GM_RM011_000290_003,GM_RM011_000290_002,class_instability_duplicate_like,edge_contact;truncation_like;multi_object_competition;duplicate_overlap_detection;class_instability,1.000000,1.721563,0.985914,raw_unmatched,duplicate_or_overlap_rejected,,,,"exact frame duplicate-overlap unmatched 1->0; nearby event counts unchanged",beneficial_duplicate_pressure_reduction,secondary_suppress_for_tracking,"raw row was duplicate-overlap unmatched and did not create a visible local continuity side effect"
GM_RM019,1,GM_RM019_000001_003,GM_RM019_000001_001,likely_duplicate_same_vehicle_observation,partial_visible;partial_to_full_transition;multi_object_competition;duplicate_overlap_detection;shape_instability,0.960644,39.434094,0.718078,raw_unmatched,duplicate_or_overlap_rejected,,,,"duplicate-overlap unmatched pressure reduced; overall short tracks still increase 9->10",review_state_risk,secondary_review_required,"partial/full and shape tags make this unsafe as blind inactive-only suppression"
GM_RM019,2,GM_RM019_000002_002,GM_RM019_000002_001,likely_duplicate_same_vehicle_observation,partial_visible;partial_to_full_transition;duplicate_overlap_detection;shape_instability,0.892437,59.649580,0.665703,raw_tracked,,bt_0002,tracker_duplicate_overlap_hypothesis,0-2,"duplicate-overlap hypothesis count 8->7 but short tracks 9->10",continuity_context_risk,secondary_keep_for_continuity_context,"raw secondary was a tracked duplicate-overlap hypothesis and should remain fragment context"
GM_RM019,4,GM_RM019_000004_003,GM_RM019_000004_002,class_instability_duplicate_like,edge_contact;truncation_like;multi_object_competition;duplicate_overlap_detection;class_instability,0.999611,0.053403,0.998584,raw_unmatched,neighbor_ambiguous_unmatched,,,,"class-instability duplicate event reduced but raw bucket was neighbor ambiguous",competition_risk,secondary_review_required,"neighbor ambiguity and class conflict require component-level review rather than direct inactive-only policy"
GM_RM019,26,GM_RM019_000026_002,GM_RM019_000026_001,likely_duplicate_same_vehicle_observation,edge_contact;truncation_like;partial_visible;partial_to_full_transition;duplicate_overlap_detection;shape_instability,0.851658,73.296281,0.689223,raw_unmatched,duplicate_or_overlap_rejected,,,,"duplicate-overlap unmatched pressure reduced; no proof of continuity safety",review_state_risk,secondary_review_required,"edge and partial/full tags mean the secondary should be preserved as review-safe fragment context"
