sar_prior_evidence_id,source_report,source_csv,scene,sar_gt_id,sar_frame,optical_frame_if_known,pool_type,evidence_category,atom_part_shell_level,dominant_energy_pattern,vehicle_morphology_supported,temporal_continuity_status,cluster_stability,background_or_nonvehicle_risk,gt_quality_label,support_failure_type,provenance_label,usable_for_wgv15,forbidden_use,notes
WGV15C_SARPRI_0001,reports/oty2/oty2_gt_anchored_vehicle_scale_sar_morphology_and_gt_quality_audit_report_20260703_222135.md,reports/oty2/oty2_gt_anchored_energy_morphology_20260703_222135.csv,GM_RM011,multiple_gt_id_n194,0-510,not_available_in_source,gm011_waiting_object_stream,vehicle_like_scatter,gt_anchored_vehicle_scale_morphology,enclosed_shell=54;corner_hotspot=53;discontinuous_edges=52;side_ridge=23;weak_boundary=13,yes=99;uncertain=96,not_evaluated_in_source,not_evaluated_in_source,medium,good=96;review_too_small=34;review_multi_structure=33;review_too_large=19;review_extreme_aspect=13,not_evaluated_in_this_source,SAR_image_observation;SAR_GT_posthoc_evidence,posthoc_mechanism_evidence_only; pre_sar_prioritization_or_protocol_design_only,no SAR-ready annotations; no final box creation; no GT box creation; no revised annotation; no selector/ranking output; no runtime prediction artifact; no SAR identity confirmation from inherited or optical evidence,195 GT-anchored morphology rows; confounder_rows=52; source is posthoc mechanism evidence only.
WGV15C_SARPRI_0002,reports/oty2/oty2_gt_anchored_vehicle_scale_sar_morphology_and_gt_quality_audit_report_20260703_222135.md,reports/oty2/oty2_gt_anchored_energy_morphology_20260703_222135.csv,GM_RM011,multiple_gt_id_n6,269-278,not_available_in_source,sar_only,vehicle_like_scatter,gt_anchored_vehicle_scale_morphology,side_ridge=6,yes=5;uncertain=1,not_evaluated_in_source,not_evaluated_in_source,low_to_medium,good=4;review_extreme_aspect=1;review_too_small=1,not_evaluated_in_this_source,SAR_image_observation;SAR_GT_posthoc_evidence,posthoc_mechanism_evidence_only; pre_sar_prioritization_or_protocol_design_only,no SAR-ready annotations; no final box creation; no GT box creation; no revised annotation; no selector/ranking output; no runtime prediction artifact; no SAR identity confirmation from inherited or optical evidence,6 GT-anchored morphology rows; confounder_rows=0; source is posthoc mechanism evidence only.
WGV15C_SARPRI_0003,reports/oty2/oty2_gt_anchored_vehicle_scale_sar_morphology_and_gt_quality_audit_report_20260703_222135.md,reports/oty2/oty2_gt_anchored_energy_morphology_20260703_222135.csv,GM_RM017,multiple_gt_id_n6,310-446,not_available_in_source,dropout_special,unknown_or_insufficient_evidence,gt_anchored_vehicle_scale_morphology,corner_hotspot=5;enclosed_shell=1,uncertain=5;yes=1,not_evaluated_in_source,not_evaluated_in_source,medium,review_multi_structure=6,not_evaluated_in_this_source,SAR_image_observation;SAR_GT_posthoc_evidence,posthoc_mechanism_evidence_only; pre_sar_prioritization_or_protocol_design_only,no SAR-ready annotations; no final box creation; no GT box creation; no revised annotation; no selector/ranking output; no runtime prediction artifact; no SAR identity confirmation from inherited or optical evidence,6 GT-anchored morphology rows; confounder_rows=6; source is posthoc mechanism evidence only.
WGV15C_SARPRI_0004,reports/oty2/oty2_gt_anchored_vehicle_scale_sar_morphology_and_gt_quality_audit_report_20260703_222135.md,reports/oty2/oty2_gt_anchored_energy_morphology_20260703_222135.csv,GM_RM017,multiple_gt_id_n199,302-442,not_available_in_source,paired_215,vehicle_like_scatter,gt_anchored_vehicle_scale_morphology,side_ridge=132;corner_hotspot=59;enclosed_shell=7;discontinuous_edges=1,yes=139;uncertain=60,not_evaluated_in_source,not_evaluated_in_source,medium,good=121;review_multi_structure=55;review_low_energy=12;review_extreme_aspect=6;review_too_large=4,not_evaluated_in_this_source,SAR_image_observation;SAR_GT_posthoc_evidence,posthoc_mechanism_evidence_only; pre_sar_prioritization_or_protocol_design_only,no SAR-ready annotations; no final box creation; no GT box creation; no revised annotation; no selector/ranking output; no runtime prediction artifact; no SAR identity confirmation from inherited or optical evidence,199 GT-anchored morphology rows; confounder_rows=71; source is posthoc mechanism evidence only.
WGV15C_SARPRI_0005,reports/oty2/oty2_gt_anchored_vehicle_scale_sar_morphology_and_gt_quality_audit_report_20260703_222135.md,reports/oty2/oty2_gt_anchored_energy_morphology_20260703_222135.csv,GM_RM017,multiple_gt_id_n11,302-438,not_available_in_source,sar_only,unknown_or_insufficient_evidence,gt_anchored_vehicle_scale_morphology,corner_hotspot=5;side_ridge=5;weak_boundary=1,uncertain=6;yes=5,not_evaluated_in_source,not_evaluated_in_source,medium,review_multi_structure=7;review_low_energy=3;review_too_large=1,not_evaluated_in_this_source,SAR_image_observation;SAR_GT_posthoc_evidence,posthoc_mechanism_evidence_only; pre_sar_prioritization_or_protocol_design_only,no SAR-ready annotations; no final box creation; no GT box creation; no revised annotation; no selector/ranking output; no runtime prediction artifact; no SAR identity confirmation from inherited or optical evidence,11 GT-anchored morphology rows; confounder_rows=11; source is posthoc mechanism evidence only.
WGV15C_SARPRI_0006,reports/oty2/oty2_gt_anchored_vehicle_scale_sar_morphology_and_gt_quality_audit_report_20260703_222135.md,reports/oty2/oty2_gt_anchored_energy_morphology_20260703_222135.csv,GM_RM019,multiple_gt_id_n6,8-354,not_available_in_source,dropout_special,unknown_or_insufficient_evidence,gt_anchored_vehicle_scale_morphology,corner_hotspot=5;enclosed_shell=1,uncertain=5;yes=1,not_evaluated_in_source,not_evaluated_in_source,medium,good=4;review_multi_structure=2,not_evaluated_in_this_source,SAR_image_observation;SAR_GT_posthoc_evidence,posthoc_mechanism_evidence_only; pre_sar_prioritization_or_protocol_design_only,no SAR-ready annotations; no final box creation; no GT box creation; no revised annotation; no selector/ranking output; no runtime prediction artifact; no SAR identity confirmation from inherited or optical evidence,6 GT-anchored morphology rows; confounder_rows=2; source is posthoc mechanism evidence only.
WGV15C_SARPRI_0007,reports/oty2/oty2_gt_anchored_vehicle_scale_sar_morphology_and_gt_quality_audit_report_20260703_222135.md,reports/oty2/oty2_gt_anchored_energy_morphology_20260703_222135.csv,GM_RM019,multiple_gt_id_n16,0-317,not_available_in_source,paired_215,vehicle_like_scatter,gt_anchored_vehicle_scale_morphology,side_ridge=6;corner_hotspot=6;enclosed_shell=4,yes=10;uncertain=6,not_evaluated_in_source,not_evaluated_in_source,medium,good=7;review_low_energy=6;review_multi_structure=2;review_extreme_aspect=1,not_evaluated_in_this_source,SAR_image_observation;SAR_GT_posthoc_evidence,posthoc_mechanism_evidence_only; pre_sar_prioritization_or_protocol_design_only,no SAR-ready annotations; no final box creation; no GT box creation; no revised annotation; no selector/ranking output; no runtime prediction artifact; no SAR identity confirmation from inherited or optical evidence,16 GT-anchored morphology rows; confounder_rows=8; source is posthoc mechanism evidence only.
WGV15C_SARPRI_0008,reports/oty2/oty2_gt_anchored_vehicle_scale_sar_morphology_and_gt_quality_audit_report_20260703_222135.md,reports/oty2/oty2_gt_anchored_energy_morphology_20260703_222135.csv,GM_RM019,multiple_gt_id_n3,0-31,not_available_in_source,sar_only,vehicle_like_scatter,gt_anchored_vehicle_scale_morphology,enclosed_shell=2;side_ridge=1,yes=3,not_evaluated_in_source,not_evaluated_in_source,medium,good=2;review_low_energy=1,not_evaluated_in_this_source,SAR_image_observation;SAR_GT_posthoc_evidence,posthoc_mechanism_evidence_only; pre_sar_prioritization_or_protocol_design_only,no SAR-ready annotations; no final box creation; no GT box creation; no revised annotation; no selector/ranking output; no runtime prediction artifact; no SAR identity confirmation from inherited or optical evidence,3 GT-anchored morphology rows; confounder_rows=1; source is posthoc mechanism evidence only.
WGV15C_SARPRI_0009,reports/oty2/oty2_gt_anchored_vehicle_scale_sar_morphology_and_gt_quality_audit_report_20260703_222135.md,reports/oty2/oty2_atom_part_shell_hierarchy_20260703_222135.csv,GM_RM011,not_available_component_rows,0-510,not_available_in_source,component_rows_from_all_sar_gt_reference_pool,background_or_static_reflector_risk,scattering_atom,too_small_atom=1150,component_level_only_not_identity_support,not_evaluated_in_source,not_evaluated_in_source,high_if_misread_as_vehicle,not_available_in_source,not_evaluated_in_this_source,SAR_image_observation;SAR_GT_posthoc_evidence;atom_part_shell_hierarchy,posthoc_mechanism_evidence_only; pre_sar_prioritization_or_protocol_design_only,no SAR-ready annotations; no final box creation; no GT box creation; no revised annotation; no selector/ranking output; no runtime prediction artifact; no SAR identity confirmation from inherited or optical evidence,1150 component rows; atoms and parts are not complete vehicles unless GT-scale composition is present.
WGV15C_SARPRI_0010,reports/oty2/oty2_gt_anchored_vehicle_scale_sar_morphology_and_gt_quality_audit_report_20260703_222135.md,reports/oty2/oty2_atom_part_shell_hierarchy_20260703_222135.csv,GM_RM011,not_available_component_rows,0-510,not_available_in_source,component_rows_from_all_sar_gt_reference_pool,vehicle_like_scatter,vehicle_part,plausible_part=403,component_level_only_not_identity_support,not_evaluated_in_source,not_evaluated_in_source,medium_part_not_whole_vehicle,not_available_in_source,not_evaluated_in_this_source,SAR_image_observation;SAR_GT_posthoc_evidence;atom_part_shell_hierarchy,posthoc_mechanism_evidence_only; pre_sar_prioritization_or_protocol_design_only,no SAR-ready annotations; no final box creation; no GT box creation; no revised annotation; no selector/ranking output; no runtime prediction artifact; no SAR identity confirmation from inherited or optical evidence,403 component rows; atoms and parts are not complete vehicles unless GT-scale composition is present.
