auto_node_id,scene,detection_source,tracker_name,tracker_variant,track_id,tracklet_segment_id,start_frame,end_frame,frame_count,linked_embedding_count,start_bbox,end_bbox,representative_frames,mean_bbox_width,mean_bbox_height,mean_bbox_area,aspect_ratio_mean,aspect_ratio_std,edge_contact_ratio,truncation_like_ratio,same_frame_competitor_count,internal_embedding_stability,aggregate_embedding_available,motion_estimate_available,track_identity_status,track_status,duplicate_track_overlap_count,possible_id_switch_count,missing_gap_count,optical_message_readiness,source_tracklet_index,source_tracker_assignments,source_tracker_tracks
AUTO_GM_RM011_0001,GM_RM011,yolo26l_probe,botsort,raw,bs_0001,GM_RM011__botsort__raw__bs_0001__seg_001,0,15,16,16,"[4.132, 292.04, 493.018, 597.389]","[114.13, 271.378, 735.696, 597.489]",0;7;15,574.988827,330.774789,190302.271980,1.749150,0.189030,0.000000,1.000000,0,0.895173,True,True,tracker_duplicate_overlap_hypothesis,duplicate_overlap_review,7,0,2,blocked,outputs/oty2_wgv3_3a_yolo26l_embedding_source_20260710_000000/oty2/tracklet_embedding_aggregation_probe_20260710_000000_yolo26l/tracklet_embedding_index.csv,outputs/oty2_wgv3_3a_yolo26l_mot_replay_20260710_000000/GM_RM011_yolo26l_probe_botsort_raw/oty1t_tracker_detection_assignments.csv,outputs/oty2_wgv3_3a_yolo26l_mot_replay_20260710_000000/GM_RM011_yolo26l_probe_botsort_raw/oty1t_tracker_tracks.csv
AUTO_GM_RM011_0002,GM_RM011,yolo26l_probe,botsort,raw,bs_0002,GM_RM011__botsort__raw__bs_0002__seg_001,0,4,5,5,"[711.966, 318.575, 799.695, 507.148]","[740.129, 268.48, 799.71, 414.81]",0;2;4,66.449255,157.458502,10650.521357,0.420748,0.033684,0.000000,1.000000,0,0.942496,True,True,tracker_stable_hypothesis,tracker_stable_hypothesis,0,0,0,ready,outputs/oty2_wgv3_3a_yolo26l_embedding_source_20260710_000000/oty2/tracklet_embedding_aggregation_probe_20260710_000000_yolo26l/tracklet_embedding_index.csv,outputs/oty2_wgv3_3a_yolo26l_mot_replay_20260710_000000/GM_RM011_yolo26l_probe_botsort_raw/oty1t_tracker_detection_assignments.csv,outputs/oty2_wgv3_3a_yolo26l_mot_replay_20260710_000000/GM_RM011_yolo26l_probe_botsort_raw/oty1t_tracker_tracks.csv
AUTO_GM_RM011_0003,GM_RM011,yolo26l_probe,botsort,raw,bs_0004,GM_RM011__botsort__raw__bs_0004__seg_001,10,17,8,8,"[190.096, 288.404, 783.405, 596.278]","[261.04, 296.389, 796.392, 596.495]",10;13;17,570.853811,331.512863,189440.471753,1.727114,0.093667,0.000000,1.000000,0,0.904130,True,True,tracker_duplicate_overlap_hypothesis,duplicate_overlap_review,7,0,0,blocked,outputs/oty2_wgv3_3a_yolo26l_embedding_source_20260710_000000/oty2/tracklet_embedding_aggregation_probe_20260710_000000_yolo26l/tracklet_embedding_index.csv,outputs/oty2_wgv3_3a_yolo26l_mot_replay_20260710_000000/GM_RM011_yolo26l_probe_botsort_raw/oty1t_tracker_detection_assignments.csv,outputs/oty2_wgv3_3a_yolo26l_mot_replay_20260710_000000/GM_RM011_yolo26l_probe_botsort_raw/oty1t_tracker_tracks.csv
AUTO_GM_RM011_0004,GM_RM011,yolo26l_probe,botsort,raw,bs_0001,GM_RM011__botsort__raw__bs_0001__seg_002,17,17,1,1,"[186.172, 291.797, 778.748, 596.954]","[186.172, 291.797, 778.748, 596.954]",17,592.575928,305.157501,180828.989391,1.941869,0.000000,0.000000,1.000000,0,1.000000,True,False,tracker_duplicate_overlap_hypothesis,duplicate_overlap_review,7,0,2,blocked,outputs/oty2_wgv3_3a_yolo26l_embedding_source_20260710_000000/oty2/tracklet_embedding_aggregation_probe_20260710_000000_yolo26l/tracklet_embedding_index.csv,outputs/oty2_wgv3_3a_yolo26l_mot_replay_20260710_000000/GM_RM011_yolo26l_probe_botsort_raw/oty1t_tracker_detection_assignments.csv,outputs/oty2_wgv3_3a_yolo26l_mot_replay_20260710_000000/GM_RM011_yolo26l_probe_botsort_raw/oty1t_tracker_tracks.csv
AUTO_GM_RM011_0005,GM_RM011,yolo26l_probe,botsort,raw,bs_0001,GM_RM011__botsort__raw__bs_0001__seg_003,19,35,17,17,"[242.529, 286.35, 798.828, 596.845]","[765.602, 448.184, 799.868, 595.858]",19;27;35,307.530310,251.555810,89860.361291,1.149675,0.424799,0.000000,1.000000,0,0.801880,True,True,tracker_duplicate_overlap_hypothesis,duplicate_overlap_review,7,0,2,blocked,outputs/oty2_wgv3_3a_yolo26l_embedding_source_20260710_000000/oty2/tracklet_embedding_aggregation_probe_20260710_000000_yolo26l/tracklet_embedding_index.csv,outputs/oty2_wgv3_3a_yolo26l_mot_replay_20260710_000000/GM_RM011_yolo26l_probe_botsort_raw/oty1t_tracker_detection_assignments.csv,outputs/oty2_wgv3_3a_yolo26l_mot_replay_20260710_000000/GM_RM011_yolo26l_probe_botsort_raw/oty1t_tracker_tracks.csv
AUTO_GM_RM011_0006,GM_RM011,yolo26l_probe,botsort,raw,bs_0009,GM_RM011__botsort__raw__bs_0009__seg_001,20,51,32,32,"[0.415, 273.921, 100.373, 589.028]","[343.658, 252.863, 806.186, 597.495]",20;35;51,393.308515,342.157074,135171.223421,1.147093,0.398794,0.000000,1.000000,0,0.850178,True,True,tracker_duplicate_overlap_hypothesis,duplicate_overlap_review,7,0,1,blocked,outputs/oty2_wgv3_3a_yolo26l_embedding_source_20260710_000000/oty2/tracklet_embedding_aggregation_probe_20260710_000000_yolo26l/tracklet_embedding_index.csv,outputs/oty2_wgv3_3a_yolo26l_mot_replay_20260710_000000/GM_RM011_yolo26l_probe_botsort_raw/oty1t_tracker_detection_assignments.csv,outputs/oty2_wgv3_3a_yolo26l_mot_replay_20260710_000000/GM_RM011_yolo26l_probe_botsort_raw/oty1t_tracker_tracks.csv
AUTO_GM_RM011_0007,GM_RM011,yolo26l_probe,botsort,raw,bs_0011,GM_RM011__botsort__raw__bs_0011__seg_001,24,30,7,7,"[1.074, 282.398, 202.435, 595.81]","[1.814, 223.583, 350.098, 595.174]",24;27;30,267.254727,330.014729,89352.797011,0.804238,0.092290,0.000000,1.000000,0,0.975331,True,True,tracker_duplicate_overlap_hypothesis,duplicate_overlap_review,7,0,0,blocked,outputs/oty2_wgv3_3a_yolo26l_embedding_source_20260710_000000/oty2/tracklet_embedding_aggregation_probe_20260710_000000_yolo26l/tracklet_embedding_index.csv,outputs/oty2_wgv3_3a_yolo26l_mot_replay_20260710_000000/GM_RM011_yolo26l_probe_botsort_raw/oty1t_tracker_detection_assignments.csv,outputs/oty2_wgv3_3a_yolo26l_mot_replay_20260710_000000/GM_RM011_yolo26l_probe_botsort_raw/oty1t_tracker_tracks.csv
AUTO_GM_RM011_0008,GM_RM011,yolo26l_probe,botsort,raw,bs_0013,GM_RM011__botsort__raw__bs_0013__seg_001,40,45,6,6,"[0.406, 287.299, 90.235, 545.746]","[0.773, 271.672, 225.656, 600.344]",40;42;45,157.147791,309.742645,49732.039659,0.499253,0.119276,0.000000,1.000000,0,0.938908,True,True,tracker_stable_hypothesis,tracker_stable_hypothesis,0,0,0,ready,outputs/oty2_wgv3_3a_yolo26l_embedding_source_20260710_000000/oty2/tracklet_embedding_aggregation_probe_20260710_000000_yolo26l/tracklet_embedding_index.csv,outputs/oty2_wgv3_3a_yolo26l_mot_replay_20260710_000000/GM_RM011_yolo26l_probe_botsort_raw/oty1t_tracker_detection_assignments.csv,outputs/oty2_wgv3_3a_yolo26l_mot_replay_20260710_000000/GM_RM011_yolo26l_probe_botsort_raw/oty1t_tracker_tracks.csv
AUTO_GM_RM011_0009,GM_RM011,yolo26l_probe,botsort,raw,bs_0015,GM_RM011__botsort__raw__bs_0015__seg_001,53,58,6,6,"[7.546, 241.229, 568.931, 598.123]","[10.678, 217.326, 584.015, 592.565]",53;55;58,569.389633,370.971209,211279.592980,1.535106,0.021322,0.000000,1.000000,0,0.949936,True,True,tracker_stable_hypothesis,tracker_stable_hypothesis,0,0,0,ready,outputs/oty2_wgv3_3a_yolo26l_embedding_source_20260710_000000/oty2/tracklet_embedding_aggregation_probe_20260710_000000_yolo26l/tracklet_embedding_index.csv,outputs/oty2_wgv3_3a_yolo26l_mot_replay_20260710_000000/GM_RM011_yolo26l_probe_botsort_raw/oty1t_tracker_detection_assignments.csv,outputs/oty2_wgv3_3a_yolo26l_mot_replay_20260710_000000/GM_RM011_yolo26l_probe_botsort_raw/oty1t_tracker_tracks.csv
AUTO_GM_RM011_0010,GM_RM011,yolo26l_probe,botsort,raw,bs_0009,GM_RM011__botsort__raw__bs_0009__seg_002,55,55,1,1,"[432.028, 240.637, 806.439, 591.408]","[432.028, 240.637, 806.439, 591.408]",55,374.411133,350.771194,131332.640275,1.067394,0.000000,0.000000,1.000000,0,1.000000,True,False,tracker_duplicate_overlap_hypothesis,duplicate_overlap_review,7,0,1,blocked,outputs/oty2_wgv3_3a_yolo26l_embedding_source_20260710_000000/oty2/tracklet_embedding_aggregation_probe_20260710_000000_yolo26l/tracklet_embedding_index.csv,outputs/oty2_wgv3_3a_yolo26l_mot_replay_20260710_000000/GM_RM011_yolo26l_probe_botsort_raw/oty1t_tracker_detection_assignments.csv,outputs/oty2_wgv3_3a_yolo26l_mot_replay_20260710_000000/GM_RM011_yolo26l_probe_botsort_raw/oty1t_tracker_tracks.csv
