competition_id,scene,competition_type,anchor_auto_node_id,candidate_auto_node_ids,candidate_relation_ids,candidate_count,top_score,second_score,score_margin,competition_status,reason
COMP_0001,GM_RM011,one_source_multiple_successors,AUTO_GM_RM011_0001,AUTO_GM_RM011_0004;AUTO_GM_RM011_0005;AUTO_GM_RM011_0010;AUTO_GM_RM011_0009;AUTO_GM_RM011_0006;AUTO_GM_RM011_0007;AUTO_GM_RM011_0008,REL_GM_RM011_00009;REL_GM_RM011_00010;REL_GM_RM011_00015;REL_GM_RM011_00014;REL_GM_RM011_00011;REL_GM_RM011_00012;REL_GM_RM011_00013,7,0.960187,0.946955,0.013232,ambiguous_competition,fixed pre-WGV1.4 competition preservation rule
COMP_0002,GM_RM011,one_source_multiple_successors,AUTO_GM_RM011_0002,AUTO_GM_RM011_0003;AUTO_GM_RM011_0004;AUTO_GM_RM011_0005,REL_GM_RM011_00001;REL_GM_RM011_00002;REL_GM_RM011_00003,3,0.735354,0.703713,0.031641,ambiguous_competition,fixed pre-WGV1.4 competition preservation rule
COMP_0003,GM_RM011,one_source_multiple_successors,AUTO_GM_RM011_0003,AUTO_GM_RM011_0005;AUTO_GM_RM011_0010;AUTO_GM_RM011_0009;AUTO_GM_RM011_0007;AUTO_GM_RM011_0006;AUTO_GM_RM011_0008,REL_GM_RM011_00017;REL_GM_RM011_00022;REL_GM_RM011_00021;REL_GM_RM011_00019;REL_GM_RM011_00018;REL_GM_RM011_00020,6,0.970129,0.917775,0.052354,ambiguous_competition,fixed pre-WGV1.4 competition preservation rule
COMP_0004,GM_RM011,one_source_multiple_successors,AUTO_GM_RM011_0004,AUTO_GM_RM011_0005;AUTO_GM_RM011_0009;AUTO_GM_RM011_0010;AUTO_GM_RM011_0007;AUTO_GM_RM011_0006;AUTO_GM_RM011_0008,REL_GM_RM011_00024;REL_GM_RM011_00028;REL_GM_RM011_00029;REL_GM_RM011_00026;REL_GM_RM011_00025;REL_GM_RM011_00027,6,0.964939,0.906465,0.058474,ambiguous_competition,fixed pre-WGV1.4 competition preservation rule
COMP_0005,GM_RM011,one_source_multiple_successors,AUTO_GM_RM011_0005,AUTO_GM_RM011_0010;AUTO_GM_RM011_0009,REL_GM_RM011_00033;REL_GM_RM011_00032,2,0.736214,0.660213,0.076001,ambiguous_competition,fixed pre-WGV1.4 competition preservation rule
COMP_0006,GM_RM011,one_source_multiple_successors,AUTO_GM_RM011_0006,AUTO_GM_RM011_0010;AUTO_GM_RM011_0009,REL_GM_RM011_00036;REL_GM_RM011_00035,2,0.948402,0.853947,0.094455,ambiguous_competition,fixed pre-WGV1.4 competition preservation rule
COMP_0007,GM_RM011,one_source_multiple_successors,AUTO_GM_RM011_0007,AUTO_GM_RM011_0009;AUTO_GM_RM011_0010;AUTO_GM_RM011_0008,REL_GM_RM011_00041;REL_GM_RM011_00042;REL_GM_RM011_00040,3,0.862751,0.853541,0.009210,ambiguous_competition,fixed pre-WGV1.4 competition preservation rule
COMP_0008,GM_RM011,one_source_multiple_successors,AUTO_GM_RM011_0008,AUTO_GM_RM011_0009;AUTO_GM_RM011_0010;AUTO_GM_RM011_0011,REL_GM_RM011_00044;REL_GM_RM011_00045;REL_GM_RM011_00046,3,0.859798,0.736887,0.122911,resolved_margin,fixed pre-WGV1.4 competition preservation rule
COMP_0009,GM_RM011,one_source_multiple_successors,AUTO_GM_RM011_0012,AUTO_GM_RM011_0015;AUTO_GM_RM011_0016,REL_GM_RM011_00060;REL_GM_RM011_00061,2,0.854262,0.634995,0.219267,resolved_margin,fixed pre-WGV1.4 competition preservation rule
COMP_0010,GM_RM011,one_source_multiple_successors,AUTO_GM_RM011_0013,AUTO_GM_RM011_0014;AUTO_GM_RM011_0015,REL_GM_RM011_00063;REL_GM_RM011_00064,2,0.755977,0.564782,0.191195,resolved_margin,fixed pre-WGV1.4 competition preservation rule
COMP_0011,GM_RM011,one_source_multiple_successors,AUTO_GM_RM011_0014,AUTO_GM_RM011_0015;AUTO_GM_RM011_0016,REL_GM_RM011_00067;REL_GM_RM011_00068,2,0.896455,0.689659,0.206796,resolved_margin,fixed pre-WGV1.4 competition preservation rule
COMP_0012,GM_RM011,one_source_multiple_successors,AUTO_GM_RM011_0017,AUTO_GM_RM011_0018;AUTO_GM_RM011_0020;AUTO_GM_RM011_0022;AUTO_GM_RM011_0021;AUTO_GM_RM011_0024;AUTO_GM_RM011_0019;AUTO_GM_RM011_0025;AUTO_GM_RM011_0028;AUTO_GM_RM011_0026;AUTO_GM_RM011_0027,REL_GM_RM011_00082;REL_GM_RM011_00084;REL_GM_RM011_00086;REL_GM_RM011_00085;REL_GM_RM011_00088;REL_GM_RM011_00083;REL_GM_RM011_00089;REL_GM_RM011_00092;REL_GM_RM011_00090;REL_GM_RM011_00091,10,0.899155,0.886591,0.012564,ambiguous_competition,fixed pre-WGV1.4 competition preservation rule
COMP_0013,GM_RM011,one_source_multiple_successors,AUTO_GM_RM011_0018,AUTO_GM_RM011_0020;AUTO_GM_RM011_0021;AUTO_GM_RM011_0022;AUTO_GM_RM011_0024;AUTO_GM_RM011_0026;AUTO_GM_RM011_0027;AUTO_GM_RM011_0028,REL_GM_RM011_00098;REL_GM_RM011_00099;REL_GM_RM011_00100;REL_GM_RM011_00102;REL_GM_RM011_00104;REL_GM_RM011_00105;REL_GM_RM011_00106,7,0.717194,0.654494,0.062700,ambiguous_competition,fixed pre-WGV1.4 competition preservation rule
COMP_0014,GM_RM011,one_source_multiple_successors,AUTO_GM_RM011_0019,AUTO_GM_RM011_0026;AUTO_GM_RM011_0027;AUTO_GM_RM011_0028;AUTO_GM_RM011_0022;AUTO_GM_RM011_0025;AUTO_GM_RM011_0031;AUTO_GM_RM011_0032;AUTO_GM_RM011_0030;AUTO_GM_RM011_0024;AUTO_GM_RM011_0023;AUTO_GM_RM011_0029,REL_GM_RM011_00116;REL_GM_RM011_00117;REL_GM_RM011_00118;REL_GM_RM011_00112;REL_GM_RM011_00115;REL_GM_RM011_00121;REL_GM_RM011_00122;REL_GM_RM011_00120;REL_GM_RM011_00114;REL_GM_RM011_00113;REL_GM_RM011_00119,11,0.947704,0.944949,0.002755,ambiguous_competition,fixed pre-WGV1.4 competition preservation rule
COMP_0015,GM_RM011,one_source_multiple_successors,AUTO_GM_RM011_0020,AUTO_GM_RM011_0022;AUTO_GM_RM011_0021;AUTO_GM_RM011_0024;AUTO_GM_RM011_0025;AUTO_GM_RM011_0028;AUTO_GM_RM011_0026;AUTO_GM_RM011_0027;AUTO_GM_RM011_0030;AUTO_GM_RM011_0023;AUTO_GM_RM011_0031;AUTO_GM_RM011_0029,REL_GM_RM011_00125;REL_GM_RM011_00124;REL_GM_RM011_00127;REL_GM_RM011_00128;REL_GM_RM011_00131;REL_GM_RM011_00129;REL_GM_RM011_00130;REL_GM_RM011_00133;REL_GM_RM011_00126;REL_GM_RM011_00134;REL_GM_RM011_00132,11,0.891588,0.877028,0.014560,ambiguous_competition,fixed pre-WGV1.4 competition preservation rule
