wgv1_4_fragment_id,scene,wgv1_4_thread_id,target_family_id,reference_frame_start,reference_frame_end,reference_frame_count,mapped_auto_node_id,mapping_status,frame_overlap_count,reference_frame_coverage,auto_node_frame_coverage,mean_bbox_iou,max_bbox_iou,mapping_confidence,mapping_evidence,ambiguity_reason
GM_RM011_WGV14F001,GM_RM011,GM_RM011_WGV14T001,GM_RM011_WGV12TF001,0,4,5,AUTO_GM_RM011_0001,exact_like,5,1.000000,0.312500,0.982270,0.999998,high,scene_frame_bbox_iou_coverage_no_thread_name_match,
GM_RM011_WGV14F002,GM_RM011,GM_RM011_WGV14T001,GM_RM011_WGV12TF002,8,9,2,AUTO_GM_RM011_0001,exact_like,2,1.000000,0.125000,0.983512,0.990449,high,scene_frame_bbox_iou_coverage_no_thread_name_match,
GM_RM011_WGV14F003,GM_RM011,GM_RM011_WGV14T001,GM_RM011_WGV12TF003,10,10,1,AUTO_GM_RM011_0003,exact_like,1,1.000000,0.125000,0.974270,0.974270,high,scene_frame_bbox_iou_coverage_no_thread_name_match,
GM_RM011_WGV14F004,GM_RM011,GM_RM011_WGV14T001,GM_RM011_WGV12TF004,13,16,4,AUTO_GM_RM011_0003,exact_like,4,1.000000,0.500000,0.944835,0.974252,high,scene_frame_bbox_iou_coverage_no_thread_name_match,
GM_RM011_WGV14F005,GM_RM011,GM_RM011_WGV14T001,GM_RM011_WGV12TF005,18,25,8,AUTO_GM_RM011_0005,exact_like,7,0.875000,0.411765,0.906088,0.979067,high,scene_frame_bbox_iou_coverage_no_thread_name_match,
GM_RM011_WGV14F006,GM_RM011,GM_RM011_WGV14T002,GM_RM011_WGV12TF006,31,35,5,AUTO_GM_RM011_0006,exact_like,5,1.000000,0.156250,0.966173,0.979896,high,scene_frame_bbox_iou_coverage_no_thread_name_match,
GM_RM011_WGV14F007,GM_RM011,GM_RM011_WGV14T003,GM_RM011_WGV12TF007,135,137,3,AUTO_GM_RM011_0014,exact_like,3,1.000000,0.111111,0.983049,0.984313,high,scene_frame_bbox_iou_coverage_no_thread_name_match,
GM_RM011_WGV14F008,GM_RM011,GM_RM011_WGV14T004,GM_RM011_WGV12TF008,151,161,11,AUTO_GM_RM011_0014,exact_like,11,1.000000,0.407407,0.946246,0.961443,high,scene_frame_bbox_iou_coverage_no_thread_name_match,
GM_RM011_WGV14F009,GM_RM011,GM_RM011_WGV14T004,GM_RM011_WGV12TF009,164,166,3,AUTO_GM_RM011_0015,exact_like,3,1.000000,0.750000,0.870059,0.911978,high,scene_frame_bbox_iou_coverage_no_thread_name_match,
GM_RM011_WGV14F010,GM_RM011,GM_RM011_WGV14T005,GM_RM011_WGV12TF010,231,232,2,AUTO_GM_RM011_0017,exact_like,2,1.000000,0.068966,0.929460,0.934141,high,scene_frame_bbox_iou_coverage_no_thread_name_match,
GM_RM011_WGV14F011,GM_RM011,GM_RM011_WGV14T005,GM_RM011_WGV12TF011,233,233,1,AUTO_GM_RM011_0017,exact_like,1,1.000000,0.034483,0.804795,0.804795,high,scene_frame_bbox_iou_coverage_no_thread_name_match,
GM_RM011_WGV14F012,GM_RM011,GM_RM011_WGV14T005,GM_RM011_WGV12TF012,236,239,4,AUTO_GM_RM011_0017,exact_like,4,1.000000,0.137931,0.938876,0.955066,high,scene_frame_bbox_iou_coverage_no_thread_name_match,
