region_id,scene,hypothesis_id,source_auto_node_id,region_role,control_family,sar_frame_start,sar_frame_end,azimuth_min,azimuth_max,azimuth_width,azimuth_selection_status,target_azimuth_min,target_azimuth_max,valid_pixel_count,radial_pixel_min,radial_pixel_max,valid_azimuth_bin_count,frame_count,time_window_source,background_control_assumption,posthoc_only
WGV33C_WGV33B_H001_AUTO_RESPONSE,GM_RM011,WGV33B_H001,AUTO_GM_RM011_0001,automatic_feasible_field_response,automatic_response,0,44,-55.052,38.971,94.023,inside_valid_support,-55.052,38.971,1456143,26,1332,95,45,WGV3.3B automatic freeze,not_applicable,false
WGV33C_WGV33B_H001_ADJACENT_AZIMUTH_CONTROL,GM_RM011,WGV33B_H001,AUTO_GM_RM011_0001,same_time_adjacent_azimuth_control,matched_background_control,0,44,41,62,21,width_clipped_by_valid_support,-55.052,38.971,301680,31,1332,21,45,same SAR frames as automatic field,background controls are not asserted vehicle-free or target-free,false
WGV33C_WGV33B_H001_FAR_AZIMUTH_CONTROL,GM_RM011,WGV33B_H001,AUTO_GM_RM011_0001,same_time_far_azimuth_control,matched_background_control,0,44,-61,-60,1,fallback_one_degree_valid_support,-55.052,38.971,6016,35,1332,1,45,same SAR frames as automatic field,background controls are not asserted vehicle-free or target-free,false
WGV33C_WGV33B_H001_TEMPORAL_CONTROL,GM_RM011,WGV33B_H001,AUTO_GM_RM011_0001,same_azimuth_temporal_control,temporal_background_control,45,89,-55.052,38.971,94.023,same_azimuth_after_window,-55.052,38.971,1456143,26,1332,95,45,"same azimuth, offset time window",background controls are not asserted vehicle-free or target-free,false
WGV33C_WGV33B_H002_AUTO_RESPONSE,GM_RM011,WGV33B_H002,AUTO_GM_RM011_0002,automatic_feasible_field_response,automatic_response,0,21,9.894,41.573,31.679,inside_valid_support,9.894,41.573,490639,31,1332,33,22,WGV3.3B automatic freeze,not_applicable,false
WGV33C_WGV33B_H002_ADJACENT_AZIMUTH_CONTROL,GM_RM011,WGV33B_H002,AUTO_GM_RM011_0002,same_time_adjacent_azimuth_control,matched_background_control,0,21,-24,7,31,width_matched,9.894,41.573,479963,29,1332,31,22,same SAR frames as automatic field,background controls are not asserted vehicle-free or target-free,false
WGV33C_WGV33B_H002_FAR_AZIMUTH_CONTROL,GM_RM011,WGV33B_H002,AUTO_GM_RM011_0002,same_time_far_azimuth_control,matched_background_control,0,21,-61,-30,31,width_matched,9.894,41.573,470737,27,1332,31,22,same SAR frames as automatic field,background controls are not asserted vehicle-free or target-free,false
WGV33C_WGV33B_H002_TEMPORAL_CONTROL,GM_RM011,WGV33B_H002,AUTO_GM_RM011_0002,same_azimuth_temporal_control,temporal_background_control,22,43,9.894,41.573,31.679,same_azimuth_after_window,9.894,41.573,490639,31,1332,33,22,"same azimuth, offset time window",background controls are not asserted vehicle-free or target-free,false
WGV33C_WGV33B_H003_AUTO_RESPONSE,GM_RM011,WGV33B_H003,AUTO_GM_RM011_0003,automatic_feasible_field_response,automatic_response,8,48,-38.777,44.283,83.06,inside_valid_support,-38.777,44.283,1286312,26,1332,84,41,WGV3.3B automatic freeze,not_applicable,false
WGV33C_WGV33B_H003_ADJACENT_AZIMUTH_CONTROL,GM_RM011,WGV33B_H003,AUTO_GM_RM011_0003,same_time_adjacent_azimuth_control,matched_background_control,8,48,-61,-41,20,width_clipped_by_valid_support,-38.777,44.283,300325,31,1332,20,41,same SAR frames as automatic field,background controls are not asserted vehicle-free or target-free,false
