component_id,scene,sar_frame,azimuth_min,azimuth_max,azimuth_center,radial_pixel_min,radial_pixel_max,radial_pixel_center,az_bin_min,az_bin_max,radial_bin_min,radial_bin_max,cell_count,pixel_count,mean_intensity,peak_intensity,top10pct_mean,mean_frame_percentile,mean_local_robust_z,mean_temporal_excess,integrated_excess,shape_width_azimuth,shape_width_radial,connectedness,touches_support_boundary,long_term_response_frequency,long_term_longest_run,static_component_label,extraction_profile,component_label
WGV33D_MAIN_F0000_C000001,GM_RM011,0,-55,-44,-49.4727,200,204,202,-55,-45,50,50,11,149,88.302013,136,95.307144,99.619316,4.110263,39.31078,5882.499901,11,4,1,false,0.006527,2,dynamic_like,main,local_sar_response_component
WGV33D_MAIN_F0000_C000002,GM_RM011,0,-48,-44,-46.0146,68,72,70,-48,-45,17,17,4,21,81.142857,100,84.5,99.453125,4.068848,32.283333,671.499989,4,4,1,false,0.05483,6.5,dynamic_like,main,local_sar_response_component
WGV33D_MAIN_F0000_C000003,GM_RM011,0,-40,-38,-38.9839,160,164,162,-40,-39,40,40,2,23,96.130435,119,99.36364,99.78125,3.558594,42.54924,975.999989,2,4,1,false,0.008486,3,transient_unlinked,main,local_sar_response_component
WGV33D_MAIN_F0000_C000004,GM_RM011,0,-40,-35,-37.4839,184,188,186,-40,-36,46,46,5,64,92.187501,131,96.153847,99.724998,2.751563,35.332054,2264.000038,5,4,1,false,0.024543,4.6,dynamic_like,main,local_sar_response_component
WGV33D_MAIN_F0000_C000005,GM_RM011,0,-36,-25,-29.9895,60,72,66.2773,-36,-26,15,17,20,92,80.76087,126,93.849998,99.368752,3.143164,25.240833,2310.499992,11,12,0.606061,false,0.087533,10.3,recurrent_background_like,main,local_sar_response_component
WGV33D_MAIN_F0000_C000006,GM_RM011,0,-35,-29,-32.704,112,124,117.5681,-35,-30,28,30,9,73,80,102,84.777779,99.381943,2.589844,27.579916,2019.499966,6,12,0.5,false,0.037279,3.888889,dynamic_like,main,local_sar_response_component
WGV33D_MAIN_F0000_C000007,GM_RM011,0,-34,-31,-32.5429,184,188,186,-34,-32,46,46,3,39,89.051282,115,93.692307,99.666664,2.992188,29.185438,1123.999977,3,4,1,false,0.082681,17,recurrent_background_like,main,local_sar_response_component
WGV33D_MAIN_F0000_C000008,GM_RM011,0,-26,-20,-23.0287,176,180,178,-26,-21,44,44,6,75,91.92,126,98.454544,99.71875,2.482422,26.325998,1964.999985,6,4,1,false,0.099434,19.166667,recurrent_background_like,main,local_sar_response_component
WGV33D_MAIN_F0000_C000009,GM_RM011,0,-21,-11,-16.2995,100,116,106.4557,-21,-12,25,28,19,141,101.248227,152,115.232143,99.825661,2.753187,43.033367,6066.499954,10,16,0.475,false,0.046242,4.894737,dynamic_like,main,local_sar_response_component
WGV33D_MAIN_F0000_C000010,GM_RM011,0,-15,-12,-13.2926,52,68,62.1566,-15,-13,13,16,6,28,142.071427,244,168.199997,99.989586,3.246419,79.449997,2221.499985,3,16,0.5,false,0.08094,12.333333,recurrent_background_like,main,local_sar_response_component
