component_id,scene,sar_frame,target_azimuth_min,target_azimuth_max,target_radial_pixel_min,target_radial_pixel_max,target_valid_pixel_count,target_mean_intensity,adjacent_control_status,adjacent_control_mean,adjacent_control_ratio,far_control_status,far_control_mean,far_control_ratio,temporal_control_status,temporal_control_frame,temporal_control_mean,temporal_control_ratio,matched_control_status
WGV33D_MAIN_F0000_C000001,GM_RM011,0,-55,-44,200,204,149,88.302013,matched_background_control,14.346154,6.1551,matched_background_control,38.058065,2.320192,temporal_background_control,120,38.100671,2.317597,matched_control_available
WGV33D_MAIN_F0000_C000002,GM_RM011,0,-48,-44,68,72,21,81.142857,matched_background_control,39.421053,2.058364,matched_background_control,89.952381,0.902065,temporal_background_control,120,109.238095,0.742807,matched_control_available
WGV33D_MAIN_F0000_C000003,GM_RM011,0,-40,-38,160,164,23,96.130435,matched_background_control,66.708332,1.441056,matched_background_control,0,96130435114.321487,temporal_background_control,120,40.434784,2.377419,matched_control_available
WGV33D_MAIN_F0000_C000004,GM_RM011,0,-40,-35,184,188,64,92.187501,matched_background_control,72.279413,1.275432,matched_background_control,0,92187501072.883606,temporal_background_control,120,52.78125,1.746596,matched_control_available
WGV33D_MAIN_F0000_C000005,GM_RM011,0,-36,-25,60,72,92,80.76087,matched_background_control,57.90196,1.298474,matched_background_control,0,75184210651.79924,temporal_background_control,120,100.44079,0.748543,matched_control_available
WGV33D_MAIN_F0000_C000006,GM_RM011,0,-35,-29,112,124,73,80,matched_background_control,48.821917,1.489319,matched_background_control,0,72711409242.361176,temporal_background_control,120,60.785235,1.196202,matched_control_available
WGV33D_MAIN_F0000_C000007,GM_RM011,0,-34,-31,184,188,39,89.051282,matched_background_control,91.94872,0.968489,matched_background_control,0,89051281660.031052,temporal_background_control,120,41.974359,2.121564,matched_control_available
WGV33D_MAIN_F0000_C000008,GM_RM011,0,-26,-20,176,180,75,91.92,matched_background_control,73.239998,1.255052,matched_background_control,0,91920000000,temporal_background_control,120,51.066667,1.8,matched_control_available
WGV33D_MAIN_F0000_C000009,GM_RM011,0,-21,-11,100,116,141,101.248227,matched_background_control,60.303333,1.502847,matched_background_control,6.561056,13.812817,temporal_background_control,120,69.94,1.295777,matched_control_available
WGV33D_MAIN_F0000_C000010,GM_RM011,0,-15,-12,52,68,28,142.071427,matched_background_control,67.326923,1.819917,matched_background_control,22.903846,5.349731,temporal_background_control,120,107.980393,1.134738,matched_control_available
WGV33D_MAIN_F0000_C000011,GM_RM011,0,-11,-5,56,68,52,129.903845,matched_background_control,94.448718,1.240939,matched_background_control,41.794872,2.804294,temporal_background_control,120,126.487179,0.926617,matched_control_available
WGV33D_MAIN_F0000_C000012,GM_RM011,0,-10,-2,100,112,105,95.838095,matched_background_control,98.179775,0.86276,matched_background_control,41.468927,2.042627,temporal_background_control,120,95.466666,0.887279,matched_control_available
WGV33D_MAIN_F0000_C000013,GM_RM011,0,-4,1,60,72,36,106.944444,matched_background_control,108.73913,0.865714,matched_background_control,49.1,1.91725,temporal_background_control,120,91.041096,1.034005,matched_control_available
WGV33D_MAIN_F0000_C000014,GM_RM011,0,0,6,56,64,31,122.354838,matched_background_control,104.520833,1.028242,matched_background_control,40.729167,2.638717,temporal_background_control,120,115.490909,0.930573,matched_control_available
WGV33D_MAIN_F0000_C000015,GM_RM011,0,6,9,56,72,26,100.692307,matched_background_control,101.346939,0.926949,matched_background_control,53.716981,1.748858,temporal_background_control,120,95.886793,0.979732,matched_control_available
WGV33D_MAIN_F0000_C000016,GM_RM011,0,13,20,272,280,249,81.835342,matched_background_control,42.940521,1.873383,matched_background_control,33.132842,2.427924,temporal_background_control,120,34.753731,2.314688,matched_control_available
WGV33D_MAIN_F0000_C000017,GM_RM011,0,15,25,68,76,69,80.913044,matched_background_control,74.480392,1.014421,matched_background_control,66.116505,1.142747,temporal_background_control,120,75.346535,1.00276,matched_control_available
WGV33D_STRICT_F0000_C000018,GM_RM011,0,-54,-52,200,204,27,91.111108,matched_background_control,49.533333,1.83939,matched_background_control,38.464285,2.36872,temporal_background_control,120,37.777779,2.411765,matched_control_available
WGV33D_STRICT_F0000_C000019,GM_RM011,0,-51,-45,200,204,82,91.634146,matched_background_control,61.835293,1.481907,matched_background_control,37.27381,2.458406,temporal_background_control,120,38.963415,2.3518,matched_control_available
WGV33D_STRICT_F0000_C000020,GM_RM011,0,-40,-38,160,164,23,96.130435,matched_background_control,66.708332,1.441056,matched_background_control,0,96130435114.321487,temporal_background_control,120,40.434784,2.377419,matched_control_available
WGV33D_STRICT_F0000_C000021,GM_RM011,0,-34,-32,184,188,25,93.319998,matched_background_control,90.69231,1.028974,matched_background_control,0,93319998168.945312,temporal_background_control,120,42.520001,2.194732,matched_control_available
WGV33D_STRICT_F0000_C000022,GM_RM011,0,-32,-31,68,72,4,97.5,matched_control_unavailable,0,97.5,matched_background_control,71.75,1.358885,temporal_background_control,120,68,1.433824,matched_control_available
WGV33D_STRICT_F0000_C000023,GM_RM011,0,-18,-12,100,112,75,106.4,matched_background_control,63.244444,1.58023,matched_background_control,5.410448,18.471806,temporal_background_control,120,69.459259,1.43884,matched_control_available
WGV33D_STRICT_F0000_C000024,GM_RM011,0,-15,-12,56,68,24,143.749998,matched_background_control,73.399999,1.802557,matched_background_control,22.682927,5.83292,temporal_background_control,120,111.153847,1.190311,matched_control_available
WGV33D_STRICT_F0000_C000025,GM_RM011,0,-11,-7,60,68,30,136.533332,matched_background_control,110,1.198961,matched_background_control,43.411765,3.038018,temporal_background_control,120,112.228571,1.175153,matched_control_available
WGV33D_STRICT_F0000_C000026,GM_RM011,0,-10,-2,100,112,75,101.506667,matched_background_control,98.179775,0.86276,matched_background_control,41.468927,2.042627,temporal_background_control,120,95.466666,0.887279,matched_control_available
WGV33D_STRICT_F0000_C000027,GM_RM011,0,0,6,56,64,31,122.354838,matched_background_control,104.520833,1.028242,matched_background_control,40.729167,2.638717,temporal_background_control,120,115.490909,0.930573,matched_control_available
