sar_frame,min,max,mean,std,p50,p90,p95,p99,nonzero_ratio,saturated_255_ratio,unique_value_count,color_luma_sampled,color_luma_max,color_luma_mean,color_luma_p99
0,0,244,18.53719739,15.69280599,26,34,37,47,0.60761506,0,156,true,255,119.37829959,253
1,0,241,20.47614646,17.26129747,30,37,39,53,0.60781384,0,171,false,,,
2,0,248,17.93825498,15.14740812,26,32,34,46,0.60763033,0,155,false,,,
3,0,249,19.06383214,15.95783212,29,34,37,47,0.60785054,0,156,false,,,
4,0,255,19.94535336,16.82631852,29,37,39,50,0.60777031,0.0000003248,161,false,,,
5,0,255,20.5436137,17.1912456,30,37,39,50,0.60800319,0.0000003248,168,false,,,
6,0,245,20.81766569,17.54683027,30,38,41,52,0.60788237,0,166,false,,,
7,0,255,22.10916368,18.51541585,32,40,43,54,0.60819937,0.0000003248,169,false,,,
8,0,250,23.50107897,19.86152565,33,44,47,59,0.60806815,0,174,false,,,
9,0,255,23.02732267,19.29851766,33,41,45,57,0.60815195,0.0000003248,176,false,,,
10,0,243,21.44624915,18.05936196,31,39,43,52,0.60797623,0,164,false,,,
11,0,251,25.97652907,21.79308821,38,47,51,64,0.60847414,0,183,false,,,
12,0,255,28.59345663,24.21132673,40,54,58,71,0.6083374,0.0000003248,197,false,,,
13,0,249,27.39274156,23.00888774,39,51,53,66,0.60849168,0,184,false,,,
14,0,255,27.67827113,23.41888613,39,52,55,68,0.60832636,0.0000003248,196,false,,,
15,0,244,23.5293182,19.72732866,34,43,46,58,0.60822892,0,167,false,,,
16,0,253,24.39326123,20.61006448,34,45,48,60,0.60820944,0,178,false,,,
17,0,255,23.58262864,19.85397326,34,44,46,58,0.60827894,0.0000003248,164,false,,,
18,0,250,24.11200043,20.46272308,33,45,48,59,0.60794343,0,168,false,,,
19,0,253,27.23519523,23.10160418,38,51,54,67,0.60819125,0,183,false,,,
20,0,249,28.57934399,24.34228404,39,54,58,71,0.60802788,0,189,false,,,
21,0,248,31.08152369,26.42493363,43,59,62,76,0.60807107,0,201,false,,,
22,0,250,32.83292777,28.01535258,45,62,67,81,0.60792654,0,209,false,,,
23,0,253,31.6893398,26.94055734,44,60,65,78,0.60791062,0,209,false,,,
24,0,250,27.42458374,23.36610434,38,52,55,67,0.60776447,0,180,false,,,
25,0,251,25.08976794,21.29520821,34,47,51,61,0.60767125,0,169,true,255,132.34958972,253
26,0,253,27.12399509,23.09611018,37,52,55,66,0.60773881,0,179,false,,,
27,0,248,26.62534201,22.59865635,37,51,54,65,0.6077976,0,171,false,,,
28,0,253,29.01477002,24.71271221,40,55,59,71,0.60786483,0,188,false,,,
29,0,255,30.33771751,25.7382154,43,58,61,74,0.60805873,0.0000003248,187,false,,,
30,0,252,30.87066789,26.28968153,43,59,62,75,0.6078697,0,192,false,,,
31,0,249,32.57810068,27.66999842,45,62,66,80,0.60804769,0,209,false,,,
32,0,255,29.77982553,25.37937382,41,57,60,73,0.60784372,0.0000003248,197,false,,,
33,0,251,25.33911478,21.5026859,36,47,51,61,0.60787035,0,178,false,,,
34,0,255,25.11751024,21.41108881,34,47,51,61,0.60777356,0.0000003248,175,false,,,
35,0,250,27.35517683,23.3250559,38,52,55,68,0.60797234,0,193,false,,,
36,0,251,29.36651313,25.22933831,40,57,60,75,0.60794116,0,201,false,,,
37,0,255,28.17565979,24.16270396,39,53,57,73,0.60794798,0.0000003248,194,false,,,
38,0,255,28.36952657,24.401164,39,54,58,73,0.60764819,0.0000003248,197,false,,,
39,0,255,26.00824101,22.26278426,36,50,53,67,0.60781643,0.0000003248,189,false,,,
40,0,251,23.47444616,20.13382926,32,45,47,60,0.6075605,0,174,false,,,
41,0,253,23.84278593,20.32695,33,45,48,60,0.60770503,0,179,false,,,
