hypothesis_id,source_auto_node_id,path_id,extraction_profile,intersection_component_count,path_start,path_end,path_status,path_duration_frames,path_radial_band,path_physical_consistency,target_spatial_empirical_percentile,target_temporal_empirical_percentile
WGV33B_H001,AUTO_GM_RM011_0001,WGV34A_PATH_0000001,strict_physical_path,3,0,2,physically_possible_ambiguous_path,3,R1,0.79930894,87.5,65
WGV33B_H001,AUTO_GM_RM011_0001,WGV34A_PATH_0000002,strict_physical_path,4,2,5,recurrent_background_path,4,R1,0.84168084,100,100
WGV33B_H001,AUTO_GM_RM011_0001,WGV34A_PATH_0000003,strict_physical_path,2,2,3,insufficient_length,2,R0,0.83063325,,
WGV33B_H001,AUTO_GM_RM011_0001,WGV34A_PATH_0000004,strict_physical_path,7,2,8,recurrent_background_path,7,R2,0.84320888,0,75
WGV33B_H001,AUTO_GM_RM011_0001,WGV34A_PATH_0000005,strict_physical_path,3,3,5,recurrent_background_path,3,R1,0.87096802,55,25
WGV33B_H001,AUTO_GM_RM011_0001,WGV34A_PATH_0000006,strict_physical_path,5,3,7,static_structure_path,5,R1,0.84104485,65,65
WGV33B_H001,AUTO_GM_RM011_0001,WGV34A_PATH_0000007,strict_physical_path,4,4,7,recurrent_background_path,4,R1,0.79588308,25,20
WGV33B_H001,AUTO_GM_RM011_0001,WGV34A_PATH_0000008,strict_physical_path,2,5,6,insufficient_length,2,R1,0.88325082,,
WGV33B_H001,AUTO_GM_RM011_0001,WGV34A_PATH_0000009,strict_physical_path,2,7,8,insufficient_length,2,R1,0.85332689,,
WGV33B_H001,AUTO_GM_RM011_0001,WGV34A_PATH_0000010,strict_physical_path,2,8,9,insufficient_length,2,R1,0.83375115,,
WGV33B_H001,AUTO_GM_RM011_0001,WGV34A_PATH_0000011,strict_physical_path,2,10,11,insufficient_length,2,R1,0.8820783,,
WGV33B_H001,AUTO_GM_RM011_0001,WGV34A_PATH_0000012,strict_physical_path,2,10,11,insufficient_length,2,R1,0.88399733,,
WGV33B_H001,AUTO_GM_RM011_0001,WGV34A_PATH_0000013,strict_physical_path,2,12,13,insufficient_length,2,R1,0.95609579,,
WGV33B_H001,AUTO_GM_RM011_0001,WGV34A_PATH_0000014,strict_physical_path,2,14,15,insufficient_length,2,R1,0.87035455,,
WGV33B_H001,AUTO_GM_RM011_0001,WGV34A_PATH_0000015,strict_physical_path,10,14,23,recurrent_background_path,10,R1,0.83431768,85,95
WGV33B_H001,AUTO_GM_RM011_0001,WGV34A_PATH_0000016,strict_physical_path,4,23,26,recurrent_background_path,4,R1,0.89507339,100,100
WGV33B_H001,AUTO_GM_RM011_0001,WGV34A_PATH_0000017,strict_physical_path,2,14,15,insufficient_length,2,R1,0.83075251,,
WGV33B_H001,AUTO_GM_RM011_0001,WGV34A_PATH_0000018,strict_physical_path,2,14,15,insufficient_length,2,R0,0.82579661,,
WGV33B_H001,AUTO_GM_RM011_0001,WGV34A_PATH_0000022,strict_physical_path,2,17,18,insufficient_length,2,R1,0.88062301,,
WGV33B_H001,AUTO_GM_RM011_0001,WGV34A_PATH_0000023,strict_physical_path,2,19,20,insufficient_length,2,R0,0.82422318,,
WGV33B_H001,AUTO_GM_RM011_0001,WGV34A_PATH_0000024,strict_physical_path,2,19,20,insufficient_length,2,R0,0.86765296,,
WGV33B_H001,AUTO_GM_RM011_0001,WGV34A_PATH_0000025,strict_physical_path,9,20,28,recurrent_background_path,9,R0,0.81961362,100,80
WGV33B_H001,AUTO_GM_RM011_0001,WGV34A_PATH_0000026,strict_physical_path,3,20,22,recurrent_background_path,3,R1,0.88235599,78.94736842,100
WGV33B_H001,AUTO_GM_RM011_0001,WGV34A_PATH_0000027,strict_physical_path,2,21,22,insufficient_length,2,R0,0.85257369,,
WGV33B_H001,AUTO_GM_RM011_0001,WGV34A_PATH_0000028,strict_physical_path,3,22,24,recurrent_background_path,3,R1,0.80882975,15,25
WGV33B_H001,AUTO_GM_RM011_0001,WGV34A_PATH_0000029,strict_physical_path,2,22,23,insufficient_length,2,R1,0.84119896,,
WGV33B_H001,AUTO_GM_RM011_0001,WGV34A_PATH_0000030,strict_physical_path,4,23,26,recurrent_background_path,4,R1,0.76947705,30,25
WGV33B_H001,AUTO_GM_RM011_0001,WGV34A_PATH_0000031,strict_physical_path,2,24,25,insufficient_length,2,R1,0.88313992,,
WGV33B_H001,AUTO_GM_RM011_0001,WGV34A_PATH_0000032,strict_physical_path,10,24,33,recurrent_background_path,10,R1,0.84930374,65,70
WGV33B_H001,AUTO_GM_RM011_0001,WGV34A_PATH_0000033,strict_physical_path,2,33,34,insufficient_length,2,R1,0.85312745,,
WGV33B_H001,AUTO_GM_RM011_0001,WGV34A_PATH_0000034,strict_physical_path,9,27,35,recurrent_background_path,9,R1,0.8412367,61.11111111,25
WGV33B_H001,AUTO_GM_RM011_0001,WGV34A_PATH_0000035,strict_physical_path,4,27,30,recurrent_background_path,4,R1,0.82588053,10,30
WGV33B_H001,AUTO_GM_RM011_0001,WGV34A_PATH_0000036,strict_physical_path,2,28,29,insufficient_length,2,R0,0.88121954,,
WGV33B_H001,AUTO_GM_RM011_0001,WGV34A_PATH_0000037,strict_physical_path,2,29,30,insufficient_length,2,R1,0.9546618,,
WGV33B_H001,AUTO_GM_RM011_0001,WGV34A_PATH_0000038,strict_physical_path,5,30,34,recurrent_background_path,5,R2,0.85181405,0,90
WGV33B_H001,AUTO_GM_RM011_0001,WGV34A_PATH_0000039,strict_physical_path,6,30,35,recurrent_background_path,6,R0,0.86745397,100,95
