component_id,scene,sar_frame,extraction_profile,azimuth_center,radial_pixel_center,radial_band,component_cell_box_count,persistent_static_overlap_ratio,recurrent_background_overlap_ratio,static_peak_overlap_ratio,stable_gradient_overlap_ratio,background_structure_pressure
WGV33D_MAIN_F0000_C000001,GM_RM011,0,main,-49.4727,202,R1,11,0,0,0,1,0.417896
WGV33D_MAIN_F0000_C000002,GM_RM011,0,main,-46.0146,70,R0,4,0,0.75,0,1,0.98418054
WGV33D_MAIN_F0000_C000003,GM_RM011,0,main,-38.9839,162,R1,2,0,0,0,1,0.42534813
WGV33D_MAIN_F0000_C000004,GM_RM011,0,main,-37.4839,186,R1,5,0,0,0,1,0.45208062
WGV33D_MAIN_F0000_C000005,GM_RM011,0,main,-29.9895,66.2773,R0,32,0,0.9375,0.0359375,1,1
WGV33D_MAIN_F0000_C000006,GM_RM011,0,main,-32.704,117.5681,R0,18,0,0.05555556,0,1,0.49662795
WGV33D_MAIN_F0000_C000007,GM_RM011,0,main,-32.5429,186,R1,3,0,1,0.15,1,1
WGV33D_MAIN_F0000_C000008,GM_RM011,0,main,-23.0287,178,R1,6,0.16666667,0.83333333,0.15833333,1,1
WGV33D_MAIN_F0000_C000009,GM_RM011,0,main,-16.2995,106.4557,R0,40,0,0.525,0,1,0.81484355
WGV33D_MAIN_F0000_C000010,GM_RM011,0,main,-13.2926,62.1566,R0,11,0.18181818,0.81818182,0.15,1,1
WGV33D_MAIN_F0000_C000011,GM_RM011,0,main,-8.6758,62.0979,R0,17,0,0.94117647,0,1,1
WGV33D_MAIN_F0000_C000012,GM_RM011,0,main,-6.5276,106.9756,R0,24,0,0.54166667,0,1,0.83174103
WGV33D_MAIN_F0000_C000013,GM_RM011,0,main,-1.6474,64.9131,R0,15,0,1,0,1,1
WGV33D_MAIN_F0000_C000014,GM_RM011,0,main,3.1531,58.4977,R0,12,0,1,0,1,1
WGV33D_MAIN_F0000_C000015,GM_RM011,0,main,7.6569,63.3807,R0,11,0,0.72727273,0,1,0.97130113
WGV33D_MAIN_F0000_C000016,GM_RM011,0,main,16.2501,275.8731,R2,14,0,0,0,1,0.42237582
WGV33D_MAIN_F0000_C000017,GM_RM011,0,main,19.5815,71.1191,R0,20,0,0.75,0,1,0.98668407
WGV33D_MAIN_F0001_C000031,GM_RM011,1,main,-48.3698,198,R1,7,0,0,0,1,0.41928113
WGV33D_MAIN_F0001_C000032,GM_RM011,1,main,-28.0409,186,R1,2,0,1,0,1,1
WGV33D_MAIN_F0001_C000033,GM_RM011,1,main,-24.0542,63.4399,R0,19,0.15789474,0.84210526,0.16052632,1,1
WGV33D_MAIN_F0001_C000034,GM_RM011,1,main,-18.2538,63.0111,R0,6,0,0.83333333,0,1,1
WGV33D_MAIN_F0001_C000035,GM_RM011,1,main,-14.5518,178,R1,3,0,1,0,1,1
WGV33D_MAIN_F0001_C000036,GM_RM011,1,main,0.1059,62.2163,R0,136,0.08823529,0.82352941,0.06544118,1,1
WGV33D_MAIN_F0001_C000037,GM_RM011,1,main,-4.1642,106.4205,R0,51,0,0.66666667,0,1,0.91623017
WGV33D_MAIN_F0001_C000038,GM_RM011,1,main,22.0634,71.1438,R0,10,0,0.9,0,1,1
WGV33D_MAIN_F0002_C000046,GM_RM011,2,main,-50.4979,246,R1,3,0,0.33333333,0,1,0.67364103
WGV33D_MAIN_F0002_C000047,GM_RM011,2,main,-46.0202,198,R1,4,0,0,0,1,0.41771581
WGV33D_MAIN_F0002_C000048,GM_RM011,2,main,-40.4557,198,R1,5,0,0,0,1,0.44717145
WGV33D_MAIN_F0002_C000049,GM_RM011,2,main,-19.7202,113.6214,R0,21,0,0.0952381,0,1,0.52158075
WGV33D_MAIN_F0002_C000050,GM_RM011,2,main,-18.1057,62.462,R0,29,0.06896552,0.72413793,0.07241379,1,1
WGV33D_MAIN_F0002_C000051,GM_RM011,2,main,-13.2471,177.0073,R1,6,0,1,0.075,1,1
WGV33D_MAIN_F0002_C000052,GM_RM011,2,main,-3.0065,105.5739,R0,66,0,0.6969697,0,1,0.93653383
WGV33D_MAIN_F0002_C000053,GM_RM011,2,main,-3.7491,63.1541,R0,19,0,0.94736842,0,1,1
WGV33D_MAIN_F0002_C000054,GM_RM011,2,main,11.8467,62.2125,R0,35,0,0.8,0,1,1
WGV33D_MAIN_F0002_C000055,GM_RM011,2,main,25.5603,278.8446,R2,10,0,0,0.04,0.99811924,0.42738242
WGV33D_MAIN_F0002_C000056,GM_RM011,2,main,28.4759,73.1185,R0,17,0,0.64705882,0,1,0.89779812
WGV33D_MAIN_F0003_C000067,GM_RM011,3,main,-48.3461,158.6354,R1,10,0,0,0,1,0.42170774
WGV33D_MAIN_F0003_C000068,GM_RM011,3,main,-40.002,196.0277,R1,8,0,0,0,1,0.44767563
