scene,azimuth_bin_start_deg,azimuth_bin_end_deg,radial_pixel_min,radial_pixel_max,radial_band,valid_pixel_count,intensity_mean,temporal_median,temporal_mad,response_frequency,longest_consecutive_response,local_extreme_frequency,high_gradient_frequency,peak_position_stability,neighborhood_structure_stability,fixed_bright_ridge_frequency,nonzero_pixel_frequency,frame_high_percentile_frequency,long_term_spatial_occupancy,max_stable_run,persistent_score,recurrent_score,variable_score,background_position_status
GM_RM011,-67,-66,52,56,R0,4,0.13870758,0,0,0,0,0,0.00025151,0,1,0,1,0,0,0,0,0.0001006,0.00075267,insufficient_support
GM_RM011,-66,-65,48,52,R0,4,0.35280678,0.25,0.25,0,0,0,0.000936,0,0.9773616,0,1,0,0,0,0,0.0003744,0.01733363,insufficient_support
GM_RM011,-66,-65,56,60,R0,5,0.15483029,0,0,0,0,0,0.00032374,0,1,0,1,0,0,0,0,0.00012949,0.00086022,insufficient_support
GM_RM011,-66,-65,60,64,R0,5,0.08798956,0,0,0,0,0,0.00011316,0,1,0,1,0,0,0,0,0.00004527,0.00045582,insufficient_support
GM_RM011,-66,-65,72,76,R0,6,0.04808529,0,0,0,0,0,0.00006691,0,1,0,1,0,0,0,0,0.00002677,0.00025146,insufficient_support
GM_RM011,-65,-64,32,36,R0,4,0.16808094,0,0,0,0,0,0.00035429,0,1,0,1,0,0,0,0,0.00014172,0.00093517,insufficient_support
GM_RM011,-65,-64,52,56,R0,4,0.68439949,0.5,0.25,0,0,0,0.00170439,0,0.9773616,0,1,0,0,0,0,0.00068176,0.01921096,insufficient_support
GM_RM011,-65,-64,56,60,R0,4,0.2444517,0.25,0.25,0,0,0,0.00042052,0,0.9773616,0,1,0,0,0,0,0.00016821,0.01659679,insufficient_support
GM_RM011,-65,-64,60,64,R0,4,0.31755874,0.25,0.25,0,0,0,0.0007155,0,0.9773616,0,1,0,0,0,0,0.0002862,0.01706929,insufficient_support
GM_RM011,-65,-64,64,68,R0,6,0.27567449,0.16666667,0.16666667,0,0,0,0.00058641,0,0.98490773,0,1,0,0,0,0,0.00023456,0.01172357,insufficient_support
GM_RM011,-65,-64,68,72,R0,5,0.20809399,0.2,0.2,0,0,0,0.00030344,0,0.98188928,0,1,0,0,0,0,0.00012138,0.01331945,insufficient_support
