pair_id,scene,split_role,variant,time_start,time_end,sar_frame_center,azimuth_min,azimuth_max,azimuth_center,radial_min,radial_max,rho_center,rho_low_50,rho_high_50,rho_low_80,rho_high_80,rho_low_95,rho_high_95,heading_state,visibility_uncertainty,field_rule
WGV35A_PAIR_0003,GM_RM017,train,P2,306,323,314.5833,-47.834461,-33.034461,-40.434461,393.41405,662.49955,527.9568,496.9568,558.9568,465.9568,589.9568,393.41405,662.49955,lateral_right,visibility=visible_main_observation;uncertainty=moderate_uncertainty;partial=partial_to_full_transition;boundary=boundary_truncation_present;multi=single_observation,weak_calibrated_plus_heading_visibility_size_uncertainty
WGV35A_PAIR_0006,GM_RM017,train,P2,308,325,316.6667,-46.543211,-32.143211,-39.343211,390.125237,660.125237,525.125237,495.125237,555.125237,465.125237,585.125237,390.125237,660.125237,lateral_right,visibility=visible_main_observation;uncertainty=moderate_uncertainty;partial=mixed_partial_full_observations;boundary=boundary_truncation_present;multi=multiple_observations,weak_calibrated_plus_heading_visibility_size_uncertainty
WGV35A_PAIR_0007,GM_RM017,train,P2,310,327,318.75,-46.185771,-31.385771,-38.785771,376.83562,656.77212,516.80387,485.80387,547.80387,454.80387,578.80387,376.83562,656.77212,lateral_right,visibility=visible_main_observation;uncertainty=moderate_uncertainty;partial=partial_to_full_transition;boundary=boundary_truncation_present;multi=single_observation,weak_calibrated_plus_heading_visibility_size_uncertainty
WGV35A_PAIR_0010,GM_RM017,train,P2,312,329,320.8333,-44.2049,-31.0049,-37.6049,372.620148,633.620148,503.120148,476.120148,530.120148,449.120148,557.120148,372.620148,633.620148,lateral_right,visibility=visible_main_observation;uncertainty=moderate_uncertainty;partial=partial_to_full_transition;boundary=boundary_truncation_present;multi=single_observation,weak_calibrated_plus_heading_visibility_size_uncertainty
WGV35A_PAIR_0012,GM_RM017,train,P2,314,331,322.9167,-43.135321,-29.935321,-36.535321,367.756973,630.120973,498.938973,471.938973,525.938973,444.938973,552.938973,367.756973,630.120973,lateral_right,visibility=visible_main_observation;uncertainty=moderate_uncertainty;partial=partial_to_full_transition;boundary=boundary_truncation_present;multi=single_observation,weak_calibrated_plus_heading_visibility_size_uncertainty
WGV35A_PAIR_0014,GM_RM017,train,P2,316,333,325,-43.443381,-28.643381,-36.043381,346.511112,636.901112,491.706112,460.706112,522.706112,429.706112,553.706112,346.511112,636.901112,lateral_right,visibility=visible_main_observation;uncertainty=moderate_uncertainty;partial=none;boundary=boundary_truncation_present;multi=single_observation,weak_calibrated_plus_heading_visibility_size_uncertainty
WGV35A_PAIR_0016,GM_RM017,train,P2,319,336,327.0833,-42.701795,-27.901795,-35.301795,338.020026,629.262026,483.641026,452.641026,514.641026,421.641026,545.641026,338.020026,629.262026,lateral_right,visibility=visible_main_observation;uncertainty=moderate_uncertainty;partial=none;boundary=boundary_truncation_present;multi=single_observation,weak_calibrated_plus_heading_visibility_size_uncertainty
WGV35A_PAIR_0021,GM_RM017,train,P2,323,340,331.25,-41.137236,-26.337236,-33.737236,323.176006,615.250006,469.213006,438.213006,500.213006,407.213006,531.213006,323.176006,615.250006,lateral_right,visibility=visible_main_observation;uncertainty=moderate_uncertainty;partial=none;boundary=boundary_truncation_present;multi=single_observation,weak_calibrated_plus_heading_visibility_size_uncertainty
WGV35A_PAIR_0023,GM_RM017,train,P2,323,340,331.25,-41.137628,-26.337628,-33.737628,317.182719,609.258719,463.220719,432.220719,494.220719,401.220719,525.220719,317.182719,609.258719,lateral_right,visibility=visible_main_observation;uncertainty=moderate_uncertainty;partial=none;boundary=boundary_truncation_present;multi=single_observation,weak_calibrated_plus_heading_visibility_size_uncertainty
WGV35A_PAIR_0025,GM_RM017,train,P2,325,342,333.3333,-40.292594,-25.492594,-32.892594,316.097469,610.343969,463.220719,432.220719,494.220719,401.220719,525.220719,316.097469,610.343969,lateral_right,visibility=visible_main_observation;uncertainty=moderate_uncertainty;partial=none;boundary=boundary_truncation_present;multi=single_observation,weak_calibrated_plus_heading_visibility_size_uncertainty
