pair_id,scene,optical_frame,thread_id,bbox_center_x,bbox_center_y,bbox_bottom_center_x,bbox_bottom_center_y,bbox_width,bbox_height,bbox_area,normalized_center_x,normalized_bottom_y,edge_contact_left,edge_contact_right,edge_contact_bottom,occlusion_state,partial_vehicle_state,multi_box_competition,visible_unboxed_gap,depth_center,depth_q10,depth_q25,depth_q50,depth_q75,depth_q90,depth_valid_ratio,depth_D0,depth_D1,depth_D2,depth_D3,depth_D4,optical_velocity_x,optical_velocity_y,track_age,vehicle_class
WGV35A_PAIR_0001,GM_RM017,145,oty1t_obj_GM_RM017_bytetrack_bt_0008,49.069,365.287,49.069,408.436,97.766,86.298,8437.01,0.061336,0.680727,true,false,false,unknown,none,single_observation,unknown,8.749918,7.509882,8.223199,8.778545,9.132981,11.35182,1,8.778545,8.749918,8.68634,8.778545,8.444399,0,0,1,unknown_vehicle
WGV35A_PAIR_0002,GM_RM017,149,oty1t_obj_GM_RM017_bytetrack_bt_0008,87.273,353.182,87.273,403.636,169.091,100.909,17062.804,0.109091,0.672727,false,false,false,unknown,mixed_partial_full_observations,multiple_observations,unknown,8.231234,8.048119,8.155007,8.324568,8.639664,13.854589,1,8.324568,8.231234,8.156383,8.324568,8.597158,9.551,-3.02625,2,unknown_vehicle
WGV35A_PAIR_0003,GM_RM017,151,oty1t_obj_GM_RM017_bytetrack_bt_0010,25.689,330.673,25.689,351.758,51.279,42.171,2162.487,0.032111,0.586263,true,false,false,unknown,partial_to_full_transition,single_observation,unknown,12.264336,8.711269,9.142713,12.198053,12.592328,14.058599,1,12.198053,12.264336,9.586055,12.198053,12.264336,0,0,1,unknown_vehicle
WGV35A_PAIR_0004,GM_RM017,151,oty1t_obj_GM_RM017_bytetrack_bt_0008,113.182,362.727,113.182,406.364,210,87.273,18327.33,0.141477,0.677273,false,false,false,unknown,partial_to_full_transition,single_observation,unknown,8.444399,8.273806,8.378488,8.550641,8.70839,9.154187,1,8.550641,8.444399,8.41803,8.550641,8.749918,12.9545,4.7725,3,unknown_vehicle
WGV35A_PAIR_0005,GM_RM017,152,oty1t_obj_GM_RM017_bytetrack_bt_0008,119.938,360.509,119.938,406.354,238.53,91.691,21871.054,0.149923,0.677257,true,false,false,unknown,mixed_partial_full_observations,multiple_observations,unknown,8.77946,8.615441,8.727412,8.884776,9.040231,12.671901,1,8.884776,8.77946,8.762318,8.884776,8.561306,6.756,-2.218,4,unknown_vehicle
WGV35A_PAIR_0006,GM_RM017,152,oty1t_obj_GM_RM017_bytetrack_bt_0010,36.818,330,36.818,360,68.182,60,4090.92,0.046023,0.6,false,false,false,unknown,mixed_partial_full_observations,multiple_observations,unknown,12.7847,8.986385,9.132808,12.687879,13.600814,17.314702,1,12.687879,12.7847,9.189377,12.687879,11.938991,11.129,-0.673,2,unknown_vehicle
WGV35A_PAIR_0007,GM_RM017,153,oty1t_obj_GM_RM017_bytetrack_bt_0010,42.503,339.726,42.503,371.663,84.711,63.873,5410.746,0.053129,0.619438,true,false,false,unknown,partial_to_full_transition,single_observation,unknown,11.613646,8.866006,8.974759,11.562228,11.826058,12.395197,1,11.562228,11.613646,8.98907,11.562228,11.613646,5.685,9.726,3,unknown_vehicle
WGV35A_PAIR_0008,GM_RM017,153,oty1t_obj_GM_RM017_bytetrack_bt_0008,132.272,350.455,132.272,403.636,259.091,106.363,27557.696,0.165341,0.672727,false,false,false,unknown,partial_to_full_transition,single_observation,unknown,8.76646,8.614906,8.729025,8.884708,11.699924,16.651531,1,8.884708,8.76646,8.747225,8.884708,8.561306,12.334,-10.054,5,unknown_vehicle
WGV35A_PAIR_0009,GM_RM017,154,oty1t_obj_GM_RM017_bytetrack_bt_0008,152.374,360.986,152.374,407.006,260.64,92.041,23989.566,0.190467,0.678343,false,false,false,unknown,partial_to_full_transition,single_observation,unknown,8.561306,8.38385,8.507493,8.639945,8.872578,10.997176,1,8.639945,8.561306,8.556562,8.639945,8.561306,20.102,10.531,6,unknown_vehicle
WGV35A_PAIR_0010,GM_RM017,154,oty1t_obj_GM_RM017_bytetrack_bt_0010,54.546,347.727,54.546,392.727,103.637,90,9327.33,0.068182,0.654545,false,false,false,unknown,partial_to_full_transition,single_observation,unknown,10.727476,8.670014,8.772916,10.720709,11.031657,16.114137,1,10.720709,10.727476,8.792209,10.720709,10.727476,12.043,8.001,4,unknown_vehicle
