natural_case_id,pair_id,frame,physical_vehicle_id,source_track_id,previous_complete_frame,next_complete_frame,truncation_direction,visible_parts,local_bbox_center,estimated_full_center,local_depth,estimated_full_depth,sar_gt_azimuth,sar_gt_radial,direct_projection_azimuth_error,direct_projection_radial_error
R1_NAT_0001,WGV35A_PAIR_0003,151,PV_GM17_WHITE_SUV,oty1t_obj_GM_RM017_bytetrack_bt_0010,,163,left,right_or_center_visible;left_side_outside_or_uncertain,"25.689,330.673",,12.264336,,-42.9511,532.931,2.451218,73.408743
R1_NAT_0002,WGV35A_PAIR_0006,152,PV_GM17_WHITE_SUV,oty1t_obj_GM_RM017_bytetrack_bt_0010,,163,left,right_or_center_visible;left_side_outside_or_uncertain,"36.818,330",,11.938991,,-42.5568,528.621,3.19069,46.730939
R1_NAT_0003,WGV35A_PAIR_0007,153,PV_GM17_WHITE_SUV,oty1t_obj_GM_RM017_bytetrack_bt_0010,,163,left,right_or_center_visible;left_side_outside_or_uncertain,"42.503,339.726",,11.613646,,-41.0111,518.435,2.223456,45.945486
R1_NAT_0004,WGV35A_PAIR_0010,154,PV_GM17_WHITE_SUV,oty1t_obj_GM_RM017_bytetrack_bt_0010,,163,left,right_or_center_visible;left_side_outside_or_uncertain,"54.546,347.727",,10.727476,,-40.2321,506.307,2.668048,24.218532
R1_NAT_0005,WGV35A_PAIR_0012,155,PV_GM17_WHITE_SUV,oty1t_obj_GM_RM017_bytetrack_bt_0010,,163,left,right_or_center_visible;left_side_outside_or_uncertain,"65.454,349.091",,10.642591,,-39.4391,500.909,2.981628,9.028549
R1_NAT_0006,WGV35A_PAIR_0014,156,PV_GM17_WHITE_SUV,oty1t_obj_GM_RM017_bytetrack_bt_0010,,163,left,right_or_center_visible;left_side_outside_or_uncertain,"70.471,351.527",,10.642591,,-37.5648,493.565,1.615585,12.189452
R1_NAT_0007,WGV35A_PAIR_0016,157,PV_GM17_WHITE_SUV,oty1t_obj_GM_RM017_bytetrack_bt_0010,,163,left,right_or_center_visible;left_side_outside_or_uncertain,"78.034,350.107",,10.642591,,-37.2899,485.124,2.10628,5.392552
R1_NAT_0008,WGV35A_PAIR_0021,159,PV_GM17_WHITE_SUV,oty1t_obj_GM_RM017_bytetrack_bt_0010,,163,left,right_or_center_visible;left_side_outside_or_uncertain,"93.99,350.719","94.389,350.724",10.823677,10.967053,-34.1324,470.457,0.561053,9.501309
R1_NAT_0009,WGV35A_PAIR_0023,159,PV_GM17_WHITE_SUV,oty1t_obj_GM_RM017_bytetrack_bt_0010,,163,left,right_or_center_visible;left_side_outside_or_uncertain,"93.986,350.721","94.389,350.724",10.823677,10.967053,-33.4408,462.867,0.130951,1.908122
R1_NAT_0010,WGV35A_PAIR_0025,160,PV_GM17_WHITE_SUV,oty1t_obj_GM_RM017_bytetrack_bt_0010,,163,left,right_or_center_visible;left_side_outside_or_uncertain,"102.604,351.798","102.767,349.858",10.823677,10.967053,-32.6885,464.178,0.014093,21.449767
R1_NAT_0011,WGV35A_PAIR_0027,160,PV_GM17_WHITE_SUV,oty1t_obj_GM_RM017_bytetrack_bt_0010,,163,left,right_or_center_visible;left_side_outside_or_uncertain,"102.602,351.799","102.767,349.858",10.823677,10.967053,-32.3996,459.501,0.303245,16.77241
R1_NAT_0012,WGV35A_PAIR_0030,161,PV_GM17_WHITE_SUV,oty1t_obj_GM_RM017_bytetrack_bt_0010,,163,left,right_or_center_visible;left_side_outside_or_uncertain,"113.721,350.461","113.073,348.992",10.686965,10.967053,-30.6021,455.063,0.980941,26.106101
