pair_id,frame,track_id,physical_vehicle_id,old_visibility_state,geometry_edge_state,visual_observation_state,visible_parts,direct_observable,temporally_recoverable,not_safely_recoverable,state_reason
WGV35A_PAIR_0001,145,oty1t_obj_GM_RM017_bytetrack_bt_0008,PV_GM17_DARK_LEAD_CANDIDATE,visibility=visible_main_observation;uncertainty=low_uncertainty;partial=none;boundary=none;multi=single_observation,left_contact,not_safely_recoverable,right_or_center_visible;left_side_outside_or_uncertain,false,false,true,not high-confidence or too local for safe full-vehicle state use
WGV35A_PAIR_0002,149,oty1t_obj_GM_RM017_bytetrack_bt_0008,PV_GM17_DARK_LEAD_CANDIDATE,visibility=visible_main_observation;uncertainty=moderate_uncertainty;partial=mixed_partial_full_observations;boundary=boundary_truncation_present;multi=multiple_observations,left_near_edge,not_safely_recoverable,right_or_center_visible;left_side_outside_or_uncertain,false,false,true,not high-confidence or too local for safe full-vehicle state use
WGV35A_PAIR_0004,151,oty1t_obj_GM_RM017_bytetrack_bt_0008,PV_GM17_DARK_LEAD_CANDIDATE,visibility=visible_main_observation;uncertainty=moderate_uncertainty;partial=partial_to_full_transition;boundary=boundary_truncation_present;multi=single_observation,left_near_edge,not_safely_recoverable,right_or_center_visible;left_side_outside_or_uncertain,false,false,true,not high-confidence or too local for safe full-vehicle state use
WGV35A_PAIR_0003,151,oty1t_obj_GM_RM017_bytetrack_bt_0010,PV_GM17_WHITE_SUV,visibility=visible_main_observation;uncertainty=moderate_uncertainty;partial=partial_to_full_transition;boundary=boundary_truncation_present;multi=single_observation,left_contact,temporally_recoverable,right_or_center_visible;left_side_outside_or_uncertain,false,true,false,bbox touches or approaches image boundary; temporal full-vehicle anchors are required
WGV35A_PAIR_0005,152,oty1t_obj_GM_RM017_bytetrack_bt_0008,PV_GM17_DARK_LEAD_CANDIDATE,visibility=visible_main_observation;uncertainty=moderate_uncertainty;partial=mixed_partial_full_observations;boundary=boundary_truncation_present;multi=multiple_observations,left_contact,not_safely_recoverable,right_or_center_visible;left_side_outside_or_uncertain,false,false,true,not high-confidence or too local for safe full-vehicle state use
WGV35A_PAIR_0006,152,oty1t_obj_GM_RM017_bytetrack_bt_0010,PV_GM17_WHITE_SUV,visibility=visible_main_observation;uncertainty=moderate_uncertainty;partial=mixed_partial_full_observations;boundary=boundary_truncation_present;multi=multiple_observations,left_near_edge,temporally_recoverable,right_or_center_visible;left_side_outside_or_uncertain,false,true,false,bbox touches or approaches image boundary; temporal full-vehicle anchors are required
WGV35A_PAIR_0008,153,oty1t_obj_GM_RM017_bytetrack_bt_0008,PV_GM17_DARK_LEAD_CANDIDATE,visibility=visible_main_observation;uncertainty=moderate_uncertainty;partial=partial_to_full_transition;boundary=boundary_truncation_present;multi=single_observation,left_near_edge,not_safely_recoverable,right_or_center_visible;left_side_outside_or_uncertain,false,false,true,not high-confidence or too local for safe full-vehicle state use
WGV35A_PAIR_0007,153,oty1t_obj_GM_RM017_bytetrack_bt_0010,PV_GM17_WHITE_SUV,visibility=visible_main_observation;uncertainty=moderate_uncertainty;partial=partial_to_full_transition;boundary=boundary_truncation_present;multi=single_observation,left_contact,temporally_recoverable,right_or_center_visible;left_side_outside_or_uncertain,false,true,false,bbox touches or approaches image boundary; temporal full-vehicle anchors are required
WGV35A_PAIR_0009,154,oty1t_obj_GM_RM017_bytetrack_bt_0008,PV_GM17_DARK_LEAD_CANDIDATE,visibility=visible_main_observation;uncertainty=moderate_uncertainty;partial=partial_to_full_transition;boundary=boundary_truncation_present;multi=single_observation,left_near_edge,not_safely_recoverable,right_or_center_visible;left_side_outside_or_uncertain,false,false,true,not high-confidence or too local for safe full-vehicle state use
WGV35A_PAIR_0010,154,oty1t_obj_GM_RM017_bytetrack_bt_0010,PV_GM17_WHITE_SUV,visibility=visible_main_observation;uncertainty=moderate_uncertainty;partial=partial_to_full_transition;boundary=boundary_truncation_present;multi=single_observation,left_near_edge,temporally_recoverable,right_or_center_visible;left_side_outside_or_uncertain,false,true,false,bbox touches or approaches image boundary; temporal full-vehicle anchors are required
WGV35A_PAIR_0011,155,oty1t_obj_GM_RM017_bytetrack_bt_0008,PV_GM17_DARK_LEAD_CANDIDATE,visibility=visible_main_observation;uncertainty=moderate_uncertainty;partial=partial_to_full_transition;boundary=boundary_truncation_present;multi=single_observation,no_edge_contact,not_safely_recoverable,full_body_approximately_visible,false,false,true,not high-confidence or too local for safe full-vehicle state use
WGV35A_PAIR_0012,155,oty1t_obj_GM_RM017_bytetrack_bt_0010,PV_GM17_WHITE_SUV,visibility=visible_main_observation;uncertainty=moderate_uncertainty;partial=partial_to_full_transition;boundary=boundary_truncation_present;multi=single_observation,left_near_edge,temporally_recoverable,right_or_center_visible;left_side_outside_or_uncertain,false,true,false,bbox touches or approaches image boundary; temporal full-vehicle anchors are required
WGV35A_PAIR_0013,156,oty1t_obj_GM_RM017_bytetrack_bt_0008,PV_GM17_DARK_LEAD_CANDIDATE,visibility=visible_main_observation;uncertainty=moderate_uncertainty;partial=none;boundary=none;multi=single_observation,no_edge_contact,not_safely_recoverable,full_body_approximately_visible,false,false,true,not high-confidence or too local for safe full-vehicle state use
WGV35A_PAIR_0014,156,oty1t_obj_GM_RM017_bytetrack_bt_0010,PV_GM17_WHITE_SUV,visibility=visible_main_observation;uncertainty=moderate_uncertainty;partial=none;boundary=boundary_truncation_present;multi=single_observation,left_contact,temporally_recoverable,right_or_center_visible;left_side_outside_or_uncertain,false,true,false,bbox touches or approaches image boundary; temporal full-vehicle anchors are required
WGV35A_PAIR_0015,157,oty1t_obj_GM_RM017_bytetrack_bt_0008,PV_GM17_DARK_LEAD_CANDIDATE,visibility=visible_main_observation;uncertainty=moderate_uncertainty;partial=none;boundary=none;multi=single_observation,no_edge_contact,not_safely_recoverable,full_body_approximately_visible,false,false,true,not high-confidence or too local for safe full-vehicle state use
WGV35A_PAIR_0016,157,oty1t_obj_GM_RM017_bytetrack_bt_0010,PV_GM17_WHITE_SUV,visibility=visible_main_observation;uncertainty=moderate_uncertainty;partial=none;boundary=boundary_truncation_present;multi=single_observation,left_contact,temporally_recoverable,right_or_center_visible;left_side_outside_or_uncertain,false,true,false,bbox touches or approaches image boundary; temporal full-vehicle anchors are required
