simulation_id,source_pair_id,physical_vehicle_id,source_frame,simulation_type,crop_ratio,original_bbox,simulated_bbox,original_depth,simulated_depth,original_center,simulated_center,truncation_direction
R1_SIM_0001,WGV35A_PAIR_0041,PV_GM17_WHITE_SUV,163,left_crop_20,0.2,"37.368,300.604,255.798,393.916","81.054,300.604,255.798,393.916",10.967053,10.878105,"146.583,347.26","168.426,347.26",left
R1_SIM_0002,WGV35A_PAIR_0041,PV_GM17_WHITE_SUV,163,left_crop_40,0.4,"37.368,300.604,255.798,393.916","124.74,300.604,255.798,393.916",10.967053,10.814036,"146.583,347.26","190.269,347.26",left
R1_SIM_0003,WGV35A_PAIR_0041,PV_GM17_WHITE_SUV,163,left_crop_60,0.6,"37.368,300.604,255.798,393.916","168.426,300.604,255.798,393.916",10.967053,10.762698,"146.583,347.26","212.112,347.26",left
R1_SIM_0004,WGV35A_PAIR_0041,PV_GM17_WHITE_SUV,163,right_crop_20,0.2,"37.368,300.604,255.798,393.916","37.368,300.604,212.112,393.916",10.967053,10.979228,"146.583,347.26","124.74,347.26",right
R1_SIM_0005,WGV35A_PAIR_0041,PV_GM17_WHITE_SUV,163,right_crop_40,0.4,"37.368,300.604,255.798,393.916","37.368,300.604,168.426,393.916",10.967053,11.029986,"146.583,347.26","102.897,347.26",right
R1_SIM_0006,WGV35A_PAIR_0041,PV_GM17_WHITE_SUV,163,right_crop_60,0.6,"37.368,300.604,255.798,393.916","37.368,300.604,124.74,393.916",10.967053,11.080815,"146.583,347.26","81.054,347.26",right
R1_SIM_0007,WGV35A_PAIR_0041,PV_GM17_WHITE_SUV,163,bottom_crop_20,0.2,"37.368,300.604,255.798,393.916","37.368,300.604,255.798,375.254",10.967053,10.985338,"146.583,347.26","146.583,337.929",bottom
R1_SIM_0008,WGV35A_PAIR_0041,PV_GM17_WHITE_SUV,163,bottom_crop_40,0.4,"37.368,300.604,255.798,393.916","37.368,300.604,255.798,356.591",10.967053,11.075194,"146.583,347.26","146.583,328.598",bottom
R1_SIM_0009,WGV35A_PAIR_0041,PV_GM17_WHITE_SUV,163,front_half_proxy,0.5,"37.368,300.604,255.798,393.916","146.583,300.604,255.798,393.916",10.967053,10.784799,"146.583,347.26","201.19,347.26",front_half
R1_SIM_0010,WGV35A_PAIR_0041,PV_GM17_WHITE_SUV,163,rear_half_proxy,0.5,"37.368,300.604,255.798,393.916","37.368,300.604,146.583,393.916",10.967053,11.052742,"146.583,347.26","91.975,347.26",rear_half
R1_SIM_0011,WGV35A_PAIR_0089,PV_GM17_DARK_FOLLOW,170,left_crop_20,0.2,"25.58,318.216,193.33,381.839","59.13,318.216,193.33,381.839",11.954849,11.900312,"109.455,350.028","126.23,350.028",left
R1_SIM_0012,WGV35A_PAIR_0089,PV_GM17_DARK_FOLLOW,170,left_crop_40,0.4,"25.58,318.216,193.33,381.839","92.68,318.216,193.33,381.839",11.954849,11.857488,"109.455,350.028","143.005,350.028",left
R1_SIM_0013,WGV35A_PAIR_0089,PV_GM17_DARK_FOLLOW,170,left_crop_60,0.6,"25.58,318.216,193.33,381.839","126.23,318.216,193.33,381.839",11.954849,11.801204,"109.455,350.028","159.78,350.028",left
R1_SIM_0014,WGV35A_PAIR_0089,PV_GM17_DARK_FOLLOW,170,right_crop_20,0.2,"25.58,318.216,193.33,381.839","25.58,318.216,159.78,381.839",11.954849,12.010277,"109.455,350.028","92.68,350.028",right
R1_SIM_0015,WGV35A_PAIR_0089,PV_GM17_DARK_FOLLOW,170,right_crop_40,0.4,"25.58,318.216,193.33,381.839","25.58,318.216,126.23,381.839",11.954849,12.077019,"109.455,350.028","75.905,350.028",right
R1_SIM_0016,WGV35A_PAIR_0089,PV_GM17_DARK_FOLLOW,170,right_crop_60,0.6,"25.58,318.216,193.33,381.839","25.58,318.216,92.68,381.839",11.954849,12.188603,"109.455,350.028","59.13,350.028",right
R1_SIM_0017,WGV35A_PAIR_0089,PV_GM17_DARK_FOLLOW,170,bottom_crop_20,0.2,"25.58,318.216,193.33,381.839","25.58,318.216,193.33,369.114",11.954849,11.982088,"109.455,350.028","109.455,343.665",bottom
R1_SIM_0018,WGV35A_PAIR_0089,PV_GM17_DARK_FOLLOW,170,bottom_crop_40,0.4,"25.58,318.216,193.33,381.839","25.58,318.216,193.33,356.39",11.954849,12.038046,"109.455,350.028","109.455,337.303",bottom
R1_SIM_0019,WGV35A_PAIR_0089,PV_GM17_DARK_FOLLOW,170,front_half_proxy,0.5,"25.58,318.216,193.33,381.839","25.58,318.216,109.455,381.839",11.954849,12.126141,"109.455,350.028","67.518,350.028",front_half
R1_SIM_0020,WGV35A_PAIR_0089,PV_GM17_DARK_FOLLOW,170,rear_half_proxy,0.5,"25.58,318.216,193.33,381.839","109.455,318.216,193.33,381.839",11.954849,11.83227,"109.455,350.028","151.393,350.028",rear_half
R1_SIM_0021,WGV35A_PAIR_0094,PV_GM17_WHITE_SUV,171,left_crop_20,0.2,"177.566,292.003,401.417,386.439","222.336,292.003,401.417,386.439",9.911585,9.892724,"289.491,339.221","311.877,339.221",left
R1_SIM_0022,WGV35A_PAIR_0094,PV_GM17_WHITE_SUV,171,left_crop_40,0.4,"177.566,292.003,401.417,386.439","267.106,292.003,401.417,386.439",9.911585,9.869252,"289.491,339.221","334.262,339.221",left
