pair_id,frame,sar_frame,track_id,physical_vehicle_id,old_visibility_state,geometry_edge_state,observation_state,visible_whole_body,visible_front,visible_rear,visible_side,visible_roof,visible_window,unknown_fragment,left_truncated,right_truncated,bottom_truncated,occluded,multi_vehicle,visible_parts,depth_quality,state_reason,incorrect_old_visibility_label
WGV35A_PAIR_0200,0,0,oty1t_obj_GM_RM019_bytetrack_bt_0001,PV_GM19_BLACK_SEDAN_NEAR_FIELD,visibility=visible_main_observation;uncertainty=low_uncertainty;partial=none;boundary=none;multi=single_observation,right_contact;bottom_contact;right_near_edge;bottom_near_edge,not_safely_recoverable,false,true,true,true,false,true,false,false,true,true,false,false,"black sedan side, bottom and right side truncated",relative_depth_near_field_scale_shift_risk,"non-high-confidence, fragmentary, or identity-unsafe observation",true
WGV35A_PAIR_0201,2,4,oty1t_obj_GM_RM019_bytetrack_bt_0001,PV_GM19_BLACK_SEDAN_NEAR_FIELD,visibility=visible_main_observation;uncertainty=low_uncertainty;partial=none;boundary=none;multi=single_observation,right_contact;bottom_contact;right_near_edge;bottom_near_edge,not_safely_recoverable,false,true,true,true,false,true,false,false,true,true,false,false,"black sedan side, bottom and right side truncated",relative_depth_near_field_scale_shift_risk,"non-high-confidence, fragmentary, or identity-unsafe observation",true
WGV35A_PAIR_0202,4,8,oty1t_obj_GM_RM019_bytetrack_bt_0001,PV_GM19_BLACK_SEDAN_NEAR_FIELD,visibility=visible_main_observation;uncertainty=low_uncertainty;partial=none;boundary=none;multi=single_observation,right_contact;bottom_contact;right_near_edge;bottom_near_edge,not_safely_recoverable,false,true,true,true,false,true,false,false,true,true,false,false,"black sedan side, bottom and right side truncated",relative_depth_near_field_scale_shift_risk,"non-high-confidence, fragmentary, or identity-unsafe observation",true
WGV35A_PAIR_0204,13,27,oty1t_obj_GM_RM019_bytetrack_bt_0005,PV_GM19_WHITE_SUV_NEAR_FIELD,visibility=visible_main_observation;uncertainty=low_uncertainty;partial=none;boundary=none;multi=single_observation,left_contact;bottom_contact;left_near_edge;bottom_near_edge,not_safely_recoverable,false,true,true,true,false,true,false,true,false,true,false,false,"white SUV side, near-field bottom truncated and left/right edge phases",relative_depth_near_field_scale_shift_risk,real near-field truncation exists but no same-vehicle direct-observable anchors are available,true
WGV35A_PAIR_0203,13,27,oty1t_obj_GM_RM019_bytetrack_bt_0009,PV_GM19_RIGHT_DARK_FRAGMENT,visibility=visible_main_observation;uncertainty=low_uncertainty;partial=none;boundary=none;multi=single_observation,right_contact;right_near_edge;bottom_near_edge,not_safely_recoverable,false,true,false,true,false,true,true,false,true,true,false,true,right-edge dark vehicle fragment near simultaneous white SUV,relative_depth_near_field_scale_shift_risk,"non-high-confidence, fragmentary, or identity-unsafe observation",true
WGV35A_PAIR_0205,15,31,oty1t_obj_GM_RM019_bytetrack_bt_0005,PV_GM19_WHITE_SUV_NEAR_FIELD,visibility=visible_main_observation;uncertainty=low_uncertainty;partial=none;boundary=none;multi=single_observation,left_contact;bottom_contact;left_near_edge;bottom_near_edge,not_safely_recoverable,false,true,true,true,false,true,false,true,false,true,false,false,"white SUV side, near-field bottom truncated and left/right edge phases",relative_depth_near_field_scale_shift_risk,real near-field truncation exists but no same-vehicle direct-observable anchors are available,true
WGV35A_PAIR_0206,37,77,oty1t_obj_GM_RM019_bytetrack_bt_0005,PV_GM19_WHITE_SUV_NEAR_FIELD,visibility=visible_main_observation;uncertainty=low_uncertainty;partial=none;boundary=none;multi=single_observation,right_contact;bottom_contact;right_near_edge;bottom_near_edge,not_safely_recoverable,false,true,true,true,false,true,false,false,true,true,false,false,"white SUV side, near-field bottom truncated and left/right edge phases",relative_depth_near_field_scale_shift_risk,real near-field truncation exists but no same-vehicle direct-observable anchors are available,true
WGV35A_PAIR_0207,39,81,oty1t_obj_GM_RM019_bytetrack_bt_0005,PV_GM19_WHITE_SUV_NEAR_FIELD,visibility=visible_main_observation;uncertainty=low_uncertainty;partial=none;boundary=none;multi=single_observation,right_contact;bottom_contact;right_near_edge;bottom_near_edge,not_safely_recoverable,false,true,true,true,false,true,false,false,true,true,false,false,"white SUV side, near-field bottom truncated and left/right edge phases",relative_depth_near_field_scale_shift_risk,real near-field truncation exists but no same-vehicle direct-observable anchors are available,true
WGV35A_PAIR_0208,102,212,oty1t_obj_GM_RM019_bytetrack_bt_0080,PV_GM19_SILVER_MPV_NEAR_FIELD,visibility=visible_main_observation;uncertainty=low_uncertainty;partial=none;boundary=none;multi=single_observation,left_contact;left_near_edge,not_safely_recoverable,false,true,true,true,false,true,true,true,false,false,false,false,"silver MPV side, strong near-field bottom/edge truncation",relative_depth_background_or_edge_risk,"non-high-confidence, fragmentary, or identity-unsafe observation",true
WGV35A_PAIR_0209,114,238,oty1t_obj_GM_RM019_bytetrack_bt_0080,PV_GM19_SILVER_MPV_NEAR_FIELD,visibility=visible_main_observation;uncertainty=low_uncertainty;partial=none;boundary=none;multi=single_observation,left_contact;bottom_contact;left_near_edge;bottom_near_edge,not_safely_recoverable,false,true,true,true,false,true,false,true,false,true,false,false,"silver MPV side, strong near-field bottom/edge truncation",relative_depth_near_field_scale_shift_risk,real near-field truncation exists but no same-vehicle direct-observable anchors are available,true
