pair_id,physical_vehicle_id,frame,observation_state,previous_direct_observable_frame,next_direct_observable_frame,recovery_mode,recovered_center_x,recovered_center_y,recovered_width,recovered_height,recovered_depth,recovery_confidence,blocked_reason
WGV35A_PAIR_0200,PV_GM19_BLACK_SEDAN_NEAR_FIELD,0,not_safely_recoverable,,,blocked,,,,,,0,insufficient_complete_anchor
WGV35A_PAIR_0201,PV_GM19_BLACK_SEDAN_NEAR_FIELD,2,not_safely_recoverable,,,blocked,,,,,,0,insufficient_complete_anchor
WGV35A_PAIR_0202,PV_GM19_BLACK_SEDAN_NEAR_FIELD,4,not_safely_recoverable,,,blocked,,,,,,0,insufficient_complete_anchor
WGV35A_PAIR_0204,PV_GM19_WHITE_SUV_NEAR_FIELD,13,not_safely_recoverable,,,blocked,,,,,,0,insufficient_complete_anchor
WGV35A_PAIR_0203,PV_GM19_RIGHT_DARK_FRAGMENT,13,not_safely_recoverable,,,blocked,,,,,,0,insufficient_complete_anchor
WGV35A_PAIR_0205,PV_GM19_WHITE_SUV_NEAR_FIELD,15,not_safely_recoverable,,,blocked,,,,,,0,insufficient_complete_anchor
WGV35A_PAIR_0206,PV_GM19_WHITE_SUV_NEAR_FIELD,37,not_safely_recoverable,,,blocked,,,,,,0,insufficient_complete_anchor
WGV35A_PAIR_0207,PV_GM19_WHITE_SUV_NEAR_FIELD,39,not_safely_recoverable,,,blocked,,,,,,0,insufficient_complete_anchor
WGV35A_PAIR_0208,PV_GM19_SILVER_MPV_NEAR_FIELD,102,not_safely_recoverable,,,blocked,,,,,,0,insufficient_complete_anchor
WGV35A_PAIR_0209,PV_GM19_SILVER_MPV_NEAR_FIELD,114,not_safely_recoverable,,,blocked,,,,,,0,insufficient_complete_anchor
WGV35A_PAIR_0210,PV_GM19_SILVER_MPV_NEAR_FIELD,129,not_safely_recoverable,,,blocked,,,,,,0,insufficient_complete_anchor
WGV35A_PAIR_0211,PV_GM19_SILVER_MPV_NEAR_FIELD,131,not_safely_recoverable,,,blocked,,,,,,0,insufficient_complete_anchor
WGV35A_PAIR_0212,PV_GM19_SILVER_MPV_NEAR_FIELD,138,not_safely_recoverable,,,blocked,,,,,,0,insufficient_complete_anchor
WGV35A_PAIR_0213,PV_GM19_SILVER_MPV_NEAR_FIELD,139,not_safely_recoverable,,,blocked,,,,,,0,insufficient_complete_anchor
WGV35A_PAIR_0214,PV_GM19_GRAY_CAR_LEFT_EDGE,151,not_safely_recoverable,,,blocked,,,,,,0,insufficient_complete_anchor
WGV35A_PAIR_0215,PV_GM19_GRAY_CAR_LEFT_EDGE,152,not_safely_recoverable,,,blocked,,,,,,0,insufficient_complete_anchor
