pair_id,physical_vehicle_id,previous_optical_anchor,next_optical_anchor,anchor_gap,recovered_center,recovered_size,recovered_depth,recovery_confidence,blocked_reason
WGV35A_PAIR_0200,PV_GM19_BLACK_SEDAN_NEAR_FIELD,,,,,,,0,no_full_stream_optical_anchor_for_vehicle
WGV35A_PAIR_0201,PV_GM19_BLACK_SEDAN_NEAR_FIELD,,,,,,,0,no_full_stream_optical_anchor_for_vehicle
WGV35A_PAIR_0202,PV_GM19_BLACK_SEDAN_NEAR_FIELD,,,,,,,0,no_full_stream_optical_anchor_for_vehicle
WGV35A_PAIR_0203,PV_GM19_RIGHT_DARK_FRAGMENT,,,,,,,0,no_full_stream_optical_anchor_for_vehicle
WGV35A_PAIR_0204,PV_GM19_WHITE_SUV_NEAR_FIELD,,20,7,"264.3055,418.821","338.671,308.354",3.608809,0.611111,
WGV35A_PAIR_0205,PV_GM19_WHITE_SUV_NEAR_FIELD,,20,5,"264.3055,418.821","338.671,308.354",3.608809,0.722222,
WGV35A_PAIR_0206,PV_GM19_WHITE_SUV_NEAR_FIELD,31,,6,"559.2815,447.428","468.981,298.86",2.88976,0.48,
WGV35A_PAIR_0207,PV_GM19_WHITE_SUV_NEAR_FIELD,31,,8,"559.2815,447.428","468.981,298.86",2.88976,0.4,
WGV35A_PAIR_0208,PV_GM19_SILVER_MPV_NEAR_FIELD,,119,17,,,,0,one_sided_anchor_gap_too_large
WGV35A_PAIR_0209,PV_GM19_SILVER_MPV_NEAR_FIELD,,119,5,"256.394,432.3165","353.574,321.275",3.163009,0.635556,
WGV35A_PAIR_0210,PV_GM19_SILVER_MPV_NEAR_FIELD,124,,5,"432.061,429.963","456.862,335.356",3.491174,0.635556,
WGV35A_PAIR_0211,PV_GM19_SILVER_MPV_NEAR_FIELD,124,,7,"432.061,429.963","456.862,335.356",3.491174,0.537778,
WGV35A_PAIR_0212,PV_GM19_SILVER_MPV_NEAR_FIELD,124,,14,,,,0,one_sided_anchor_gap_too_large
WGV35A_PAIR_0213,PV_GM19_SILVER_MPV_NEAR_FIELD,124,,15,,,,0,one_sided_anchor_gap_too_large
WGV35A_PAIR_0214,PV_GM19_GRAY_CAR_LEFT_EDGE,,170,19,,,,0,one_sided_anchor_gap_too_large
WGV35A_PAIR_0215,PV_GM19_GRAY_CAR_LEFT_EDGE,,170,18,,,,0,one_sided_anchor_gap_too_large
