pair_id,physical_vehicle_id,optical_frame,sar_frame,optical_state_source,direct_or_recovered,state_confidence,usable_as_scene_calibration_anchor,blocked_reason
WGV35A_PAIR_0200,PV_GM19_BLACK_SEDAN_NEAR_FIELD,0,0,anchorless_track_level_completion,Z1B,0.66,false,low_confidence_or_not_high_confidence_pair
WGV35A_PAIR_0201,PV_GM19_BLACK_SEDAN_NEAR_FIELD,2,4,anchorless_track_level_completion,Z1B,0.66,false,low_confidence_or_not_high_confidence_pair
WGV35A_PAIR_0202,PV_GM19_BLACK_SEDAN_NEAR_FIELD,4,8,anchorless_track_level_completion,Z1B,0.5,false,low_confidence_or_not_high_confidence_pair
WGV35A_PAIR_0203,PV_GM19_RIGHT_DARK_FRAGMENT,13,27,,blocked,0,false,insufficient_temporal_extent
WGV35A_PAIR_0204,PV_GM19_WHITE_SUV_NEAR_FIELD,13,27,optical_recovery_anchor_interpolation,Z1A,0.611111,true,
WGV35A_PAIR_0205,PV_GM19_WHITE_SUV_NEAR_FIELD,15,31,optical_recovery_anchor_interpolation,Z1A,0.722222,true,
WGV35A_PAIR_0206,PV_GM19_WHITE_SUV_NEAR_FIELD,37,77,optical_recovery_anchor_interpolation,Z1A,0.48,true,
WGV35A_PAIR_0207,PV_GM19_WHITE_SUV_NEAR_FIELD,39,81,optical_recovery_anchor_interpolation,Z1A,0.4,false,low_confidence_or_not_high_confidence_pair
WGV35A_PAIR_0208,PV_GM19_SILVER_MPV_NEAR_FIELD,102,212,anchorless_track_level_completion,Z1B,0.72,true,
WGV35A_PAIR_0209,PV_GM19_SILVER_MPV_NEAR_FIELD,114,238,optical_recovery_anchor_interpolation,Z1A,0.635556,true,
WGV35A_PAIR_0210,PV_GM19_SILVER_MPV_NEAR_FIELD,129,269,optical_recovery_anchor_interpolation,Z1A,0.635556,true,
WGV35A_PAIR_0211,PV_GM19_SILVER_MPV_NEAR_FIELD,131,273,optical_recovery_anchor_interpolation,Z1A,0.537778,true,
WGV35A_PAIR_0212,PV_GM19_SILVER_MPV_NEAR_FIELD,138,288,anchorless_track_level_completion,Z1B,0.35,false,low_confidence_or_not_high_confidence_pair
WGV35A_PAIR_0213,PV_GM19_SILVER_MPV_NEAR_FIELD,139,290,anchorless_track_level_completion,Z1B,0.35,false,low_confidence_or_not_high_confidence_pair
WGV35A_PAIR_0214,PV_GM19_GRAY_CAR_LEFT_EDGE,151,315,anchorless_track_level_completion,Z1B,0.72,true,
WGV35A_PAIR_0215,PV_GM19_GRAY_CAR_LEFT_EDGE,152,317,anchorless_track_level_completion,Z1B,0.7,true,
