experiment_id,experiment_type,method,physical_vehicle_id,source_pair_id,hidden_target_pair_id,sar_frame,frame_offset,hidden_target_coverage,hidden_target_iou,prediction_center_to_visible_response_center,prediction_region_area,search_window_area,static_fan_geometry_area,search_ratio,prediction_status,selection_status,first_lost_frame,consecutive_missing_length,ambiguous_frame_count,measured_response_switch_count,cumulative_drift_from_source,frozen_predictions_sha256_verified,target_box_loaded_phase
ADJ_0204_TO_0205,adjacent_hidden_anchor,C0,PV_GM19_WHITE_SUV_NEAR_FIELD,WGV35A_PAIR_0204,WGV35A_PAIR_0205,31,4,1,0.8563,8.499648,13142.1717,13142.1717,2628414,0.005,fixed_anchor_baseline,fixed_anchor_no_sar_response_read,,0,0,0,0,31ce1b65317fea5b1cb2a5b37afb8c2eb79416de625801d8e0ddef6da7df9c31,evaluate_only
ADJ_0204_TO_0205,adjacent_hidden_anchor,C1,PV_GM19_WHITE_SUV_NEAR_FIELD,WGV35A_PAIR_0204,WGV35A_PAIR_0205,31,4,1,0.8563,8.499648,13142.1717,38962.2997,2628414,0.014824,ambiguous_response,ambiguous_response,28,0,4,0,0,31ce1b65317fea5b1cb2a5b37afb8c2eb79416de625801d8e0ddef6da7df9c31,evaluate_only
ADJ_0204_TO_0205,adjacent_hidden_anchor,C2,PV_GM19_WHITE_SUV_NEAR_FIELD,WGV35A_PAIR_0204,WGV35A_PAIR_0205,31,4,0.693498,0.470386,22.986468,13142.1717,42228.6997,2628414,0.016066,ambiguous_response,ambiguous_response,29,0,2,0,26.96535,31ce1b65317fea5b1cb2a5b37afb8c2eb79416de625801d8e0ddef6da7df9c31,evaluate_only
ADJ_0205_TO_0206,adjacent_hidden_anchor,C0,PV_GM19_WHITE_SUV_NEAR_FIELD,WGV35A_PAIR_0205,WGV35A_PAIR_0206,77,46,0,0,197.11602,11253.641796,11253.641796,2628414,0.004282,fixed_anchor_baseline,fixed_anchor_no_sar_response_read,,0,0,0,0,31ce1b65317fea5b1cb2a5b37afb8c2eb79416de625801d8e0ddef6da7df9c31,evaluate_only
ADJ_0205_TO_0206,adjacent_hidden_anchor,C1,PV_GM19_WHITE_SUV_NEAR_FIELD,WGV35A_PAIR_0205,WGV35A_PAIR_0206,77,46,0,0,101.100419,11253.641796,35540.521796,2628414,0.013522,ambiguous_response,ambiguous_response,32,0,45,0,173.25238,31ce1b65317fea5b1cb2a5b37afb8c2eb79416de625801d8e0ddef6da7df9c31,evaluate_only
ADJ_0205_TO_0206,adjacent_hidden_anchor,C2,PV_GM19_WHITE_SUV_NEAR_FIELD,WGV35A_PAIR_0205,WGV35A_PAIR_0206,77,46,0,0,656.121844,7688.0356,32374.26809,2628414,0.012317,observed_response,selected_unique_component_after_hard_gate,33,0,15,0,852.456503,31ce1b65317fea5b1cb2a5b37afb8c2eb79416de625801d8e0ddef6da7df9c31,evaluate_only
ADJ_0206_TO_0207,adjacent_hidden_anchor,C0,PV_GM19_WHITE_SUV_NEAR_FIELD,WGV35A_PAIR_0206,WGV35A_PAIR_0207,81,4,0.898568,0.736034,12.049722,12545.40474,12545.40474,2628414,0.004773,fixed_anchor_baseline,fixed_anchor_no_sar_response_read,,0,0,0,0,31ce1b65317fea5b1cb2a5b37afb8c2eb79416de625801d8e0ddef6da7df9c31,evaluate_only
ADJ_0206_TO_0207,adjacent_hidden_anchor,C1,PV_GM19_WHITE_SUV_NEAR_FIELD,WGV35A_PAIR_0206,WGV35A_PAIR_0207,81,4,0.898568,0.736034,12.049722,12545.40474,37742.98874,2628414,0.01436,ambiguous_response,ambiguous_response,78,0,4,0,0,31ce1b65317fea5b1cb2a5b37afb8c2eb79416de625801d8e0ddef6da7df9c31,evaluate_only
ADJ_0206_TO_0207,adjacent_hidden_anchor,C2,PV_GM19_WHITE_SUV_NEAR_FIELD,WGV35A_PAIR_0206,WGV35A_PAIR_0207,81,4,0.898568,0.736034,12.049722,12545.40474,41057.53274,2628414,0.015621,ambiguous_response,ambiguous_response,78,0,4,0,0,31ce1b65317fea5b1cb2a5b37afb8c2eb79416de625801d8e0ddef6da7df9c31,evaluate_only
ADJ_0208_TO_0209,adjacent_hidden_anchor,C0,PV_GM19_SILVER_MPV_NEAR_FIELD,WGV35A_PAIR_0208,WGV35A_PAIR_0209,238,26,0.373204,0.192907,96.663416,13003.845572,13003.845572,2628414,0.004947,fixed_anchor_baseline,fixed_anchor_no_sar_response_read,,0,0,0,0,31ce1b65317fea5b1cb2a5b37afb8c2eb79416de625801d8e0ddef6da7df9c31,evaluate_only
ADJ_0208_TO_0209,adjacent_hidden_anchor,C1,PV_GM19_SILVER_MPV_NEAR_FIELD,WGV35A_PAIR_0208,WGV35A_PAIR_0209,238,26,0.494538,0.272728,54.357845,13003.845572,38332.453572,2628414,0.014584,ambiguous_response,ambiguous_response,213,0,24,0,60.508321,31ce1b65317fea5b1cb2a5b37afb8c2eb79416de625801d8e0ddef6da7df9c31,evaluate_only
ADJ_0208_TO_0209,adjacent_hidden_anchor,C2,PV_GM19_SILVER_MPV_NEAR_FIELD,WGV35A_PAIR_0208,WGV35A_PAIR_0209,238,26,0,0,174.864464,13003.845572,41842.309572,2628414,0.015919,missing_observation,missing_observation,214,4,8,0,265.968924,31ce1b65317fea5b1cb2a5b37afb8c2eb79416de625801d8e0ddef6da7df9c31,evaluate_only
ADJ_0209_TO_0210,adjacent_hidden_anchor,C0,PV_GM19_SILVER_MPV_NEAR_FIELD,WGV35A_PAIR_0209,WGV35A_PAIR_0210,269,31,0.228262,0.131647,108.824796,9942.98256,9942.98256,2628414,0.003783,fixed_anchor_baseline,fixed_anchor_no_sar_response_read,,0,0,0,0,31ce1b65317fea5b1cb2a5b37afb8c2eb79416de625801d8e0ddef6da7df9c31,evaluate_only
ADJ_0209_TO_0210,adjacent_hidden_anchor,C1,PV_GM19_SILVER_MPV_NEAR_FIELD,WGV35A_PAIR_0209,WGV35A_PAIR_0210,269,31,0.448232,0.296072,49.70154,9942.98256,32925.41456,2628414,0.012527,observed_response,selected_unique_component_after_hard_gate,239,0,29,0,69.388623,31ce1b65317fea5b1cb2a5b37afb8c2eb79416de625801d8e0ddef6da7df9c31,evaluate_only
ADJ_0209_TO_0210,adjacent_hidden_anchor,C2,PV_GM19_SILVER_MPV_NEAR_FIELD,WGV35A_PAIR_0209,WGV35A_PAIR_0210,269,31,0,0,174.833503,9942.98256,36189.12656,2628414,0.013768,missing_observation,missing_observation,242,1,24,0,248.939974,31ce1b65317fea5b1cb2a5b37afb8c2eb79416de625801d8e0ddef6da7df9c31,evaluate_only
ADJ_0210_TO_0211,adjacent_hidden_anchor,C0,PV_GM19_SILVER_MPV_NEAR_FIELD,WGV35A_PAIR_0210,WGV35A_PAIR_0211,273,4,0.920889,0.846561,8.104961,10334.01699,10334.01699,2628414,0.003932,fixed_anchor_baseline,fixed_anchor_no_sar_response_read,,0,0,0,0,31ce1b65317fea5b1cb2a5b37afb8c2eb79416de625801d8e0ddef6da7df9c31,evaluate_only
ADJ_0210_TO_0211,adjacent_hidden_anchor,C1,PV_GM19_SILVER_MPV_NEAR_FIELD,WGV35A_PAIR_0210,WGV35A_PAIR_0211,273,4,0.920889,0.846561,8.104961,10334.01699,33719.16099,2628414,0.012829,ambiguous_response,ambiguous_response,270,0,4,0,0,31ce1b65317fea5b1cb2a5b37afb8c2eb79416de625801d8e0ddef6da7df9c31,evaluate_only
ADJ_0210_TO_0211,adjacent_hidden_anchor,C2,PV_GM19_SILVER_MPV_NEAR_FIELD,WGV35A_PAIR_0210,WGV35A_PAIR_0211,273,4,0.774872,0.628029,22.925254,10334.01699,36934.46499,2628414,0.014052,observed_response,selected_unique_component_after_hard_gate,270,0,3,0,31.029989,31ce1b65317fea5b1cb2a5b37afb8c2eb79416de625801d8e0ddef6da7df9c31,evaluate_only
ADJ_0211_TO_0212,adjacent_hidden_anchor,C0,PV_GM19_SILVER_MPV_NEAR_FIELD,WGV35A_PAIR_0211,WGV35A_PAIR_0212,288,15,0.764685,0.637165,30.586588,10245.0036,10245.0036,2628414,0.003898,fixed_anchor_baseline,fixed_anchor_no_sar_response_read,,0,0,0,0,31ce1b65317fea5b1cb2a5b37afb8c2eb79416de625801d8e0ddef6da7df9c31,evaluate_only
ADJ_0211_TO_0212,adjacent_hidden_anchor,C1,PV_GM19_SILVER_MPV_NEAR_FIELD,WGV35A_PAIR_0211,WGV35A_PAIR_0212,288,15,0.764685,0.637165,30.586588,10245.0036,33565.8036,2628414,0.01277,ambiguous_response,ambiguous_response,274,0,15,0,0,31ce1b65317fea5b1cb2a5b37afb8c2eb79416de625801d8e0ddef6da7df9c31,evaluate_only
