experiment_id,method,physical_vehicle_id,sar_frame,sync_shift_sar_frames,estimated_optical_frame,optical_velocity_x_sign,sar_azimuth_delta_sign,azimuth_relation_consistent,optical_depth_velocity_sign,sar_radial_delta_sign,radial_relation_consistent,single_frame_consistency,window3_consistency,window5_consistency,relation_used_for_filtering,notes
ADJ_0204_TO_0205,C1A,PV_GM19_WHITE_SUV_NEAR_FIELD,28,-1,13,positive,positive,true,negative,negative,true,true,1,1,false,O1 bypass diagnostic only; optical state did not delete SAR assemblies.
ADJ_0204_TO_0205,C1A,PV_GM19_WHITE_SUV_NEAR_FIELD,28,0,13.48,positive,positive,true,negative,negative,true,true,1,1,false,O1 bypass diagnostic only; optical state did not delete SAR assemblies.
ADJ_0204_TO_0205,C1A,PV_GM19_WHITE_SUV_NEAR_FIELD,28,1,13.96,positive,positive,true,positive,negative,false,false,0,0,false,O1 bypass diagnostic only; optical state did not delete SAR assemblies.
ADJ_0204_TO_0205,C1A,PV_GM19_WHITE_SUV_NEAR_FIELD,29,-1,13.48,positive,positive,true,negative,negative,true,true,1,1,false,O1 bypass diagnostic only; optical state did not delete SAR assemblies.
ADJ_0204_TO_0205,C1A,PV_GM19_WHITE_SUV_NEAR_FIELD,29,0,13.96,positive,positive,true,positive,negative,false,false,0.5,0.5,false,O1 bypass diagnostic only; optical state did not delete SAR assemblies.
ADJ_0204_TO_0205,C1A,PV_GM19_WHITE_SUV_NEAR_FIELD,29,1,14.44,positive,positive,true,positive,negative,false,false,0,0,false,O1 bypass diagnostic only; optical state did not delete SAR assemblies.
ADJ_0204_TO_0205,C1B,PV_GM19_WHITE_SUV_NEAR_FIELD,28,-1,13,positive,positive,true,negative,negative,true,true,1,1,false,O1 bypass diagnostic only; optical state did not delete SAR assemblies.
ADJ_0204_TO_0205,C1B,PV_GM19_WHITE_SUV_NEAR_FIELD,28,0,13.48,positive,positive,true,negative,negative,true,true,1,1,false,O1 bypass diagnostic only; optical state did not delete SAR assemblies.
ADJ_0204_TO_0205,C1B,PV_GM19_WHITE_SUV_NEAR_FIELD,28,1,13.96,positive,positive,true,positive,negative,false,false,0,0,false,O1 bypass diagnostic only; optical state did not delete SAR assemblies.
ADJ_0204_TO_0205,C1B,PV_GM19_WHITE_SUV_NEAR_FIELD,29,-1,13.48,positive,positive,true,negative,negative,true,true,1,1,false,O1 bypass diagnostic only; optical state did not delete SAR assemblies.
ADJ_0204_TO_0205,C1B,PV_GM19_WHITE_SUV_NEAR_FIELD,29,0,13.96,positive,positive,true,positive,negative,false,false,0.5,0.5,false,O1 bypass diagnostic only; optical state did not delete SAR assemblies.
ADJ_0204_TO_0205,C1B,PV_GM19_WHITE_SUV_NEAR_FIELD,29,1,14.44,positive,positive,true,positive,negative,false,false,0,0,false,O1 bypass diagnostic only; optical state did not delete SAR assemblies.
