experiment_id,method,physical_vehicle_id,source_pair_id,source_sar_frame,source_optical_frame,source_assembly_id,source_component_count,assembly_centroid,assembly_envelope,azimuth_span,radial_span,total_area,total_intensity,peak_intensity,source_anchor_structure_similarity,frozen_predictions_sha256,notes
ADJ_0204_TO_0205,C1A_C1B_source,PV_GM19_WHITE_SUV_NEAR_FIELD,WGV35A_PAIR_0204,27,13,src_27_assembly,1,"1116.400,1183.775","1038.000,1155.000,1169.000,1235.000",0,0,868,75633.003052,140,1,96cf4920e47b0a0d8b6e9e6776ea179a71b1b2b5d6827e79d60703b2d83965bb,Source assembly extracted only inside source anchor box plus fixed small margin.
ADJ_0205_TO_0206,C1A_C1B_source,PV_GM19_WHITE_SUV_NEAR_FIELD,WGV35A_PAIR_0205,31,15,src_31_assembly,3,"1117.236,1205.426","1040.000,1159.000,1168.000,1247.000",32.775274,14.698288,792,73910.999893,186,1,96cf4920e47b0a0d8b6e9e6776ea179a71b1b2b5d6827e79d60703b2d83965bb,Source assembly extracted only inside source anchor box plus fixed small margin.
ADJ_0206_TO_0207,C1A_C1B_source,PV_GM19_WHITE_SUV_NEAR_FIELD,WGV35A_PAIR_0206,77,37,src_77_assembly,3,"1229.231,1206.985","1170.000,1157.000,1346.000,1256.000",19.736439,76.131195,938,61855.997803,137,1,96cf4920e47b0a0d8b6e9e6776ea179a71b1b2b5d6827e79d60703b2d83965bb,Source assembly extracted only inside source anchor box plus fixed small margin.
ADJ_0208_TO_0209,C1A_C1B_source,PV_GM19_SILVER_MPV_NEAR_FIELD,WGV35A_PAIR_0208,212,102,src_212_assembly,1,"1050.905,1188.818","961.000,1150.000,1105.000,1246.000",0,0,873,85096.9991,164,1,96cf4920e47b0a0d8b6e9e6776ea179a71b1b2b5d6827e79d60703b2d83965bb,Source assembly extracted only inside source anchor box plus fixed small margin.
ADJ_0209_TO_0210,C1A_C1B_source,PV_GM19_SILVER_MPV_NEAR_FIELD,WGV35A_PAIR_0209,238,114,src_238_assembly,1,"1122.915,1210.978","1051.000,1159.000,1171.000,1255.000",0,0,647,74507.99913,251,1,96cf4920e47b0a0d8b6e9e6776ea179a71b1b2b5d6827e79d60703b2d83965bb,Source assembly extracted only inside source anchor box plus fixed small margin.
ADJ_0210_TO_0211,C1A_C1B_source,PV_GM19_SILVER_MPV_NEAR_FIELD,WGV35A_PAIR_0210,269,129,src_269_assembly,2,"1177.749,1208.137","1131.000,1162.000,1275.000,1250.000",7.373184,41.900513,902,84103.998474,175,1,96cf4920e47b0a0d8b6e9e6776ea179a71b1b2b5d6827e79d60703b2d83965bb,Source assembly extracted only inside source anchor box plus fixed small margin.
ADJ_0211_TO_0212,C1A_C1B_source,PV_GM19_SILVER_MPV_NEAR_FIELD,WGV35A_PAIR_0211,273,131,src_273_assembly,3,"1193.536,1207.508","1139.000,1164.000,1283.000,1252.000",28.335651,49.788818,931,61386.003082,116,1,96cf4920e47b0a0d8b6e9e6776ea179a71b1b2b5d6827e79d60703b2d83965bb,Source assembly extracted only inside source anchor box plus fixed small margin.
ADJ_0212_TO_0213,C1A_C1B_source,PV_GM19_SILVER_MPV_NEAR_FIELD,WGV35A_PAIR_0212,288,138,src_288_assembly,3,"1241.794,1196.462","1170.000,1162.000,1306.000,1242.000",13.268406,57.04628,835,54747.997704,119,1,96cf4920e47b0a0d8b6e9e6776ea179a71b1b2b5d6827e79d60703b2d83965bb,Source assembly extracted only inside source anchor box plus fixed small margin.
OPEN_WHITE_0204_TO_0207,C1A_C1B_source,PV_GM19_WHITE_SUV_NEAR_FIELD,WGV35A_PAIR_0204,27,13,src_27_assembly,1,"1116.400,1183.775","1038.000,1155.000,1169.000,1235.000",0,0,868,75633.003052,140,1,96cf4920e47b0a0d8b6e9e6776ea179a71b1b2b5d6827e79d60703b2d83965bb,Source assembly extracted only inside source anchor box plus fixed small margin.
OPEN_SILVER_0208_TO_0213,C1A_C1B_source,PV_GM19_SILVER_MPV_NEAR_FIELD,WGV35A_PAIR_0208,212,102,src_212_assembly,1,"1050.905,1188.818","961.000,1150.000,1105.000,1246.000",0,0,873,85096.9991,164,1,96cf4920e47b0a0d8b6e9e6776ea179a71b1b2b5d6827e79d60703b2d83965bb,Source assembly extracted only inside source anchor box plus fixed small margin.
