experiment_id,experiment_type,method,physical_vehicle_id,source_pair_id,sar_frame,persistent_hypothesis_id,parent_hypothesis_ids,branch_status,association_event,support_frames,assembly_id,hypothesis_region,hypothesis_centroid,hypothesis_azimuth,hypothesis_radial,velocity_px,area_ratio_vs_source,single_search_ratio,total_hypothesis_area,total_search_area,total_search_ratio,hypothesis_count,hypothesis_budget_exceeded,notes
ADJ_0204_TO_0205,adjacent_hidden_anchor,C1C,PV_GM19_WHITE_SUV_NEAR_FIELD,WGV35A_PAIR_0204,28,ADJ_0204_TO_0205_c1c_28_01,ADJ_0204_TO_0205_C1C_h001,candidate_compact_branch,ambiguous_parallel_branch,2,C1C_ADJ_0204_TO_0205_28_a001,"1033.000,1109.000,1201.000,1205.000","1124.791,1160.472",-9.899875,175.807068,"8.392,-23.303",1.227194,0.015625,18688,41068.94,0.015625,4,false,
ADJ_0204_TO_0205,adjacent_hidden_anchor,C1C,PV_GM19_WHITE_SUV_NEAR_FIELD,WGV35A_PAIR_0204,28,ADJ_0204_TO_0205_c1c_28_02,ADJ_0204_TO_0205_C1C_h001,candidate_compact_branch,ambiguous_parallel_branch,2,C1C_ADJ_0204_TO_0205_28_a002,"1009.000,1125.000,1025.000,1141.000","1015.105,1134.105",-35.255325,240.643845,"-101.295,-49.670",0.019479,0.015625,18688,41068.94,0.015625,4,false,
ADJ_0204_TO_0205,adjacent_hidden_anchor,C1C,PV_GM19_WHITE_SUV_NEAR_FIELD,WGV35A_PAIR_0204,28,ADJ_0204_TO_0205_c1c_28_03,ADJ_0204_TO_0205_C1C_h001,candidate_compact_branch,ambiguous_parallel_branch,2,C1C_ADJ_0204_TO_0205_28_a004,"1217.000,1181.000,1233.000,1213.000","1221.960,1197.840",27.203241,149.276764,"105.560,14.065",0.038959,0.015625,18688,41068.94,0.015625,4,false,
ADJ_0204_TO_0205,adjacent_hidden_anchor,C1C,PV_GM19_WHITE_SUV_NEAR_FIELD,WGV35A_PAIR_0204,28,ADJ_0204_TO_0205_c1c_28_04,ADJ_0204_TO_0205_C1C_h001,candidate_compact_branch,ambiguous_parallel_branch,2,C1C_ADJ_0204_TO_0205_28_a005,"1097.000,1205.000,1153.000,1237.000","1128.524,1222.026",-13.104463,111.844467,"12.124,38.251",0.136355,0.015625,18688,41068.94,0.015625,4,false,
ADJ_0204_TO_0205,adjacent_hidden_anchor,C1C,PV_GM19_WHITE_SUV_NEAR_FIELD,WGV35A_PAIR_0204,29,ADJ_0204_TO_0205_c1c_29_01,ADJ_0204_TO_0205_C1C_h001,candidate_compact_branch,ambiguous_parallel_branch,2,C1C_ADJ_0204_TO_0205_29_a001,"1041.000,1109.000,1201.000,1197.000","1124.799,1161.821",-9.97562,174.472702,"8.400,-21.954",1.07136,0.015625,19448,41068.94,0.015625,3,false,
ADJ_0204_TO_0205,adjacent_hidden_anchor,C1C,PV_GM19_WHITE_SUV_NEAR_FIELD,WGV35A_PAIR_0204,29,ADJ_0204_TO_0205_c1c_29_02,ADJ_0204_TO_0205_C1C_h001,candidate_compact_branch,ambiguous_parallel_branch,2,C1C_ADJ_0204_TO_0205_29_a002,"1217.000,1141.000,1256.000,1213.000","1239.292,1162.689",26.966295,188.391122,"122.893,-21.087",0.213663,0.015625,19448,41068.94,0.015625,3,false,
ADJ_0204_TO_0205,adjacent_hidden_anchor,C1C,PV_GM19_WHITE_SUV_NEAR_FIELD,WGV35A_PAIR_0204,29,ADJ_0204_TO_0205_c1c_29_03,ADJ_0204_TO_0205_C1C_h001,candidate_compact_branch,ambiguous_parallel_branch,2,C1C_ADJ_0204_TO_0205_29_a003,"1097.000,1205.000,1161.000,1245.000","1131.527,1222.464",-11.623866,110.892151,"15.127,38.689",0.194793,0.015625,19448,41068.94,0.015625,3,false,
ADJ_0204_TO_0205,adjacent_hidden_anchor,C1C,PV_GM19_WHITE_SUV_NEAR_FIELD,WGV35A_PAIR_0204,30,ADJ_0204_TO_0205_c1c_30_01,ADJ_0204_TO_0205_C1C_h001,candidate_compact_branch,ambiguous_parallel_branch,2,C1C_ADJ_0204_TO_0205_30_a001,"1041.000,1109.000,1209.000,1205.000","1124.603,1159.650",-9.894666,176.5816,"8.203,-24.125",1.227194,0.015625,22136,41068.94,0.015625,4,false,
ADJ_0204_TO_0205,adjacent_hidden_anchor,C1C,PV_GM19_WHITE_SUV_NEAR_FIELD,WGV35A_PAIR_0204,30,ADJ_0204_TO_0205_c1c_30_02,ADJ_0204_TO_0205_C1C_h001,candidate_compact_branch,ambiguous_parallel_branch,2,C1C_ADJ_0204_TO_0205_30_a002,"1217.000,1141.000,1256.000,1213.000","1240.042,1166.260",27.727418,185.574017,"123.642,-17.515",0.213663,0.015625,22136,41068.94,0.015625,4,false,
ADJ_0204_TO_0205,adjacent_hidden_anchor,C1C,PV_GM19_WHITE_SUV_NEAR_FIELD,WGV35A_PAIR_0204,30,ADJ_0204_TO_0205_c1c_30_03,ADJ_0204_TO_0205_C1C_h001,candidate_compact_branch,ambiguous_parallel_branch,2,C1C_ADJ_0204_TO_0205_30_a003,"1097.000,1205.000,1161.000,1245.000","1134.464,1223.388",-10.244657,109.473244,"18.064,39.612",0.194793,0.015625,22136,41068.94,0.015625,4,false,
