experiment_id,method,physical_vehicle_id,sar_frame,sync_shift_sar_frames,estimated_optical_frame,optical_velocity_x_sign,sar_assembly_azimuth_delta_sign,azimuth_relation_consistent,optical_depth_velocity_sign,sar_assembly_radial_delta_sign,radial_relation_consistent,single_frame_consistency,window3_consistency,window5_consistency,relation_used_for_filtering,notes
ADJ_0205_TO_0206,C1C,PV_GM19_WHITE_SUV_NEAR_FIELD,38,-1,17.88,positive,positive,true,positive,positive,true,true,1,1,false,polar geometry from build_geometry; diagnostic bypass only; ambiguous union branches excluded.
ADJ_0205_TO_0206,C1C,PV_GM19_WHITE_SUV_NEAR_FIELD,38,0,18.36,positive,positive,true,positive,positive,true,true,1,1,false,polar geometry from build_geometry; diagnostic bypass only; ambiguous union branches excluded.
ADJ_0205_TO_0206,C1C,PV_GM19_WHITE_SUV_NEAR_FIELD,38,1,18.84,positive,positive,true,negative,positive,false,false,0,0,false,polar geometry from build_geometry; diagnostic bypass only; ambiguous union branches excluded.
ADJ_0205_TO_0206,C1C,PV_GM19_WHITE_SUV_NEAR_FIELD,42,-1,19.8,positive,positive,true,positive,negative,false,false,0.5,0.5,false,polar geometry from build_geometry; diagnostic bypass only; ambiguous union branches excluded.
ADJ_0205_TO_0206,C1C,PV_GM19_WHITE_SUV_NEAR_FIELD,42,0,20.28,positive,positive,true,positive,negative,false,false,0.5,0.5,false,polar geometry from build_geometry; diagnostic bypass only; ambiguous union branches excluded.
ADJ_0205_TO_0206,C1C,PV_GM19_WHITE_SUV_NEAR_FIELD,42,1,20.76,negative,positive,false,negative,negative,true,false,0,0,false,polar geometry from build_geometry; diagnostic bypass only; ambiguous union branches excluded.
ADJ_0205_TO_0206,C1C,PV_GM19_WHITE_SUV_NEAR_FIELD,46,-1,21.72,positive,positive,true,negative,positive,false,false,0.333333,0.333333,false,polar geometry from build_geometry; diagnostic bypass only; ambiguous union branches excluded.
ADJ_0205_TO_0206,C1C,PV_GM19_WHITE_SUV_NEAR_FIELD,46,0,22.2,positive,positive,true,negative,positive,false,false,0.333333,0.333333,false,polar geometry from build_geometry; diagnostic bypass only; ambiguous union branches excluded.
ADJ_0205_TO_0206,C1C,PV_GM19_WHITE_SUV_NEAR_FIELD,46,1,22.68,positive,positive,true,negative,positive,false,false,0,0,false,polar geometry from build_geometry; diagnostic bypass only; ambiguous union branches excluded.
ADJ_0205_TO_0206,C1C,PV_GM19_WHITE_SUV_NEAR_FIELD,56,-1,26.52,positive,positive,true,positive,positive,true,true,0.333333,0.5,false,polar geometry from build_geometry; diagnostic bypass only; ambiguous union branches excluded.
ADJ_0205_TO_0206,C1C,PV_GM19_WHITE_SUV_NEAR_FIELD,56,0,27,positive,positive,true,positive,positive,true,true,0.333333,0.5,false,polar geometry from build_geometry; diagnostic bypass only; ambiguous union branches excluded.
ADJ_0205_TO_0206,C1C,PV_GM19_WHITE_SUV_NEAR_FIELD,56,1,27.48,positive,positive,true,positive,positive,true,true,0.333333,0.25,false,polar geometry from build_geometry; diagnostic bypass only; ambiguous union branches excluded.
ADJ_0205_TO_0206,C1C,PV_GM19_WHITE_SUV_NEAR_FIELD,57,-1,27,positive,negative,false,positive,positive,true,false,0.333333,0.4,false,polar geometry from build_geometry; diagnostic bypass only; ambiguous union branches excluded.
ADJ_0205_TO_0206,C1C,PV_GM19_WHITE_SUV_NEAR_FIELD,57,0,27.48,positive,negative,false,positive,positive,true,false,0.333333,0.4,false,polar geometry from build_geometry; diagnostic bypass only; ambiguous union branches excluded.
ADJ_0205_TO_0206,C1C,PV_GM19_WHITE_SUV_NEAR_FIELD,57,1,27.96,positive,negative,false,positive,positive,true,false,0.333333,0.2,false,polar geometry from build_geometry; diagnostic bypass only; ambiguous union branches excluded.
ADJ_0205_TO_0206,C1C,PV_GM19_WHITE_SUV_NEAR_FIELD,58,-1,27.48,positive,positive,true,positive,positive,true,true,0.666667,0.4,false,polar geometry from build_geometry; diagnostic bypass only; ambiguous union branches excluded.
ADJ_0205_TO_0206,C1C,PV_GM19_WHITE_SUV_NEAR_FIELD,58,0,27.96,positive,positive,true,positive,positive,true,true,0.666667,0.4,false,polar geometry from build_geometry; diagnostic bypass only; ambiguous union branches excluded.
ADJ_0205_TO_0206,C1C,PV_GM19_WHITE_SUV_NEAR_FIELD,58,1,28.44,positive,positive,true,negative,positive,false,false,0.333333,0.2,false,polar geometry from build_geometry; diagnostic bypass only; ambiguous union branches excluded.
ADJ_0208_TO_0209,C1C,PV_GM19_SILVER_MPV_NEAR_FIELD,214,-1,102.48,positive,positive,true,negative,negative,true,true,1,1,false,polar geometry from build_geometry; diagnostic bypass only; ambiguous union branches excluded.
ADJ_0208_TO_0209,C1C,PV_GM19_SILVER_MPV_NEAR_FIELD,214,0,102.96,positive,positive,true,negative,negative,true,true,1,1,false,polar geometry from build_geometry; diagnostic bypass only; ambiguous union branches excluded.
ADJ_0208_TO_0209,C1C,PV_GM19_SILVER_MPV_NEAR_FIELD,214,1,103.44,positive,positive,true,negative,negative,true,true,1,1,false,polar geometry from build_geometry; diagnostic bypass only; ambiguous union branches excluded.
ADJ_0208_TO_0209,C1C,PV_GM19_SILVER_MPV_NEAR_FIELD,219,-1,104.88,positive,positive,true,positive,positive,true,true,1,1,false,polar geometry from build_geometry; diagnostic bypass only; ambiguous union branches excluded.
ADJ_0208_TO_0209,C1C,PV_GM19_SILVER_MPV_NEAR_FIELD,219,0,105.36,positive,positive,true,positive,positive,true,true,1,1,false,polar geometry from build_geometry; diagnostic bypass only; ambiguous union branches excluded.
ADJ_0208_TO_0209,C1C,PV_GM19_SILVER_MPV_NEAR_FIELD,219,1,105.84,positive,positive,true,negative,positive,false,false,0.5,0.5,false,polar geometry from build_geometry; diagnostic bypass only; ambiguous union branches excluded.
ADJ_0208_TO_0209,C1C,PV_GM19_SILVER_MPV_NEAR_FIELD,224,-1,107.28,positive,positive,true,negative,positive,false,false,0.666667,0.666667,false,polar geometry from build_geometry; diagnostic bypass only; ambiguous union branches excluded.
ADJ_0208_TO_0209,C1C,PV_GM19_SILVER_MPV_NEAR_FIELD,224,0,107.76,positive,positive,true,negative,positive,false,false,0.666667,0.666667,false,polar geometry from build_geometry; diagnostic bypass only; ambiguous union branches excluded.
ADJ_0208_TO_0209,C1C,PV_GM19_SILVER_MPV_NEAR_FIELD,224,1,108.24,positive,positive,true,negative,positive,false,false,0.333333,0.333333,false,polar geometry from build_geometry; diagnostic bypass only; ambiguous union branches excluded.
ADJ_0208_TO_0209,C1C,PV_GM19_SILVER_MPV_NEAR_FIELD,225,-1,107.76,positive,positive,true,negative,positive,false,false,0.333333,0.5,false,polar geometry from build_geometry; diagnostic bypass only; ambiguous union branches excluded.
ADJ_0208_TO_0209,C1C,PV_GM19_SILVER_MPV_NEAR_FIELD,225,0,108.24,positive,positive,true,negative,positive,false,false,0.333333,0.5,false,polar geometry from build_geometry; diagnostic bypass only; ambiguous union branches excluded.
ADJ_0208_TO_0209,C1C,PV_GM19_SILVER_MPV_NEAR_FIELD,225,1,108.72,positive,positive,true,negative,positive,false,false,0,0.25,false,polar geometry from build_geometry; diagnostic bypass only; ambiguous union branches excluded.
ADJ_0208_TO_0209,C1D,PV_GM19_SILVER_MPV_NEAR_FIELD,214,-1,102.48,positive,positive,true,negative,negative,true,true,1,1,false,polar geometry from build_geometry; diagnostic bypass only; ambiguous union branches excluded.
ADJ_0208_TO_0209,C1D,PV_GM19_SILVER_MPV_NEAR_FIELD,214,0,102.96,positive,positive,true,negative,negative,true,true,1,1,false,polar geometry from build_geometry; diagnostic bypass only; ambiguous union branches excluded.
ADJ_0208_TO_0209,C1D,PV_GM19_SILVER_MPV_NEAR_FIELD,214,1,103.44,positive,positive,true,negative,negative,true,true,1,1,false,polar geometry from build_geometry; diagnostic bypass only; ambiguous union branches excluded.
ADJ_0208_TO_0209,C1D,PV_GM19_SILVER_MPV_NEAR_FIELD,219,-1,104.88,positive,positive,true,positive,positive,true,true,1,1,false,polar geometry from build_geometry; diagnostic bypass only; ambiguous union branches excluded.
ADJ_0208_TO_0209,C1D,PV_GM19_SILVER_MPV_NEAR_FIELD,219,0,105.36,positive,positive,true,positive,positive,true,true,1,1,false,polar geometry from build_geometry; diagnostic bypass only; ambiguous union branches excluded.
ADJ_0208_TO_0209,C1D,PV_GM19_SILVER_MPV_NEAR_FIELD,219,1,105.84,positive,positive,true,negative,positive,false,false,0.5,0.5,false,polar geometry from build_geometry; diagnostic bypass only; ambiguous union branches excluded.
ADJ_0208_TO_0209,C1D,PV_GM19_SILVER_MPV_NEAR_FIELD,224,-1,107.28,positive,positive,true,negative,positive,false,false,0.666667,0.666667,false,polar geometry from build_geometry; diagnostic bypass only; ambiguous union branches excluded.
ADJ_0208_TO_0209,C1D,PV_GM19_SILVER_MPV_NEAR_FIELD,224,0,107.76,positive,positive,true,negative,positive,false,false,0.666667,0.666667,false,polar geometry from build_geometry; diagnostic bypass only; ambiguous union branches excluded.
ADJ_0208_TO_0209,C1D,PV_GM19_SILVER_MPV_NEAR_FIELD,224,1,108.24,positive,positive,true,negative,positive,false,false,0.333333,0.333333,false,polar geometry from build_geometry; diagnostic bypass only; ambiguous union branches excluded.
