atom_id,sar_frame,pixel_centroid_x,pixel_centroid_y,azimuth,radial,pixel_area,support_pixel_count,support_bbox,integrated_energy,mean_energy,peak_energy,relative_energy_within_local_field,atom_axis1,atom_axis2,atom_aspect_ratio,atom_orientation,compactness,local_arc_consistency,boundary_contact,extraction_threshold,threshold_provenance,source_shell_provenance
R1A0001,27,1011.882353,1133.411765,-35.780136,243.078476,17,17,"1006.000,1131.000,1018.000,1137.000",1370,80.588235,88,0.000913,10.657314,2.510781,4.244622,-26.80383,0.236111,0.800506,true,74,frame_local_source_shell_p96_2_or_mean_plus_0_85std; no gt; no polarity,a1_7r_source_shell_nearest_runtime_anchor
R1A0002,27,1093.255814,1137.430233,-17.456318,202.533005,86,86,"1084.000,1131.000,1108.000,1149.000",7331,85.244186,128,0.004885,15.695248,10.163538,1.54427,-17.181813,0.199074,0.993901,true,74,frame_local_source_shell_p96_2_or_mean_plus_0_85std; no gt; no polarity,a1_7r_source_shell_nearest_runtime_anchor
R1A0003,27,1122.665152,1163.459848,-10.695696,173.073135,1320,1320,"1036.000,1131.000,1186.000,1203.000",110034,83.359091,132,0.073324,132.450212,65.342252,2.027022,-14.249884,0.122222,0.919299,true,74,frame_local_source_shell_p96_2_or_mean_plus_0_85std; no gt; no polarity,a1_7r_source_shell_nearest_runtime_anchor
R1A0004,27,1125.82967,1221.192308,-14.32885,113.285553,182,182,"1096.000,1209.000,1144.000,1233.000",16477,90.532967,140,0.01098,36.211269,12.29618,2.94492,6.647621,0.157986,0.53141,false,74,frame_local_source_shell_p96_2_or_mean_plus_0_85std; no gt; no polarity,a1_7r_source_shell_nearest_runtime_anchor
R1A0005,27,1036.733333,1223.933333,-47.711479,158.546921,15,15,"1030.000,1221.000,1042.000,1233.000",1211,80.733333,93,0.000807,11.667449,4.106229,2.841403,-52.781648,0.104167,0.887299,false,74,frame_local_source_shell_p96_2_or_mean_plus_0_85std; no gt; no polarity,a1_7r_source_shell_nearest_runtime_anchor
R1A0006,28,1015.105263,1134.105263,-35.255325,240.643845,19,19,"1006.000,1131.000,1024.000,1143.000",1571,82.684211,91,0.001047,11.282722,3.035589,3.716815,-37.585469,0.087963,0.948213,true,74,frame_local_source_shell_p96_2_or_mean_plus_0_85std; no gt; no polarity,a1_7r_source_shell_nearest_runtime_anchor
R1A0007,28,1096.805085,1137.838983,-16.527601,201.139801,118,118,"1084.000,1131.000,1114.000,1149.000",10099,85.584746,123,0.00673,21.736859,10.055348,2.161721,-18.329245,0.218519,0.959936,true,74,frame_local_source_shell_p96_2_or_mean_plus_0_85std; no gt; no polarity,a1_7r_source_shell_nearest_runtime_anchor
R1A0008,28,1122.905645,1162.921774,-10.542934,173.499954,1240,1240,"1036.000,1131.000,1192.000,1203.000",103020,83.080645,138,0.068654,130.867627,67.238747,1.946313,-12.507104,0.110399,0.955523,true,74,frame_local_source_shell_p96_2_or_mean_plus_0_85std; no gt; no polarity,a1_7r_source_shell_nearest_runtime_anchor
R1A0009,28,1128.52381,1222.025974,-13.104463,111.844467,231,231,"1096.000,1203.000,1150.000,1233.000",21356,92.450216,158,0.014232,36.370698,15.589997,2.332951,6.647953,0.142593,0.558819,false,74,frame_local_source_shell_p96_2_or_mean_plus_0_85std; no gt; no polarity,a1_7r_source_shell_nearest_runtime_anchor
R1A0010,29,1099.262136,1137.912621,-15.859108,200.377563,103,103,"1090.000,1131.000,1114.000,1149.000",9802,95.165049,130,0.005906,20.721061,9.022418,2.296619,-16.610156,0.238426,0.983298,true,81,frame_local_source_shell_p96_2_or_mean_plus_0_85std; no gt; no polarity,a1_7r_source_shell_nearest_runtime_anchor
R1A0011,29,1123.829585,1164.555363,-10.387217,171.64679,1156,1156,"1042.000,1131.000,1192.000,1197.000",104713,90.58218,145,0.063094,128.431529,67.12426,1.91334,-14.435025,0.116768,0.908073,true,81,frame_local_source_shell_p96_2_or_mean_plus_0_85std; no gt; no polarity,a1_7r_source_shell_nearest_runtime_anchor
R1A0012,29,1131.718447,1222.634304,-11.550279,110.661636,309,309,"1096.000,1203.000,1156.000,1245.000",32127,103.970874,193,0.019358,40.744613,19.405186,2.099676,5.852113,0.122619,0.610825,false,81,frame_local_source_shell_p96_2_or_mean_plus_0_85std; no gt; no polarity,a1_7r_source_shell_nearest_runtime_anchor
R1A0013,30,1098.565217,1139.73913,-16.194582,198.783157,69,69,"1090.000,1135.000,1114.000,1147.000",7146,103.565217,135,0.004172,15.076931,9.630552,1.565531,-10.537519,0.239583,0.874262,true,91,frame_local_source_shell_p96_2_or_mean_plus_0_85std; no gt; no polarity,a1_7r_source_shell_nearest_runtime_anchor
R1A0014,30,1125.328211,1166.666301,-10.049229,169.323959,911,911,"1042.000,1135.000,1193.000,1201.000",92459,101.491767,156,0.053985,128.363951,64.490805,1.990423,-15.560471,0.091411,0.87467,true,91,frame_local_source_shell_p96_2_or_mean_plus_0_85std; no gt; no polarity,a1_7r_source_shell_nearest_runtime_anchor
R1A0015,30,1134.67655,1223.250674,-10.126325,109.532188,371,371,"1096.000,1207.000,1162.000,1243.000",44066,118.77628,208,0.025729,41.224808,20.472565,2.013661,1.306819,0.156145,0.744198,false,91,frame_local_source_shell_p96_2_or_mean_plus_0_85std; no gt; no polarity,a1_7r_source_shell_nearest_runtime_anchor
R1A0016,30,1044.863636,1229.681818,-47.242214,148.664566,22,22,"1042.000,1225.000,1054.000,1237.000",2167,98.5,110,0.001265,10.061606,4.659165,2.15953,-55.140771,0.152778,0.824438,false,91,frame_local_source_shell_p96_2_or_mean_plus_0_85std; no gt; no polarity,a1_7r_source_shell_nearest_runtime_anchor
R1A0017,30,1071.125,1228.083333,-38.953419,131.853745,24,24,"1066.000,1219.000,1084.000,1237.000",2357,98.208333,116,0.001376,16.965815,11.149262,1.521698,52.293988,0.074074,0,false,91,frame_local_source_shell_p96_2_or_mean_plus_0_85std; no gt; no polarity,a1_7r_source_shell_nearest_runtime_anchor
R1A0018,31,1100.833333,1140.916667,-15.652464,197.019806,60,60,"1090.000,1135.000,1114.000,1147.000",5226,87.1,126,0.003666,14.52219,9.449168,1.536875,20.174764,0.208333,0.203722,true,75,frame_local_source_shell_p96_2_or_mean_plus_0_85std; no gt; no polarity,a1_7r_source_shell_nearest_runtime_anchor
R1A0019,31,1126.359387,1188.691188,-11.369027,147.800735,1305,1305,"1042.000,1135.000,1193.000,1243.000",114744,87.926437,186,0.080492,137.087542,109.755331,1.249029,-49.848644,0.080022,0.137184,true,75,frame_local_source_shell_p96_2_or_mean_plus_0_85std; no gt; no polarity,a1_7r_source_shell_nearest_runtime_anchor
