atom_id,sar_frame,candidate_role,role_rule_provenance,role_inputs,polarity_used,physical_vehicle_id_used,gt_used
R1A0001,27,isolated_small_atom,small_area_without_vehicle_scale_support; nearest_a1_7r_source_shell_frame_27,area=17;peak=88;axis1=10.657314;axis2=2.510781;compactness=0.236111;arc=0.800506,false,false,false
R1A0002,27,unresolved_atom,feature_combination_not_separable_runtime; nearest_a1_7r_source_shell_frame_27,area=86;peak=128;axis1=15.695248;axis2=10.163538;compactness=0.199074;arc=0.993901,false,false,false
R1A0003,27,unresolved_atom,feature_combination_not_separable_runtime; nearest_a1_7r_source_shell_frame_27,area=1320;peak=132;axis1=132.450212;axis2=65.342252;compactness=0.122222;arc=0.919299,false,false,false
R1A0004,27,body_core_candidate,bottom_local_high_energy_compact_support; nearest_a1_7r_source_shell_frame_27,area=182;peak=140;axis1=36.211269;axis2=12.29618;compactness=0.157986;arc=0.53141,false,false,false
R1A0005,27,isolated_small_atom,small_area_without_vehicle_scale_support; nearest_a1_7r_source_shell_frame_27,area=15;peak=93;axis1=11.667449;axis2=4.106229;compactness=0.104167;arc=0.887299,false,false,false
R1A0006,28,isolated_small_atom,small_area_without_vehicle_scale_support; nearest_a1_7r_source_shell_frame_27,area=19;peak=91;axis1=11.282722;axis2=3.035589;compactness=0.087963;arc=0.948213,false,false,false
R1A0007,28,unresolved_atom,feature_combination_not_separable_runtime; nearest_a1_7r_source_shell_frame_27,area=118;peak=123;axis1=21.736859;axis2=10.055348;compactness=0.218519;arc=0.959936,false,false,false
R1A0008,28,unresolved_atom,feature_combination_not_separable_runtime; nearest_a1_7r_source_shell_frame_27,area=1240;peak=138;axis1=130.867627;axis2=67.238747;compactness=0.110399;arc=0.955523,false,false,false
R1A0009,28,body_core_candidate,bottom_local_high_energy_compact_support; nearest_a1_7r_source_shell_frame_27,area=231;peak=158;axis1=36.370698;axis2=15.589997;compactness=0.142593;arc=0.558819,false,false,false
R1A0010,29,unresolved_atom,feature_combination_not_separable_runtime; nearest_a1_7r_source_shell_frame_27,area=103;peak=130;axis1=20.721061;axis2=9.022418;compactness=0.238426;arc=0.983298,false,false,false
R1A0011,29,unresolved_atom,feature_combination_not_separable_runtime; nearest_a1_7r_source_shell_frame_27,area=1156;peak=145;axis1=128.431529;axis2=67.12426;compactness=0.116768;arc=0.908073,false,false,false
R1A0012,29,body_core_candidate,bottom_local_high_energy_compact_support; nearest_a1_7r_source_shell_frame_27,area=309;peak=193;axis1=40.744613;axis2=19.405186;compactness=0.122619;arc=0.610825,false,false,false
R1A0013,30,unresolved_atom,feature_combination_not_separable_runtime; nearest_a1_7r_source_shell_frame_31,area=69;peak=135;axis1=15.076931;axis2=9.630552;compactness=0.239583;arc=0.874262,false,false,false
R1A0014,30,unresolved_atom,feature_combination_not_separable_runtime; nearest_a1_7r_source_shell_frame_31,area=911;peak=156;axis1=128.363951;axis2=64.490805;compactness=0.091411;arc=0.87467,false,false,false
R1A0015,30,body_core_candidate,bottom_local_high_energy_compact_support; nearest_a1_7r_source_shell_frame_31,area=371;peak=208;axis1=41.224808;axis2=20.472565;compactness=0.156145;arc=0.744198,false,false,false
R1A0016,30,isolated_small_atom,small_area_without_vehicle_scale_support; nearest_a1_7r_source_shell_frame_31,area=22;peak=110;axis1=10.061606;axis2=4.659165;compactness=0.152778;arc=0.824438,false,false,false
R1A0017,30,isolated_small_atom,small_area_without_vehicle_scale_support; nearest_a1_7r_source_shell_frame_31,area=24;peak=116;axis1=16.965815;axis2=11.149262;compactness=0.074074;arc=0,false,false,false
R1A0018,31,unresolved_atom,feature_combination_not_separable_runtime; nearest_a1_7r_source_shell_frame_31,area=60;peak=126;axis1=14.52219;axis2=9.449168;compactness=0.208333;arc=0.203722,false,false,false
R1A0019,31,unresolved_atom,feature_combination_not_separable_runtime; nearest_a1_7r_source_shell_frame_31,area=1305;peak=186;axis1=137.087542;axis2=109.755331;compactness=0.080022;arc=0.137184,false,false,false
R1A0020,31,endpoint_hotspot_candidate,bottom_local_peak_support; nearest_a1_7r_source_shell_frame_31,area=40;peak=114;axis1=13.540333;axis2=5.750621;compactness=0.123457;arc=0.852076,false,false,false
R1A0021,31,endpoint_hotspot_candidate,bottom_local_peak_support; nearest_a1_7r_source_shell_frame_31,area=30;peak=104;axis1=15.244789;axis2=12.211209;compactness=0.092593;arc=0,false,false,false
R1A0022,32,unresolved_atom,feature_combination_not_separable_runtime; nearest_a1_7r_source_shell_frame_31,area=59;peak=109;axis1=13.963985;axis2=10.350243;compactness=0.204861;arc=0.507502,false,false,false
