edge_id,source_node_id,target_node_id,source_sar_frame,target_sar_frame,geometry_distance,radial_drift,azimuth_drift,extent_continuity_ratio,orientation_difference,energy_ratio,role_compatibility,background_conflict_consistency,edge_status,blocked_reason
R1E0001,R1N0001,R1N0006,27,28,3.296679,2.434631,0.524811,1.058684,10.781639,1.146715,true,true,unique_continuation,
R1E0002,R1N0001,R1N0007,27,28,85.038054,41.938675,19.252535,2.039619,8.474585,7.371533,false,true,blocked_by_geometry,blocked_by_geometry;blocked_by_energy_jump;blocked_by_role_incompatibility
R1E0003,R1N0001,R1N0008,27,28,114.878249,69.578522,25.237202,12.279607,14.296726,75.19708,false,true,blocked_by_geometry,blocked_by_geometry;blocked_by_radial_azimuth_drift;blocked_by_extent_jump;blocked_by_energy_jump;blocked_by_role_incompatibility
R1E0004,R1N0001,R1N0009,27,28,146.484496,131.234009,22.675673,3.412745,33.451784,15.588321,false,true,blocked_by_geometry,blocked_by_geometry;blocked_by_radial_azimuth_drift;blocked_by_energy_jump;blocked_by_role_incompatibility
R1E0005,R1N0002,R1N0006,27,28,78.22125,38.11084,17.799007,1.391087,20.403656,4.666454,false,true,blocked_by_geometry,blocked_by_geometry;blocked_by_role_incompatibility
R1E0006,R1N0002,R1N0007,27,28,3.57273,1.393204,0.928717,1.384932,1.147432,1.377575,true,true,unique_continuation,
R1E0007,R1N0002,R1N0008,27,28,39.10155,29.033051,6.913383,8.338041,4.674709,14.052653,true,true,blocked_by_extent_jump,blocked_by_extent_jump;blocked_by_energy_jump
R1E0008,R1N0002,R1N0009,27,28,91.652992,90.688538,4.351855,2.317306,23.829767,2.913109,true,true,blocked_by_geometry,blocked_by_geometry;blocked_by_radial_azimuth_drift
R1E0009,R1N0003,R1N0006,27,28,111.493593,67.570709,24.559629,11.739207,23.335586,70.040738,false,true,blocked_by_geometry,blocked_by_geometry;blocked_by_radial_azimuth_drift;blocked_by_extent_jump;blocked_by_energy_jump;blocked_by_role_incompatibility
R1E0010,R1N0003,R1N0007,27,28,36.402909,28.066666,5.831905,6.093347,4.079362,10.895534,true,true,blocked_by_extent_jump,blocked_by_extent_jump;blocked_by_energy_jump
R1E0011,R1N0003,R1N0008,27,28,0.589374,0.426819,0.152761,1.012093,1.742779,1.068084,true,true,ambiguous_successors,
R1E0012,R1N0003,R1N0009,27,28,58.858431,61.228668,2.408767,3.641674,20.897837,5.152369,true,true,ambiguous_successors,
