edge_id,sar_frame,source_atom_id,target_atom_id,support_boundary_gap_px,centroid_distance_px,radial_delta,azimuth_delta,orientation_delta,energy_ratio,role_relation,shared_or_compatible_lineage,background_conflict,edge_status
R21GE00001,27,R21A00001,R21A00002,6,57.819123,59.787582,3.633154,20.897504,6.678036,unresolved_local_response,true,false,accepted_local_relation
R21GE00002,27,R21A00001,R21A00003,0,39.274038,29.459869,6.760622,2.93193,15.009412,role_ambiguous,false,false,blocked_by_role
R21GE00003,27,R21A00001,R21A00004,18,114.785521,70.005341,25.08444,12.553947,80.316788,role_ambiguous,false,false,blocked_by_role
R21GE00004,27,R21A00001,R21A00005,18,105.077684,14.526215,37.015783,38.531764,90.862097,role_ambiguous,false,false,blocked_by_role
R21GE00005,27,R21A00002,R21A00003,60,89.872918,89.247452,3.127468,23.829434,2.247579,unresolved_local_response,true,false,ambiguous_relation
R21GE00006,27,R21A00002,R21A00004,106.150836,143.838155,129.792923,21.451286,33.451451,12.027007,role_ambiguous,false,false,blocked_by_role
R21GE00007,27,R21A00002,R21A00005,54,89.13849,45.261368,33.382629,59.429269,13.606111,role_ambiguous,false,false,blocked_by_role
R21GE00008,27,R21A00003,R21A00004,66,81.472623,40.545471,18.323818,9.622017,5.351095,role_ambiguous,false,false,blocked_by_role
R21GE00009,27,R21A00003,R21A00005,83.354664,103.332363,43.986084,30.255161,35.599834,6.053675,role_ambiguous,false,false,blocked_by_role
R21GE00010,27,R21A00004,R21A00005,84.852814,93.870792,84.531555,11.931343,25.977817,1.131296,role_ambiguous,false,false,blocked_by_role
R21GE00011,28,R21A00006,R21A00007,0,59.370617,61.655487,2.561528,19.155057,4.823937,unresolved_local_response,true,false,accepted_local_relation
R21GE00012,28,R21A00006,R21A00008,0,36.19925,27.639847,5.984667,5.822141,10.20101,role_ambiguous,false,false,blocked_by_role
R21GE00013,28,R21A00006,R21A00009,12,111.585455,67.14389,24.712391,25.078365,65.576066,role_ambiguous,false,false,blocked_by_role
R21GE00014,28,R21A00007,R21A00008,54,89.964031,89.295334,3.423139,24.977198,2.114665,unresolved_local_response,true,false,ambiguous_relation
R21GE00015,28,R21A00007,R21A00009,93.722996,143.505464,128.799377,22.150863,44.233422,13.593889,role_ambiguous,false,false,blocked_by_role
R21GE00016,28,R21A00008,R21A00009,60,81.785093,39.504044,18.727724,19.256224,6.42839,role_ambiguous,false,false,blocked_by_role
R21GE00017,29,R21A00010,R21A00011,6,58.612264,60.985153,1.163062,20.287137,3.259346,unresolved_local_response,true,false,accepted_local_relation
R21GE00018,29,R21A00010,R21A00012,0,36.240795,28.730774,5.471891,2.175131,10.68282,role_ambiguous,false,false,blocked_by_role
R21GE00019,29,R21A00011,R21A00012,54,90.725827,89.715927,4.308829,22.462269,3.277596,unresolved_local_response,true,false,ambiguous_relation
R21GE00020,30,R21A00013,R21A00014,6,58.246622,60.82415,0.497614,17.996946,2.242682,unresolved_local_response,true,false,accepted_local_relation
R21GE00021,30,R21A00013,R21A00015,0,37.985142,28.692337,6.394534,0.874361,13.337794,role_ambiguous,false,false,blocked_by_role
R21GE00022,30,R21A00013,R21A00016,24,83.254447,38.852951,29.202537,67.086833,40.46551,unresolved_local_response,true,false,accepted_local_relation
R21GE00023,30,R21A00013,R21A00017,24,103.320727,21.639191,37.441966,36.661208,45.4856,role_ambiguous,false,false,blocked_by_role
R21GE00024,30,R21A00014,R21A00015,54,91.178564,89.516487,5.89692,17.122586,5.947252,unresolved_local_response,true,false,ambiguous_relation
R21GE00025,30,R21A00014,R21A00016,12,63.270686,21.971199,28.704923,49.089887,18.043358,body_to_endpoint,true,false,accepted_local_relation
R21GE00026,30,R21A00014,R21A00017,42,89.708921,39.184959,36.944352,54.658155,20.28179,role_ambiguous,false,false,blocked_by_role
R21GE00027,30,R21A00015,R21A00016,72.249567,92.995906,67.545288,22.808002,66.212473,3.033898,unresolved_local_response,true,false,blocked_by_geometry
R21GE00028,30,R21A00015,R21A00017,80.498447,104.888743,50.331528,31.047432,37.535569,3.410279,role_ambiguous,false,false,blocked_by_role
R21GE00029,30,R21A00016,R21A00017,12,26.449439,17.21376,8.239429,76.251959,1.124058,role_ambiguous,false,false,blocked_by_role
R21GE00030,31,R21A00018,R21A00019,0,53.971246,49.102478,4.150635,68.641696,22.104718,unresolved_local_response,true,false,accepted_local_relation
R21GE00031,31,R21A00018,R21A00020,0,88.420115,3.566116,35.294825,6.982778,34.746629,body_to_endpoint,true,false,accepted_local_relation
R21GE00032,31,R21A00018,R21A00021,0,63.554572,18.904144,25.722696,63.514691,44.336201,body_to_endpoint,true,false,accepted_local_relation
R21GE00033,31,R21A00019,R21A00020,83.57033,104.737664,52.668594,31.14419,75.624474,1.57191,unresolved_local_response,true,false,blocked_by_geometry
R21GE00034,31,R21A00019,R21A00021,72.249567,90.463434,68.006622,21.572062,47.843613,2.005735,unresolved_local_response,true,false,blocked_by_geometry
