atom_id,sar_frame,candidate_role,graph_role_class,support_bbox,centroid_x,centroid_y,persistent_part_track_id
R21A00001,27,unresolved_atom,core_member_candidate,"1036,1131,1186,1203",1122.665152,1163.459848,R21PT0001
R21A00002,27,body_core_candidate,core_member_candidate,"1096,1209,1144,1233",1125.82967,1221.192308,R21PT0002
R21A00003,27,unresolved_atom,core_member_candidate,"1084,1131,1108,1149",1093.255814,1137.430233,
R21A00004,27,isolated_small_atom,optional_support_candidate,"1006,1131,1018,1137",1011.882353,1133.411765,
R21A00005,27,isolated_small_atom,optional_support_candidate,"1030,1221,1042,1233",1036.733333,1223.933333,
R21A00006,28,unresolved_atom,core_member_candidate,"1036,1131,1192,1203",1122.905645,1162.921774,R21PT0002
R21A00007,28,body_core_candidate,core_member_candidate,"1096,1203,1150,1233",1128.52381,1222.025974,R21PT0001
R21A00008,28,unresolved_atom,core_member_candidate,"1084,1131,1114,1149",1096.805085,1137.838983,
R21A00009,28,isolated_small_atom,optional_support_candidate,"1006,1131,1024,1143",1015.105263,1134.105263,
R21A00010,29,unresolved_atom,core_member_candidate,"1042,1131,1192,1197",1123.829585,1164.555363,R21PT0001
R21A00011,29,body_core_candidate,core_member_candidate,"1096,1203,1156,1245",1131.718447,1222.634304,R21PT0002
R21A00012,29,unresolved_atom,core_member_candidate,"1090,1131,1114,1149",1099.262136,1137.912621,
R21A00013,30,unresolved_atom,core_member_candidate,"1042,1131,1193,1197",1126.229717,1165.714565,R21PT0002
R21A00014,30,body_core_candidate,core_member_candidate,"1096,1203,1162,1245",1134.494872,1223.371795,R21PT0001
R21A00015,30,unresolved_atom,core_member_candidate,"1090,1131,1120,1149",1098.746667,1139.493333,
R21A00016,30,endpoint_hotspot_candidate,core_member_candidate,"1066,1221,1084,1239",1071.423077,1228.384615,R21PT0003
R21A00017,30,isolated_small_atom,optional_support_candidate,"1042,1221,1054,1239",1045,1229.565217,
R21A00018,31,body_core_candidate,core_member_candidate,"1042,1135,1193,1249",1125.902525,1188.638149,R21PT0002
R21A00019,31,unresolved_atom,core_member_candidate,"1090,1135,1114,1147",1100.738462,1140.892308,
R21A00020,31,endpoint_hotspot_candidate,core_member_candidate,"1042,1225,1060,1243",1048.738095,1231.809524,R21PT0004
R21A00021,31,endpoint_hotspot_candidate,core_member_candidate,"1066,1219,1084,1237",1075.911765,1227.882353,R21PT0003
R21A00022,32,body_core_candidate,core_member_candidate,"1102,1135,1192,1249",1137.466071,1196.117857,R21PT0005
R21A00023,32,unresolved_atom,core_member_candidate,"1072,1159,1096,1189",1084.527027,1178.297297,R21PT0002
R21A00024,32,unresolved_atom,core_member_candidate,"1090,1135,1114,1147",1103,1141.254237,
R21A00025,32,endpoint_hotspot_candidate,core_member_candidate,"1048,1225,1060,1243",1052.921053,1231.447368,R21PT0004
R21A00026,32,endpoint_hotspot_candidate,core_member_candidate,"1072,1219,1090,1237",1078.864865,1227.837838,R21PT0003
R21A00027,32,isolated_small_atom,optional_support_candidate,"1048,1165,1072,1177",1060.347826,1171.73913,
R21A00028,34,body_core_candidate,core_member_candidate,"1108,1135,1193,1267",1140.371717,1200.880808,R21PT0002
R21A00029,34,endpoint_hotspot_candidate,core_member_candidate,"1036,1219,1072,1243",1055.845361,1231.164948,R21PT0004
R21A00030,34,side_ridge_candidate,core_member_candidate,"952,1153,988,1171",966.658228,1161.189873,
R21A00031,34,unresolved_atom,core_member_candidate,"1102,1135,1120,1147",1110.5,1141.671875,
R21A00032,34,endpoint_hotspot_candidate,core_member_candidate,"1078,1219,1102,1237",1087.490566,1228.698113,R21PT0003
R21A00033,34,unresolved_atom,core_member_candidate,"1072,1165,1102,1189",1088.654545,1181.327273,R21PT0005
R21A00034,34,unresolved_atom,core_member_candidate,"1018,1141,1042,1159",1027.571429,1150.428571,R21PT0006
R21A00035,39,body_core_candidate,core_member_candidate,"1108,1165,1192,1276",1155.596933,1216.406353,
R21A00036,39,background_arc_candidate,conflicting_background_candidate,"1042,1135,1084,1159",1066.02381,1140.690476,
R21A00037,39,background_arc_candidate,conflicting_background_candidate,"1132,1135,1168,1147",1148.616,1137.912,
R21A00038,39,side_ridge_candidate,core_member_candidate,"982,1141,1030,1153",1014.64,1143.346667,R21PT0006
R21A00039,39,endpoint_hotspot_candidate,core_member_candidate,"1084,1213,1102,1231",1093.4,1223.74,R21PT0003
R21A00040,39,endpoint_hotspot_candidate,core_member_candidate,"1048,1207,1078,1225",1066.648649,1216.864865,R21PT0004
R21A00041,39,isolated_small_atom,optional_support_candidate,"1084,1171,1114,1183",1097.6875,1178.46875,
R21A00042,40,body_core_candidate,core_member_candidate,"1114,1171,1193,1261",1156.904762,1214.108333,
R21A00043,40,side_ridge_candidate,core_member_candidate,"994,1135,1090,1159",1050.963563,1141.773279,R21PT0006
R21A00044,40,unresolved_atom,core_member_candidate,"1138,1135,1168,1153",1152.86014,1138.20979,R21PT0007
R21A00045,40,body_core_candidate,core_member_candidate,"1054,1207,1108,1237",1084.375,1220.3125,R21PT0003
R21A00046,40,isolated_small_atom,optional_support_candidate,"1090,1171,1114,1183",1103.935484,1178.354839,
R21A00047,46,body_core_candidate,core_member_candidate,"1030,1135,1193,1255",1138.647719,1185.229474,R21PT0007
R21A00048,52,side_ridge_candidate,core_member_candidate,"1024,1135,1193,1189",1121.464865,1153.669189,R21PT0007
R21A00049,52,background_arc_candidate,conflicting_background_candidate,"1114,1213,1180,1243",1147.799097,1224.862302,
R21A00050,52,unresolved_atom,core_member_candidate,"1180,1135,1193,1147",1189.121951,1137.95122,
R21A00051,52,isolated_small_atom,optional_support_candidate,"1144,1201,1168,1207",1155.333333,1201.933333,
R21A00052,60,background_arc_candidate,conflicting_background_candidate,"1060,1135,1193,1195",1138.340984,1151.236066,
R21A00053,60,body_core_candidate,core_member_candidate,"1126,1207,1186,1243",1156.489362,1225.321513,
R21A00054,60,isolated_small_atom,optional_support_candidate,"1162,1249,1192,1267",1182.285714,1258.071429,
R21A00055,77,unresolved_atom,core_member_candidate,"1146,1133,1266,1163",1192.06432,1147.171117,
R21A00056,77,body_core_candidate,core_member_candidate,"1146,1187,1248,1271",1205.820619,1223.750515,
R21A00057,77,side_ridge_candidate,core_member_candidate,"1224,1169,1254,1187",1237.208955,1179.567164,R21PT0008
R21A00058,77,unresolved_atom,core_member_candidate,"1260,1151,1284,1187",1269.25,1172.583333,
R21A00059,77,unresolved_atom,core_member_candidate,"1284,1133,1302,1145",1292.276596,1139,
R21A00060,77,isolated_small_atom,optional_support_candidate,"1296,1175,1332,1199",1313.954545,1186.136364,
R21A00061,78,background_arc_candidate,conflicting_background_candidate,"1146,1133,1284,1187",1202,1150.810101,
R21A00062,78,body_core_candidate,core_member_candidate,"1170,1187,1248,1271",1211.552106,1221.83592,R21PT0009
R21A00063,78,side_ridge_candidate,core_member_candidate,"1224,1175,1260,1187",1239.065574,1179.672131,R21PT0008
R21A00064,78,unresolved_atom,core_member_candidate,"1290,1133,1308,1151",1296.169811,1138.867925,
R21A00065,78,isolated_small_atom,optional_support_candidate,"1302,1175,1326,1199",1313.526316,1188,
R21A00066,78,isolated_small_atom,optional_support_candidate,"1146,1247,1164,1271",1153.388889,1262.388889,
R21A00067,78,isolated_small_atom,optional_support_candidate,"1242,1193,1254,1205",1247.8,1201.533333,
R21A00068,79,background_arc_candidate,conflicting_background_candidate,"1146,1133,1290,1187",1203.553038,1150.196704,
R21A00069,79,body_core_candidate,core_member_candidate,"1194,1187,1254,1241",1217.922043,1217.502688,
R21A00070,79,unresolved_atom,core_member_candidate,"1290,1133,1308,1145",1300.285714,1138.755102,
R21A00071,79,side_ridge_candidate,core_member_candidate,"1230,1175,1260,1187",1245.547619,1179.809524,R21PT0008
R21A00072,79,unresolved_atom,core_member_candidate,"1170,1247,1206,1271",1187.944444,1259.166667,R21PT0009
R21A00073,79,isolated_small_atom,optional_support_candidate,"1242,1199,1260,1205",1251.428571,1202.214286,
R21A00074,79,isolated_small_atom,optional_support_candidate,"1146,1247,1164,1271",1153.4,1262.533333,
R21A00075,80,side_ridge_candidate,core_member_candidate,"1146,1133,1266,1163",1197.004831,1147.59058,
R21A00076,80,body_core_candidate,core_member_candidate,"1200,1181,1260,1241",1222.5311,1217.351675,
R21A00077,80,side_ridge_candidate,core_member_candidate,"1146,1241,1212,1271",1177.666667,1259.730159,R21PT0009
R21A00078,80,unresolved_atom,core_member_candidate,"1272,1163,1290,1187",1279.698113,1177.962264,
R21A00079,80,background_arc_candidate,conflicting_background_candidate,"1296,1133,1314,1145",1303.829787,1138.787234,
R21A00080,80,side_ridge_candidate,core_member_candidate,"1236,1175,1266,1187",1249.295455,1179.840909,R21PT0008
R21A00081,80,isolated_small_atom,optional_support_candidate,"1308,1175,1326,1199",1315.785714,1183.071429,
R21A00082,81,background_arc_candidate,conflicting_background_candidate,"1146,1133,1296,1187",1205.892391,1150.029348,
R21A00083,81,body_core_candidate,core_member_candidate,"1200,1181,1260,1241",1225.611905,1217.509524,R21PT0008
R21A00084,81,unresolved_atom,core_member_candidate,"1302,1133,1314,1145",1306.761905,1138.619048,
R21A00085,81,unresolved_atom,core_member_candidate,"1176,1241,1212,1271",1189.268293,1260.634146,R21PT0009
R21A00086,81,isolated_small_atom,optional_support_candidate,"1242,1175,1272,1187",1256.695652,1180.26087,
R21A00087,212,unresolved_atom,core_member_candidate,"957,1126,1132,1240",1053.580392,1176.91634,
R21A00088,212,endpoint_hotspot_candidate,core_member_candidate,"1005,1210,1023,1240",1011.027027,1225.189189,R21PT0010
R21A00089,213,unresolved_atom,core_member_candidate,"981,1126,1132,1240",1058.150259,1177.564119,
R21A00090,213,unresolved_atom,core_member_candidate,"963,1150,987,1180",974.690476,1166.119048,
R21A00091,213,endpoint_hotspot_candidate,core_member_candidate,"1005,1210,1023,1246",1013.487805,1225.536585,R21PT0010
R21A00092,216,unresolved_atom,core_member_candidate,"975,1126,1131,1240",1063.343688,1178.343688,
R21A00093,216,endpoint_hotspot_candidate,core_member_candidate,"1017,1216,1035,1240",1024.948718,1227.641026,R21PT0010
R21A00094,220,unresolved_atom,core_member_candidate,"1011,1126,1132,1240",1077.924253,1173.739257,R21PT0011
R21A00095,220,unresolved_atom,core_member_candidate,"993,1156,1017,1174",1007.025641,1161.461538,
R21A00096,224,unresolved_atom,core_member_candidate,"1005,1126,1132,1234",1081.619141,1174.722005,
R21A00097,224,endpoint_hotspot_candidate,core_member_candidate,"1041,1210,1065,1240",1054.5,1222.488636,R21PT0011
R21A00098,224,endpoint_hotspot_candidate,core_member_candidate,"1011,1228,1029,1240",1019.133333,1233.5,
R21A00099,227,unresolved_atom,core_member_candidate,"1017,1126,1132,1234",1088.712542,1176,
R21A00100,227,endpoint_hotspot_candidate,core_member_candidate,"1047,1204,1077,1240",1064.349057,1222.235849,R21PT0011
R21A00101,227,isolated_small_atom,optional_support_candidate,"1023,1228,1041,1240",1032.352941,1235.764706,
R21A00102,228,unresolved_atom,core_member_candidate,"1023,1126,1132,1240",1087.696151,1176.445645,R21PT0012
