boundary_family_id,response_unit_id,source_response_box_id,source_r1_family_id,sar_frame,member_boundary_relation
R21R11BF00001,R21B00001,R21B00001,R21R1F00001,27,strict_boundary_variant_member
R21R11BF00001,R21B00006,R21B00006,R21R1F00001,27,strict_boundary_variant_member
R21R11BF00002,R21B00002,R21B00002,R21R1F00002,27,single_unit
R21R11BF00003,R21B00003,R21B00003,R21R1F00003,27,single_unit
R21R11BF00004,R21B00004,R21B00004,R21R1F00004,27,single_unit
R21R11BF00005,R21B00005,R21B00005,R21R1F00005,27,single_unit
R21R11BF00006,R21B00007,R21B00007,R21R1F00006,28,strict_boundary_variant_member
R21R11BF00006,R21B00011,R21B00011,R21R1F00006,28,strict_boundary_variant_member
R21R11BF00007,R21B00008,R21B00008,R21R1F00007,28,single_unit
R21R11BF00008,R21B00009,R21B00009,R21R1F00008,28,single_unit
R21R11BF00009,R21B00010,R21B00010,R21R1F00009,28,single_unit
R21R11BF00010,R21B00012,R21B00012,R21R1F00010,29,strict_boundary_variant_member
R21R11BF00010,R21B00015,R21B00015,R21R1F00010,29,strict_boundary_variant_member
R21R11BF00011,R21B00013,R21B00013,R21R1F00011,29,single_unit
R21R11BF00012,R21B00014,R21B00014,R21R1F00012,29,single_unit
R21R11BF00013,R21B00016,R21B00016,R21R1F00013,30,strict_boundary_variant_member
R21R11BF00013,R21B00021,R21B00021,R21R1F00013,30,strict_boundary_variant_member
R21R11BF00013,R21B00022,R21B00022,R21R1F00013,30,strict_boundary_variant_member
R21R11BF00014,R21B00017,R21B00017,R21R1F00014,30,strict_boundary_variant_member
R21R11BF00014,R21B00023,R21B00023,R21R1F00014,30,strict_boundary_variant_member
R21R11BF00015,R21B00018,R21B00018,R21R1F00015,30,single_unit
R21R11BF00016,R21B00019,R21B00019,R21R1F00016,30,single_unit
R21R11BF00017,R21B00020,R21B00020,R21R1F00017,30,single_unit
R21R11BF00018,R21B00024,R21B00024,R21R1F00018,31,strict_boundary_variant_member
R21R11BF00018,R21B00028,R21B00028,R21R1F00018,31,strict_boundary_variant_member
R21R11BF00018,R21B00029,R21B00029,R21R1F00018,31,strict_boundary_variant_member
R21R11BF00018,R21B00030,R21B00030,R21R1F00018,31,strict_boundary_variant_member
R21R11BF00019,R21B00025,R21B00025,R21R1F00018,31,strict_boundary_variant_member
R21R11BF00019,R21B00031,R21B00031,R21R1F00018,31,strict_boundary_variant_member
R21R11BF00020,R21B00026,R21B00026,R21R1F00019,31,single_unit
R21R11BF00021,R21B00027,R21B00027,R21R1F00020,31,single_unit
R21R11BF00022,R21B00032,R21B00032,R21R1F00021,32,strict_boundary_variant_member
R21R11BF00022,R21B00038,R21B00038,R21R1F00021,32,strict_boundary_variant_member
R21R11BF00022,R21B00039,R21B00039,R21R1F00021,32,strict_boundary_variant_member
R21R11BF00023,R21B00033,R21B00033,R21R1F00022,32,single_unit
R21R11BF00024,R21B00034,R21B00034,R21R1F00023,32,single_unit
R21R11BF00025,R21B00035,R21B00035,R21R1F00024,32,single_unit
R21R11BF00026,R21B00036,R21B00036,R21R1F00025,32,single_unit
R21R11BF00027,R21B00037,R21B00037,R21R1F00026,32,single_unit
R21R11BF00028,R21B00040,R21B00040,R21R1F00027,34,strict_boundary_variant_member
R21R11BF00028,R21B00047,R21B00047,R21R1F00027,34,strict_boundary_variant_member
R21R11BF00029,R21B00041,R21B00041,R21R1F00028,34,single_unit
R21R11BF00030,R21B00042,R21B00042,R21R1F00029,34,single_unit
R21R11BF00031,R21B00043,R21B00043,R21R1F00030,34,single_unit
R21R11BF00032,R21B00044,R21B00044,R21R1F00031,34,single_unit
R21R11BF00033,R21B00045,R21B00045,R21R1F00032,34,single_unit
R21R11BF00034,R21B00046,R21B00046,R21R1F00033,34,single_unit
R21R11BF00035,R21B00048,R21B00048,R21R1F00034,39,strict_boundary_variant_member
R21R11BF00035,R21B00053,R21B00053,R21R1F00034,39,strict_boundary_variant_member
R21R11BF00035,R21B00054,R21B00054,R21R1F00034,39,strict_boundary_variant_member
R21R11BF00036,R21B00049,R21B00049,R21R1F00035,39,single_unit
R21R11BF00037,R21B00050,R21B00050,R21R1F00036,39,strict_boundary_variant_member
R21R11BF00037,R21B00055,R21B00055,R21R1F00036,39,strict_boundary_variant_member
R21R11BF00038,R21B00051,R21B00051,R21R1F00037,39,single_unit
R21R11BF00039,R21B00052,R21B00052,R21R1F00038,39,single_unit
R21R11BF00040,R21B00056,R21B00056,R21R1F00039,40,strict_boundary_variant_member
R21R11BF00040,R21B00061,R21B00061,R21R1F00039,40,strict_boundary_variant_member
R21R11BF00041,R21B00057,R21B00057,R21R1F00040,40,single_unit
R21R11BF00042,R21B00058,R21B00058,R21R1F00041,40,single_unit
R21R11BF00043,R21B00059,R21B00059,R21R1F00042,40,single_unit
R21R11BF00044,R21B00060,R21B00060,R21R1F00043,40,single_unit
R21R11BF00045,R21B00062,R21B00062,R21R1F00044,46,single_unit
R21R11BF00046,R21B00063,R21B00063,R21R1F00045,52,strict_boundary_variant_member
R21R11BF00046,R21B00066,R21B00066,R21R1F00045,52,strict_boundary_variant_member
R21R11BF00047,R21B00064,R21B00064,R21R1F00045,52,single_unit
R21R11BF00048,R21B00065,R21B00065,R21R1F00046,52,single_unit
R21R11BF00049,R21B00067,R21B00067,R21R1F00047,60,single_unit
R21R11BF00050,R21B00068,R21B00068,R21R1F00048,60,single_unit
R21R11BF00051,R21B00069,R21B00069,R21R1F00049,77,strict_boundary_variant_member
R21R11BF00051,R21B00075,R21B00075,R21R1F00049,77,strict_boundary_variant_member
R21R11BF00051,R21B00076,R21B00076,R21R1F00049,77,strict_boundary_variant_member
R21R11BF00052,R21B00070,R21B00070,R21R1F00050,77,single_unit
R21R11BF00053,R21B00071,R21B00071,R21R1F00051,77,single_unit
R21R11BF00054,R21B00072,R21B00072,R21R1F00052,77,single_unit
R21R11BF00055,R21B00073,R21B00073,R21R1F00053,77,single_unit
R21R11BF00056,R21B00074,R21B00074,R21R1F00054,77,single_unit
R21R11BF00057,R21B00077,R21B00077,R21R1F00055,78,strict_boundary_variant_member
R21R11BF00057,R21B00083,R21B00083,R21R1F00055,78,strict_boundary_variant_member
R21R11BF00058,R21B00078,R21B00078,R21R1F00056,78,single_unit
R21R11BF00059,R21B00079,R21B00079,R21R1F00057,78,single_unit
R21R11BF00060,R21B00080,R21B00080,R21R1F00058,78,single_unit
R21R11BF00061,R21B00081,R21B00081,R21R1F00059,78,single_unit
R21R11BF00062,R21B00082,R21B00082,R21R1F00060,78,single_unit
R21R11BF00063,R21B00084,R21B00084,R21R1F00061,79,strict_boundary_variant_member
R21R11BF00063,R21B00090,R21B00090,R21R1F00061,79,strict_boundary_variant_member
R21R11BF00063,R21B00091,R21B00091,R21R1F00064,79,strict_boundary_variant_member
R21R11BF00064,R21B00085,R21B00085,R21R1F00062,79,single_unit
R21R11BF00065,R21B00086,R21B00086,R21R1F00063,79,single_unit
R21R11BF00066,R21B00087,R21B00087,R21R1F00064,79,single_unit
R21R11BF00067,R21B00088,R21B00088,R21R1F00065,79,single_unit
R21R11BF00068,R21B00089,R21B00089,R21R1F00066,79,single_unit
R21R11BF00069,R21B00092,R21B00092,R21R1F00067,80,strict_boundary_variant_member
R21R11BF00069,R21B00098,R21B00098,R21R1F00067,80,strict_boundary_variant_member
R21R11BF00069,R21B00099,R21B00099,R21R1F00067,80,strict_boundary_variant_member
R21R11BF00070,R21B00093,R21B00093,R21R1F00068,80,single_unit
R21R11BF00071,R21B00094,R21B00094,R21R1F00069,80,single_unit
R21R11BF00072,R21B00095,R21B00095,R21R1F00070,80,single_unit
R21R11BF00073,R21B00096,R21B00096,R21R1F00071,80,single_unit
R21R11BF00074,R21B00097,R21B00097,R21R1F00072,80,single_unit
R21R11BF00075,R21B00100,R21B00100,R21R1F00073,81,strict_boundary_variant_member
R21R11BF00075,R21B00104,R21B00104,R21R1F00073,81,strict_boundary_variant_member
R21R11BF00076,R21B00101,R21B00101,R21R1F00074,81,single_unit
R21R11BF00077,R21B00102,R21B00102,R21R1F00075,81,single_unit
R21R11BF00078,R21B00103,R21B00103,R21R1F00076,81,single_unit
R21R11BF00079,R21B00105,R21B00105,R21R1F00077,212,strict_boundary_variant_member
R21R11BF00079,R21B00107,R21B00107,R21R1F00077,212,strict_boundary_variant_member
R21R11BF00080,R21B00106,R21B00106,R21R1F00077,212,single_unit
R21R11BF00081,R21B00108,R21B00108,R21R1F00078,213,strict_boundary_variant_member
R21R11BF00081,R21B00111,R21B00111,R21R1F00078,213,strict_boundary_variant_member
R21R11BF00082,R21B00109,R21B00109,R21R1F00079,213,single_unit
R21R11BF00083,R21B00110,R21B00110,R21R1F00080,213,single_unit
R21R11BF00084,R21B00112,R21B00112,R21R1F00081,216,strict_boundary_variant_member
R21R11BF00084,R21B00114,R21B00114,R21R1F00081,216,strict_boundary_variant_member
R21R11BF00085,R21B00113,R21B00113,R21R1F00081,216,single_unit
R21R11BF00086,R21B00115,R21B00115,R21R1F00082,220,single_unit
R21R11BF00087,R21B00116,R21B00116,R21R1F00083,220,single_unit
R21R11BF00088,R21B00117,R21B00117,R21R1F00084,224,strict_boundary_variant_member
R21R11BF00088,R21B00120,R21B00120,R21R1F00084,224,strict_boundary_variant_member
R21R11BF00088,R21B00121,R21B00121,R21R1F00084,224,strict_boundary_variant_member
R21R11BF00088,R21B00123,R21B00123,R21R1F00084,224,strict_boundary_variant_member
R21R11BF00089,R21B00118,R21B00118,R21R1F00085,224,strict_boundary_variant_member
R21R11BF00089,R21B00122,R21B00122,R21R1F00085,224,strict_boundary_variant_member
R21R11BF00090,R21B00119,R21B00119,R21R1F00086,224,single_unit
R21R11BF00091,R21B00124,R21B00124,R21R1F00087,227,strict_boundary_variant_member
R21R11BF00091,R21B00127,R21B00127,R21R1F00087,227,strict_boundary_variant_member
R21R11BF00092,R21B00125,R21B00125,R21R1F00088,227,single_unit
R21R11BF00093,R21B00126,R21B00126,R21R1F00089,227,single_unit
R21R11BF00094,R21B00128,R21B00128,R21R1F00090,228,strict_boundary_variant_member
R21R11BF00094,R21B00131,R21B00131,R21R1F00090,228,strict_boundary_variant_member
R21R11BF00095,R21B00129,R21B00129,R21R1F00090,228,single_unit
R21R11BF00096,R21B00130,R21B00130,R21R1F00091,228,single_unit
R21R11BF00097,R21B00132,R21B00132,R21R1F00092,238,single_unit
R21R11BF00098,R21B00133,R21B00133,R21R1F00093,238,single_unit
R21R11BF00099,R21B00134,R21B00134,R21R1F00094,239,single_unit
R21R11BF00100,R21B00135,R21B00135,R21R1F00095,239,single_unit
R21R11BF00101,R21B00136,R21B00136,R21R1F00096,239,single_unit
