response_unit_id,source_response_box_id,source_r1_family_id,sar_frame,core_atom_ids,optional_atom_ids,core_bbox,conservative_bbox,uncertain_envelope,response_state
R21B00001,R21B00001,R21R1F00001,27,R21A00001,R21A00002;R21A00003;R21A00004;R21A00005,"1036,1131,1186,1203","1036,1131,1186,1203","1006,1131,1186,1233",local_response_unit_not_complete_vehicle
R21B00002,R21B00002,R21R1F00002,27,R21A00002,R21A00001;R21A00003;R21A00005,"1096,1209,1144,1233","1096,1209,1144,1233","1030,1131,1186,1233",local_response_unit_not_complete_vehicle
R21B00003,R21B00003,R21R1F00003,27,R21A00003,R21A00001;R21A00002;R21A00004;R21A00005,"1084,1131,1108,1149","1084,1131,1108,1149","1006,1131,1186,1233",local_response_unit_not_complete_vehicle
R21B00004,R21B00004,R21R1F00004,27,R21A00004,R21A00001;R21A00003;R21A00005,"1006,1131,1018,1137","1006,1131,1018,1137","1006,1131,1186,1233",local_response_unit_not_complete_vehicle
R21B00005,R21B00005,R21R1F00005,27,R21A00005,R21A00001;R21A00002;R21A00003;R21A00004,"1030,1221,1042,1233","1030,1221,1042,1233","1006,1131,1186,1233",local_response_unit_not_complete_vehicle
R21B00006,R21B00006,R21R1F00001,27,R21A00001;R21A00002,R21A00003;R21A00004;R21A00005,"1036,1131,1186,1233","1036,1131,1186,1233","1006,1131,1186,1233",local_response_unit_not_complete_vehicle
R21B00007,R21B00007,R21R1F00006,28,R21A00006,R21A00007;R21A00008;R21A00009,"1036,1131,1192,1203","1036,1131,1192,1203","1006,1131,1192,1233",local_response_unit_not_complete_vehicle
R21B00008,R21B00008,R21R1F00007,28,R21A00007,R21A00006;R21A00008,"1096,1203,1150,1233","1096,1203,1150,1233","1036,1131,1192,1233",local_response_unit_not_complete_vehicle
R21B00009,R21B00009,R21R1F00008,28,R21A00008,R21A00006;R21A00007;R21A00009,"1084,1131,1114,1149","1084,1131,1114,1149","1006,1131,1192,1233",local_response_unit_not_complete_vehicle
R21B00010,R21B00010,R21R1F00009,28,R21A00009,R21A00006;R21A00008,"1006,1131,1024,1143","1006,1131,1024,1143","1006,1131,1192,1203",local_response_unit_not_complete_vehicle
R21B00011,R21B00011,R21R1F00006,28,R21A00006;R21A00007,R21A00008;R21A00009,"1036,1131,1192,1233","1036,1131,1192,1233","1006,1131,1192,1233",local_response_unit_not_complete_vehicle
R21B00012,R21B00012,R21R1F00010,29,R21A00010,R21A00011;R21A00012,"1042,1131,1192,1197","1042,1131,1192,1197","1042,1131,1192,1245",local_response_unit_not_complete_vehicle
R21B00013,R21B00013,R21R1F00011,29,R21A00011,R21A00010;R21A00012,"1096,1203,1156,1245","1096,1203,1156,1245","1042,1131,1192,1245",local_response_unit_not_complete_vehicle
