family_id,response_box_id,core_subgraph_id,sar_frame,member_relation_to_family,box_state,core_member_atom_ids,strong_optional_atom_ids,uncertain_optional_atom_ids,conservative_response_bbox,uncertain_envelope_bbox
R21R1F00001,R21B00001,R21C00001,27,nested_same_core_variant,unresolved,R21A00001,,R21A00002;R21A00003;R21A00004;R21A00005,"1036,1131,1186,1203","1006,1131,1186,1233"
R21R1F00001,R21B00006,R21C00006,27,nested_same_core_variant,unresolved,R21A00001;R21A00002,,R21A00003;R21A00004;R21A00005,"1036,1131,1186,1233","1006,1131,1186,1233"
R21R1F00002,R21B00002,R21C00002,27,single_member_family,vehicle_response_box_possible,R21A00002,,R21A00001;R21A00003;R21A00005,"1096,1209,1144,1233","1030,1131,1186,1233"
R21R1F00003,R21B00003,R21C00003,27,single_member_family,unresolved,R21A00003,,R21A00001;R21A00002;R21A00004;R21A00005,"1084,1131,1108,1149","1006,1131,1186,1233"
R21R1F00004,R21B00004,R21C00004,27,single_member_family,unresolved,R21A00004,,R21A00001;R21A00003;R21A00005,"1006,1131,1018,1137","1006,1131,1186,1233"
R21R1F00005,R21B00005,R21C00005,27,single_member_family,unresolved,R21A00005,,R21A00001;R21A00002;R21A00003;R21A00004,"1030,1221,1042,1233","1006,1131,1186,1233"
R21R1F00006,R21B00007,R21C00007,28,nested_same_core_variant,unresolved,R21A00006,,R21A00007;R21A00008;R21A00009,"1036,1131,1192,1203","1006,1131,1192,1233"
R21R1F00006,R21B00011,R21C00011,28,nested_same_core_variant,unresolved,R21A00006;R21A00007,,R21A00008;R21A00009,"1036,1131,1192,1233","1006,1131,1192,1233"
R21R1F00007,R21B00008,R21C00008,28,single_member_family,vehicle_response_box_possible,R21A00007,,R21A00006;R21A00008,"1096,1203,1150,1233","1036,1131,1192,1233"
R21R1F00008,R21B00009,R21C00009,28,single_member_family,unresolved,R21A00008,,R21A00006;R21A00007;R21A00009,"1084,1131,1114,1149","1006,1131,1192,1233"
R21R1F00009,R21B00010,R21C00010,28,single_member_family,unresolved,R21A00009,,R21A00006;R21A00008,"1006,1131,1024,1143","1006,1131,1192,1203"
R21R1F00010,R21B00012,R21C00012,29,nested_same_core_variant,unresolved,R21A00010,,R21A00011;R21A00012,"1042,1131,1192,1197","1042,1131,1192,1245"
R21R1F00010,R21B00015,R21C00015,29,nested_same_core_variant,unresolved,R21A00010;R21A00011,,R21A00012,"1042,1131,1192,1245","1042,1131,1192,1245"
R21R1F00011,R21B00013,R21C00013,29,single_member_family,vehicle_response_box_possible,R21A00011,,R21A00010;R21A00012,"1096,1203,1156,1245","1042,1131,1192,1245"
R21R1F00012,R21B00014,R21C00014,29,single_member_family,unresolved,R21A00012,,R21A00010;R21A00011,"1090,1131,1114,1149","1042,1131,1192,1245"
R21R1F00013,R21B00016,R21C00016,30,nested_same_core_variant,unresolved,R21A00013,,R21A00014;R21A00015;R21A00016;R21A00017,"1042,1131,1193,1197","1042,1131,1193,1245"
R21R1F00013,R21B00021,R21C00021,30,high_iou_boundary_variant;nested_same_core_variant,unresolved,R21A00013;R21A00014,,R21A00015;R21A00016;R21A00017,"1042,1131,1193,1245","1042,1131,1193,1245"
R21R1F00013,R21B00022,R21C00022,30,high_iou_boundary_variant;nested_same_core_variant,unresolved,R21A00013;R21A00016,,R21A00014;R21A00015;R21A00017,"1042,1131,1193,1239","1042,1131,1193,1245"
R21R1F00014,R21B00017,R21C00017,30,nested_same_core_variant,vehicle_response_box_possible,R21A00014,,R21A00013;R21A00015;R21A00016;R21A00017,"1096,1203,1162,1245","1042,1131,1193,1245"
R21R1F00014,R21B00023,R21C00023,30,nested_same_core_variant,vehicle_response_box_supported,R21A00014;R21A00016,,R21A00013;R21A00015;R21A00017,"1066,1203,1162,1245","1042,1131,1193,1245"
R21R1F00015,R21B00018,R21C00018,30,single_member_family,unresolved,R21A00015,,R21A00013;R21A00014;R21A00016;R21A00017,"1090,1131,1120,1149","1042,1131,1193,1245"
