family_id,sar_frame,member_box_a,member_box_b,bbox_iou,center_distance_px,core_overlap_ratio,core_subset_relation,relation_type,pairwise_valid,invalid_reason,would_single_link_component,empty_optional_equality_seen
R21R1F00001,27,R21B00001,R21B00006,0.705882,15,1,a_subset_b,nested_same_core_variant,true,,SL000027_001,true
R21R1F00002,27,R21B00002,R21B00002,1,0,1,equal,single_member_family,true,,SL000027_001,false
R21R1F00003,27,R21B00003,R21B00003,1,0,1,equal,single_member_family,true,,SL000027_002,false
R21R1F00004,27,R21B00004,R21B00004,1,0,1,equal,single_member_family,true,,SL000027_003,false
R21R1F00005,27,R21B00005,R21B00005,1,0,1,equal,single_member_family,true,,SL000027_004,false
R21R1F00006,28,R21B00007,R21B00011,0.705882,15,1,a_subset_b,nested_same_core_variant,true,,SL000028_001,true
R21R1F00007,28,R21B00008,R21B00008,1,0,1,equal,single_member_family,true,,SL000028_001,false
R21R1F00008,28,R21B00009,R21B00009,1,0,1,equal,single_member_family,true,,SL000028_002,false
R21R1F00009,28,R21B00010,R21B00010,1,0,1,equal,single_member_family,true,,SL000028_003,false
R21R1F00010,29,R21B00012,R21B00015,0.578947,24,1,a_subset_b,nested_same_core_variant,true,,SL000029_001,true
R21R1F00011,29,R21B00013,R21B00013,1,0,1,equal,single_member_family,true,,SL000029_001,false
R21R1F00012,29,R21B00014,R21B00014,1,0,1,equal,single_member_family,true,,SL000029_002,false
R21R1F00013,30,R21B00016,R21B00021,0.578947,24,1,a_subset_b,nested_same_core_variant,true,,SL000030_001,true
R21R1F00013,30,R21B00016,R21B00022,0.611111,21,1,a_subset_b,nested_same_core_variant,true,,SL000030_001,true
R21R1F00013,30,R21B00021,R21B00022,0.947368,3,0.5,overlap,high_iou_boundary_variant,true,,SL000030_001,true
R21R1F00014,30,R21B00017,R21B00023,0.6875,15,1,a_subset_b,nested_same_core_variant,true,,SL000030_001,true
R21R1F00015,30,R21B00018,R21B00018,1,0,1,equal,single_member_family,true,,SL000030_002,false
R21R1F00016,30,R21B00019,R21B00019,1,0,1,equal,single_member_family,true,,SL000030_001,false
R21R1F00017,30,R21B00020,R21B00020,1,0,1,equal,single_member_family,true,,SL000030_003,false
R21R1F00018,31,R21B00024,R21B00025,0.016731,53.303377,0,none,nested_same_core_variant,true,,SL000031_001,true
R21R1F00018,31,R21B00024,R21B00028,1,0,1,a_subset_b,exact_duplicate_bbox,true,,SL000031_001,true
R21R1F00018,31,R21B00024,R21B00029,1,0,1,a_subset_b,exact_duplicate_bbox,true,,SL000031_001,true
R21R1F00018,31,R21B00024,R21B00030,1,0,1,a_subset_b,exact_duplicate_bbox,true,,SL000031_001,true
R21R1F00018,31,R21B00024,R21B00031,0.451725,39.61376,0,none,nested_same_core_variant,true,,SL000031_001,true
R21R1F00018,31,R21B00025,R21B00028,0.016731,53.303377,1,a_subset_b,nested_same_core_variant,true,,SL000031_001,true
R21R1F00018,31,R21B00025,R21B00029,0.016731,53.303377,0,none,nested_same_core_variant,true,,SL000031_001,true
R21R1F00018,31,R21B00025,R21B00030,0.016731,53.303377,0,none,nested_same_core_variant,true,,SL000031_001,true
R21R1F00018,31,R21B00025,R21B00031,0.037037,53.665631,1,a_subset_b,nested_same_core_variant,true,,SL000031_001,true
R21R1F00018,31,R21B00028,R21B00029,1,0,0.5,overlap,exact_duplicate_bbox,true,,SL000031_001,true
R21R1F00018,31,R21B00028,R21B00030,1,0,0.5,overlap,exact_duplicate_bbox,true,,SL000031_001,true
R21R1F00018,31,R21B00028,R21B00031,0.451725,39.61376,0.5,overlap,nested_same_core_variant,true,,SL000031_001,true
R21R1F00018,31,R21B00029,R21B00030,1,0,0.5,overlap,exact_duplicate_bbox,true,,SL000031_001,true
R21R1F00018,31,R21B00029,R21B00031,0.451725,39.61376,0.5,overlap,nested_same_core_variant,true,,SL000031_001,true
R21R1F00018,31,R21B00030,R21B00031,0.451725,39.61376,0,none,nested_same_core_variant,true,,SL000031_001,true
R21R1F00019,31,R21B00026,R21B00026,1,0,1,equal,single_member_family,true,,SL000031_001,false
R21R1F00020,31,R21B00027,R21B00027,1,0,1,equal,single_member_family,true,,SL000031_001,false
R21R1F00021,32,R21B00032,R21B00038,0.75,15,1,a_subset_b,high_iou_boundary_variant,true,,SL000032_001,true
R21R1F00021,32,R21B00032,R21B00039,0.882353,6,1,a_subset_b,high_iou_boundary_variant,true,,SL000032_001,true
R21R1F00021,32,R21B00038,R21B00039,0.85,9,0.5,overlap,high_iou_boundary_variant,true,,SL000032_001,true
R21R1F00022,32,R21B00033,R21B00033,1,0,1,equal,single_member_family,true,,SL000032_001,false
R21R1F00023,32,R21B00034,R21B00034,1,0,1,equal,single_member_family,true,,SL000032_001,false
R21R1F00024,32,R21B00035,R21B00035,1,0,1,equal,single_member_family,true,,SL000032_002,false
R21R1F00025,32,R21B00036,R21B00036,1,0,1,equal,single_member_family,true,,SL000032_001,false
R21R1F00026,32,R21B00037,R21B00037,1,0,1,equal,single_member_family,true,,SL000032_003,false
R21R1F00027,34,R21B00040,R21B00047,0.541401,36,1,a_subset_b,nested_same_core_variant,true,,SL000034_001,true
R21R1F00028,34,R21B00041,R21B00041,1,0,1,equal,single_member_family,true,,SL000034_001,false
R21R1F00029,34,R21B00042,R21B00042,1,0,1,equal,single_member_family,true,,SL000034_002,false
R21R1F00030,34,R21B00043,R21B00043,1,0,1,equal,single_member_family,true,,SL000034_001,false
R21R1F00031,34,R21B00044,R21B00044,1,0,1,equal,single_member_family,true,,SL000034_001,false
R21R1F00032,34,R21B00045,R21B00045,1,0,1,equal,single_member_family,true,,SL000034_001,false
R21R1F00033,34,R21B00046,R21B00046,1,0,1,equal,single_member_family,true,,SL000034_003,false
R21R1F00034,39,R21B00048,R21B00053,0.777778,12,1,a_subset_b,high_iou_boundary_variant,true,,SL000039_001,true
R21R1F00034,39,R21B00048,R21B00054,0.583333,30,1,a_subset_b,nested_same_core_variant,true,,SL000039_001,true
R21R1F00034,39,R21B00053,R21B00054,0.75,18,0.5,overlap,high_iou_boundary_variant,true,,SL000039_001,true
R21R1F00035,39,R21B00049,R21B00049,1,0,1,equal,single_member_family,true,,SL000039_002,false
R21R1F00036,39,R21B00050,R21B00055,0.25,18.248288,1,a_subset_b,nested_same_core_variant,true,,SL000039_001,true
R21R1F00037,39,R21B00051,R21B00051,1,0,1,equal,single_member_family,true,,SL000039_001,false
R21R1F00038,39,R21B00052,R21B00052,1,0,1,equal,single_member_family,true,,SL000039_003,false
R21R1F00039,40,R21B00056,R21B00061,0.714286,18,1,a_subset_b,nested_same_core_variant,true,,SL000040_001,true
R21R1F00040,40,R21B00057,R21B00057,1,0,1,equal,single_member_family,true,,SL000040_002,false
R21R1F00041,40,R21B00058,R21B00058,1,0,1,equal,single_member_family,true,,SL000040_001,false
R21R1F00042,40,R21B00059,R21B00059,1,0,1,equal,single_member_family,true,,SL000040_003,false
R21R1F00043,40,R21B00060,R21B00060,1,0,1,equal,single_member_family,true,,SL000040_004,false
R21R1F00044,46,R21B00062,R21B00062,1,0,1,equal,single_member_family,true,,SL000046_001,false
R21R1F00045,52,R21B00063,R21B00064,0.017094,80.777472,0,none,nested_same_core_variant,true,,SL000052_001,true
R21R1F00045,52,R21B00063,R21B00066,1,0,1,a_subset_b,exact_duplicate_bbox,true,,SL000052_001,true
R21R1F00045,52,R21B00064,R21B00066,0.017094,80.777472,1,a_subset_b,nested_same_core_variant,true,,SL000052_001,true
R21R1F00046,52,R21B00065,R21B00065,1,0,1,equal,single_member_family,true,,SL000052_002,false
R21R1F00047,60,R21B00067,R21B00067,1,0,1,equal,single_member_family,true,,SL000060_001,false
R21R1F00048,60,R21B00068,R21B00068,1,0,1,equal,single_member_family,true,,SL000060_002,false
R21R1F00049,77,R21B00069,R21B00075,0.217391,54,1,a_subset_b,nested_same_core_variant,true,,SL000077_001,true
R21R1F00049,77,R21B00069,R21B00076,0.555556,12,1,a_subset_b,nested_same_core_variant,true,,SL000077_001,true
R21R1F00049,77,R21B00075,R21B00076,0.391304,42,0.5,overlap,nested_same_core_variant,true,,SL000077_001,true
R21R1F00050,77,R21B00070,R21B00070,1,0,1,equal,single_member_family,true,,SL000077_001,false
R21R1F00051,77,R21B00071,R21B00071,1,0,1,equal,single_member_family,true,,SL000077_001,false
R21R1F00052,77,R21B00072,R21B00072,1,0,1,equal,single_member_family,true,,SL000077_002,false
R21R1F00053,77,R21B00073,R21B00073,1,0,1,equal,single_member_family,true,,SL000077_003,false
R21R1F00054,77,R21B00074,R21B00074,1,0,1,equal,single_member_family,true,,SL000077_004,false
R21R1F00055,78,R21B00077,R21B00083,0.758333,8.485281,1,a_subset_b,high_iou_boundary_variant,true,,SL000078_001,true
R21R1F00056,78,R21B00078,R21B00078,1,0,1,equal,single_member_family,true,,SL000078_001,false
R21R1F00057,78,R21B00079,R21B00079,1,0,1,equal,single_member_family,true,,SL000078_002,false
R21R1F00058,78,R21B00080,R21B00080,1,0,1,equal,single_member_family,true,,SL000078_003,false
R21R1F00059,78,R21B00081,R21B00081,1,0,1,equal,single_member_family,true,,SL000078_004,false
R21R1F00060,78,R21B00082,R21B00082,1,0,1,equal,single_member_family,true,,SL000078_005,false
R21R1F00061,79,R21B00084,R21B00090,0.743802,6.708204,1,a_subset_b,nested_same_core_variant,true,,SL000079_001,true
R21R1F00062,79,R21B00085,R21B00085,1,0,1,equal,single_member_family,true,,SL000079_002,false
R21R1F00063,79,R21B00086,R21B00086,1,0,1,equal,single_member_family,true,,SL000079_001,false
R21R1F00064,79,R21B00087,R21B00091,0.122449,38.418745,1,a_subset_b,nested_same_core_variant,true,,SL000079_001,true
R21R1F00065,79,R21B00088,R21B00088,1,0,1,equal,single_member_family,true,,SL000079_003,false
R21R1F00066,79,R21B00089,R21B00089,1,0,1,equal,single_member_family,true,,SL000079_004,false
R21R1F00067,80,R21B00092,R21B00098,0.277778,39,1,a_subset_b,nested_same_core_variant,true,,SL000080_001,true
R21R1F00067,80,R21B00092,R21B00099,0.217391,54,1,a_subset_b,nested_same_core_variant,true,,SL000080_001,true
R21R1F00067,80,R21B00098,R21B00099,0.782609,15,0.5,overlap,high_iou_boundary_variant,true,,SL000080_001,true
R21R1F00068,80,R21B00093,R21B00093,1,0,1,equal,single_member_family,true,,SL000080_001,false
R21R1F00069,80,R21B00094,R21B00094,1,0,1,equal,single_member_family,true,,SL000080_001,false
R21R1F00070,80,R21B00095,R21B00095,1,0,1,equal,single_member_family,true,,SL000080_002,false
R21R1F00071,80,R21B00096,R21B00096,1,0,1,equal,single_member_family,true,,SL000080_001,false
R21R1F00072,80,R21B00097,R21B00097,1,0,1,equal,single_member_family,true,,SL000080_003,false
R21R1F00073,81,R21B00100,R21B00104,0.47619,19.209373,1,a_subset_b,nested_same_core_variant,true,,SL000081_001,true
R21R1F00074,81,R21B00101,R21B00101,1,0,1,equal,single_member_family,true,,SL000081_002,false
R21R1F00075,81,R21B00102,R21B00102,1,0,1,equal,single_member_family,true,,SL000081_001,false
R21R1F00076,81,R21B00103,R21B00103,1,0,1,equal,single_member_family,true,,SL000081_003,false
R21R1F00077,212,R21B00105,R21B00106,0.027068,51.906165,0,none,nested_same_core_variant,true,,SL000212_001,true
R21R1F00077,212,R21B00105,R21B00107,1,0,1,a_subset_b,exact_duplicate_bbox,true,,SL000212_001,true
R21R1F00077,212,R21B00106,R21B00107,0.027068,51.906165,1,a_subset_b,nested_same_core_variant,true,,SL000212_001,true
R21R1F00078,213,R21B00108,R21B00111,0.95,3,1,a_subset_b,high_iou_boundary_variant,true,,SL000213_001,true
R21R1F00079,213,R21B00109,R21B00109,1,0,1,equal,single_member_family,true,,SL000213_002,false
R21R1F00080,213,R21B00110,R21B00110,1,0,1,equal,single_member_family,true,,SL000213_001,false
R21R1F00081,216,R21B00112,R21B00113,0.024291,52.478567,0,none,nested_same_core_variant,true,,SL000216_001,true
R21R1F00081,216,R21B00112,R21B00114,1,0,1,a_subset_b,exact_duplicate_bbox,true,,SL000216_001,true
R21R1F00081,216,R21B00113,R21B00114,0.024291,52.478567,1,a_subset_b,nested_same_core_variant,true,,SL000216_001,true
R21R1F00082,220,R21B00115,R21B00115,1,0,1,equal,single_member_family,true,,SL000220_001,false
R21R1F00083,220,R21B00116,R21B00116,1,0,1,equal,single_member_family,true,,SL000220_002,false
R21R1F00084,224,R21B00117,R21B00120,0.947368,3,1,a_subset_b,high_iou_boundary_variant,true,,SL000224_001,true
R21R1F00084,224,R21B00117,R21B00121,0.947368,3,1,a_subset_b,high_iou_boundary_variant,true,,SL000224_001,true
R21R1F00084,224,R21B00117,R21B00123,0.947368,3,1,a_subset_b,high_iou_boundary_variant,true,,SL000224_001,true
R21R1F00084,224,R21B00120,R21B00121,1,0,0.5,overlap,exact_duplicate_bbox,true,,SL000224_001,true
R21R1F00084,224,R21B00120,R21B00123,1,0,1,a_subset_b,exact_duplicate_bbox,true,,SL000224_001,true
R21R1F00084,224,R21B00121,R21B00123,1,0,1,a_subset_b,exact_duplicate_bbox,true,,SL000224_001,true
R21R1F00085,224,R21B00118,R21B00122,0.444444,15,1,a_subset_b,nested_same_core_variant,true,,SL000224_001,true
R21R1F00086,224,R21B00119,R21B00119,1,0,1,equal,single_member_family,true,,SL000224_001,false
R21R1F00087,227,R21B00124,R21B00127,0.947368,3,1,a_subset_b,high_iou_boundary_variant,true,,SL000227_001,true
R21R1F00088,227,R21B00125,R21B00125,1,0,1,equal,single_member_family,true,,SL000227_001,false
R21R1F00089,227,R21B00126,R21B00126,1,0,1,equal,single_member_family,true,,SL000227_002,false
R21R1F00090,228,R21B00128,R21B00129,0.086915,40.140379,0,none,nested_same_core_variant,true,,SL000228_001,true
R21R1F00090,228,R21B00128,R21B00131,1,0,1,a_subset_b,exact_duplicate_bbox,true,,SL000228_001,true
