response_box_id,family_id,sar_frame,gt_exact_frame_available,member_bbox_iou,member_gt_coverage,member_prediction_purity,member_area_ratio,member_center_distance_px,member_eval_state
R21B00001,R21R1F00001,27,true,0.201617,0.215821,0.753903,0.286272,73.812739,evaluated_exact_gt
R21B00006,R21R1F00001,27,true,0.313046,0.335101,0.826284,0.405551,69.677474,evaluated_exact_gt
R21B00002,R21R1F00002,27,true,0.030536,0.030536,1,0.030536,65.304077,evaluated_exact_gt
R21B00003,R21R1F00003,27,true,0.000177,0.000179,0.015611,0.011451,99.664419,evaluated_exact_gt
R21B00004,R21R1F00004,27,true,0,0,0,0.001908,178.098176,evaluated_exact_gt
R21B00005,R21R1F00005,27,true,0.003817,0.003817,1,0.003817,147.26809,evaluated_exact_gt
R21B00007,R21R1F00006,28,false,,,,,,not_evaluable_no_exact_gt
R21B00011,R21R1F00006,28,false,,,,,,not_evaluable_no_exact_gt
R21B00008,R21R1F00007,28,false,,,,,,not_evaluable_no_exact_gt
R21B00009,R21R1F00008,28,false,,,,,,not_evaluable_no_exact_gt
R21B00010,R21R1F00009,28,false,,,,,,not_evaluable_no_exact_gt
R21B00012,R21R1F00010,29,false,,,,,,not_evaluable_no_exact_gt
R21B00015,R21R1F00010,29,false,,,,,,not_evaluable_no_exact_gt
R21B00013,R21R1F00011,29,false,,,,,,not_evaluable_no_exact_gt
R21B00014,R21R1F00012,29,false,,,,,,not_evaluable_no_exact_gt
R21B00016,R21R1F00013,30,false,,,,,,not_evaluable_no_exact_gt
R21B00021,R21R1F00013,30,false,,,,,,not_evaluable_no_exact_gt
R21B00022,R21R1F00013,30,false,,,,,,not_evaluable_no_exact_gt
R21B00017,R21R1F00014,30,false,,,,,,not_evaluable_no_exact_gt
R21B00023,R21R1F00014,30,false,,,,,,not_evaluable_no_exact_gt
R21B00018,R21R1F00015,30,false,,,,,,not_evaluable_no_exact_gt
R21B00019,R21R1F00016,30,false,,,,,,not_evaluable_no_exact_gt
R21B00020,R21R1F00017,30,false,,,,,,not_evaluable_no_exact_gt
R21B00024,R21R1F00018,31,true,0.370122,0.683351,0.446741,1.529638,47.379774,evaluated_exact_gt
R21B00025,R21R1F00018,31,true,0,0,0,0.025592,71.024077,evaluated_exact_gt
R21B00028,R21R1F00018,31,true,0.370122,0.683351,0.446741,1.529638,47.379774,evaluated_exact_gt
R21B00029,R21R1F00018,31,true,0.370122,0.683351,0.446741,1.529638,47.379774,evaluated_exact_gt
R21B00030,R21R1F00018,31,true,0.370122,0.683351,0.446741,1.529638,47.379774,evaluated_exact_gt
R21B00031,R21R1F00018,31,true,0.350894,0.439231,0.635667,0.690976,17.446934,evaluated_exact_gt
R21B00026,R21R1F00019,31,true,0.023436,0.023559,0.818278,0.028791,35.512286,evaluated_exact_gt
R21B00027,R21R1F00020,31,true,0.028791,0.028791,1,0.028791,22.788034,evaluated_exact_gt
R21B00032,R21R1F00021,32,false,,,,,,not_evaluable_no_exact_gt
R21B00038,R21R1F00021,32,false,,,,,,not_evaluable_no_exact_gt
R21B00039,R21R1F00021,32,false,,,,,,not_evaluable_no_exact_gt
R21B00033,R21R1F00022,32,false,,,,,,not_evaluable_no_exact_gt
R21B00034,R21R1F00023,32,false,,,,,,not_evaluable_no_exact_gt
R21B00035,R21R1F00024,32,false,,,,,,not_evaluable_no_exact_gt
R21B00036,R21R1F00025,32,false,,,,,,not_evaluable_no_exact_gt
R21B00037,R21R1F00026,32,false,,,,,,not_evaluable_no_exact_gt
R21B00040,R21R1F00027,34,false,,,,,,not_evaluable_no_exact_gt
R21B00047,R21R1F00027,34,false,,,,,,not_evaluable_no_exact_gt
R21B00041,R21R1F00028,34,false,,,,,,not_evaluable_no_exact_gt
R21B00042,R21R1F00029,34,false,,,,,,not_evaluable_no_exact_gt
R21B00043,R21R1F00030,34,false,,,,,,not_evaluable_no_exact_gt
R21B00044,R21R1F00031,34,false,,,,,,not_evaluable_no_exact_gt
R21B00045,R21R1F00032,34,false,,,,,,not_evaluable_no_exact_gt
R21B00046,R21R1F00033,34,false,,,,,,not_evaluable_no_exact_gt
R21B00048,R21R1F00034,39,false,,,,,,not_evaluable_no_exact_gt
R21B00053,R21R1F00034,39,false,,,,,,not_evaluable_no_exact_gt
R21B00054,R21R1F00034,39,false,,,,,,not_evaluable_no_exact_gt
R21B00049,R21R1F00035,39,false,,,,,,not_evaluable_no_exact_gt
R21B00050,R21R1F00036,39,false,,,,,,not_evaluable_no_exact_gt
R21B00055,R21R1F00036,39,false,,,,,,not_evaluable_no_exact_gt
R21B00051,R21R1F00037,39,false,,,,,,not_evaluable_no_exact_gt
R21B00052,R21R1F00038,39,false,,,,,,not_evaluable_no_exact_gt
R21B00056,R21R1F00039,40,false,,,,,,not_evaluable_no_exact_gt
R21B00061,R21R1F00039,40,false,,,,,,not_evaluable_no_exact_gt
R21B00057,R21R1F00040,40,false,,,,,,not_evaluable_no_exact_gt
R21B00058,R21R1F00041,40,false,,,,,,not_evaluable_no_exact_gt
