response_box_id,core_subgraph_id,sar_frame,box_state,core_member_atom_ids,strong_optional_atom_ids,uncertain_optional_atom_ids,excluded_atom_ids,core_bbox,conservative_response_bbox,uncertain_envelope_bbox,center_x_px,center_y_px,center_x_m,center_y_m,range_m,azimuth_deg,metric_consistency_error_m,final_annotation_space
R21B00001,R21C00001,27,unresolved,R21A00001,,R21A00002;R21A00003;R21A00004;R21A00005,,"1036,1131,1186,1203","1036,1131,1186,1203","1006,1131,1186,1233",1111,1167,-1.29,4.908,5.074698,-14.726323,0,sar_image_pixel_domain
R21B00002,R21C00002,27,vehicle_response_box_possible,R21A00002,,R21A00001;R21A00003;R21A00005,R21A00004,"1096,1209,1144,1233","1096,1209,1144,1233","1030,1131,1186,1233",1120,1221,-1.02,3.288,3.442578,-17.234882,0,sar_image_pixel_domain
R21B00003,R21C00003,27,unresolved,R21A00003,,R21A00001;R21A00002;R21A00004;R21A00005,,"1084,1131,1108,1149","1084,1131,1108,1149","1006,1131,1186,1233",1096,1140,-1.74,5.718,5.976882,-16.925121,0,sar_image_pixel_domain
R21B00004,R21C00004,27,unresolved,R21A00004,,R21A00001;R21A00003;R21A00005,R21A00002,"1006,1131,1018,1137","1006,1131,1018,1137","1006,1131,1186,1233",1012,1134,-4.26,5.898,7.275576,-35.839781,0,sar_image_pixel_domain
R21B00005,R21C00005,27,unresolved,R21A00005,,R21A00001;R21A00002;R21A00003;R21A00004,,"1030,1221,1042,1233","1030,1221,1042,1233","1006,1131,1186,1233",1036,1227,-3.54,3.108,4.71076,-48.717964,0,sar_image_pixel_domain
R21B00006,R21C00006,27,unresolved,R21A00001;R21A00002,,R21A00003;R21A00004;R21A00005,,"1036,1131,1186,1233","1036,1131,1186,1233","1006,1131,1186,1233",1111,1182,-1.29,4.458,4.64089,-16.138721,0,sar_image_pixel_domain
R21B00007,R21C00007,28,unresolved,R21A00006,,R21A00007;R21A00008;R21A00009,,"1036,1131,1192,1203","1036,1131,1192,1203","1006,1131,1192,1233",1114,1167,-1.2,4.908,5.05257,-13.739206,0,sar_image_pixel_domain
R21B00008,R21C00008,28,vehicle_response_box_possible,R21A00007,,R21A00006;R21A00008,R21A00009,"1096,1203,1150,1233","1096,1203,1150,1233","1036,1131,1192,1233",1123,1218,-0.93,3.378,3.503681,-15.392807,0,sar_image_pixel_domain
R21B00009,R21C00009,28,unresolved,R21A00008,,R21A00006;R21A00007;R21A00009,,"1084,1131,1114,1149","1084,1131,1114,1149","1006,1131,1192,1233",1099,1140,-1.65,5.718,5.951304,-16.096153,0,sar_image_pixel_domain
R21B00010,R21C00010,28,unresolved,R21A00009,,R21A00006;R21A00008,R21A00007,"1006,1131,1024,1143","1006,1131,1024,1143","1006,1131,1192,1203",1015,1137,-4.17,5.808,7.149949,-35.67741,0,sar_image_pixel_domain
R21B00011,R21C00011,28,unresolved,R21A00006;R21A00007,,R21A00008;R21A00009,,"1036,1131,1192,1233","1036,1131,1192,1233","1006,1131,1192,1233",1114,1182,-1.2,4.458,4.616683,-15.065723,0,sar_image_pixel_domain
R21B00012,R21C00012,29,unresolved,R21A00010,,R21A00011;R21A00012,,"1042,1131,1192,1197","1042,1131,1192,1197","1042,1131,1192,1245",1117,1164,-1.11,4.998,5.119776,-12.521525,0,sar_image_pixel_domain
R21B00013,R21C00013,29,vehicle_response_box_possible,R21A00011,,R21A00010;R21A00012,,"1096,1203,1156,1245","1096,1203,1156,1245","1042,1131,1192,1245",1126,1224,-0.84,3.198,3.306479,-14.717103,0,sar_image_pixel_domain
R21B00014,R21C00014,29,unresolved,R21A00012,,R21A00010;R21A00011,,"1090,1131,1114,1149","1090,1131,1114,1149","1042,1131,1192,1245",1102,1140,-1.56,5.718,5.926983,-15.260206,0,sar_image_pixel_domain
R21B00015,R21C00015,29,unresolved,R21A00010;R21A00011,,R21A00012,,"1042,1131,1192,1245","1042,1131,1192,1245","1042,1131,1192,1245",1117,1188,-1.11,4.278,4.419659,-14.54561,0,sar_image_pixel_domain
R21B00016,R21C00016,30,unresolved,R21A00013,,R21A00014;R21A00015;R21A00016;R21A00017,,"1042,1131,1193,1197","1042,1131,1193,1197","1042,1131,1193,1245",1117.5,1164,-1.095,4.998,5.116545,-12.357548,0,sar_image_pixel_domain
R21B00017,R21C00017,30,vehicle_response_box_possible,R21A00014,,R21A00013;R21A00015;R21A00016;R21A00017,,"1096,1203,1162,1245","1096,1203,1162,1245","1042,1131,1193,1245",1129,1224,-0.75,3.198,3.284768,-13.198571,0,sar_image_pixel_domain
R21B00018,R21C00018,30,unresolved,R21A00015,,R21A00013;R21A00014;R21A00016;R21A00017,,"1090,1131,1120,1149","1090,1131,1120,1149","1042,1131,1193,1245",1105,1140,-1.47,5.718,5.903933,-14.417551,0,sar_image_pixel_domain
R21B00019,R21C00019,30,vehicle_part_box_only,R21A00016,,R21A00013;R21A00014;R21A00015;R21A00017,,"1066,1221,1084,1239","1066,1221,1084,1239","1042,1131,1193,1245",1075,1230,-2.37,3.018,3.837346,-38.142132,0,sar_image_pixel_domain
R21B00020,R21C00020,30,unresolved,R21A00017,,R21A00013;R21A00014;R21A00015;R21A00016,,"1042,1221,1054,1239","1042,1221,1054,1239","1042,1131,1193,1245",1048,1230,-3.18,3.018,4.384145,-46.497225,0,sar_image_pixel_domain
R21B00021,R21C00021,30,unresolved,R21A00013;R21A00014,,R21A00015;R21A00016;R21A00017,,"1042,1131,1193,1245","1042,1131,1193,1245","1042,1131,1193,1245",1117.5,1188,-1.095,4.278,4.415915,-14.357225,0,sar_image_pixel_domain
R21B00022,R21C00022,30,unresolved,R21A00013;R21A00016,,R21A00014;R21A00015;R21A00017,,"1042,1131,1193,1239","1042,1131,1193,1239","1042,1131,1193,1245",1117.5,1185,-1.095,4.368,4.50316,-14.073274,0,sar_image_pixel_domain
R21B00023,R21C00023,30,vehicle_response_box_supported,R21A00014;R21A00016,,R21A00013;R21A00015;R21A00017,,"1066,1203,1162,1245","1066,1203,1162,1245","1042,1131,1193,1245",1114,1224,-1.2,3.198,3.415729,-20.567825,0,sar_image_pixel_domain
R21B00024,R21C00024,31,vehicle_response_box_possible,R21A00018,,R21A00019;R21A00020;R21A00021,,"1042,1135,1193,1249","1042,1135,1193,1249","1042,1135,1193,1249",1117.5,1192,-1.095,4.158,4.299766,-14.753736,0,sar_image_pixel_domain
R21B00025,R21C00025,31,unresolved,R21A00019,,R21A00018;R21A00020;R21A00021,,"1090,1135,1114,1147","1090,1135,1114,1147","1042,1135,1193,1249",1102,1141,-1.56,5.688,5.898046,-15.336911,0,sar_image_pixel_domain
R21B00026,R21C00026,31,vehicle_part_box_only,R21A00020,,R21A00018;R21A00019;R21A00021,,"1042,1225,1060,1243","1042,1225,1060,1243","1042,1135,1193,1249",1051,1234,-3.09,2.898,4.236331,-46.83651,0,sar_image_pixel_domain
R21B00027,R21C00027,31,vehicle_part_box_only,R21A00021,,R21A00018;R21A00019;R21A00020,,"1066,1219,1084,1237","1066,1219,1084,1237","1042,1135,1193,1249",1075,1228,-2.37,3.078,3.884712,-37.59557,0,sar_image_pixel_domain
R21B00028,R21C00028,31,unresolved,R21A00018;R21A00019,,R21A00020;R21A00021,,"1042,1135,1193,1249","1042,1135,1193,1249","1042,1135,1193,1249",1117.5,1192,-1.095,4.158,4.299766,-14.753736,0,sar_image_pixel_domain
R21B00029,R21C00029,31,vehicle_response_box_supported,R21A00018;R21A00020,,R21A00019;R21A00021,,"1042,1135,1193,1249","1042,1135,1193,1249","1042,1135,1193,1249",1117.5,1192,-1.095,4.158,4.299766,-14.753736,0,sar_image_pixel_domain
R21B00030,R21C00030,31,vehicle_response_box_supported,R21A00018;R21A00021,,R21A00019;R21A00020,,"1042,1135,1193,1249","1042,1135,1193,1249","1042,1135,1193,1249",1117.5,1192,-1.095,4.158,4.299766,-14.753736,0,sar_image_pixel_domain
R21B00031,R21C00031,31,unresolved,R21A00019;R21A00020,,R21A00018;R21A00021,,"1042,1135,1114,1243","1042,1135,1114,1243","1042,1135,1193,1249",1078,1189,-2.28,4.248,4.821193,-28.223486,0,sar_image_pixel_domain
R21B00032,R21C00032,32,vehicle_response_box_possible,R21A00022,,R21A00023;R21A00024;R21A00025;R21A00026;R21A00027,,"1102,1135,1192,1249","1102,1135,1192,1249","1048,1135,1192,1249",1147,1192,-0.21,4.158,4.1633,-2.89127,0,sar_image_pixel_domain
R21B00033,R21C00033,32,unresolved,R21A00023,,R21A00022;R21A00024;R21A00025;R21A00026;R21A00027,,"1072,1159,1096,1189","1072,1159,1096,1189","1048,1135,1192,1249",1084,1174,-2.1,4.698,5.145989,-24.084582,0,sar_image_pixel_domain
R21B00034,R21C00034,32,unresolved,R21A00024,,R21A00022;R21A00023;R21A00025;R21A00026;R21A00027,,"1090,1135,1114,1147","1090,1135,1114,1147","1048,1135,1192,1249",1102,1141,-1.56,5.688,5.898046,-15.336911,0,sar_image_pixel_domain
R21B00035,R21C00035,32,vehicle_part_box_only,R21A00025,,R21A00022;R21A00023;R21A00024;R21A00026;R21A00027,,"1048,1225,1060,1243","1048,1225,1060,1243","1048,1135,1192,1249",1054,1234,-3,2.898,4.171139,-45.990774,0,sar_image_pixel_domain
R21B00036,R21C00036,32,vehicle_part_box_only,R21A00026,,R21A00022;R21A00023;R21A00024;R21A00025;R21A00027,,"1072,1219,1090,1237","1072,1219,1090,1237","1048,1135,1192,1249",1081,1228,-2.19,3.078,3.77759,-35.431888,0,sar_image_pixel_domain
R21B00037,R21C00037,32,unresolved,R21A00027,,R21A00022;R21A00023;R21A00024;R21A00025;R21A00026,,"1048,1165,1072,1177","1048,1165,1072,1177","1048,1135,1192,1249",1060,1171,-2.82,4.788,5.556739,-30.496912,0,sar_image_pixel_domain
R21B00038,R21C00038,32,unresolved,R21A00022;R21A00023,,R21A00024;R21A00025;R21A00026;R21A00027,,"1072,1135,1192,1249","1072,1135,1192,1249","1048,1135,1192,1249",1132,1192,-0.66,4.158,4.210055,-9.019322,0,sar_image_pixel_domain
R21B00039,R21C00039,32,unresolved,R21A00022;R21A00024,,R21A00023;R21A00025;R21A00026;R21A00027,,"1090,1135,1192,1249","1090,1135,1192,1249","1048,1135,1192,1249",1141,1192,-0.39,4.158,4.17625,-5.358386,0,sar_image_pixel_domain
R21B00040,R21C00040,34,vehicle_response_box_possible,R21A00028,,R21A00029;R21A00031;R21A00032;R21A00033,R21A00030;R21A00034,"1108,1135,1193,1267","1108,1135,1193,1267","1036,1135,1193,1267",1150.5,1201,-0.105,3.888,3.889418,-1.546964,0,sar_image_pixel_domain
R21B00041,R21C00041,34,vehicle_part_box_only,R21A00029,,R21A00028;R21A00030;R21A00031;R21A00032;R21A00033;R21A00034,,"1036,1219,1072,1243","1036,1219,1072,1243","952,1135,1193,1267",1054,1231,-3,2.988,4.234164,-45.114821,0,sar_image_pixel_domain
R21B00042,R21C00042,34,vehicle_part_box_only,R21A00030,,R21A00029;R21A00034,R21A00028;R21A00031;R21A00032;R21A00033,"952,1153,988,1171","952,1153,988,1171","952,1141,1072,1243",970,1162,-5.52,5.058,7.486906,-47.500836,0,sar_image_pixel_domain
