atom_id,sar_frame,candidate_role,graph_role_class,role_rule_provenance,role_inputs
R21A00001,27,unresolved_atom,core_member_candidate,support_visible_but_role_not_decisive,area=1320;peak=132;axis1=132.450212;axis2=65.342252;orientation=-14.249884
R21A00002,27,body_core_candidate,core_member_candidate,dense_bottom_or_midbody_energy_support,area=182;peak=140;axis1=36.211269;axis2=12.29618;orientation=6.647621
R21A00003,27,unresolved_atom,core_member_candidate,support_visible_but_role_not_decisive,area=86;peak=128;axis1=15.695248;axis2=10.163538;orientation=-17.181813
R21A00004,27,isolated_small_atom,optional_support_candidate,small_isolated_support_not_global_veto,area=17;peak=88;axis1=10.657314;axis2=2.510781;orientation=-26.80383
R21A00005,27,isolated_small_atom,optional_support_candidate,small_isolated_support_not_global_veto,area=15;peak=93;axis1=11.667449;axis2=4.106229;orientation=-52.781648
R21A00006,28,unresolved_atom,core_member_candidate,support_visible_but_role_not_decisive,area=1240;peak=138;axis1=130.867627;axis2=67.238747;orientation=-12.507104
R21A00007,28,body_core_candidate,core_member_candidate,dense_bottom_or_midbody_energy_support,area=231;peak=158;axis1=36.370698;axis2=15.589997;orientation=6.647953
R21A00008,28,unresolved_atom,core_member_candidate,support_visible_but_role_not_decisive,area=118;peak=123;axis1=21.736859;axis2=10.055348;orientation=-18.329245
R21A00009,28,isolated_small_atom,optional_support_candidate,small_isolated_support_not_global_veto,area=19;peak=91;axis1=11.282722;axis2=3.035589;orientation=-37.585469
R21A00010,29,unresolved_atom,core_member_candidate,support_visible_but_role_not_decisive,area=1156;peak=145;axis1=128.431529;axis2=67.12426;orientation=-14.435025
R21A00011,29,body_core_candidate,core_member_candidate,dense_bottom_or_midbody_energy_support,area=309;peak=193;axis1=40.744613;axis2=19.405186;orientation=5.852113
R21A00012,29,unresolved_atom,core_member_candidate,support_visible_but_role_not_decisive,area=103;peak=130;axis1=20.721061;axis2=9.022418;orientation=-16.610156
R21A00013,30,unresolved_atom,core_member_candidate,support_visible_but_role_not_decisive,area=1023;peak=156;axis1=132.8053;axis2=64.856364;orientation=-16.561947
R21A00014,30,body_core_candidate,core_member_candidate,dense_bottom_or_midbody_energy_support,area=390;peak=208;axis1=41.875411;axis2=21.489419;orientation=1.434999
R21A00015,30,unresolved_atom,core_member_candidate,support_visible_but_role_not_decisive,area=75;peak=135;axis1=16.661798;axis2=10.613216;orientation=-15.687587
R21A00016,30,endpoint_hotspot_candidate,core_member_candidate,local_endpoint_like_peak_support,area=26;peak=116;axis1=17.336603;axis2=10.994644;orientation=50.524886
R21A00017,30,isolated_small_atom,optional_support_candidate,small_isolated_support_not_global_veto,area=23;peak=110;axis1=10.383823;axis2=4.623613;orientation=-53.223155
R21A00018,31,body_core_candidate,core_member_candidate,dense_bottom_or_midbody_energy_support,area=1426;peak=186;axis1=137.03242;axis2=110.904083;orientation=-49.032106
R21A00019,31,unresolved_atom,core_member_candidate,support_visible_but_role_not_decisive,area=65;peak=126;axis1=14.891632;axis2=9.588498;orientation=19.60959
R21A00020,31,endpoint_hotspot_candidate,core_member_candidate,local_endpoint_like_peak_support,area=42;peak=114;axis1=14.34609;axis2=5.900189;orientation=-56.014884
R21A00021,31,endpoint_hotspot_candidate,core_member_candidate,local_endpoint_like_peak_support,area=34;peak=104;axis1=15.559871;axis2=11.711971;orientation=67.453203
R21A00022,32,body_core_candidate,core_member_candidate,dense_bottom_or_midbody_energy_support,area=1120;peak=204;axis1=130.69766;axis2=65.272129;orientation=-79.117201
R21A00023,32,unresolved_atom,core_member_candidate,support_visible_but_role_not_decisive,area=74;peak=93;axis1=29.300446;axis2=18.449044;orientation=-82.95912
R21A00024,32,unresolved_atom,core_member_candidate,support_visible_but_role_not_decisive,area=59;peak=109;axis1=13.963985;axis2=10.350243;orientation=7.087632
R21A00025,32,endpoint_hotspot_candidate,core_member_candidate,local_endpoint_like_peak_support,area=38;peak=136;axis1=13.672646;axis2=6.636713;orientation=-62.404427
R21A00026,32,endpoint_hotspot_candidate,core_member_candidate,local_endpoint_like_peak_support,area=37;peak=87;axis1=13.668997;axis2=12.091466;orientation=65.798486
R21A00027,32,isolated_small_atom,optional_support_candidate,small_isolated_support_not_global_veto,area=23;peak=94;axis1=24.228162;axis2=8.965465;orientation=-12.74674
R21A00028,34,body_core_candidate,core_member_candidate,dense_bottom_or_midbody_energy_support,area=990;peak=199;axis1=131.334419;axis2=61.586185;orientation=-83.293626
R21A00029,34,endpoint_hotspot_candidate,core_member_candidate,local_endpoint_like_peak_support,area=97;peak=122;axis1=34.850846;axis2=13.799471;orientation=5.113141
R21A00030,34,side_ridge_candidate,core_member_candidate,elongated_non_arc_side_ridge,area=79;peak=82;axis1=30.040183;axis2=7.668286;orientation=-11.64262
R21A00031,34,unresolved_atom,core_member_candidate,support_visible_but_role_not_decisive,area=64;peak=121;axis1=12.736732;axis2=8.892315;orientation=23.187417
R21A00032,34,endpoint_hotspot_candidate,core_member_candidate,local_endpoint_like_peak_support,area=53;peak=102;axis1=14.705697;axis2=12.885031;orientation=-52.077544
R21A00033,34,unresolved_atom,core_member_candidate,support_visible_but_role_not_decisive,area=55;peak=82;axis1=30.951319;axis2=15.788875;orientation=-59.803293
R21A00034,34,unresolved_atom,core_member_candidate,support_visible_but_role_not_decisive,area=35;peak=94;axis1=18.272542;axis2=3.03978;orientation=-32.295873
R21A00035,39,body_core_candidate,core_member_candidate,dense_bottom_or_midbody_energy_support,area=913;peak=224;axis1=78.72891;axis2=62.431459;orientation=-83.894285
R21A00036,39,background_arc_candidate,conflicting_background_candidate,elongated_support_aligned_with_fan_tangent,area=126;peak=190;axis1=35.09073;axis2=7.154184;orientation=-24.347118
R21A00037,39,background_arc_candidate,conflicting_background_candidate,elongated_support_aligned_with_fan_tangent,area=125;peak=121;axis1=25.403533;axis2=9.340987;orientation=5.907263
R21A00038,39,side_ridge_candidate,core_member_candidate,elongated_non_arc_side_ridge,area=75;peak=91;axis1=33.902551;axis2=5.10157;orientation=4.544447
R21A00039,39,endpoint_hotspot_candidate,core_member_candidate,local_endpoint_like_peak_support,area=50;peak=105;axis1=11.761222;axis2=8.925918;orientation=-23.088711
R21A00040,39,endpoint_hotspot_candidate,core_member_candidate,local_endpoint_like_peak_support,area=37;peak=93;axis1=34.672359;axis2=10.281996;orientation=18.034592
R21A00041,39,isolated_small_atom,optional_support_candidate,small_isolated_support_not_global_veto,area=32;peak=81;axis1=25.678043;axis2=4.147607;orientation=9.604987
R21A00042,40,body_core_candidate,core_member_candidate,dense_bottom_or_midbody_energy_support,area=840;peak=202;axis1=75.143221;axis2=69.924391;orientation=-80.040981
R21A00043,40,side_ridge_candidate,core_member_candidate,elongated_non_arc_side_ridge,area=247;peak=188;axis1=99.880356;axis2=14.551645;orientation=-2.211964
R21A00044,40,unresolved_atom,core_member_candidate,support_visible_but_role_not_decisive,area=143;peak=136;axis1=27.12021;axis2=10.407446;orientation=7.562477
R21A00045,40,body_core_candidate,core_member_candidate,dense_bottom_or_midbody_energy_support,area=112;peak=109;axis1=65.63702;axis2=9.620156;orientation=17.04903
R21A00046,40,isolated_small_atom,optional_support_candidate,small_isolated_support_not_global_veto,area=31;peak=88;axis1=23.814137;axis2=3.838792;orientation=14.099857
R21A00047,46,body_core_candidate,core_member_candidate,dense_bottom_or_midbody_energy_support,area=1425;peak=204;axis1=178.896558;axis2=110.58542;orientation=43.027371
R21A00048,52,side_ridge_candidate,core_member_candidate,elongated_non_arc_side_ridge,area=925;peak=194;axis1=163.48057;axis2=53.339773;orientation=6.485787
R21A00049,52,background_arc_candidate,conflicting_background_candidate,elongated_support_aligned_with_fan_tangent,area=443;peak=144;axis1=52.737466;axis2=19.15118;orientation=-2.723946
R21A00050,52,unresolved_atom,core_member_candidate,support_visible_but_role_not_decisive,area=41;peak=122;axis1=9.92933;axis2=7.150208;orientation=43.432948
R21A00051,52,isolated_small_atom,optional_support_candidate,small_isolated_support_not_global_veto,area=15;peak=94;axis1=14.108037;axis2=3.044346;orientation=-4.039025
R21A00052,60,background_arc_candidate,conflicting_background_candidate,elongated_support_aligned_with_fan_tangent,area=915;peak=180;axis1=115.220986;axis2=41.57348;orientation=6.795116
R21A00053,60,body_core_candidate,core_member_candidate,dense_bottom_or_midbody_energy_support,area=423;peak=118;axis1=51.676208;axis2=24.909598;orientation=15.573128
R21A00054,60,isolated_small_atom,optional_support_candidate,small_isolated_support_not_global_veto,area=14;peak=64;axis1=30.16308;axis2=19.297316;orientation=21.827265
R21A00055,77,unresolved_atom,core_member_candidate,support_visible_but_role_not_decisive,area=824;peak=189;axis1=114.607794;axis2=21.976973;orientation=-1.304344
R21A00056,77,body_core_candidate,core_member_candidate,dense_bottom_or_midbody_energy_support,area=485;peak=137;axis1=82.733254;axis2=65.987544;orientation=-32.483907
R21A00057,77,side_ridge_candidate,core_member_candidate,elongated_non_arc_side_ridge,area=67;peak=95;axis1=30.150236;axis2=6.923754;orientation=4.585429
R21A00058,77,unresolved_atom,core_member_candidate,support_visible_but_role_not_decisive,area=60;peak=81;axis1=32.665078;axis2=16.345788;orientation=89.917437
R21A00059,77,unresolved_atom,core_member_candidate,support_visible_but_role_not_decisive,area=47;peak=101;axis1=11.80318;axis2=7.526728;orientation=35.240717
R21A00060,77,isolated_small_atom,optional_support_candidate,small_isolated_support_not_global_veto,area=22;peak=69;axis1=41.042512;axis2=20.631096;orientation=-10.011619
R21A00061,78,background_arc_candidate,conflicting_background_candidate,elongated_support_aligned_with_fan_tangent,area=990;peak=181;axis1=139.102301;axis2=39.41009;orientation=8.700576
R21A00062,78,body_core_candidate,core_member_candidate,dense_bottom_or_midbody_energy_support,area=451;peak=130;axis1=70.291026;axis2=63.844418;orientation=2.923683
R21A00063,78,side_ridge_candidate,core_member_candidate,elongated_non_arc_side_ridge,area=61;peak=100;axis1=26.324315;axis2=4.57659;orientation=6.147288
R21A00064,78,unresolved_atom,core_member_candidate,support_visible_but_role_not_decisive,area=53;peak=105;axis1=15.202547;axis2=7.813508;orientation=38.016982
R21A00065,78,isolated_small_atom,optional_support_candidate,small_isolated_support_not_global_veto,area=19;peak=73;axis1=28.774665;axis2=11.97248;orientation=27.182917
R21A00066,78,isolated_small_atom,optional_support_candidate,small_isolated_support_not_global_veto,area=18;peak=69;axis1=23.168595;axis2=16.640779;orientation=-11.001321
R21A00067,78,isolated_small_atom,optional_support_candidate,small_isolated_support_not_global_veto,area=15;peak=95;axis1=18.001197;axis2=5.513168;orientation=16.667739
R21A00068,79,background_arc_candidate,conflicting_background_candidate,elongated_support_aligned_with_fan_tangent,area=971;peak=192;axis1=141.297208;axis2=37.675408;orientation=7.542997
R21A00069,79,body_core_candidate,core_member_candidate,dense_bottom_or_midbody_energy_support,area=372;peak=136;axis1=76.456345;axis2=34.525365;orientation=30.156289
R21A00070,79,unresolved_atom,core_member_candidate,support_visible_but_role_not_decisive,area=49;peak=112;axis1=14.585932;axis2=7.806259;orientation=43.556489
R21A00071,79,side_ridge_candidate,core_member_candidate,elongated_non_arc_side_ridge,area=42;peak=83;axis1=27.187593;axis2=3.889705;orientation=5.606155
R21A00072,79,unresolved_atom,core_member_candidate,support_visible_but_role_not_decisive,area=36;peak=73;axis1=38.081834;axis2=20.357034;orientation=18.930592
R21A00073,79,isolated_small_atom,optional_support_candidate,small_isolated_support_not_global_veto,area=14;peak=87;axis1=19.183462;axis2=3.966238;orientation=14.347452
R21A00074,79,isolated_small_atom,optional_support_candidate,small_isolated_support_not_global_veto,area=15;peak=69;axis1=23.662907;axis2=11.681086;orientation=-51.720602
R21A00075,80,side_ridge_candidate,core_member_candidate,elongated_non_arc_side_ridge,area=828;peak=216;axis1=126.944503;axis2=19.915633;orientation=-1.654503
R21A00076,80,body_core_candidate,core_member_candidate,dense_bottom_or_midbody_energy_support,area=418;peak=149;axis1=71.705092;axis2=44.54725;orientation=28.1072
R21A00077,80,side_ridge_candidate,core_member_candidate,elongated_non_arc_side_ridge,area=63;peak=80;axis1=71.598193;axis2=23.653388;orientation=-4.233036
R21A00078,80,unresolved_atom,core_member_candidate,support_visible_but_role_not_decisive,area=53;peak=87;axis1=24.285835;axis2=16.735393;orientation=-88.256985
R21A00079,80,background_arc_candidate,conflicting_background_candidate,elongated_support_aligned_with_fan_tangent,area=47;peak=114;axis1=15.543756;axis2=5.137642;orientation=45.61279
R21A00080,80,side_ridge_candidate,core_member_candidate,elongated_non_arc_side_ridge,area=44;peak=91;axis1=26.772369;axis2=4.754579;orientation=6.665304
R21A00081,80,isolated_small_atom,optional_support_candidate,small_isolated_support_not_global_veto,area=14;peak=76;axis1=32.297026;axis2=10.856754;orientation=47.693326
R21A00082,81,background_arc_candidate,conflicting_background_candidate,elongated_support_aligned_with_fan_tangent,area=920;peak=223;axis1=151.195885;axis2=35.698671;orientation=5.466114
R21A00083,81,body_core_candidate,core_member_candidate,dense_bottom_or_midbody_energy_support,area=420;peak=158;axis1=72.643783;axis2=39.84224;orientation=29.897677
R21A00084,81,unresolved_atom,core_member_candidate,support_visible_but_role_not_decisive,area=42;peak=103;axis1=12.527746;axis2=6.163741;orientation=46.531327
R21A00085,81,unresolved_atom,core_member_candidate,support_visible_but_role_not_decisive,area=41;peak=81;axis1=35.501767;axis2=19.704033;orientation=21.268689
R21A00086,81,isolated_small_atom,optional_support_candidate,small_isolated_support_not_global_veto,area=23;peak=90;axis1=28.81719;axis2=2.887279;orientation=5.654102
R21A00087,212,unresolved_atom,core_member_candidate,support_visible_but_role_not_decisive,area=1530;peak=164;axis1=134.449757;axis2=118.397219;orientation=-18.227222
R21A00088,212,endpoint_hotspot_candidate,core_member_candidate,local_endpoint_like_peak_support,area=37;peak=98;axis1=34.27508;axis2=18.515953;orientation=-74.387454
R21A00089,213,unresolved_atom,core_member_candidate,support_visible_but_role_not_decisive,area=1544;peak=159;axis1=128.508181;axis2=118.726093;orientation=-51.175049
R21A00090,213,unresolved_atom,core_member_candidate,support_visible_but_role_not_decisive,area=42;peak=103;axis1=32.292737;axis2=19.326742;orientation=-62.088145
R21A00091,213,endpoint_hotspot_candidate,core_member_candidate,local_endpoint_like_peak_support,area=41;peak=103;axis1=38.172054;axis2=16.464201;orientation=-73.169737
R21A00092,216,unresolved_atom,core_member_candidate,support_visible_but_role_not_decisive,area=1513;peak=149;axis1=127.899768;axis2=119.781743;orientation=-37.756016
R21A00093,216,endpoint_hotspot_candidate,core_member_candidate,local_endpoint_like_peak_support,area=39;peak=102;axis1=30.506994;axis2=13.36948;orientation=-59.450196
R21A00094,220,unresolved_atom,core_member_candidate,support_visible_but_role_not_decisive,area=1373;peak=154;axis1=125.092883;axis2=111.165525;orientation=-74.814183
R21A00095,220,unresolved_atom,core_member_candidate,support_visible_but_role_not_decisive,area=39;peak=94;axis1=22.844031;axis2=12.367589;orientation=-14.431697
R21A00096,224,unresolved_atom,core_member_candidate,support_visible_but_role_not_decisive,area=1536;peak=171;axis1=126.777071;axis2=118.571746;orientation=-82.201452
R21A00097,224,endpoint_hotspot_candidate,core_member_candidate,local_endpoint_like_peak_support,area=88;peak=146;axis1=33.269104;axis2=16.968301;orientation=-53.030954
R21A00098,224,endpoint_hotspot_candidate,core_member_candidate,local_endpoint_like_peak_support,area=30;peak=110;axis1=17.491136;axis2=8.352599;orientation=4.841551
R21A00099,227,unresolved_atom,core_member_candidate,support_visible_but_role_not_decisive,area=1475;peak=203;axis1=129.967732;axis2=113.230229;orientation=70.763008
R21A00100,227,endpoint_hotspot_candidate,core_member_candidate,local_endpoint_like_peak_support,area=106;peak=149;axis1=34.142149;axis2=16.868668;orientation=-48.24216
R21A00101,227,isolated_small_atom,optional_support_candidate,small_isolated_support_not_global_veto,area=17;peak=121;axis1=15.096859;axis2=5.38758;orientation=32.695278
R21A00102,228,unresolved_atom,core_member_candidate,support_visible_but_role_not_decisive,area=1481;peak=192;axis1=129.449601;axis2=115.962912;orientation=81.843264
R21A00103,228,body_core_candidate,core_member_candidate,dense_bottom_or_midbody_energy_support,area=120;peak=146;axis1=34.913373;axis2=17.258095;orientation=-50.805628
R21A00104,228,isolated_small_atom,optional_support_candidate,small_isolated_support_not_global_veto,area=17;peak=121;axis1=15.852917;axis2=6.596102;orientation=21.352862
R21A00105,238,body_core_candidate,core_member_candidate,dense_bottom_or_midbody_energy_support,area=1228;peak=251;axis1=142.248431;axis2=98.627538;orientation=69.561556
R21A00106,238,isolated_small_atom,optional_support_candidate,small_isolated_support_not_global_veto,area=22;peak=111;axis1=15.109116;axis2=4.970072;orientation=60.56462
R21A00107,239,body_core_candidate,core_member_candidate,dense_bottom_or_midbody_energy_support,area=1260;peak=249;axis1=139.260414;axis2=91.299139;orientation=73.754104
R21A00108,239,body_core_candidate,core_member_candidate,dense_bottom_or_midbody_energy_support,area=111;peak=138;axis1=39.762825;axis2=15.713012;orientation=-57.461072
R21A00109,239,isolated_small_atom,optional_support_candidate,small_isolated_support_not_global_veto,area=16;peak=124;axis1=11.63297;axis2=4.382619;orientation=57.208365
R21A00110,243,body_core_candidate,core_member_candidate,dense_bottom_or_midbody_energy_support,area=1305;peak=245;axis1=134.29263;axis2=94.952339;orientation=76.482439
R21A00111,243,isolated_small_atom,optional_support_candidate,small_isolated_support_not_global_veto,area=16;peak=131;axis1=13.862584;axis2=4.385063;orientation=-9.493363
R21A00112,243,isolated_small_atom,optional_support_candidate,small_isolated_support_not_global_veto,area=16;peak=132;axis1=18.270941;axis2=6.829302;orientation=0.558653
R21A00113,250,body_core_candidate,core_member_candidate,dense_bottom_or_midbody_energy_support,area=1250;peak=239;axis1=117.517289;axis2=78.241227;orientation=73.460706
R21A00114,250,isolated_small_atom,optional_support_candidate,small_isolated_support_not_global_veto,area=18;peak=125;axis1=23.817618;axis2=16.588508;orientation=84.614568
R21A00115,250,isolated_small_atom,optional_support_candidate,small_isolated_support_not_global_veto,area=18;peak=104;axis1=18.554046;axis2=12.222701;orientation=36.504588
R21A00116,259,body_core_candidate,core_member_candidate,dense_bottom_or_midbody_energy_support,area=1170;peak=173;axis1=143.676019;axis2=81.056485;orientation=72.519443
R21A00117,259,body_core_candidate,core_member_candidate,dense_bottom_or_midbody_energy_support,area=112;peak=107;axis1=39.266995;axis2=16.356435;orientation=-88.93529
R21A00118,259,side_ridge_candidate,core_member_candidate,elongated_non_arc_side_ridge,area=55;peak=83;axis1=62.313382;axis2=26.317921;orientation=-74.080378
R21A00119,260,unresolved_atom,core_member_candidate,support_visible_but_role_not_decisive,area=716;peak=111;axis1=121.434694;axis2=46.625953;orientation=8.415924
R21A00120,260,body_core_candidate,core_member_candidate,dense_bottom_or_midbody_energy_support,area=464;peak=185;axis1=67.593766;axis2=28.155377;orientation=-20.796768
R21A00121,260,endpoint_hotspot_candidate,core_member_candidate,local_endpoint_like_peak_support,area=96;peak=115;axis1=35.891721;axis2=13.839373;orientation=88.761789
