sar_frame,frame_set,frame_role,generation_provenance
27,wgv3_6a_a1_8a_r2_1_runtime_frames,focus_or_runtime_frame,embedded_deterministic_runtime_frame_list_no_r1_r2_artifact_read
28,wgv3_6a_a1_8a_r2_1_runtime_frames,focus_or_runtime_frame,embedded_deterministic_runtime_frame_list_no_r1_r2_artifact_read
29,wgv3_6a_a1_8a_r2_1_runtime_frames,focus_or_runtime_frame,embedded_deterministic_runtime_frame_list_no_r1_r2_artifact_read
30,wgv3_6a_a1_8a_r2_1_runtime_frames,focus_or_runtime_frame,embedded_deterministic_runtime_frame_list_no_r1_r2_artifact_read
31,wgv3_6a_a1_8a_r2_1_runtime_frames,focus_or_runtime_frame,embedded_deterministic_runtime_frame_list_no_r1_r2_artifact_read
32,wgv3_6a_a1_8a_r2_1_runtime_frames,focus_or_runtime_frame,embedded_deterministic_runtime_frame_list_no_r1_r2_artifact_read
34,wgv3_6a_a1_8a_r2_1_runtime_frames,r1_r2_holdout_frame,embedded_deterministic_runtime_frame_list_no_r1_r2_artifact_read
39,wgv3_6a_a1_8a_r2_1_runtime_frames,r1_r2_holdout_frame,embedded_deterministic_runtime_frame_list_no_r1_r2_artifact_read
40,wgv3_6a_a1_8a_r2_1_runtime_frames,focus_or_runtime_frame,embedded_deterministic_runtime_frame_list_no_r1_r2_artifact_read
46,wgv3_6a_a1_8a_r2_1_runtime_frames,focus_or_runtime_frame,embedded_deterministic_runtime_frame_list_no_r1_r2_artifact_read
52,wgv3_6a_a1_8a_r2_1_runtime_frames,r1_r2_holdout_frame,embedded_deterministic_runtime_frame_list_no_r1_r2_artifact_read
60,wgv3_6a_a1_8a_r2_1_runtime_frames,focus_or_runtime_frame,embedded_deterministic_runtime_frame_list_no_r1_r2_artifact_read
77,wgv3_6a_a1_8a_r2_1_runtime_frames,focus_or_runtime_frame,embedded_deterministic_runtime_frame_list_no_r1_r2_artifact_read
78,wgv3_6a_a1_8a_r2_1_runtime_frames,focus_or_runtime_frame,embedded_deterministic_runtime_frame_list_no_r1_r2_artifact_read
79,wgv3_6a_a1_8a_r2_1_runtime_frames,focus_or_runtime_frame,embedded_deterministic_runtime_frame_list_no_r1_r2_artifact_read
80,wgv3_6a_a1_8a_r2_1_runtime_frames,focus_or_runtime_frame,embedded_deterministic_runtime_frame_list_no_r1_r2_artifact_read
81,wgv3_6a_a1_8a_r2_1_runtime_frames,focus_or_runtime_frame,embedded_deterministic_runtime_frame_list_no_r1_r2_artifact_read
