support_metric_id,object_id,object_type,sar_frame,support_bbox,support_bbox_width_px,support_bbox_height_px,support_projection_long_span_px,support_projection_short_span_px,support_covariance_long_axis_px,support_covariance_short_axis_px,support_pixel_count,support_bbox_occupancy,support_convex_hull_occupancy,largest_internal_gap_px
R21SM00001,R21A00001,atom,27,"1036,1131,1186,1203",150,72,147.707691,68.938421,132.450212,65.342252,1320,0.122222,0.198332,5
R21SM00002,R21A00002,atom,27,"1096,1209,1144,1233",48,24,43.935709,17.050058,36.211269,12.29618,182,0.157986,0.383158,5
R21SM00003,R21A00003,atom,27,"1084,1131,1108,1149",24,18,17.718351,11.030746,15.695248,10.163538,86,0.199074,0.659004,5
R21SM00004,R21A00004,atom,27,"1006,1131,1018,1137",12,6,8.944194,2.245367,10.657314,2.510781,17,0.236111,1,2
R21SM00005,R21A00005,atom,27,"1030,1221,1042,1233",12,12,8.407143,3.820607,11.667449,4.106229,15,0.104167,0.714286,4
R21SM00006,R21A00006,atom,28,"1036,1131,1192,1203",156,72,148.705531,68.544925,130.867627,67.238747,1240,0.110399,0.18581,5
R21SM00007,R21A00007,atom,28,"1096,1203,1150,1233",54,30,44.928967,24.4846,36.370698,15.589997,231,0.142593,0.341969,4
R21SM00008,R21A00008,atom,28,"1084,1131,1114,1149",30,18,25.304012,11.07087,21.736859,10.055348,118,0.218519,0.617801,5
R21SM00009,R21A00009,atom,28,"1006,1131,1024,1143",18,12,9.389276,2.622277,11.282722,3.035589,19,0.087963,1,5
R21SM00010,R21A00010,atom,29,"1042,1131,1192,1197",150,66,146.875122,74.395273,128.431529,67.12426,1156,0.116768,0.16396,2
R21SM00011,R21A00011,atom,29,"1096,1203,1156,1245",60,42,51.015268,31.425384,40.744613,19.405186,309,0.122619,0.297258,5
R21SM00012,R21A00012,atom,29,"1090,1131,1114,1149",24,18,22.410576,11.583727,20.721061,9.022418,103,0.238426,0.611276,5
R21SM00013,R21A00013,atom,30,"1042,1131,1193,1197",151,66,146.965706,76.29913,132.8053,64.856364,1023,0.102649,0.143267,5
R21SM00014,R21A00014,atom,30,"1096,1203,1162,1245",66,42,56.781781,35.81341,41.875411,21.489419,390,0.140693,0.31051,5
R21SM00015,R21A00015,atom,30,"1090,1131,1120,1149",30,18,23.765609,14.289681,16.661798,10.613216,75,0.138889,0.402145,5
R21SM00016,R21A00016,atom,30,"1066,1221,1084,1239",18,18,12.033051,9.989664,17.336603,10.994644,26,0.080247,0.298851,5
R21SM00017,R21A00017,atom,30,"1042,1221,1054,1239",12,18,8.802587,4.401293,10.383823,4.623613,23,0.106481,0.851852,5
R21SM00018,R21A00018,atom,31,"1042,1135,1193,1249",151,114,171.330009,122.930923,137.03242,110.904083,1426,0.08284,0.114584,5
R21SM00019,R21A00019,atom,31,"1090,1135,1114,1147",24,12,16.414458,9.885275,14.891632,9.588498,65,0.225694,0.541667,5
R21SM00020,R21A00020,atom,31,"1042,1225,1060,1243",18,18,13.322626,6.418958,14.34609,5.900189,42,0.12963,0.7,5
R21SM00021,R21A00021,atom,31,"1066,1219,1084,1237",18,18,11.379603,10.159233,15.559871,11.711971,34,0.104938,0.384181,5
R21SM00022,R21A00022,atom,32,"1102,1135,1192,1249",90,114,119.652574,87.172561,130.69766,65.272129,1120,0.109162,0.142249,7
R21SM00023,R21A00023,atom,32,"1072,1159,1096,1189",24,30,25.412522,16.99438,29.300446,18.449044,74,0.102778,0.226646,4
R21SM00024,R21A00024,atom,32,"1090,1135,1114,1147",24,12,16.870096,10.041713,13.963985,10.350243,59,0.204861,0.489627,5
R21SM00025,R21A00025,atom,32,"1048,1225,1060,1243",12,18,12.991226,6.324323,13.672646,6.636713,38,0.175926,0.575758,5
R21SM00026,R21A00026,atom,32,"1072,1219,1090,1237",18,18,11.488561,12.082938,13.668997,12.091466,37,0.114198,0.402174,5
R21SM00027,R21A00027,atom,32,"1048,1165,1072,1177",24,12,19.634952,7.547129,24.228162,8.965465,23,0.079861,0.200873,4
R21SM00028,R21A00028,atom,34,"1108,1135,1193,1267",85,132,134.599214,83.0749,131.334419,61.586185,990,0.088235,0.136139,3
R21SM00029,R21A00029,atom,34,"1036,1219,1072,1243",36,24,29.613251,14.227328,34.850846,13.799471,97,0.112269,0.307937,4
R21SM00030,R21A00030,atom,34,"952,1153,988,1171",36,18,32.350646,9.592448,30.040183,7.668286,79,0.121914,0.389163,4
R21SM00031,R21A00031,atom,34,"1102,1135,1120,1147",18,12,12.86762,9.979698,12.736732,8.892315,64,0.296296,0.723164,2
R21SM00032,R21A00032,atom,34,"1078,1219,1102,1237",24,18,14.300474,11.043806,14.705697,12.885031,53,0.122685,0.456897,5
R21SM00033,R21A00033,atom,34,"1072,1165,1102,1189",30,24,30.582998,18.809468,30.951319,15.788875,55,0.076389,0.174881,4
R21SM00034,R21A00034,atom,34,"1018,1141,1042,1159",24,18,18.86772,2.759184,18.272542,3.03978,35,0.081019,1,4
R21SM00035,R21A00035,atom,39,"1108,1165,1192,1276",84,111,105.292335,86.002098,78.72891,62.431459,913,0.097919,0.15551,7
R21SM00036,R21A00036,atom,39,"1042,1135,1084,1159",42,24,42.952265,10.347437,35.09073,7.154184,126,0.125,0.557522,5
R21SM00037,R21A00037,atom,39,"1132,1135,1168,1147",36,12,27.851314,11.970774,25.403533,9.340987,125,0.289352,0.605327,5
R21SM00038,R21A00038,atom,39,"982,1141,1030,1153",48,12,39.035855,5.664207,33.902551,5.10157,75,0.130208,0.526316,10
R21SM00039,R21A00039,atom,39,"1084,1213,1102,1231",18,18,11.68751,9.334575,11.761222,8.925918,50,0.154321,0.60241,5
R21SM00040,R21A00040,atom,39,"1048,1207,1078,1225",30,18,27.199343,10.63658,34.672359,10.281996,37,0.068519,0.193717,7
R21SM00041,R21A00041,atom,39,"1084,1171,1114,1183",30,12,25.150102,4.277635,25.678043,4.147607,32,0.088889,0.484848,4
R21SM00042,R21A00042,atom,40,"1114,1171,1193,1261",79,90,83.170861,75.276656,75.143221,69.924391,840,0.118143,0.173518,3
R21SM00043,R21A00043,atom,40,"994,1135,1090,1159",96,24,92.163028,19.903651,99.880356,14.551645,247,0.107205,0.22786,6
R21SM00044,R21A00044,atom,40,"1138,1135,1168,1153",30,18,26.168672,13.080088,27.12021,10.407446,143,0.264815,0.707921,5
R21SM00045,R21A00045,atom,40,"1054,1207,1108,1237",54,30,50.14823,13.308275,65.63702,9.620156,112,0.069136,0.238806,5
R21SM00046,R21A00046,atom,40,"1090,1171,1114,1183",24,12,19.40203,3.396843,23.814137,3.838792,31,0.107639,0.596154,4
R21SM00047,R21A00047,atom,46,"1030,1135,1193,1255",163,120,169.944167,118.869581,178.896558,110.58542,1425,0.072853,0.115844,4
R21SM00048,R21A00048,atom,52,"1024,1135,1193,1189",169,54,168.642146,53.497514,163.48057,53.339773,925,0.101359,0.16806,5
R21SM00049,R21A00049,atom,52,"1114,1213,1180,1243",66,30,61.453839,23.450119,52.737466,19.15118,443,0.223737,0.424533,5
R21SM00050,R21A00050,atom,52,"1180,1135,1193,1147",13,12,10.621972,7.833277,9.92933,7.150208,41,0.262821,0.931818,4
R21SM00051,R21A00051,atom,52,"1144,1201,1168,1207",24,6,17.028213,2.20634,14.108037,3.044346,15,0.104167,0.731707,7
R21SM00052,R21A00052,atom,60,"1060,1135,1193,1195",133,60,134.149081,55.940648,115.220986,41.57348,915,0.114662,0.196373,5
R21SM00053,R21A00053,atom,60,"1126,1207,1186,1243",60,36,53.470508,35.862845,51.676208,24.909598,423,0.195833,0.281906,4
R21SM00054,R21A00054,atom,60,"1162,1249,1192,1267",30,18,25.997512,15.414304,30.16308,19.297316,14,0.025926,0.054159,5
R21SM00055,R21A00055,atom,77,"1146,1133,1266,1163",120,30,117.923898,28.611023,114.607794,21.976973,824,0.228889,0.266624,3
R21SM00056,R21A00056,atom,77,"1146,1187,1248,1271",102,84,120.643913,69.479844,82.733254,65.987544,485,0.056606,0.087168,6
R21SM00057,R21A00057,atom,77,"1224,1169,1254,1187",30,18,25.159817,13.118281,30.150236,6.923754,67,0.124074,0.319809,5
R21SM00058,R21A00058,atom,77,"1260,1151,1284,1187",24,36,30.017261,17.002864,32.665078,16.345788,60,0.069444,0.146163,5
R21SM00059,R21A00059,atom,77,"1284,1133,1302,1145",18,12,12.108872,8.797347,11.80318,7.526728,47,0.217593,0.686131,5
R21SM00060,R21A00060,atom,77,"1296,1175,1332,1199",36,24,32.38196,17.668687,41.042512,20.631096,22,0.025463,0.063128,5
R21SM00061,R21A00061,atom,78,"1146,1133,1284,1187",138,54,139.729438,46.962427,139.102301,39.41009,990,0.13285,0.182035,5
R21SM00062,R21A00062,atom,78,"1170,1187,1248,1271",78,84,74.727943,78.561547,70.291026,63.844418,451,0.068834,0.112792,4
R21SM00063,R21A00063,atom,78,"1224,1175,1260,1187",36,12,26.064667,5.292504,26.324315,4.57659,61,0.141204,0.60396,5
R21SM00064,R21A00064,atom,78,"1290,1133,1308,1151",18,18,16.056851,8.694368,15.202547,7.813508,53,0.16358,0.623529,5
R21SM00065,R21A00065,atom,78,"1302,1175,1326,1199",24,24,24.114372,13.391515,28.774665,11.97248,19,0.032986,0.109827,7
R21SM00066,R21A00066,atom,78,"1146,1247,1164,1271",18,24,17.832577,16.469291,23.168595,16.640779,18,0.041667,0.104956,5
R21SM00067,R21A00067,atom,78,"1242,1193,1254,1205",12,12,11.013947,5.461084,18.001197,5.513168,15,0.104167,0.394737,5
R21SM00068,R21A00068,atom,79,"1146,1133,1290,1187",144,54,141.151391,45.601945,141.297208,37.675408,971,0.124871,0.185962,5
R21SM00069,R21A00069,atom,79,"1194,1187,1254,1241",60,54,67.346216,60.066652,76.456345,34.525365,372,0.114815,0.153086,3
R21SM00070,R21A00070,atom,79,"1290,1133,1308,1145",18,12,14.173274,9.967605,14.585932,7.806259,49,0.226852,0.544444,5
R21SM00071,R21A00071,atom,79,"1230,1175,1260,1187",30,12,24.080585,4.994403,27.187593,3.889705,42,0.116667,0.515337,5
R21SM00072,R21A00072,atom,79,"1170,1247,1206,1271",36,24,32.919283,26.759096,38.081834,20.357034,36,0.041667,0.065336,4
R21SM00073,R21A00073,atom,79,"1242,1199,1260,1205",18,6,11.400324,3.875243,19.183462,3.966238,14,0.12963,0.482759,6
R21SM00074,R21A00074,atom,79,"1146,1247,1164,1271",18,24,20.613445,11.566973,23.662907,11.681086,15,0.034722,0.106383,4
R21SM00075,R21A00075,atom,80,"1146,1133,1266,1163",120,30,118.499384,26.068816,126.944503,19.915633,828,0.23,0.323248,4
R21SM00076,R21A00076,atom,80,"1200,1181,1260,1241",60,60,65.594496,66.596919,71.705092,44.54725,418,0.116111,0.150712,3
R21SM00077,R21A00077,atom,80,"1146,1241,1212,1271",66,30,62.569001,21.051053,71.598193,23.653388,63,0.031818,0.059971,5
R21SM00078,R21A00078,atom,80,"1272,1163,1290,1187",18,24,21.898571,15.63181,24.285835,16.735393,53,0.122685,0.194139,5
R21SM00079,R21A00079,atom,80,"1296,1133,1314,1145",18,12,15.555459,4.987277,15.543756,5.137642,47,0.217593,0.854545,3
R21SM00080,R21A00080,atom,80,"1236,1175,1266,1187",30,12,25.179236,5.198344,26.772369,4.754579,44,0.122222,0.526946,3
R21SM00081,R21A00081,atom,80,"1308,1175,1326,1199",18,24,21.389133,10.021468,32.297026,10.856754,14,0.032407,0.108527,7
R21SM00082,R21A00082,atom,81,"1146,1133,1296,1187",150,54,147.345986,53.825806,151.195885,35.698671,920,0.11358,0.144529,5
R21SM00083,R21A00083,atom,81,"1200,1181,1260,1241",60,60,67.120084,66.274667,72.643783,39.84224,420,0.116667,0.16317,4
R21SM00084,R21A00084,atom,81,"1302,1133,1314,1145",12,12,12.761169,6.45617,12.527746,6.163741,42,0.291667,0.756757,1
R21SM00085,R21A00085,atom,81,"1176,1241,1212,1271",36,30,34.486044,20.451502,35.501767,19.704033,41,0.037963,0.097041,4
R21SM00086,R21A00086,atom,81,"1242,1175,1272,1187",30,12,23.085146,2.394269,28.81719,2.887279,23,0.063889,0.554217,5
R21SM00087,R21A00087,atom,212,"957,1126,1132,1240",175,114,169.556586,119.089824,134.449757,118.397219,1530,0.076692,0.109446,5
R21SM00088,R21A00088,atom,212,"1005,1210,1023,1240",18,30,24.417849,14.517682,34.27508,18.515953,37,0.068519,0.168565,5
R21SM00089,R21A00089,atom,213,"981,1126,1132,1240",151,114,160.930329,132.925376,128.508181,118.726093,1544,0.089694,0.11963,3
R21SM00090,R21A00090,atom,213,"963,1150,987,1180",24,30,30.517748,21.002721,32.292737,19.326742,42,0.058333,0.122987,8
R21SM00091,R21A00091,atom,213,"1005,1210,1023,1246",18,36,28.738875,14.003283,38.172054,16.464201,41,0.063272,0.163022,5
R21SM00092,R21A00092,atom,216,"975,1126,1131,1240",156,114,166.662518,127.951855,127.899768,119.781743,1513,0.085076,0.111344,3
R21SM00093,R21A00093,atom,216,"1017,1216,1035,1240",18,24,23.323199,13.892262,30.506994,13.36948,39,0.090278,0.22807,5
R21SM00094,R21A00094,atom,220,"1011,1126,1132,1240",121,114,132.519419,120.318057,125.092883,111.165525,1373,0.099536,0.118926,3
R21SM00095,R21A00095,atom,220,"993,1156,1017,1174",24,18,18.208152,12.369022,22.844031,12.367589,39,0.090278,0.271777,5
R21SM00096,R21A00096,atom,224,"1005,1126,1132,1234",127,108,119.443742,127.290026,126.777071,118.571746,1536,0.111986,0.127063,4
R21SM00097,R21A00097,atom,224,"1041,1210,1065,1240",24,30,29.003418,17.207934,33.269104,16.968301,88,0.122222,0.264662,5
R21SM00098,R21A00098,atom,224,"1011,1228,1029,1240",18,12,13.950047,7.802654,17.491136,8.352599,30,0.138889,0.4,2
R21SM00099,R21A00099,atom,227,"1017,1126,1132,1234",115,108,123.759396,131.843887,129.967732,113.230229,1475,0.11876,0.132662,5
R21SM00100,R21A00100,atom,227,"1047,1204,1077,1240",30,36,31.462812,19.527352,34.142149,16.868668,106,0.098148,0.268354,5
R21SM00101,R21A00101,atom,227,"1023,1228,1041,1240",18,12,10.815024,4.383965,15.096859,5.38758,17,0.078704,0.465753,4
R21SM00102,R21A00102,atom,228,"1023,1126,1132,1240",109,114,116.83914,118.129221,129.449601,115.962912,1481,0.119186,0.131259,1
R21SM00103,R21A00103,atom,228,"1053,1204,1083,1240",30,36,30.893375,19.900229,34.913373,17.258095,120,0.111111,0.282021,4
R21SM00104,R21A00104,atom,228,"1023,1228,1041,1240",18,12,12.2686,6.638308,15.852917,6.596102,17,0.078704,0.395349,4
R21SM00105,R21A00105,atom,238,"1051,1135,1177,1255",126,120,129.358351,133.566298,142.248431,98.627538,1228,0.081217,0.100355,2
R21SM00106,R21A00106,atom,238,"1063,1231,1075,1243",12,12,11.278286,4.199029,15.109116,4.970072,22,0.152778,0.647059,4
R21SM00107,R21A00107,atom,239,"1051,1135,1177,1255",126,120,123.353373,138.46667,139.260414,91.299139,1260,0.083333,0.102452,4
R21SM00108,R21A00108,atom,239,"1087,1201,1111,1237",24,36,38.64975,17.341376,39.762825,15.713012,111,0.128472,0.268765,5
R21SM00109,R21A00109,atom,239,"1063,1231,1075,1243",12,12,10.516264,3.847633,11.63297,4.382619,16,0.111111,0.666667,3
R21SM00110,R21A00110,atom,243,"1063,1135,1195,1249",132,114,114.629023,141.639222,134.29263,94.952339,1305,0.086722,0.109964,4
R21SM00111,R21A00111,atom,243,"1075,1231,1087,1243",12,12,9.698114,4.440019,13.862584,4.385063,16,0.111111,0.592593,4
R21SM00112,R21A00112,atom,243,"1177,1165,1195,1177",18,12,12.01893,5.029013,18.270941,6.829302,16,0.074074,0.372093,4
R21SM00113,R21A00113,atom,250,"1099,1135,1201,1261",102,126,126.631094,124.61443,117.517289,78.241227,1250,0.097261,0.115292,10
R21SM00114,R21A00114,atom,250,"1183,1165,1201,1189",18,24,18.389821,12.661051,23.817618,16.588508,18,0.041667,0.097826,4
R21SM00115,R21A00115,atom,250,"1195,1135,1218,1153",23,18,19.404706,9.518195,18.554046,12.222701,18,0.043478,0.186528,5
R21SM00116,R21A00116,atom,259,"1069,1135,1189,1255",120,120,115.891858,113.436128,143.676019,81.056485,1170,0.08125,0.12707,5
R21SM00117,R21A00117,atom,259,"1189,1195,1218,1237",29,42,35.068284,21.791804,39.266995,16.356435,112,0.091954,0.248337,4
R21SM00118,R21A00118,atom,259,"1189,1141,1218,1189",29,48,44.913316,30.488605,62.313382,26.317921,55,0.039511,0.059363,4
R21SM00119,R21A00119,atom,260,"1075,1135,1218,1195",143,60,142.66627,58.828495,121.434694,46.625953,716,0.08345,0.118035,6
R21SM00120,R21A00120,atom,260,"1117,1201,1189,1255",72,54,70.742386,39.393837,67.593766,28.155377,464,0.119342,0.216166,5
R21SM00121,R21A00121,atom,260,"1195,1201,1218,1237",23,36,29.928167,20.25464,35.891721,13.839373,96,0.115942,0.259811,3
R21SM00122,R21A00122,atom,262,"1075,1135,1218,1267",143,132,148.513818,123.042658,143.384154,108.577539,1208,0.063997,0.095174,3
R21SM00123,R21A00123,atom,263,"1069,1135,1218,1261",149,126,133.698089,129.357102,141.83801,111.708348,1262,0.067221,0.100063,7
R21SM00124,R21A00124,atom,269,"1107,1138,1245,1246",138,108,133.359857,129.361695,135.011129,113.11723,1273,0.085413,0.110264,4
R21SM00125,R21A00125,atom,269,"1143,1204,1185,1258",42,54,40.758234,51.415705,37.813215,27.96734,264,0.116402,0.201066,3
R21SM00126,R21A00126,atom,269,"1227,1192,1245,1240",18,48,39.985376,12.708738,36.295809,9.270852,84,0.097222,0.256098,5
R21SM00127,R21A00127,atom,269,"1251,1174,1263,1186",12,12,11.166514,7.682165,13.249047,6.748731,27,0.1875,0.524272,2
R21SM00128,R21A00128,atom,269,"1263,1138,1281,1150",18,12,9.423873,13.890717,14.50622,12.217399,21,0.097222,0.276316,3
R21SM00129,R21A00129,atom,269,"1245,1138,1257,1156",12,18,10.122504,6.285005,14.714661,7.811609,18,0.083333,0.428571,4
R21SM00130,R21A00130,atom,270,"1107,1138,1263,1240",156,102,150.007762,141.116652,138.450553,116.805234,1302,0.081825,0.102625,4
R21SM00131,R21A00131,atom,270,"1137,1204,1185,1258",48,54,45.14678,47.712573,42.082406,26.384592,266,0.102623,0.214603,5
R21SM00132,R21A00132,atom,270,"1233,1192,1245,1234",12,42,39.012628,12.001846,40.042044,9.047515,98,0.194444,0.292975,7
R21SM00133,R21A00133,atom,270,"1245,1162,1275,1186",30,24,26.405469,18.352677,25.361732,17.650958,44,0.061111,0.107186,5
R21SM00134,R21A00134,atom,270,"1269,1138,1287,1150",18,12,9.781078,12.172136,14.348224,12.026607,22,0.101852,0.316547,5
R21SM00135,R21A00135,atom,271,"1107,1138,1287,1240",180,102,163.846332,130.753514,143.205099,123.607951,1311,0.071405,0.09476,4
R21SM00136,R21A00136,atom,271,"1143,1210,1197,1252",54,42,47.660653,39.674359,46.104177,22.580143,272,0.119929,0.203745,5
R21SM00137,R21A00137,atom,271,"1233,1198,1251,1240",18,42,34.511484,9.104588,34.670425,6.925401,98,0.12963,0.449541,5
R21SM00138,R21A00138,atom,271,"1245,1174,1275,1192",30,18,23.000527,10.490702,26.028135,11.106925,29,0.053704,0.19863,6
R21SM00139,R21A00139,atom,272,"1107,1138,1251,1240",144,102,145.479013,124.50858,138.048527,109.606749,1226,0.083469,0.111586,7
R21SM00140,R21A00140,atom,272,"1143,1210,1197,1270",54,60,47.934953,54.164965,51.321472,27.156566,284,0.087654,0.153804,6
R21SM00141,R21A00141,atom,272,"1239,1198,1257,1240",18,42,34.713929,8.095761,34.468536,7.253062,100,0.132275,0.543478,5
R21SM00142,R21A00142,atom,272,"1257,1168,1281,1192",24,24,19.19109,11.135392,23.066485,11.966875,31,0.053819,0.238462,5
R21SM00143,R21A00143,atom,272,"1257,1138,1287,1156",30,18,26.016032,10.450815,40.000145,11.716811,21,0.038889,0.105793,5
R21SM00144,R21A00144,atom,272,"1227,1144,1251,1156",24,12,16.546473,1.835308,23.450741,2.1476,14,0.048611,0.608696,6
R21SM00145,R21A00145,atom,273,"1115,1140,1259,1266",144,126,145.094519,149.886751,134.695702,118.188361,1365,0.075231,0.102817,4
R21SM00146,R21A00146,atom,273,"1241,1194,1259,1236",18,42,35.976397,11.534056,38.403628,9.299808,94,0.124339,0.289676,4
R21SM00147,R21A00147,atom,273,"1265,1170,1283,1188",18,18,18.026432,17.549085,22.959551,14.760049,32,0.098765,0.192192,2
