edge_id,sar_frame,source_atom_id,target_atom_id,support_boundary_gap_px,centroid_distance_px,radial_delta,azimuth_delta,orientation_delta,energy_ratio,role_compatibility,background_arc_conflict
R2E00001,27,R1A0001,R1A0002,66,81.472623,40.545471,18.323818,9.622017,5.351095,false,false
R2E00002,27,R1A0001,R1A0003,18,114.785521,70.005341,25.08444,12.553946,80.316788,false,false
R2E00003,27,R1A0001,R1A0004,106.150836,143.838155,129.792923,21.451286,33.451451,12.027007,false,false
R2E00004,27,R1A0001,R1A0005,84.852814,93.870791,84.531555,11.931343,25.977818,1.131296,true,false
R2E00005,27,R1A0002,R1A0003,0,39.274037,29.45987,6.760622,2.931929,15.009412,true,false
R2E00006,27,R1A0002,R1A0004,60,89.872918,89.247452,3.127468,23.829434,2.247579,true,false
R2E00007,27,R1A0002,R1A0005,83.354664,103.332363,43.986084,30.255161,35.599835,6.053675,false,false
R2E00008,27,R1A0003,R1A0004,6,57.819124,59.787582,3.633154,20.897505,6.678036,true,false
R2E00009,27,R1A0003,R1A0005,18,105.077685,14.526214,37.015783,38.531764,90.862097,false,false
R2E00010,27,R1A0004,R1A0005,54,89.13849,45.261368,33.382629,59.429269,13.606111,false,false
R2E00011,28,R1A0006,R1A0007,60,81.785094,39.504044,18.727724,19.256224,6.42839,false,false
R2E00012,28,R1A0006,R1A0008,12,111.585455,67.143891,24.712391,25.078365,65.576066,false,false
R2E00013,28,R1A0006,R1A0009,93.722996,143.505464,128.799378,22.150862,44.233422,13.593889,false,false
R2E00014,28,R1A0007,R1A0008,0,36.199249,27.639847,5.984667,5.822141,10.20101,true,false
R2E00015,28,R1A0007,R1A0009,54,89.964032,89.295334,3.423138,24.977198,2.114665,true,false
R2E00016,28,R1A0008,R1A0009,0,59.370618,61.655487,2.561529,19.155057,4.823937,true,false
R2E00017,29,R1A0010,R1A0011,0,36.240795,28.730773,5.471891,2.175131,10.68282,true,false
R2E00018,29,R1A0010,R1A0012,54,90.725827,89.715927,4.308829,22.462269,3.277596,true,false
R2E00019,29,R1A0011,R1A0012,6,58.612264,60.985154,1.163062,20.287138,3.259346,true,false
R2E00020,30,R1A0013,R1A0014,0,37.964857,29.459198,6.145353,5.022952,12.938567,true,false
R2E00021,30,R1A0013,R1A0015,60,90.984649,89.250969,6.068257,11.844338,6.166527,true,false
R2E00022,30,R1A0013,R1A0016,85.906926,104.754699,50.118591,31.047632,44.603252,3.297647,false,false
R2E00023,30,R1A0013,R1A0017,72.249567,92.507641,66.929412,22.758837,62.831507,3.03182,false,false
R2E00024,30,R1A0014,R1A0015,6,57.351397,59.791771,0.077096,16.86729,2.098194,true,false
R2E00025,30,R1A0014,R1A0016,24,102.203245,20.659393,37.192985,39.5803,42.66682,false,false
R2E00026,30,R1A0014,R1A0017,18,81.914833,37.470214,28.90419,67.854459,39.227408,false,false
R2E00027,30,R1A0015,R1A0016,42,90.042874,39.132378,37.115889,56.44759,20.335025,false,false
R2E00028,30,R1A0015,R1A0017,12,63.73503,22.321557,28.827094,50.987169,18.6958,false,false
R2E00029,30,R1A0016,R1A0017,12,26.309968,16.810821,8.288795,72.565241,1.087679,true,false
R2E00030,31,R1A0018,R1A0019,0,54.166265,49.219071,4.283437,70.023408,21.956372,true,false
R2E00031,31,R1A0018,R1A0020,83.57033,104.768024,52.695099,31.161814,73.64275,1.531653,true,false
R2E00032,31,R1A0018,R1A0021,72.249567,90.335216,68.002167,21.506212,46.103774,2.095429,true,false
R2E00033,31,R1A0019,R1A0020,0,88.758896,3.476028,35.445251,3.619342,33.629543,true,false
R2E00034,31,R1A0019,R1A0021,0,63.682848,18.783096,25.789649,63.872818,46.008019,true,false
R2E00035,31,R1A0020,R1A0021,6,27.598777,15.307068,9.655602,60.253476,1.368083,true,false
R2E00036,32,R1A0022,R1A0023,0,64.79141,59.515426,7.379575,86.204833,20.500107,true,false
R2E00037,32,R1A0022,R1A0024,25.455844,52.426488,11.62413,15.433953,19.834372,2.648725,false,false
R2E00038,32,R1A0022,R1A0025,12,41.393708,28.634094,9.475577,89.953248,1.206417,true,false
R2E00039,32,R1A0022,R1A0026,83.57033,103.163471,54.493194,30.486117,69.492059,1.432292,true,false
R2E00040,32,R1A0022,R1A0027,72,89.884508,68.786529,21.102805,58.710854,1.631763,true,false
R2E00041,32,R1A0023,R1A0024,30,80.879825,47.891296,22.813528,66.370461,54.29915,false,false
R2E00042,32,R1A0023,R1A0025,6,55.857987,30.881332,16.855152,3.841919,16.992553,true,false
R2E00043,32,R1A0023,R1A0026,42,91.629877,5.022232,37.865692,16.712774,29.362132,true,false
R2E00044,32,R1A0023,R1A0027,12,66.635265,9.271103,28.48238,35.084313,33.451309,true,false
R2E00045,32,R1A0024,R1A0025,0,25.052811,17.009964,5.958376,70.21238,3.195467,false,false
R2E00046,32,R1A0024,R1A0026,48,60.168352,42.869064,15.052164,49.657687,1.849292,false,false
R2E00047,32,R1A0024,R1A0027,42,59.075763,57.162399,5.668852,78.545226,1.623229,false,false
R2E00048,32,R1A0025,R1A0026,37.947332,61.837429,25.8591,21.01054,20.554693,1.727941,true,false
R2E00049,32,R1A0025,R1A0027,30,49.863065,40.152435,11.627228,31.242394,1.968586,true,false
R2E00050,32,R1A0026,R1A0027,12,26.193703,14.293335,9.383312,51.797087,1.139267,true,false
R2E00051,34,R1A0028,R1A0029,60,83.389613,26.257843,22.094393,55.48329,1.831352,true,false
R2E00052,34,R1A0028,R1A0030,66,123.569143,88.812118,28.506795,50.997753,29.871471,true,false
R2E00053,34,R1A0028,R1A0031,30,61.856476,32.503998,12.798424,20.653253,2.039004,true,false
