sar_frame,selected_source_frame,source_is_historical,source_lag_frames,previous_r1_source_frame,r1_used_future_source,corrected_shell_provenance,gate_status
27,27,true,0,27,false,causal_a1_7r_source_shell_frame_27,PASS
28,27,true,1,27,false,causal_a1_7r_source_shell_frame_27,PASS
29,27,true,2,27,false,causal_a1_7r_source_shell_frame_27,PASS
30,27,true,3,31,true,causal_a1_7r_source_shell_frame_27,PASS
31,31,true,0,31,false,causal_a1_7r_source_shell_frame_31,PASS
32,31,true,1,31,false,causal_a1_7r_source_shell_frame_31,PASS
34,31,true,3,31,false,causal_a1_7r_source_shell_frame_31,PASS
39,31,true,8,31,false,causal_a1_7r_source_shell_frame_31,PASS
40,31,true,9,31,false,causal_a1_7r_source_shell_frame_31,PASS
46,31,true,15,31,false,causal_a1_7r_source_shell_frame_31,PASS
52,31,true,21,31,false,causal_a1_7r_source_shell_frame_31,PASS
60,31,true,29,77,true,causal_a1_7r_source_shell_frame_31,PASS
77,77,true,0,77,false,causal_a1_7r_source_shell_frame_77,PASS
78,77,true,1,77,false,causal_a1_7r_source_shell_frame_77,PASS
79,77,true,2,77,false,causal_a1_7r_source_shell_frame_77,PASS
80,77,true,3,77,false,causal_a1_7r_source_shell_frame_77,PASS
81,77,true,4,77,false,causal_a1_7r_source_shell_frame_77,PASS
212,212,true,0,212,false,causal_a1_7r_source_shell_frame_212,PASS
213,212,true,1,212,false,causal_a1_7r_source_shell_frame_212,PASS
216,212,true,4,212,false,causal_a1_7r_source_shell_frame_212,PASS
220,212,true,8,212,false,causal_a1_7r_source_shell_frame_212,PASS
224,212,true,12,212,false,causal_a1_7r_source_shell_frame_212,PASS
227,212,true,15,238,true,causal_a1_7r_source_shell_frame_212,PASS
228,212,true,16,238,true,causal_a1_7r_source_shell_frame_212,PASS
238,238,true,0,238,false,causal_a1_7r_source_shell_frame_238,PASS
239,238,true,1,238,false,causal_a1_7r_source_shell_frame_238,PASS
243,238,true,5,238,false,causal_a1_7r_source_shell_frame_238,PASS
250,238,true,12,238,false,causal_a1_7r_source_shell_frame_238,PASS
259,238,true,21,269,true,causal_a1_7r_source_shell_frame_238,PASS
260,238,true,22,269,true,causal_a1_7r_source_shell_frame_238,PASS
262,238,true,24,269,true,causal_a1_7r_source_shell_frame_238,PASS
263,238,true,25,269,true,causal_a1_7r_source_shell_frame_238,PASS
269,269,true,0,269,false,causal_a1_7r_source_shell_frame_269,PASS
270,269,true,1,269,false,causal_a1_7r_source_shell_frame_269,PASS
271,269,true,2,269,false,causal_a1_7r_source_shell_frame_269,PASS
272,269,true,3,273,true,causal_a1_7r_source_shell_frame_269,PASS
273,273,true,0,273,false,causal_a1_7r_source_shell_frame_273,PASS
276,273,true,3,273,false,causal_a1_7r_source_shell_frame_273,PASS
278,273,true,5,273,false,causal_a1_7r_source_shell_frame_273,PASS
279,273,true,6,273,false,causal_a1_7r_source_shell_frame_273,PASS
280,273,true,7,273,false,causal_a1_7r_source_shell_frame_273,PASS
281,273,true,8,288,true,causal_a1_7r_source_shell_frame_273,PASS
284,273,true,11,288,true,causal_a1_7r_source_shell_frame_273,PASS
288,288,true,0,288,false,causal_a1_7r_source_shell_frame_288,PASS
289,288,true,1,288,false,causal_a1_7r_source_shell_frame_288,PASS
290,288,true,2,288,false,causal_a1_7r_source_shell_frame_288,PASS
