core_subgraph_id,sar_frame,atom_id,candidate_role,membership_decision,boundary_distance_to_core_px,centroid_distance_to_core_px,shares_persistent_track,compatible_part_relation,background_arc_conflict,bbox_blank_ratio_if_included,decision_reason
R2C0001,27,R1A0001,isolated_small_atom,exclude_from_bbox,106.150836,139.144258,false,true,false,0.83035,too_far_or_would_expand_blank_area
R2C0001,27,R1A0002,unresolved_atom,uncertain_bbox_membership,60,87.744843,false,true,false,0.47451,near_but_not_decisive_optional_response
R2C0001,27,R1A0003,unresolved_atom,include_in_bbox,6,57.601841,false,true,false,0,near_core_compatible_optional_response
R2C0001,27,R1A0005,isolated_small_atom,uncertain_bbox_membership,54,83.318319,false,true,false,0.135965,near_but_not_decisive_optional_response
R2C0002,27,R1A0001,isolated_small_atom,include_in_bbox,18,110.386252,false,true,false,0.00719,near_core_compatible_optional_response
R2C0002,27,R1A0002,unresolved_atom,include_in_bbox,0,47.972078,false,true,false,0,near_core_compatible_optional_response
R2C0002,27,R1A0005,isolated_small_atom,include_in_bbox,0,85.28741,false,true,false,0,near_core_compatible_optional_response
R2C0003,28,R1A0006,isolated_small_atom,exclude_from_bbox,93.722996,136.673337,false,true,false,0.795752,too_far_or_would_expand_blank_area
R2C0003,28,R1A0007,unresolved_atom,uncertain_bbox_membership,54,84.332451,false,true,false,0.377897,near_but_not_decisive_optional_response
R2C0003,28,R1A0008,unresolved_atom,include_in_bbox,0,55.078307,false,true,false,0,near_core_compatible_optional_response
R2C0004,28,R1A0006,isolated_small_atom,include_in_bbox,12,109.882095,false,true,false,0.057559,near_core_compatible_optional_response
R2C0004,28,R1A0007,unresolved_atom,include_in_bbox,0,47.390511,false,true,false,0,near_core_compatible_optional_response
R2C0005,29,R1A0010,unresolved_atom,uncertain_bbox_membership,54,90.144052,false,true,false,0.342903,near_but_not_decisive_optional_response
R2C0005,29,R1A0011,unresolved_atom,include_in_bbox,6,59.484246,false,true,false,0,near_core_compatible_optional_response
R2C0006,29,R1A0010,unresolved_atom,include_in_bbox,0,53.135462,false,true,false,0,near_core_compatible_optional_response
R2C0007,30,R1A0013,unresolved_atom,uncertain_bbox_membership,60,90.530061,false,true,false,0.320988,near_but_not_decisive_optional_response
R2C0007,30,R1A0014,unresolved_atom,include_in_bbox,6,58.449144,false,true,false,0.056659,near_core_compatible_optional_response
R2C0007,30,R1A0016,isolated_small_atom,uncertain_bbox_membership,42,84.266525,false,true,false,0,near_but_not_decisive_optional_response
R2C0007,30,R1A0017,isolated_small_atom,include_in_bbox,12,57.957075,false,true,false,0,near_core_compatible_optional_response
R2C0008,30,R1A0013,unresolved_atom,include_in_bbox,0,52.774609,false,true,false,0.005887,near_core_compatible_optional_response
R2C0008,30,R1A0016,isolated_small_atom,include_in_bbox,0,83.252938,false,true,false,0.040471,near_core_compatible_optional_response
R2C0008,30,R1A0017,isolated_small_atom,include_in_bbox,0,60.647733,false,true,false,0.038999,near_core_compatible_optional_response
R2C0009,31,R1A0018,unresolved_atom,exclude_from_bbox,83.57033,105.583464,false,true,false,0.845679,too_far_or_would_expand_blank_area
R2C0009,31,R1A0019,unresolved_atom,include_in_bbox,0,87.931369,false,true,false,0.010302,near_core_compatible_optional_response
R2C0009,31,R1A0021,endpoint_hotspot_candidate,include_in_bbox,6,25.8544,false,true,false,0.166667,near_core_compatible_optional_response
R2C0010,32,R1A0022,unresolved_atom,exclude_from_bbox,83.57033,104.894121,false,true,false,0.8367,too_far_or_would_expand_blank_area
R2C0010,32,R1A0023,unresolved_atom,uncertain_bbox_membership,42,91.66047,false,true,false,0.153509,near_but_not_decisive_optional_response
R2C0010,32,R1A0024,isolated_small_atom,uncertain_bbox_membership,48,62.583631,false,true,false,0.608974,near_but_not_decisive_optional_response
R2C0010,32,R1A0025,unresolved_atom,uncertain_bbox_membership,37.947332,63.519214,false,true,false,0.666667,near_but_not_decisive_optional_response
R2C0010,32,R1A0027,endpoint_hotspot_candidate,include_in_bbox,12,25.61706,false,true,false,0.107143,near_core_compatible_optional_response
R2C0011,34,R1A0028,unresolved_atom,uncertain_bbox_membership,66,132.924426,false,true,false,0.467532,near_but_not_decisive_optional_response
R2C0011,34,R1A0029,unresolved_atom,include_in_bbox,0,71.552962,false,true,false,0,near_core_compatible_optional_response
R2C0011,34,R1A0031,side_ridge_candidate,exclude_from_bbox,120,188.102747,false,true,false,0.596756,too_far_or_would_expand_blank_area
R2C0011,34,R1A0032,unresolved_atom,include_in_bbox,6,64.898971,false,true,false,0.214876,near_core_compatible_optional_response
