atom_id,physical_vehicle_id,window_id,window_polarity,sar_frame,pixel_centroid_x,pixel_centroid_y,azimuth,radial,ground_x,ground_y,pixel_area,integrated_energy,mean_energy,peak_energy,relative_energy_within_local_field,principal_axis_1,principal_axis_2,elongation,orientation,compactness,envelope,boundary_contact,local_arc_consistency,temporal_presence_hint,extraction_threshold,threshold_provenance,proposed_role,role_provenance,search_window
A8A_F027_001,PV_GM19_WHITE_SUV_NEAR_FIELD,white_27_31,positive,27,1093.155844,1137.688312,-17.504789,202.315399,,,77,6656,86.441558,128,0.004596,15.403998,9.553775,1.612347,-15.083503,0.356481,"1086.000,1133.000,1104.000,1145.000",true,0.946184,short_window_neighbor=F28:A8A_F028_002:39.2px,74.748,frame_level_source_shell_p96_2_or_mean_plus_0_85std; no hidden target; A1.7R source-derived search shell union,endpoint_hotspot,small_or_medium_high_peak_atom,"936.572,1133.739,1190.849,1273.839"
A8A_F027_002,PV_GM19_WHITE_SUV_NEAR_FIELD,white_27_31,positive,27,1122.229649,1164.002571,-10.85483,172.529984,,,1167,98541,84.439589,132,0.068043,130.160094,64.718808,2.011163,-13.609838,0.117879,"1038.000,1133.000,1188.000,1199.000",true,0.937487,short_window_neighbor=F28:A8A_F028_002:12.3px,74.748,frame_level_source_shell_p96_2_or_mean_plus_0_85std; no hidden target; A1.7R source-derived search shell union,unresolved_atom,feature_combination_not_role_separable,"936.572,1133.739,1190.849,1273.839"
A8A_F027_003,PV_GM19_WHITE_SUV_NEAR_FIELD,white_27_31,positive,27,1125.988439,1221.127168,-14.252148,113.282852,,,173,15813,91.404624,140,0.010919,34.716407,13.10057,2.649992,7.357844,0.10679,"1092.000,1205.000,1146.000,1235.000",false,0.517543,short_window_neighbor=F28:A8A_F028_007:2.1px,74.748,frame_level_source_shell_p96_2_or_mean_plus_0_85std; no hidden target; A1.7R source-derived search shell union,body_core,bottom_local_high_energy_core_candidate,"936.572,1133.739,1190.849,1273.839"
A8A_F028_001,PV_GM19_WHITE_SUV_NEAR_FIELD,white_27_31,positive,28,1115.722222,1098.166667,-9.329589,235.623566,,,18,1441,80.055556,100,0.000557,30.46241,13.307415,2.289131,42.082374,0.033333,"1105.000,1093.000,1135.000,1111.000",false,0,no_adjacent_sampled_neighbor,71,frame_level_source_shell_p96_2_or_mean_plus_0_85std; no hidden target; A1.7R source-derived search shell union,isolated_small_atom,small_area_without_vehicle_scale_support,"955.400,1087.910,1277.400,1279.640"
A8A_F028_002,PV_GM19_WHITE_SUV_NEAR_FIELD,white_27_31,positive,28,1128.931275,1153.74004,-8.677576,182.938416,,,2008,159782,79.572709,138,0.061804,169.889658,85.230482,1.993297,-26.954807,0.097856,"1039.000,1087.000,1219.000,1201.000",true,0.580283,short_window_neighbor=F27:A8A_F027_001:39.2px,71,frame_level_source_shell_p96_2_or_mean_plus_0_85std; no hidden target; A1.7R source-derived search shell union,unresolved_atom,feature_combination_not_role_separable,"955.400,1087.910,1277.400,1279.640"
A8A_F028_003,PV_GM19_WHITE_SUV_NEAR_FIELD,white_27_31,positive,28,1096.987654,1135.12963,-16.27133,203.774445,,,162,13356,82.444444,123,0.005166,33.096712,21.66227,1.527851,-28.866128,0.1125,"1069.000,1117.000,1117.000,1147.000",false,0.719869,short_window_neighbor=F27:A8A_F027_001:4.6px,71,frame_level_source_shell_p96_2_or_mean_plus_0_85std; no hidden target; A1.7R source-derived search shell union,unresolved_atom,feature_combination_not_role_separable,"955.400,1087.910,1277.400,1279.640"
A8A_F028_004,PV_GM19_WHITE_SUV_NEAR_FIELD,white_27_31,positive,28,1015.296296,1133.62963,-35.154297,240.932053,,,27,2145,79.444444,91,0.00083,14.403976,4.491348,3.20705,-43.744624,0.125,"1009.000,1123.000,1021.000,1141.000",false,0.809067,no_adjacent_sampled_neighbor,71,frame_level_source_shell_p96_2_or_mean_plus_0_85std; no hidden target; A1.7R source-derived search shell union,isolated_small_atom,small_area_without_vehicle_scale_support,"955.400,1087.910,1277.400,1279.640"
A8A_F028_005,PV_GM19_WHITE_SUV_NEAR_FIELD,white_27_31,positive,28,1254.828571,1147.107143,28.715618,209.629898,,,140,11827,84.478571,124,0.004575,47.493029,7.970156,5.958858,0.976717,0.189702,"1237.000,1135.000,1278.000,1153.000",true,0.381958,short_window_neighbor=F29:A8A_F029_002:34.0px,71,frame_level_source_shell_p96_2_or_mean_plus_0_85std; no hidden target; A1.7R source-derived search shell union,side_ridge,elongated_non_arc_local_ridge,"955.400,1087.910,1277.400,1279.640"
A8A_F028_006,PV_GM19_WHITE_SUV_NEAR_FIELD,white_27_31,positive,28,1222.026316,1197.815789,27.21769,149.325958,,,38,2930,77.105263,93,0.001133,34.878391,6.427072,5.426793,71.43589,0.07037,"1213.000,1183.000,1231.000,1213.000",false,0.015345,short_window_neighbor=F29:A8A_F029_003:2.7px,71,frame_level_source_shell_p96_2_or_mean_plus_0_85std; no hidden target; A1.7R source-derived search shell union,endpoint_hotspot,bottom_local_high_peak_support_candidate,"955.400,1087.910,1277.400,1279.640"
A8A_F028_007,PV_GM19_WHITE_SUV_NEAR_FIELD,white_27_31,positive,28,1127.982993,1221.755102,-13.318526,112.322998,,,294,25892,88.068027,158,0.010015,41.021369,17.824129,2.301452,5.74514,0.181481,"1099.000,1207.000,1153.000,1237.000",false,0.573595,short_window_neighbor=F27:A8A_F027_003:2.1px;F29:A8A_F029_001:31.4px,71,frame_level_source_shell_p96_2_or_mean_plus_0_85std; no hidden target; A1.7R source-derived search shell union,body_core,bottom_local_high_energy_core_candidate,"955.400,1087.910,1277.400,1279.640"
