structure_id,physical_vehicle_id,window_id,window_polarity,sar_frame,atom_ids,role_combination,long_axis_extent,short_axis_extent,aspect_ratio,max_pair_distance,max_internal_gap,azimuth_span,radial_span,unit_status,source_anchor_compatibility,cross_positive_window_compatibility,negative_window_conflict,grammar_id,grammar_status,background_conflict,entity_class,gate_explanation_cn
S8A_F027_001,PV_GM19_WHITE_SUV_NEAR_FIELD,white_27_31,positive,27,A8A_F027_002;A8A_F027_003,body_core;unresolved_atom,59.82406,1,59.82406,59.82406,6,3.397318,59.247131,geometry_coordinate_pixel_radius_not_meter,source_shell_entry_only_no_target,computed_in_report_summary,false,partial_vehicle_response,conditional_candidate,false,vehicle_supported,"结构含 body_core,unresolved_atom，几何尺度和紧凑性通过，短窗口存在相邻帧非跳变支持，且未触发背景弧线冲突。"
S8A_F028_002,PV_GM19_WHITE_SUV_NEAR_FIELD,white_27_31,positive,28,A8A_F028_002;A8A_F028_007,body_core;unresolved_atom,71.563117,1,71.563117,71.563117,6,4.64095,70.615417,geometry_coordinate_pixel_radius_not_meter,source_shell_entry_only_no_target,computed_in_report_summary,false,partial_vehicle_response,conditional_candidate,false,vehicle_supported,"结构含 body_core,unresolved_atom，几何尺度和紧凑性通过，短窗口存在相邻帧非跳变支持，且未触发背景弧线冲突。"
S8A_F029_003,PV_GM19_WHITE_SUV_NEAR_FIELD,white_27_31,positive,29,A8A_F029_001;A8A_F029_003,side_ridge;unresolved_atom,111.306869,1,111.306869,111.306869,42,44.014204,6.514267,geometry_coordinate_pixel_radius_not_meter,source_shell_entry_only_no_target,computed_in_report_summary,false,weak_temporal_response,conditional_candidate,false,vehicle_supported,"结构含 side_ridge,unresolved_atom，几何尺度和紧凑性通过，短窗口存在相邻帧非跳变支持，且未触发背景弧线冲突。"
S8A_F030_004,PV_GM19_WHITE_SUV_NEAR_FIELD,white_27_31,positive,30,A8A_F030_001;A8A_F030_003,side_ridge;unresolved_atom,110.937497,1,110.937497,110.937497,42,43.865978,11.763077,geometry_coordinate_pixel_radius_not_meter,source_shell_entry_only_no_target,computed_in_report_summary,false,weak_temporal_response,conditional_candidate,false,vehicle_supported,"结构含 side_ridge,unresolved_atom，几何尺度和紧凑性通过，短窗口存在相邻帧非跳变支持，且未触发背景弧线冲突。"
S8A_F031_005,PV_GM19_WHITE_SUV_NEAR_FIELD,white_27_31,positive,31,A8A_F031_001;A8A_F031_004,side_ridge;unresolved_atom,63.265097,1,63.265097,63.265097,0,26.704286,0.098999,geometry_coordinate_pixel_radius_not_meter,source_shell_entry_only_no_target,computed_in_report_summary,false,weak_temporal_response,conditional_candidate,false,vehicle_supported,"结构含 side_ridge,unresolved_atom，几何尺度和紧凑性通过，短窗口存在相邻帧非跳变支持，且未触发背景弧线冲突。"
S8A_F032_006,PV_GM19_WHITE_SUV_NEAR_FIELD,white_negative,negative_or_uncertain,32,A8A_F032_002;A8A_F032_003,side_ridge;unresolved_atom,138.760181,1,138.760181,138.760181,36,39.45827,67.215271,geometry_coordinate_pixel_radius_not_meter,source_shell_entry_only_no_target,computed_in_report_summary,false,weak_temporal_response,not_testable,false,unresolved,"结构含 side_ridge,unresolved_atom，G_scale=True, G_compact=True, G_temporal=True，证据不足。"
S8A_F040_007,PV_GM19_WHITE_SUV_NEAR_FIELD,white_negative,negative_or_uncertain,40,A8A_F040_004;A8A_F040_005,body_core;unresolved_atom,91.346041,1,91.346041,91.346041,24,18.037256,80.963371,geometry_coordinate_pixel_radius_not_meter,source_shell_entry_only_no_target,computed_in_report_summary,false,partial_vehicle_response,not_testable,false,unresolved,"结构含 body_core,unresolved_atom，G_scale=True, G_compact=True, G_temporal=False，证据不足。"
S8A_F046_008,PV_GM19_WHITE_SUV_NEAR_FIELD,white_negative,negative_or_uncertain,46,A8A_F046_001;A8A_F046_004,body_core;unresolved_atom,84.727277,1,84.727277,84.727277,6,1.45446,84.642754,geometry_coordinate_pixel_radius_not_meter,source_shell_entry_only_no_target,computed_in_report_summary,false,partial_vehicle_response,not_testable,false,unresolved,"结构含 body_core,unresolved_atom，G_scale=True, G_compact=True, G_temporal=False，证据不足。"
S8A_F060_009,PV_GM19_WHITE_SUV_NEAR_FIELD,white_negative,negative_or_uncertain,60,A8A_F060_002,unresolved_atom,218.068994,144.820821,1.505785,0,0,0,0,geometry_coordinate_pixel_radius_not_meter,source_shell_entry_only_no_target,computed_in_report_summary,false,not_testable,not_testable,false,background_like,结构含 unresolved_atom，尺度、孤立性或负向窗口冲突，不能升级为车辆支持实体。
S8A_F077_010,PV_GM19_WHITE_SUV_NEAR_FIELD,white_negative,negative_or_uncertain,77,A8A_F077_001,unresolved_atom,218.94506,155.047427,1.412117,0,0,0,0,geometry_coordinate_pixel_radius_not_meter,source_shell_entry_only_no_target,computed_in_report_summary,false,not_testable,not_testable,false,background_like,结构含 unresolved_atom，尺度、孤立性或负向窗口冲突，不能升级为车辆支持实体。
S8A_F078_011,PV_GM19_WHITE_SUV_NEAR_FIELD,white_78_81,positive,78,A8A_F078_004,body_core,162,64.591448,2.508072,0,0,0,0,geometry_coordinate_pixel_radius_not_meter,source_shell_entry_only_no_target,computed_in_report_summary,false,partial_vehicle_response,conditional_candidate,false,vehicle_supported,结构含 body_core，几何尺度和紧凑性通过，短窗口存在相邻帧非跳变支持，且未触发背景弧线冲突。
S8A_F078_012,PV_GM19_WHITE_SUV_NEAR_FIELD,white_78_81,positive,78,A8A_F078_003,background_arc,234,56.464737,4.144179,0,0,0,0,geometry_coordinate_pixel_radius_not_meter,source_shell_entry_only_no_target,computed_in_report_summary,false,not_testable,not_testable,true,background_like,结构含 background_arc，背景弧线冲突，不能升级为车辆支持实体。
S8A_F079_013,PV_GM19_WHITE_SUV_NEAR_FIELD,white_78_81,positive,79,A8A_F079_004,body_core,76.721668,39.692888,1.932882,0,0,0,0,geometry_coordinate_pixel_radius_not_meter,source_shell_entry_only_no_target,computed_in_report_summary,false,partial_vehicle_response,conditional_candidate,false,vehicle_supported,结构含 body_core，几何尺度和紧凑性通过，短窗口存在相邻帧非跳变支持，且未触发背景弧线冲突。
S8A_F079_014,PV_GM19_WHITE_SUV_NEAR_FIELD,white_78_81,positive,79,A8A_F079_001,background_arc,180,47.492716,3.790055,0,0,0,0,geometry_coordinate_pixel_radius_not_meter,source_shell_entry_only_no_target,computed_in_report_summary,false,not_testable,not_testable,true,background_like,结构含 background_arc，背景弧线冲突，不能升级为车辆支持实体。
S8A_F080_015,PV_GM19_WHITE_SUV_NEAR_FIELD,white_78_81,positive,80,A8A_F080_004,body_core,168,64.808919,2.592236,0,0,0,0,geometry_coordinate_pixel_radius_not_meter,source_shell_entry_only_no_target,computed_in_report_summary,false,partial_vehicle_response,conditional_candidate,false,vehicle_supported,结构含 body_core，几何尺度和紧凑性通过，短窗口存在相邻帧非跳变支持，且未触发背景弧线冲突。
S8A_F080_016,PV_GM19_WHITE_SUV_NEAR_FIELD,white_78_81,positive,80,A8A_F080_001,background_arc,174,47.104026,3.693952,0,0,0,0,geometry_coordinate_pixel_radius_not_meter,source_shell_entry_only_no_target,computed_in_report_summary,false,not_testable,not_testable,true,background_like,结构含 background_arc，背景弧线冲突，不能升级为车辆支持实体。
