pair_id,physical_vehicle_id,optical_frame,sar_frame,mask_class,anchor_status,visible_response_bbox_or_region,response_center_for_local_tracking,response_extent,response_confidence,forward_safe_limit,backward_safe_limit,stop_reason,visual_reason_cn
WGV35A_PAIR_0200,PV_GM19_BLACK_SEDAN_NEAR_FIELD,0,0,SAR_MASK_S2_CENTER_CENSORED,ANCHOR_WEAK,"1104.480,1165.800,1250.293,1230.300","1177.387,1198.050",145.813x64.500,high,0,0,pressure_vehicle_short_or_edge_observation,SAR局部响应可见，但光学状态为压力/边缘/短段条件；只能作为压力审计，不进入A1主传播。
WGV35A_PAIR_0201,PV_GM19_BLACK_SEDAN_NEAR_FIELD,2,4,SAR_MASK_S1_PARTIALLY_CENSORED_CENTER_INSIDE,ANCHOR_WEAK,"1112.153,1163.477,1261.526,1228.510","1186.840,1195.994",149.373x65.033,high,0,0,pressure_vehicle_short_or_edge_observation,SAR局部响应可见，但光学状态为压力/边缘/短段条件；只能作为压力审计，不进入A1主传播。
WGV35A_PAIR_0202,PV_GM19_BLACK_SEDAN_NEAR_FIELD,4,8,SAR_MASK_S1_PARTIALLY_CENSORED_CENTER_INSIDE,ANCHOR_WEAK,"1123.629,1159.738,1269.835,1230.416","1196.732,1195.077",146.206x70.678,high,0,0,pressure_vehicle_short_or_edge_observation,SAR局部响应可见，但光学状态为压力/边缘/短段条件；只能作为压力审计，不进入A1主传播。
WGV35A_PAIR_0203,PV_GM19_RIGHT_DARK_FRAGMENT,13,27,SAR_MASK_S1_PARTIALLY_CENSORED_CENTER_INSIDE,ANCHOR_PAIRING_REVIEW_REQUIRED,"1207.149,1148.719,1386.602,1224.337","1296.876,1186.528",179.453x75.618,high,0,0,identity_or_pairing_review_required,同帧车辆或短片段身份复核未闭合，不能作为扩散起点。
WGV35A_PAIR_0204,PV_GM19_WHITE_SUV_NEAR_FIELD,13,27,SAR_MASK_S1_PARTIALLY_CENSORED_CENTER_INSIDE,ANCHOR_CONFIRMED,"972.572,1167.739,1154.849,1239.839","1063.710,1203.789",182.277x72.100,high,4,3,same_vehicle_visible_response_confirmed,光学身份明确，SAR框按mask内可见响应解释；可作为局部响应扩散起点，不作为完整车辆中心。
WGV35A_PAIR_0205,PV_GM19_WHITE_SUV_NEAR_FIELD,15,31,SAR_MASK_S1_PARTIALLY_CENSORED_CENTER_INSIDE,ANCHOR_CONFIRMED,"990.094,1171.077,1154.017,1239.729","1072.055,1205.403",163.923x68.652,high,8,4,same_vehicle_visible_response_confirmed,光学身份明确，SAR框按mask内可见响应解释；可作为局部响应扩散起点，不作为完整车辆中心。
WGV35A_PAIR_0206,PV_GM19_WHITE_SUV_NEAR_FIELD,37,77,SAR_MASK_S1_PARTIALLY_CENSORED_CENTER_INSIDE,ANCHOR_CONFIRMED,"1184.523,1169.528,1353.813,1243.634","1269.168,1206.581",169.290x74.106,high,4,8,same_vehicle_visible_response_confirmed,光学身份明确，SAR框按mask内可见响应解释；可作为局部响应扩散起点，不作为完整车辆中心。
WGV35A_PAIR_0207,PV_GM19_WHITE_SUV_NEAR_FIELD,39,81,SAR_MASK_S2_CENTER_CENSORED,ANCHOR_CONFIRMED,"1202.549,1177.058,1355.094,1250.527","1278.822,1213.793",152.545x73.469,high,3,4,same_vehicle_visible_response_confirmed,光学身份明确，SAR框按mask内可见响应解释；可作为局部响应扩散起点，不作为完整车辆中心。
WGV35A_PAIR_0208,PV_GM19_SILVER_MPV_NEAR_FIELD,102,212,SAR_MASK_S2_CENTER_CENSORED,ANCHOR_CONFIRMED,"935.174,1162.205,1093.287,1244.449","1014.231,1203.327",158.113x82.244,high,8,3,same_vehicle_visible_response_confirmed,光学身份明确，SAR框按mask内可见响应解释；可作为局部响应扩散起点，不作为完整车辆中心。
WGV35A_PAIR_0209,PV_GM19_SILVER_MPV_NEAR_FIELD,114,238,SAR_MASK_S1_PARTIALLY_CENSORED_CENTER_INSIDE,ANCHOR_CONFIRMED,"1041.740,1171.593,1179.860,1243.581","1110.800,1207.587",138.120x71.988,high,8,8,same_vehicle_visible_response_confirmed,光学身份明确，SAR框按mask内可见响应解释；可作为局部响应扩散起点，不作为完整车辆中心。
WGV35A_PAIR_0210,PV_GM19_SILVER_MPV_NEAR_FIELD,129,269,SAR_MASK_S1_PARTIALLY_CENSORED_CENTER_INSIDE,ANCHOR_CONFIRMED,"1145.765,1174.396,1293.455,1244.367","1219.610,1209.381",147.690x69.971,high,4,8,same_vehicle_visible_response_confirmed,光学身份明确，SAR框按mask内可见响应解释；可作为局部响应扩散起点，不作为完整车辆中心。
WGV35A_PAIR_0211,PV_GM19_SILVER_MPV_NEAR_FIELD,131,273,SAR_MASK_S1_PARTIALLY_CENSORED_CENTER_INSIDE,ANCHOR_CONFIRMED,"1153.612,1176.902,1301.192,1246.322","1227.402,1211.612",147.580x69.420,high,8,4,same_vehicle_visible_response_confirmed,光学身份明确，SAR框按mask内可见响应解释；可作为局部响应扩散起点，不作为完整车辆中心。
WGV35A_PAIR_0212,PV_GM19_SILVER_MPV_NEAR_FIELD,138,288,SAR_MASK_S1_PARTIALLY_CENSORED_CENTER_INSIDE,ANCHOR_CONFIRMED,"1184.225,1174.411,1331.705,1246.411","1257.965,1210.411",147.480x72.000,high,2,8,same_vehicle_visible_response_confirmed,光学身份明确，SAR框按mask内可见响应解释；可作为局部响应扩散起点，不作为完整车辆中心。
WGV35A_PAIR_0213,PV_GM19_SILVER_MPV_NEAR_FIELD,139,290,SAR_MASK_S1_PARTIALLY_CENSORED_CENTER_INSIDE,ANCHOR_CONFIRMED,"1194.080,1169.575,1341.760,1245.122","1267.920,1207.349",147.680x75.547,high,3,2,same_vehicle_visible_response_confirmed,光学身份明确，SAR框按mask内可见响应解释；可作为局部响应扩散起点，不作为完整车辆中心。
WGV35A_PAIR_0214,PV_GM19_GRAY_CAR_LEFT_EDGE,151,315,SAR_MASK_S2_CENTER_CENSORED,ANCHOR_WEAK,"960.920,1189.494,1105.330,1264.106","1033.125,1226.800",144.410x74.612,high,0,0,pressure_vehicle_short_or_edge_observation,SAR局部响应可见，但光学状态为压力/边缘/短段条件；只能作为压力审计，不进入A1主传播。
