interval_id,physical_vehicle_id,method,direction,source_pair_id,target_pair_id,sar_frame,propagation_status,propagated_region,search_window,local_response_center,visible_response_coverage,masked_overlap_coverage,local_search_ratio,stop_reason
WGV35A_PAIR_0204_TO_WGV35A_PAIR_0205,PV_GM19_WHITE_SUV_NEAR_FIELD,P0,forward,WGV35A_PAIR_0204,WGV35A_PAIR_0205,27,PROPAGATED_WEAK,"972.572,1167.739,1154.849,1239.839","956.572,1155.739,1170.849,1251.839","1063.710,1203.789",,,0.007834,fixed_anchor_region
WGV35A_PAIR_0204_TO_WGV35A_PAIR_0205,PV_GM19_WHITE_SUV_NEAR_FIELD,P0,forward,WGV35A_PAIR_0204,WGV35A_PAIR_0205,28,PROPAGATED_WEAK,"972.572,1167.739,1154.849,1239.839","956.572,1155.739,1170.849,1251.839","1063.710,1203.789",,,0.007834,fixed_anchor_region
WGV35A_PAIR_0204_TO_WGV35A_PAIR_0205,PV_GM19_WHITE_SUV_NEAR_FIELD,P0,forward,WGV35A_PAIR_0204,WGV35A_PAIR_0205,29,PROPAGATED_WEAK,"972.572,1167.739,1154.849,1239.839","956.572,1155.739,1170.849,1251.839","1063.710,1203.789",,,0.007834,fixed_anchor_region
WGV35A_PAIR_0204_TO_WGV35A_PAIR_0205,PV_GM19_WHITE_SUV_NEAR_FIELD,P0,forward,WGV35A_PAIR_0204,WGV35A_PAIR_0205,30,PROPAGATED_WEAK,"972.572,1167.739,1154.849,1239.839","956.572,1155.739,1170.849,1251.839","1063.710,1203.789",,,0.007834,fixed_anchor_region
WGV35A_PAIR_0204_TO_WGV35A_PAIR_0205,PV_GM19_WHITE_SUV_NEAR_FIELD,P0,forward,WGV35A_PAIR_0204,WGV35A_PAIR_0205,31,PROPAGATED_WEAK,"972.572,1167.739,1154.849,1239.839","956.572,1155.739,1170.849,1251.839","1063.710,1203.789",1,1,0.007834,fixed_anchor_region
WGV35A_PAIR_0204_TO_WGV35A_PAIR_0205,PV_GM19_WHITE_SUV_NEAR_FIELD,P1,forward,WGV35A_PAIR_0204,WGV35A_PAIR_0205,27,PROPAGATED_CONFIDENT,"972.572,1167.739,1154.849,1239.839","944.572,1147.739,1182.849,1259.839","1063.710,1203.789",,,0.010162,optical_trend_region
WGV35A_PAIR_0204_TO_WGV35A_PAIR_0205,PV_GM19_WHITE_SUV_NEAR_FIELD,P1,forward,WGV35A_PAIR_0204,WGV35A_PAIR_0205,28,PROPAGATED_CONFIDENT,"976.952,1168.573,1154.641,1239.812","948.952,1148.573,1182.641,1259.812","1065.797,1204.193",,,0.00989,optical_trend_region
WGV35A_PAIR_0204_TO_WGV35A_PAIR_0205,PV_GM19_WHITE_SUV_NEAR_FIELD,P1,forward,WGV35A_PAIR_0204,WGV35A_PAIR_0205,29,PROPAGATED_CONFIDENT,"981.333,1169.408,1154.433,1239.784","953.333,1149.408,1182.433,1259.784","1067.883,1204.596",,,0.009621,optical_trend_region
WGV35A_PAIR_0204_TO_WGV35A_PAIR_0205,PV_GM19_WHITE_SUV_NEAR_FIELD,P1,forward,WGV35A_PAIR_0204,WGV35A_PAIR_0205,30,PROPAGATED_CONFIDENT,"985.714,1170.243,1154.225,1239.756","957.714,1150.243,1182.225,1259.756","1069.969,1204.999",,,0.009354,optical_trend_region
WGV35A_PAIR_0204_TO_WGV35A_PAIR_0205,PV_GM19_WHITE_SUV_NEAR_FIELD,P1,forward,WGV35A_PAIR_0204,WGV35A_PAIR_0205,31,PROPAGATED_CONFIDENT,"990.094,1171.077,1154.017,1239.729","962.094,1151.077,1182.017,1259.729","1072.055,1205.403",1,1,0.009091,optical_trend_region
WGV35A_PAIR_0204_TO_WGV35A_PAIR_0205,PV_GM19_WHITE_SUV_NEAR_FIELD,P2,forward,WGV35A_PAIR_0204,WGV35A_PAIR_0205,27,PROPAGATED_CONFIDENT,"972.640,1175.599,1154.917,1247.699","866.775,1121.504,1260.646,1286.074","1063.880,1223.440",,,0.024661,local_connected_response
WGV35A_PAIR_0204_TO_WGV35A_PAIR_0205,PV_GM19_WHITE_SUV_NEAR_FIELD,P2,forward,WGV35A_PAIR_0204,WGV35A_PAIR_0205,28,PROPAGATED_CONFIDENT,"975.939,1178.152,1155.234,1249.692","870.690,1124.994,1259.491,1288.611","1066.331,1224.602",,,0.024203,local_connected_response
WGV35A_PAIR_0204_TO_WGV35A_PAIR_0205,PV_GM19_WHITE_SUV_NEAR_FIELD,P2,forward,WGV35A_PAIR_0204,WGV35A_PAIR_0205,29,PROPAGATED_CONFIDENT,"980.257,1179.780,1155.525,1250.563","876.101,1126.694,1258.057,1289.026","1069.109,1226.139",,,0.02359,local_connected_response
WGV35A_PAIR_0204_TO_WGV35A_PAIR_0205,PV_GM19_WHITE_SUV_NEAR_FIELD,P2,forward,WGV35A_PAIR_0204,WGV35A_PAIR_0205,30,PROPAGATED_WEAK,"983.840,1172.201,1154.717,1242.159","881.997,1128.095,1256.487,1289.024","1069.333,1205.111",,,0.022929,local_connected_response
WGV35A_PAIR_0204_TO_WGV35A_PAIR_0205,PV_GM19_WHITE_SUV_NEAR_FIELD,P2,forward,WGV35A_PAIR_0204,WGV35A_PAIR_0205,31,PROPAGATED_WEAK,"988.742,1171.343,1155.099,1240.452","887.680,1126.282,1254.487,1285.768","1073.176,1205.706",0.996128,0.996128,0.022257,local_connected_response
