background_track_id,first_frame,last_frame,fixed_coordinate_mean_x,fixed_coordinate_mean_y,position_variance,support_frames,missing_frames,shape_variation,energy_variation,conflicting_vehicle_motion_frames,background_state,threshold_source
BG_D1_0001,361,362,964.404679,818.96849,20.195982,3,32,6.182412,387.639867,,static_background_response,P0 static_position_variance_threshold_px2 as recurrence reference only
BG_D1_0002,361,361,1029.830586,814.783317,13.293669,2,33,4,244,,background_recurrence_candidate,P0 static_position_variance_threshold_px2 as recurrence reference only
BG_D1_0003,361,361,1221.569187,814.355629,5.061676,2,33,1.5,98.5,,background_recurrence_candidate,P0 static_position_variance_threshold_px2 as recurrence reference only
BG_D1_0004,361,361,1248.136416,812.978035,999999,1,33,0,0,,unresolved_response,P0 static_position_variance_threshold_px2 as recurrence reference only
BG_D1_0005,361,362,1193.590808,821.408037,20.472842,4,32,9.175375,572.712406,,static_background_response,P0 static_position_variance_threshold_px2 as recurrence reference only
BG_D1_0006,361,361,1136.89083,818.678311,999999,1,33,0,0,,unresolved_response,P0 static_position_variance_threshold_px2 as recurrence reference only
BG_D1_0007,361,361,951.902284,818.714467,999999,1,33,0,0,,unresolved_response,P0 static_position_variance_threshold_px2 as recurrence reference only
BG_D1_0008,361,361,937.986231,819.003442,999999,1,33,0,0,,unresolved_response,P0 static_position_variance_threshold_px2 as recurrence reference only
BG_D1_0009,361,362,1151.970025,824.945777,13.63651,2,32,0.5,13,,background_recurrence_candidate,P0 static_position_variance_threshold_px2 as recurrence reference only
BG_D1_0010,361,361,1182.273913,822.008696,999999,1,33,0,0,,unresolved_response,P0 static_position_variance_threshold_px2 as recurrence reference only
BG_D1_0011,361,362,1255.44411,824.12058,9.527458,2,32,2,136,,background_recurrence_candidate,P0 static_position_variance_threshold_px2 as recurrence reference only
BG_D1_0012,361,364,1167.030034,834.23201,46.39892,8,30,10.451525,682.833435,,static_background_response,P0 static_position_variance_threshold_px2 as recurrence reference only
BG_D1_0013,361,361,1022.190198,830.111466,14.262089,2,33,1,53.5,,background_recurrence_candidate,P0 static_position_variance_threshold_px2 as recurrence reference only
