association_id,sar_frame,response_track_id,component_id,previous_response_x,previous_response_y,predicted_response_x,predicted_response_y,observed_response_x,observed_response_y,target_displacement_x,target_displacement_y,response_self_displacement_x,response_self_displacement_y,relative_to_target_x,relative_to_target_y,response_residual_px,motion_residual_px,relative_position_residual_px,shape_change_px,orientation_change_deg,energy_change,background_conflict,background_track_id,consecutive_support_frames,missing_frames,evidence_state,same_motion_supported
ASSOC_000361_RT_D1_0001,361,RT_D1_0001,D1OBS_000361_0058,1122.220378,964.789132,1133.031888,960.448928,1141.115768,949.694611,9.037,-1.9795,18.89539,-15.094521,50.518768,9.847111,16.407061,16.407061,16.407061,1053,14.197267,-91764,false,,2,0,temporally_supported_response,false
ASSOC_000361_RT_D1_0002,361,RT_D1_0002,D1OBS_000361_0057,1045.155284,969.246505,1061.371572,967.155596,1094.077215,966.648064,9.037,-1.9795,48.921931,-2.598441,3.480215,26.800564,39.889733,39.889733,39.889733,1346,355.449459,100820,false,,2,0,temporally_supported_response,false
ASSOC_000361_RT_D1_0003,361,RT_D1_0003,D1OBS_000361_0056,1135.320969,949.817105,1146.369929,947.254302,1155.535525,944.597031,9.037,-1.9795,20.214556,-5.220074,64.938525,4.749531,11.63783,11.63783,11.63783,12,259.635838,-998,false,,2,0,temporally_supported_response,false
ASSOC_000361_RT_D1_0004,361,RT_D1_0004,D1OBS_000361_0055,1086.381968,928.355816,1095.579932,926.743483,1096.313211,928.416131,9.037,-1.9795,9.931243,0.060315,5.716211,-11.431369,2.227221,2.227221,2.227221,10,5.602311,568,false,,2,0,temporally_supported_response,false
ASSOC_000361_RT_D1_0005,361,RT_D1_0005,D1OBS_000361_0061,1159.598679,961.170107,1168.990726,961.160175,1170.608163,970.132653,9.037,-1.9795,11.009484,8.962546,80.011163,30.285153,11.118411,11.118411,11.118411,1,93.3908,-231,false,,2,0,temporally_supported_response,false
ASSOC_000361_RT_D1_0006,361,RT_D1_0006,D1OBS_000361_0059,1035.20218,958.231913,1038.106361,956.960291,1010.167963,960.18507,9.037,-1.9795,-25.034217,1.953157,-80.429037,20.33757,34.297429,34.297429,34.297429,5,67.924855,-366,false,,2,0,temporally_supported_response,false
ASSOC_000361_RT_D1_0007,361,RT_D1_0007,D1OBS_000361_0060,1115.145046,947.239019,1130.021376,949.491818,1156.622771,968.772291,9.037,-1.9795,41.477725,21.533272,66.025771,28.924791,40.065585,40.065585,40.065585,3,91.803825,-250,false,,2,0,temporally_supported_response,false
ASSOC_000361_RT_D1_0008,361,RT_D1_0008,D1OBS_000361_0054,1111.181714,919.841143,1113.991017,919.004231,1085.620399,924.209356,9.037,-1.9795,-25.561315,4.368213,-4.976601,-15.638144,35.1758,35.1758,35.1758,8,31.839218,429,false,,2,0,temporally_supported_response,false
ASSOC_000361_RT_D1_0009,361,RT_D1_0009,D1OBS_000361_0065,1149.133102,944.731481,1162.05831,952.236786,1179.771255,995.445344,9.037,-1.9795,30.638153,50.713863,89.174255,55.597844,56.949103,56.949103,56.949103,4,54.486844,124,false,,2,0,temporally_supported_response,false
ASSOC_000362_RT_D1_0001,362,RT_D1_0001,D1OBS_000362_0038,1141.115768,949.694611,1151.919537,964.149279,1181.347079,964.101947,9.778769,-0.73476,40.231311,14.407337,78.322135,20.543706,35.887293,34.009416,35.887293,9,12.319134,-630,false,,3,0,same_motion_supported,true
ASSOC_000362_RT_D1_0002,362,RT_D1_0002,D1OBS_000362_0037,1094.077215,966.648064,1078.518213,970.104034,1100.014502,966.63132,9.778769,-0.73476,5.937287,-0.016744,-3.010442,23.073079,26.554865,3.908008,26.554865,36,0.578902,7390,false,,3,0,same_motion_supported,true
ASSOC_000362_RT_D1_0003,362,RT_D1_0003,D1OBS_000362_0039,1155.535525,944.597031,1163.313338,954.563425,1183.883789,970.956055,9.778769,-0.73476,28.348264,26.359024,80.858845,27.397814,32.077153,32.846602,32.077153,2,42.917407,81,false,,3,0,same_motion_supported,true
ASSOC_000362_RT_D1_0004,362,RT_D1_0004,D1OBS_000362_0036,1096.313211,928.416131,1106.791641,930.089055,1101.251014,928.425507,9.778769,-0.73476,4.937803,0.009377,-1.77393,-15.132734,7.054847,4.897825,7.054847,4,0.221713,-296,false,,3,0,same_motion_supported,true
ASSOC_000362_RT_D1_0005,362,RT_D1_0005,D1OBS_000362_0042,1170.608163,970.132653,1182.379987,970.627313,1186.759319,996.850897,9.778769,-0.73476,16.151156,26.718244,83.734375,53.292656,32.422858,28.18288,32.422858,19,93.201751,1193,false,,3,0,same_motion_supported,true
ASSOC_000362_RT_D1_0006,362,RT_D1_0006,D1OBS_000362_0034,1010.167963,960.18507,1053.445624,954.214158,1066.708299,924.799507,9.778769,-0.73476,56.540336,-35.385563,-36.316645,-18.758734,39.349262,58.200707,39.349262,10,226.631372,574,false,,3,0,same_motion_supported,true
ASSOC_000362_RT_D1_0007,362,RT_D1_0007,D1OBS_000362_0044,1156.622771,968.772291,1137.986261,962.755735,1117.654545,1006.275758,9.778769,-0.73476,-38.968225,37.503467,14.629601,62.717517,58.579393,61.955076,58.579393,2,113.786245,-69,false,,3,0,same_motion_supported,true
ASSOC_000362_RT_D1_0008,362,RT_D1_0008,D1OBS_000362_0033,1085.620399,924.209356,1126.332343,922.154881,1125.937749,919.603352,9.778769,-0.73476,40.317351,-4.606004,22.912805,-23.954889,3.14861,30.782974,3.14861,1,79.881718,-51,false,,3,0,same_motion_supported,true
ASSOC_000362_RT_D1_0011,362,RT_D1_0011,D1OBS_000362_0035,1093.361702,929.012766,1110.610794,929.640682,1091.405246,924.614426,9.778769,-0.73476,-1.956456,-4.39834,-11.619698,-18.943815,24.210199,12.293792,24.210199,13,7.776252,820,false,,1,0,temporally_supported_response,false
ASSOC_000363_RT_D1_0001,363,RT_D1_0001,D1OBS_000363_0029,1181.347079,964.101947,1167.798904,967.539297,1178.858115,969.483965,10.58223,0.074156,-2.488964,5.382018,62.381435,22.962584,13.693763,14.107783,13.693763,2,322.112256,156,false,,4,0,same_motion_supported,true
ASSOC_000363_RT_D1_0002,363,RT_D1_0002,D1OBS_000363_0027,1100.014502,966.63132,1094.530946,971.949004,1106.197712,966.855122,10.58223,0.074156,6.18321,0.223802,-10.278967,20.333741,15.524781,4.401565,15.524781,35,0.283957,10587,false,,4,0,same_motion_supported,true
ASSOC_000363_RT_D1_0003,363,RT_D1_0003,D1OBS_000363_0028,1183.883789,970.956055,1176.826299,957.969382,1177.105216,959.986663,10.58223,0.074156,-6.778573,-10.969392,60.628537,13.465282,2.483502,20.575651,2.483502,35,310.085413,2350,false,,4,0,same_motion_supported,true
ASSOC_000363_RT_D1_0004,363,RT_D1_0004,D1OBS_000363_0025,1101.251014,928.425507,1121.610766,930.877908,1127.839987,920.972828,10.58223,0.074156,26.588972,-7.452679,11.363307,-25.548553,14.269533,17.688104,14.269533,20,329.497907,1256,false,,4,0,same_motion_supported,true
ASSOC_000363_RT_D1_0005,363,RT_D1_0005,D1OBS_000363_0030,1186.759319,996.850897,1194.536161,972.914603,1188.634162,969.835733,10.58223,0.074156,1.874843,-27.015164,72.157483,23.314352,8.118053,28.454347,8.118053,11,251.064188,-645,false,,4,0,same_motion_supported,true
ASSOC_000363_RT_D1_0006,363,RT_D1_0006,D1OBS_000363_0026,1066.708299,924.799507,1072.757715,951.613944,1099.454894,926.26978,10.58223,0.074156,32.746595,1.470273,-17.021785,-20.2516,44.891733,22.208292,44.891733,49,26.861075,3472,false,,4,0,same_motion_supported,true
ASSOC_000363_RT_D1_0007,363,RT_D1_0007,D1OBS_000363_0036,1117.654545,1006.275758,1146.447556,973.057562,1123.713326,1006.489362,10.58223,0.074156,6.05878,0.213604,7.236647,59.967981,49.304057,4.525599,49.304057,4,2.262684,233,false,,4,0,same_motion_supported,true
ASSOC_000363_RT_D1_0009,363,RT_D1_0009,D1OBS_000363_0034,1179.771255,995.445344,1189.036961,965.852658,1194.043389,997.477284,10.58223,0.074156,14.272134,2.03194,77.56671,50.955904,39.046893,4.177118,39.046893,13,14.786484,971,false,,1,0,temporally_supported_response,false
ASSOC_000364_RT_D1_0001,364,RT_D1_0001,D1OBS_000364_0022,1178.858115,969.483965,1182.231785,968.314931,1186.565916,961.04448,11.216443,0.576719,7.707802,-8.439485,56.607751,12.151513,10.322301,9.674838,10.322301,11,309.727999,837,false,,5,0,same_motion_supported,true
ASSOC_000364_RT_D1_0002,364,RT_D1_0002,D1OBS_000364_0020,1106.197712,966.855122,1109.449078,973.172724,1115.9938,967.943552,11.216443,0.576719,9.796088,1.08843,-13.964365,19.050585,10.216108,1.50972,10.216108,196,1.48186,15271,false,,5,0,same_motion_supported,true
ASSOC_000364_RT_D1_0003,364,RT_D1_0003,D1OBS_000364_0032,1177.105216,959.986663,1192.436094,967.113325,1202.131724,997.965172,11.216443,0.576719,25.026508,37.97851,72.173558,49.072205,39.438385,39.869937,39.438385,7,11.114445,-474,false,,5,0,same_motion_supported,true
ASSOC_000364_RT_D1_0004,364,RT_D1_0004,D1OBS_000364_0015,1127.839987,920.972828,1134.785089,931.084813,1133.385792,921.223483,11.216443,0.576719,5.545805,0.250655,3.427626,-27.669484,12.14648,5.680004,12.14648,15,3.212336,-954,false,,5,0,same_motion_supported,true
ASSOC_000364_RT_D1_0005,364,RT_D1_0005,D1OBS_000364_0035,1188.634162,969.835733,1206.330937,981.494004,1198.647032,1009.774045,11.216443,0.576719,10.012869,39.938312,68.688866,60.881078,35.738223,39.37999,35.738223,9,7.822533,645,false,,5,0,same_motion_supported,true
ASSOC_000364_RT_D1_0006,364,RT_D1_0006,D1OBS_000364_0018,1099.454894,926.26978,1087.701369,948.929255,1094.362355,925.895108,11.216443,0.576719,-5.09254,-0.374673,-35.595811,-22.99786,29.241366,16.336709,29.241366,35,347.983934,-2277,false,,5,0,same_motion_supported,true
ASSOC_000364_RT_D1_0007,364,RT_D1_0007,D1OBS_000364_0034,1123.713326,1006.489362,1154.484949,981.027479,1129.684083,1006.530984,11.216443,0.576719,5.970757,0.041623,-0.274083,57.638017,43.382966,5.272907,43.382966,1,107.036123,-70,false,,5,0,same_motion_supported,true
ASSOC_000364_RT_D1_0008,364,RT_D1_0008,D1OBS_000364_0016,1125.937749,919.603352,1148.129531,926.699627,1124.732044,923.100829,11.216443,0.576719,-1.205705,3.497477,-5.226121,-25.792139,28.869069,12.760901,28.869069,9,83.287653,-529,false,,1,0,temporally_supported_response,false
ASSOC_000364_RT_D1_0009,364,RT_D1_0009,D1OBS_000364_0037,1194.043389,997.477284,1202.044727,976.990921,1199.886667,1016.928,11.216443,0.576719,5.843277,19.450716,69.928501,68.035033,48.774809,19.623931,48.774809,17,18.762524,-1209,false,,2,0,temporally_supported_response,false
ASSOC_000364_RT_D1_0011,364,RT_D1_0011,D1OBS_000364_0019,1091.405246,924.614426,1134.365777,933.87058,1119.887133,928.837472,11.216443,0.576719,28.481887,4.223046,-10.071033,-20.055496,18.693308,17.646282,18.693308,10,21.556442,-639,false,,1,0,temporally_supported_response,false
ASSOC_000365_RT_D1_0001,365,RT_D1_0001,D1OBS_000365_0015,1186.565916,961.04448,1190.280694,971.994394,1192.781114,960.544626,10.403479,1.805242,6.215198,-0.499854,55.322911,5.458833,14.292208,4.780708,14.292208,42,340.439325,2963,false,,6,0,same_motion_supported,true
ASSOC_000365_RT_D1_0002,365,RT_D1_0002,D1OBS_000365_0014,1115.9938,967.943552,1118.076972,977.26708,1123.214987,967.707381,10.403479,1.805242,7.221187,-0.236171,-14.243215,12.621588,13.235333,3.780787,13.235333,141,0.560869,16312,false,,6,0,same_motion_supported,true
ASSOC_000365_RT_D1_0003,365,RT_D1_0003,D1OBS_000365_0023,1202.131724,997.965172,1201.586463,977.669799,1209.104643,997.548637,10.403479,1.805242,6.972918,-0.416536,71.64644,42.462843,25.918327,4.08718,25.918327,5,341.362746,-186,false,,6,0,same_motion_supported,true
ASSOC_000365_RT_D1_0004,365,RT_D1_0004,D1OBS_000365_0013,1133.385792,921.223483,1139.617324,937.5868,1127.464,938.9952,10.403479,1.805242,-5.921792,17.771717,-9.994203,-16.090593,14.920315,22.835122,14.920315,21,165.669989,-1402,false,,6,0,same_motion_supported,true
ASSOC_000365_RT_D1_0005,365,RT_D1_0005,D1OBS_000365_0025,1198.647032,1009.774045,1212.119035,991.497074,1204.320204,1008.85485,10.403479,1.805242,5.673172,-0.919195,66.862002,53.769057,23.206461,5.458787,23.206461,13,340.513698,-802,false,,6,0,same_motion_supported,true
ASSOC_000365_RT_D1_0006,365,RT_D1_0006,D1OBS_000365_0011,1094.362355,925.895108,1095.76864,949.920622,1098.352702,926.225088,10.403479,1.805242,3.990347,0.32998,-39.105501,-28.860705,29.068313,6.580628,29.068313,17,3.7127,1271,false,,6,0,same_motion_supported,true
ASSOC_000365_RT_D1_0008,365,RT_D1_0008,D1OBS_000365_0010,1124.732044,923.100829,1152.055511,930.957106,1135.773693,922.140523,10.403479,1.805242,11.041649,-0.960306,-1.68451,-32.945271,22.580075,2.838224,22.580075,25,4.208926,1724,false,,2,0,temporally_supported_response,false
ASSOC_000365_RT_D1_0009,365,RT_D1_0009,D1OBS_000365_0026,1199.886667,1016.928,1212.000473,988.074749,1223.187592,1010.355982,10.403479,1.805242,23.300926,-6.572018,85.72939,55.270189,30.404887,15.379292,30.404887,1,33.813707,-73,false,,3,0,same_motion_supported,true
ASSOC_000365_RT_D1_0011,365,RT_D1_0011,D1OBS_000365_0012,1119.887133,928.837472,1138.904256,937.95653,1125.412716,928.35854,10.403479,1.805242,5.525583,-0.478932,-12.045486,-26.727253,20.191788,5.386215,20.191788,27,314.432694,1772,false,,2,0,temporally_supported_response,false
ASSOC_000366_RT_D1_0001,366,RT_D1_0001,D1OBS_000366_0019,1192.781114,960.544626,1199.228251,971.344255,1200.565604,960.999133,10.020778,1.764883,7.78449,0.454506,54.453411,4.292598,12.720983,2.591924,12.720983,3,0.088633,-218,false,,7,0,same_motion_supported,true
ASSOC_000366_RT_D1_0002,366,RT_D1_0002,D1OBS_000366_0017,1123.214987,967.707381,1126.95272,976.895051,1127.962943,967.816878,10.020778,1.764883,4.747956,0.109496,-18.14925,11.110343,11.13928,5.526568,11.13928,109,0.206779,-8309,false,,7,0,same_motion_supported,true
ASSOC_000366_RT_D1_0003,366,RT_D1_0003,D1OBS_000366_0024,1209.104643,997.548637,1211.381951,982.597327,1216.582105,997.661579,10.020778,1.764883,7.477463,0.112942,70.469912,40.955044,19.434804,3.032715,19.434804,13,51.111519,-814,false,,7,0,same_motion_supported,true
ASSOC_000366_RT_D1_0004,366,RT_D1_0004,D1OBS_000366_0016,1127.464,938.9952,1145.676541,940.306596,1133.855908,945.313401,10.020778,1.764883,6.391908,6.318201,-12.256286,-11.393134,15.655206,5.822491,15.655206,11,72.62451,763,false,,7,0,same_motion_supported,true
ASSOC_000366_RT_D1_0005,366,RT_D1_0005,D1OBS_000366_0026,1204.320204,1008.85485,1219.498764,995.962443,1213.69379,1008.921306,10.020778,1.764883,9.373586,0.066456,67.581597,52.214771,17.316637,1.817557,17.316637,8,350.312804,497,false,,7,0,same_motion_supported,true
ASSOC_000366_RT_D1_0006,366,RT_D1_0006,D1OBS_000366_0014,1098.352702,926.225088,1103.873912,947.061692,1101.374194,926.654301,10.020778,1.764883,3.021492,0.429213,-44.738,-30.052234,25.07307,7.125589,25.07307,25,7.072605,-1823,false,,7,0,same_motion_supported,true
ASSOC_000366_RT_D1_0007,366,RT_D1_0007,D1OBS_000366_0021,1129.684083,1006.530984,1165.522902,987.918191,1142.216339,983.71407,10.020778,1.764883,12.532256,-22.816915,-3.895855,27.007535,28.881348,24.709761,28.881348,3,235.262029,-162,false,,1,0,temporally_supported_response,false
ASSOC_000366_RT_D1_0008,366,RT_D1_0008,D1OBS_000366_0013,1135.773693,922.140523,1158.475399,930.944488,1148.297821,923.503632,10.020778,1.764883,12.524128,1.363109,2.185627,-33.202903,15.375018,2.535386,15.375018,23,11.061395,-1622,false,,3,0,same_motion_supported,true
ASSOC_000366_RT_D1_0009,366,RT_D1_0009,D1OBS_000366_0027,1223.187592,1010.355982,1222.962936,997.54772,1233.47931,1033.318985,10.020778,1.764883,10.291718,22.963003,87.367117,76.61245,45.469616,21.199852,45.469616,704,317.209442,54592,false,,4,0,same_motion_supported,true
ASSOC_000366_RT_D1_0011,366,RT_D1_0011,D1OBS_000366_0012,1125.412716,928.35854,1146.575652,936.449418,1142.099388,922.200306,10.020778,1.764883,16.686672,-6.158234,-4.012805,-34.506229,18.214228,10.354223,18.214228,30,4.390484,-2004,false,,3,0,same_motion_supported,true
ASSOC_000366_RT_D1_0012,366,RT_D1_0012,D1OBS_000366_0015,1110.530649,925.273438,1127.574435,932.298136,1131.627781,928.704399,10.020778,1.764883,21.097131,3.430962,-14.484413,-28.002135,6.606172,11.200956,6.606172,4,1.760713,359,false,,1,0,temporally_supported_response,false
ASSOC_000367_RT_D1_0001,367,RT_D1_0001,D1OBS_000367_0020,1200.565604,960.999133,1207.23145,973.123049,1210.480198,973.365347,9.423434,1.756291,9.914594,12.366214,57.077944,14.933205,3.972891,10.621285,3.972891,50,287.344248,-3601,false,,8,0,same_motion_supported,true
ASSOC_000367_RT_D1_0002,367,RT_D1_0002,D1OBS_000367_0016,1127.962943,967.816878,1134.001958,976.640634,1132.904883,967.620524,9.423434,1.756291,4.94194,-0.196354,-20.49737,9.188382,11.081197,4.888416,11.081197,123,0.37808,-9749,false,,8,0,same_motion_supported,true
ASSOC_000367_RT_D1_0003,367,RT_D1_0003,D1OBS_000367_0019,1216.582105,997.661579,1218.803903,982.110546,1219.404742,972.031889,9.423434,1.756291,2.822637,-25.62969,66.002489,13.599747,12.312867,28.170241,12.312867,8,44.920061,-677,false,,8,0,same_motion_supported,true
ASSOC_000367_RT_D1_0004,367,RT_D1_0004,D1OBS_000367_0012,1133.855908,945.313401,1149.78147,939.542709,1135.271429,928.201681,9.423434,1.756291,1.415521,-17.11172,-18.130825,-30.230461,22.458907,20.497037,22.458907,3,27.253373,-198,false,,8,0,same_motion_supported,true
ASSOC_000367_RT_D1_0005,367,RT_D1_0005,D1OBS_000367_0027,1213.69379,1008.921306,1225.974467,997.659986,1222.264621,997.532137,9.423434,1.756291,8.570831,-11.38917,68.862367,39.099995,4.526889,13.173081,4.526889,4,315.908986,-141,false,,8,0,same_motion_supported,true
ASSOC_000367_RT_D1_0006,367,RT_D1_0006,D1OBS_000367_0014,1101.374194,926.654301,1113.005858,945.846723,1121.396671,932.450763,9.423434,1.756291,20.022478,5.796462,-32.005582,-25.981379,19.276685,11.342959,19.276685,15,6.389381,-1139,false,,8,0,same_motion_supported,true
ASSOC_000367_RT_D1_0007,367,RT_D1_0007,D1OBS_000367_0023,1142.216339,983.71407,1170.198171,988.06254,1158.286344,980.859031,9.423434,1.756291,16.070005,-2.855039,4.88409,22.426889,16.976301,8.089578,16.976301,4,350.179934,247,false,,2,0,temporally_supported_response,false
ASSOC_000367_RT_D1_0008,367,RT_D1_0008,D1OBS_000367_0011,1148.297821,923.503632,1166.434294,930.01067,1169.48121,917.895509,9.423434,1.756291,21.183389,-5.608123,16.078956,-40.536633,15.234671,13.875559,15.234671,2,342.425664,265,false,,4,0,same_motion_supported,true
ASSOC_000367_RT_D1_0009,367,RT_D1_0009,D1OBS_000367_0029,1233.47931,1033.318985,1229.052307,1000.969453,1223.5825,1008.69625,9.423434,1.756291,-9.89681,-24.622735,70.180246,50.264108,11.544999,32.697475,11.544999,703,264.498854,-54469,false,,5,0,same_motion_supported,true
ASSOC_000367_RT_D1_0011,367,RT_D1_0011,D1OBS_000367_0010,1142.099388,922.200306,1153.180844,934.558938,1150.060888,918.085655,9.423434,1.756291,7.961499,-4.11465,-3.341366,-40.346487,20.446503,6.050224,20.446503,4,336.767341,315,false,,4,0,same_motion_supported,true
ASSOC_000367_RT_D1_0012,367,RT_D1_0012,D1OBS_000367_0015,1131.627781,928.704399,1134.044499,933.672816,1130.30896,932.07415,9.423434,1.756291,-1.318821,3.369751,-23.093294,-26.357992,4.955181,10.862747,4.955181,15,8.650381,-1052,false,,2,0,temporally_supported_response,false
ASSOC_000367_RT_D1_0013,367,RT_D1_0013,D1OBS_000367_0013,1132.430894,922.918699,1134.004462,925.06754,1107.962665,926.995608,9.423434,1.756291,-24.46823,4.076908,-45.439589,-31.436534,31.845213,33.971019,31.845213,8,56.303465,628,false,,2,0,temporally_supported_response,false
