event_id,sar_frame,response_track_id,confirmation_state,post_reappearance_support_frames,relative_structure_residual_px,background_conflict,confirmed
REAPP_CONF_000363_RT_D1_R1_0007,363,RT_D1_R1_0007,reappearance_provisionally_supported,2,19.860702,false,false
REAPP_CONF_000364_RT_D1_R1_0007,364,RT_D1_R1_0007,reappeared_supported,3,18.795976,false,true
REAPP_CONF_000367_RT_D1_R1_0002,367,RT_D1_R1_0002,reappearance_provisionally_supported,2,12.059604,false,false
REAPP_CONF_000367_RT_D1_R1_0005,367,RT_D1_R1_0005,reappearance_provisionally_supported,2,9.854076,false,false
REAPP_CONF_000368_RT_D1_R1_0005,368,RT_D1_R1_0005,reappeared_supported,3,10.352569,false,true
REAPP_CONF_000368_RT_D1_R1_0007,368,RT_D1_R1_0007,reappearance_provisionally_supported,2,11.452294,false,false
REAPP_CONF_000370_RT_D1_R1_0002,370,RT_D1_R1_0002,reappearance_provisionally_supported,2,10.30633,false,false
REAPP_CONF_000370_RT_D1_R1_0015,370,RT_D1_R1_0015,reappearance_provisionally_supported,2,8.072,false,false
REAPP_CONF_000371_RT_D1_R1_0001,371,RT_D1_R1_0001,reappearance_provisionally_supported,2,10.119442,false,false
REAPP_CONF_000371_RT_D1_R1_0002,371,RT_D1_R1_0002,reappeared_supported,3,7.362166,false,true
REAPP_CONF_000372_RT_D1_R1_0001,372,RT_D1_R1_0001,reappeared_supported,3,8.862994,false,true
REAPP_CONF_000375_RT_D1_R1_0002,375,RT_D1_R1_0002,reappearance_provisionally_supported,2,14.743206,false,false
REAPP_CONF_000376_RT_D1_R1_0002,376,RT_D1_R1_0002,reappeared_supported,3,16.821205,false,true
REAPP_CONF_000376_RT_D1_R1_0007,376,RT_D1_R1_0007,reappearance_provisionally_supported,2,15.924925,false,false
REAPP_CONF_000378_RT_D1_R1_0014,378,RT_D1_R1_0014,reappearance_provisionally_supported,2,13.824714,false,false
REAPP_CONF_000380_RT_D1_R1_0001,380,RT_D1_R1_0001,reappearance_provisionally_supported,2,7.778736,false,false
REAPP_CONF_000381_RT_D1_R1_0001,381,RT_D1_R1_0001,reappeared_supported,3,3.447079,false,true
REAPP_CONF_000381_RT_D1_R1_0004,381,RT_D1_R1_0004,reappearance_provisionally_supported,2,5.418202,false,false
REAPP_CONF_000381_RT_D1_R1_0011,381,RT_D1_R1_0011,reappearance_provisionally_supported,2,11.065792,false,false
REAPP_CONF_000381_RT_D1_R1_0016,381,RT_D1_R1_0016,reappearance_provisionally_supported,2,9.641256,false,false
REAPP_CONF_000382_RT_D1_R1_0004,382,RT_D1_R1_0004,reappeared_supported,3,7.516334,false,true
REAPP_CONF_000382_RT_D1_R1_0007,382,RT_D1_R1_0007,reappearance_provisionally_supported,2,9.203534,false,false
REAPP_CONF_000382_RT_D1_R1_0011,382,RT_D1_R1_0011,reappeared_supported,3,0.675392,false,true
REAPP_CONF_000384_RT_D1_R1_0002,384,RT_D1_R1_0002,reappearance_provisionally_supported,2,2.434175,false,false
REAPP_CONF_000385_RT_D1_R1_0001,385,RT_D1_R1_0001,reappearance_provisionally_supported,2,21.53503,false,false
REAPP_CONF_000385_RT_D1_R1_0002,385,RT_D1_R1_0002,reappeared_supported,3,1.608226,false,true
REAPP_CONF_000385_RT_D1_R1_0012,385,RT_D1_R1_0012,reappearance_provisionally_supported,2,3.221099,false,false
REAPP_CONF_000386_RT_D1_R1_0001,386,RT_D1_R1_0001,reappeared_supported,3,13.080583,false,true
REAPP_CONF_000386_RT_D1_R1_0012,386,RT_D1_R1_0012,reappeared_supported,3,2.081784,false,true
REAPP_CONF_000390_RT_D1_R1_0018,390,RT_D1_R1_0018,reappearance_provisionally_supported,2,4.239804,false,false
REAPP_CONF_000391_RT_D1_R1_0002,391,RT_D1_R1_0002,reappearance_provisionally_supported,2,10.721933,false,false
REAPP_CONF_000391_RT_D1_R1_0018,391,RT_D1_R1_0018,reappeared_supported,3,5.1338,false,true
REAPP_CONF_000392_RT_D1_R1_0002,392,RT_D1_R1_0002,reappeared_supported,3,7.049229,false,true
REAPP_CONF_000392_RT_D1_R1_0014,392,RT_D1_R1_0014,reappearance_provisionally_supported,2,23.289471,false,false
REAPP_CONF_000392_RT_D1_R1_0016,392,RT_D1_R1_0016,reappearance_provisionally_supported,2,12.147237,false,false
REAPP_CONF_000393_RT_D1_R1_0016,393,RT_D1_R1_0016,reappeared_supported,3,4.436685,false,true
