event_id,sar_frame,response_track_id,visibility_state,missing_frames,last_reliable_state_before_missing,position_uncertainty,reason
VIS_D1_R1_000361_RT_D1_R1_0002,361,RT_D1_R1_0002,temporarily_missing,1,motion_shell_candidate,45.418706,no_current_component_passed_response_motion_relative_and_background_gates
VIS_D1_R1_000361_RT_D1_R1_0006,361,RT_D1_R1_0006,temporarily_missing,1,motion_shell_candidate,45.418706,no_current_component_passed_response_motion_relative_and_background_gates
VIS_D1_R1_000361_RT_D1_R1_0007,361,RT_D1_R1_0007,temporarily_missing,1,motion_shell_candidate,45.418706,no_current_component_passed_response_motion_relative_and_background_gates
VIS_D1_R1_000361_RT_D1_R1_0008,361,RT_D1_R1_0008,temporarily_missing,1,motion_shell_candidate,45.418706,no_current_component_passed_response_motion_relative_and_background_gates
VIS_D1_R1_000361_RT_D1_R1_0009,361,RT_D1_R1_0009,temporarily_missing,1,motion_shell_candidate,45.418706,no_current_component_passed_response_motion_relative_and_background_gates
VIS_D1_R1_000361_RT_D1_R1_0010,361,RT_D1_R1_0010,temporarily_missing,1,motion_shell_candidate,45.418706,no_current_component_passed_response_motion_relative_and_background_gates
VIS_D1_R1_000362_RT_D1_R1_0001,362,RT_D1_R1_0001,temporarily_missing,1,same_motion_candidate,36.121468,no_current_component_passed_response_motion_relative_and_background_gates
VIS_D1_R1_000362_RT_D1_R1_0002,362,RT_D1_R1_0002,temporarily_missing,2,motion_shell_candidate,36.121468,no_current_component_passed_response_motion_relative_and_background_gates
VIS_D1_R1_000362_RT_D1_R1_0005,362,RT_D1_R1_0005,temporarily_missing,1,same_motion_candidate,36.121468,no_current_component_passed_response_motion_relative_and_background_gates
VIS_D1_R1_000362_RT_D1_R1_0006,362,RT_D1_R1_0006,temporarily_missing,2,motion_shell_candidate,36.121468,no_current_component_passed_response_motion_relative_and_background_gates
VIS_D1_R1_000362_RT_D1_R1_0008,362,RT_D1_R1_0008,temporarily_missing,2,motion_shell_candidate,36.121468,no_current_component_passed_response_motion_relative_and_background_gates
VIS_D1_R1_000362_RT_D1_R1_0009,362,RT_D1_R1_0009,temporarily_missing,2,motion_shell_candidate,36.121468,no_current_component_passed_response_motion_relative_and_background_gates
VIS_D1_R1_000362_RT_D1_R1_0010,362,RT_D1_R1_0010,temporarily_missing,2,motion_shell_candidate,36.121468,no_current_component_passed_response_motion_relative_and_background_gates
VIS_D1_R1_000363_RT_D1_R1_0001,363,RT_D1_R1_0001,temporarily_missing,2,same_motion_candidate,29.169457,no_current_component_passed_response_motion_relative_and_background_gates
VIS_D1_R1_000363_RT_D1_R1_0002,363,RT_D1_R1_0002,temporarily_missing,3,motion_shell_candidate,29.169457,no_current_component_passed_response_motion_relative_and_background_gates
VIS_D1_R1_000363_RT_D1_R1_0006,363,RT_D1_R1_0006,temporarily_missing,3,motion_shell_candidate,29.169457,no_current_component_passed_response_motion_relative_and_background_gates
VIS_D1_R1_000363_RT_D1_R1_0008,363,RT_D1_R1_0008,temporarily_missing,3,motion_shell_candidate,29.169457,no_current_component_passed_response_motion_relative_and_background_gates
VIS_D1_R1_000363_RT_D1_R1_0009,363,RT_D1_R1_0009,temporarily_missing,3,motion_shell_candidate,29.169457,no_current_component_passed_response_motion_relative_and_background_gates
VIS_D1_R1_000363_RT_D1_R1_0010,363,RT_D1_R1_0010,temporarily_missing,3,motion_shell_candidate,29.169457,no_current_component_passed_response_motion_relative_and_background_gates
VIS_D1_R1_000364_RT_D1_R1_0001,364,RT_D1_R1_0001,temporarily_missing,3,same_motion_candidate,23.931809,no_current_component_passed_response_motion_relative_and_background_gates
VIS_D1_R1_000364_RT_D1_R1_0005,364,RT_D1_R1_0005,temporarily_missing,1,reappearance_candidate,23.931809,no_current_component_passed_response_motion_relative_and_background_gates
VIS_D1_R1_000364_RT_D1_R1_0006,364,RT_D1_R1_0006,temporarily_missing,4,motion_shell_candidate,23.931809,no_current_component_passed_response_motion_relative_and_background_gates
VIS_D1_R1_000364_RT_D1_R1_0008,364,RT_D1_R1_0008,temporarily_missing,4,motion_shell_candidate,23.931809,no_current_component_passed_response_motion_relative_and_background_gates
VIS_D1_R1_000364_RT_D1_R1_0009,364,RT_D1_R1_0009,temporarily_missing,4,motion_shell_candidate,23.931809,no_current_component_passed_response_motion_relative_and_background_gates
VIS_D1_R1_000364_RT_D1_R1_0010,364,RT_D1_R1_0010,temporarily_missing,4,motion_shell_candidate,23.931809,no_current_component_passed_response_motion_relative_and_background_gates
VIS_D1_R1_000365_RT_D1_R1_0001,365,RT_D1_R1_0001,temporarily_missing,4,same_motion_candidate,21,no_current_component_passed_response_motion_relative_and_background_gates
VIS_D1_R1_000365_RT_D1_R1_0002,365,RT_D1_R1_0002,temporarily_missing,1,reappearance_candidate,21,no_current_component_passed_response_motion_relative_and_background_gates
VIS_D1_R1_000365_RT_D1_R1_0005,365,RT_D1_R1_0005,temporarily_missing,2,reappearance_candidate,21,no_current_component_passed_response_motion_relative_and_background_gates
VIS_D1_R1_000365_RT_D1_R1_0006,365,RT_D1_R1_0006,temporarily_missing,5,motion_shell_candidate,21,no_current_component_passed_response_motion_relative_and_background_gates
VIS_D1_R1_000365_RT_D1_R1_0007,365,RT_D1_R1_0007,temporarily_missing,1,reappeared_supported,21,no_current_component_passed_response_motion_relative_and_background_gates
