region_id,sar_frame,background_type,center_x,center_y,same_area_as_gt,overlaps_any_gm017_gt_aabb,source,gt_role
E0_REG_000315_0096,315,near_background_same_area,974.228041,1137.48791,true,false,local_range_background,negative_or_background_control
E0_REG_000315_0097,315,far_background_same_area,607.521959,743.57009,true,false,local_range_background,negative_or_background_control
E0_REG_000315_0098,315,strong_scatterer_background_same_area,1224,965,true,false,frame_scan_q95=79,negative_or_background_control
E0_REG_000315_0099,315,mask_edge_background_same_area,72,790,true,false,zero_proxy_scan_zero_fraction=1,negative_or_background_control
E0_REG_000315_0100,315,linear_structure_background_same_area,1461.700834,848.735721,true,false,N005_component:COMP_BG_000257_020,negative_or_background_control
E0_REG_000315_0101,315,known_non_vehicle_same_area,1196.566369,1166.397906,true,false,N005_component:COMP_BG_000261_001,negative_or_background_control
E0_REG_000317_0096,317,near_background_same_area,992.939041,1155.182342,true,false,local_range_background,negative_or_background_control
E0_REG_000317_0097,317,far_background_same_area,600.025959,727.245658,true,false,local_range_background,negative_or_background_control
E0_REG_000317_0098,317,strong_scatterer_background_same_area,1230,964.5,true,false,frame_scan_q95=81,negative_or_background_control
E0_REG_000317_0099,317,mask_edge_background_same_area,82,824.5,true,false,zero_proxy_scan_zero_fraction=1,negative_or_background_control
E0_REG_000317_0100,317,linear_structure_background_same_area,1461.700834,848.735721,true,false,N005_component:COMP_BG_000257_020,negative_or_background_control
E0_REG_000317_0101,317,known_non_vehicle_same_area,1196.566369,1166.397906,true,false,N005_component:COMP_BG_000261_001,negative_or_background_control
E0_REG_000319_0096,319,near_background_same_area,995.744109,1148.61875,true,false,local_range_background,negative_or_background_control
E0_REG_000319_0097,319,far_background_same_area,631.855891,730.17725,true,false,local_range_background,negative_or_background_control
E0_REG_000319_0098,319,strong_scatterer_background_same_area,1275.5,972.5,true,false,frame_scan_q95=91,negative_or_background_control
E0_REG_000319_0099,319,mask_edge_background_same_area,75.5,792.5,true,false,zero_proxy_scan_zero_fraction=1,negative_or_background_control
E0_REG_000319_0100,319,linear_structure_background_same_area,1461.700834,848.735721,true,false,N005_component:COMP_BG_000257_020,negative_or_background_control
E0_REG_000319_0101,319,known_non_vehicle_same_area,1196.566369,1166.397906,true,false,N005_component:COMP_BG_000261_001,negative_or_background_control
E0_REG_000321_0096,321,near_background_same_area,996.827698,1144.822494,true,false,local_range_background,negative_or_background_control
