region_id,pair_id,sar_frame,control_type,family,center_x,center_y,same_area_as_body_reference,same_aspect_as_body_reference,same_orientation_as_body_reference,similar_radar_range,valid_pixel_fraction_matched,overlaps_any_gm017_gt_aabb,source
E0_R1_REG_000315_0040,WGV35A_PAIR_0003,315,matched_ordinary_background_same_area,MATCHED_BACKGROUND_CONTROL,1541,986,true,true,true,true,screened,false,matched_ordinary;range_delta_px=-14.743339;valid_fraction=1
E0_R1_REG_000315_0041,WGV35A_PAIR_0003,315,matched_strong_scatterer_background_same_area,MATCHED_BACKGROUND_CONTROL,963,816,true,true,true,true,screened,false,matched_strong;range_delta_px=15.971969;valid_fraction=1
E0_R1_REG_000315_0042,WGV35A_PAIR_0003,315,matched_linear_structure_background_same_area,MATCHED_BACKGROUND_CONTROL,1473,816,true,true,true,true,screened,false,matched_linear;range_delta_px=72.522963;valid_fraction=1
E0_R1_REG_000315_0043,WGV35A_PAIR_0003,315,fixed_known_non_vehicle_same_area,FIXED_HARD_NEGATIVE,1196.566369,1166.397906,true,true,true,true,screened,false,N005_component:COMP_BG_000261_001
E0_R1_REG_000315_0044,WGV35A_PAIR_0003,315,fixed_linear_structure_background_same_area,FIXED_HARD_NEGATIVE,1461.700834,848.735721,true,true,true,true,screened,false,N005_component:COMP_BG_000257_020
E0_R1_REG_000315_0045,WGV35A_PAIR_0003,315,fixed_strong_scatterer_background_same_area,FIXED_HARD_NEGATIVE,1132.158395,1164.457828,true,true,true,true,screened,false,N005_component:COMP_BG_000251_001
E0_R1_REG_000317_0040,WGV35A_PAIR_0006,317,matched_ordinary_background_same_area,MATCHED_BACKGROUND_CONTROL,1473,918,true,true,true,true,screened,false,matched_ordinary;range_delta_px=-7.085093;valid_fraction=1
E0_R1_REG_000317_0041,WGV35A_PAIR_0006,317,matched_strong_scatterer_background_same_area,MATCHED_BACKGROUND_CONTROL,997,816,true,true,true,true,screened,false,matched_strong;range_delta_px=9.395822;valid_fraction=1
E0_R1_REG_000317_0042,WGV35A_PAIR_0006,317,matched_linear_structure_background_same_area,MATCHED_BACKGROUND_CONTROL,1473,816,true,true,true,true,screened,false,matched_linear;range_delta_px=76.832626;valid_fraction=1
E0_R1_REG_000317_0043,WGV35A_PAIR_0006,317,fixed_known_non_vehicle_same_area,FIXED_HARD_NEGATIVE,1196.566369,1166.397906,true,true,true,true,screened,false,N005_component:COMP_BG_000261_001
